,text_excerpt,state,school type,grade,year,subject,doc_id
12120,"Themen: Sprache und Schrift Kleidung und Nahrung Freizeitgestaltung Spiele, Musik u. a. Freundschaft, Liebe, Sexualität, Moral Familie, Herkunft, Stammbäume Kinder, Erziehung Alt und Jung/Miteinander der Generationen Alltag/Arbeiten/Feiern Wohnen/Nachbarn Gefühle Freude, Glück, Trauer, Zorn u. a. und entsprechende Rituale Geburt, Tod Philosophie, Religion, Mythen, Rituale u. a. Folgendes Stufenmodell veranschaulicht den Prozess interkulturellen Lernens: Stufe Verständnis Erkennen - Bewusstsein entwickeln für die",MeckPomm,,1-13,2002,"Psychologie, Gesundheit",12120
12121,"sind. Sie sind sich des Zusammenhangs zwischen der Begrenztheit des Lebens und der Sinnorientierung des Menschen bewusst. Die Schülerinnen und Schüler machen sich Gedanken darüber, was für sie persönlich ein glückliches Leben ausmacht und erkennen, dass sie altersbedingt in zunehmendem Maß für ihr persönliches Glück verantwortlich sind. Anhand ökologischer und ethischer Kriterien, wie z. B. Mitverantwortung und Solidarität, zeigen die Schülerinnen",Bayern,Realschule,,2023,Sozialkunde,12121
12122,"durch Verzicht auf Vergleiche mit anderen, Aufgehen in einer Tätigkeit M. Csikszentmihalyi: Flow Glücksstrategien in Bezug auf soziale Bindungen: gelingende Kommunikation z. B. F. Schulz von Thun, Achtsamkeit Hinweise auf Glück im philosophischen Denken: Texte zum Zusammenhang zwischen Glück und verantwortbarer Lebensführung, z. B. Aristoteles, E. Fromm Hinweise auf Glück in den Weltreligionen, z. B. Hinduismus, Buddhismus Glücksindizes, z. B. Happy",Bayern,Realschule,,2023,"Ethik, Philo",12122
12123,"Glück zu finden bzw. mit Frustration umzugehen. Inhalte zu den Kompetenzen: individuelle Glückserlebnisse, z. B. Geburt eines Geschwisterkindes, Sieg des Sportvereins, Erfolg in der Schule, Erhalten eines Geschenkes Glück als glücklicher Zufall luck und Glückseligkeit happiness persönliche und kulturelle Voraussetzungen für unterschiedliche Glücksvorstellungen: z. B. Leben in Armut bzw. Reichtum, Alter, persönliche Weltanschauung, Religion Glück durch materielle und immaterielle Dinge positive",Bayern,Realschule,,2023,Sozialkunde,12123
12124,"Inhalte Fachbezogen Umsetzungshilfen Leitperspektiven Aufgabengebiete Gesundheitsförderung Interkulturelle Erziehung Sprachbildung Fachübergreifende Bezüge Vorstellungen vom guten und gelingenden Leben Der Mensch als Einzel- und Gemeinschaftswesen Die Rolle von Gefühl und Vernunft im glücklichen Leben Selbstgenügsamkeit, Besonnenheit, Lust, Hedonismus, intrinsischer und instrumenteller Wert Zusätzlich im erhöhten Anforderungsniveau: Tugenden und Glück Eudaimonie, produktive Tätigkeit Beitrag zur Leitperspektive W: Die Schülerinnen und Schüler reflektieren Vorstellungen vom",Hamburg,,Studienstufe,2022,"Ethik, Philo",12124
12125,"einer Tätigkeit M. Csikszentmihalyi: Flow Glücksstrategien in Bezug auf soziale Bindungen: gelingende Kommunikation z. B. F. Schulz von Thun, Achtsamkeit Hinweise auf Glück im philosophischen Denken: Texte zum Zusammenhang zwischen Glück und verantwortbarer Lebensführung, z. B. Aristoteles, E. Fromm Hinweise auf Glück in den Weltreligionen, z. B. Hinduismus, Buddhismus Glücksindizes, z. B. Happy Planet Index Glücksversprechungen z. B. der Medien, Werbeindustrie,",Bayern,Realschule,,2023,"Ethik, Philo",12125
12126,"Leben Der Mensch als Einzel- und Gemeinschaftswesen Die Rolle von Gefühl und Vernunft im glücklichen Leben Selbstgenügsamkeit, Besonnenheit, Lust, Hedonismus, intrinsischer und instrumenteller Wert Zusätzlich im erhöhten Anforderungsniveau: Tugenden und Glück Eudaimonie, produktive Tätigkeit Beitrag zur Leitperspektive W: Die Schülerinnen und Schüler reflektieren Vorstellungen vom guten und gelingenden Leben auch im Zusammenhang mit der Bedeutung und Funktion von Autonomie, Rationalität und",Hamburg,,Studienstufe,2022,"Ethik, Philo",12126
12127,Umgang mit eigenen Ressourcen BNE Bedeutung und Gefährdungen einer nachhaltigen Entwicklung VB Alltagskonsum; Bedürfnisse und Wünsche; Umgang mit eigenen Ressourcen Die Schülerinnen und Schüler können G M E Vorstellungen eines glücklichen und guten Zusammen- Lebens für ihre Zukunft mit Vorgaben entwerfen und im Ansatz beurteilen Vorstellungen eines glücklichen und guten Zusammen- Lebens für ihre Zukunft entwerfen und im Ansatz beurteilen Vorstellungen,BaWü,,Sek1,2016,"Ethik, Philo",12127
12128,"mit eigenen Ressourcen Die Schülerinnen und Schüler können G M E Vorstellungen eines glücklichen und guten Zusammen- Lebens für ihre Zukunft mit Vorgaben entwerfen und im Ansatz beurteilen Vorstellungen eines glücklichen und guten Zusammen- Lebens für ihre Zukunft entwerfen und im Ansatz beurteilen Vorstellungen eines glücklichen und guten Zusammen- Lebens für ihre Zukunft entwerfen und beurteilen Analysieren und interpretieren , ,",BaWü,,Sek1,2016,"Ethik, Philo",12128
12129,"guten Zusammen- Lebens für ihre Zukunft mit Vorgaben entwerfen und im Ansatz beurteilen Vorstellungen eines glücklichen und guten Zusammen- Lebens für ihre Zukunft entwerfen und im Ansatz beurteilen Vorstellungen eines glücklichen und guten Zusammen- Lebens für ihre Zukunft entwerfen und beurteilen Analysieren und interpretieren , , Argumentieren und reflektieren , Ich und mein Leben Mythologische, religiöse und wissenschaftliche Erklärungen von Mensch",BaWü,,Sek1,2016,"Ethik, Philo",12129
