,text_excerpt,state,school type,grade,year,subject,doc_id
18390,"Werten und Normen für mediale Darstellungen aus verschiedenen Perspektiven beschreiben und diskutieren z. B. Produktion, Vertrieb, Rezeption MB Kommunikation und Kooperation VB Chancen und Risiken der Lebensführung MB Kommunikation und Kooperation VB Chancen und Risiken der Lebensführung MB Kommunikation und Kooperation VB Chancen und Risiken der Lebensführung Wahrnehmen und sich hineinversetzen , , Analysieren und interpretieren , , , , ,",BaWü,,Sek1,2016,"Ethik, Philo",18390
18391,"soziale Netzwerke die Sichtweisen von Betroffenen und Beteiligten in Konfliktsituationen herausarbeiten und bewerten z. B. Elternhaus, Schule, soziale Netzwerke MB Kommunikation und Kooperation MB Kommunikation und Kooperation MB Kommunikation und Kooperation einzelne Erklärungsansätze für Gewalt anhand von Beispielsituationen herausarbeiten und beurteilen verschiedene Erklärungsansätze für Gewalt anhand von Beispielsituationen herausarbeiten und beurteilen Erklärungsansätze für Gewalt anhand von Beispielsituationen herausarbeiten und beurteilen Strategien",BaWü,,Sek1,2016,"Ethik, Philo",18391
18392,"z. B. Elternhaus, Schule, soziale Netzwerke die Sichtweisen von Betroffenen und Beteiligten in Konfliktsituationen herausarbeiten und bewerten z. B. Elternhaus, Schule, soziale Netzwerke MB Kommunikation und Kooperation MB Kommunikation und Kooperation MB Kommunikation und Kooperation einzelne Erklärungsansätze für Gewalt anhand von Beispielsituationen herausarbeiten und beurteilen verschiedene Erklärungsansätze für Gewalt anhand von Beispielsituationen herausarbeiten und beurteilen Erklärungsansätze für Gewalt anhand von Beispielsituationen",BaWü,,Sek1,2016,"Ethik, Philo",18392
18393,"Konfliktsituationen herausarbeiten und bewerten z. B. Elternhaus, Schule, soziale Netzwerke die Sichtweisen von Betroffenen und Beteiligten in Konfliktsituationen herausarbeiten und bewerten z. B. Elternhaus, Schule, soziale Netzwerke MB Kommunikation und Kooperation MB Kommunikation und Kooperation MB Kommunikation und Kooperation einzelne Erklärungsansätze für Gewalt anhand von Beispielsituationen herausarbeiten und beurteilen verschiedene Erklärungsansätze für Gewalt anhand von Beispielsituationen herausarbeiten und beurteilen Erklärungsansätze für",BaWü,,Sek1,2016,"Ethik, Philo",18393
18394,"Respekt, Achtung, Fairness, Gerechtigkeit allgemeine Bedingungen für ein verantwortliches Miteinander erläutern und begründen z. B. Respekt, Achtung, Fairness, Gerechtigkeit MB Kommunikation und Kooperation MB Kommunikation und Kooperation MB Kommunikation und Kooperation Wahrnehmen und sich hineinversetzen , , Analysieren und interpretieren , , , , Freiheit und Verantwortung Friedliches Zusammenleben und die Bedeutung von Konflikten Handeln in der medial vermittelten Welt Ethisch-moralische",BaWü,,Sek1,2016,"Ethik, Philo",18394
18395,"Arbeitslosigkeit, Umstrukturierung der ostdeutschen Wirtschaft RG, z. B.: Werften und LPG in M-V Verknüpfungen DRF, BNE, BTV, MD, MD, MD, MD, MD, BO Konflikte und Konfliktlösungen: ca. Unterrichtsstunden Konfrontation und Kooperation internationaler Bündnisse Verbindliche Inhalte Hinweise und Anregungen Blockbildung und Integration der beiden deutschen Staaten Lernziel: Einteilung der Welt in Blöcke anhand der Ost- und Westintegration der beiden deutschen Staaten nachweisen",MeckPomm,Regionale Schule,7-10,2023,Geschichte,18395
18396,"geschichtskulturelle Bedeutung beurteilen Beispiele: Nationalallegorien Deutscher Michel, Germania, Hermannsmythos, Barbarossamythos, Straßennamen Analyse von Denkmälern und Liedern Verknüpfungen DRF, BNE, BTV, MD, MD, MD, MD, MD Konflikte und Konfliktlösungen: ca. Unterrichtsstunden Kooperation und Konkurrenz der europäischen Großmächte Verbindliche Inhalte Hinweise und Anregungen Gründung des Deutschen Reiches Lernziel: Konflikte im Vorfeld und infolge der Gründung des Deutschen Reiches erklären Beispiele: Preußisch-Österreichischer Dualismus, Einigungskriege,",MeckPomm,Regionale Schule,7-10,2023,Geschichte,18396
18397,"diskutieren z. B. Produktion, Vertrieb, Rezeption den Stellenwert von moralischen Werten und Normen für mediale Darstellungen aus verschiedenen Perspektiven beschreiben und diskutieren z. B. Produktion, Vertrieb, Rezeption MB Kommunikation und Kooperation VB Chancen und Risiken der Lebensführung MB Kommunikation und Kooperation VB Chancen und Risiken der Lebensführung MB Kommunikation und Kooperation VB Chancen und Risiken der Lebensführung Wahrnehmen und sich hineinversetzen",BaWü,,Sek1,2016,"Ethik, Philo",18397
18398,"zu einem dieser Angebote MD gesetzliche Grundlagen auszugsweise: Bundeskinderschutzgesetz Jugendschutzgesetz und FSK Vorstellung von Ansprechpartnern: Klassenleitung Vertrauenslehrpersonen Schulsozialarbeit Schulpsychologischer Dienst Kinderschutzhotline UN-Kinderrechtskonvention Talkshow zum Thema Kinderrechte ins Grundgesetz MD Projektvorschlag: Kooperation mit ausländischen Partnerschulen zu Aspekten von Kinderrechten, z. B. Online-Chat mit der Partnerschule, gemeinsame Foto-Geschichten erstellen, Präsentation der Partnerschulen auf Elternabenden Mensch und Natur ca. Unterrichtsstunden Mensch und Natur stehen",MeckPomm,,"5,6",,Sozialkunde,18398
18399,"didaktischen Perspektiven behandelt werden. Dabei wird von den Lehrkräften erwartet, dass sie je nach Lerngruppe und Unterrichtsintention die didaktischen Perspektiven unterschiedlich gewichten. - Bei der Behandlung einzelner Themen soll die Kooperation mit anderen Fächern, insbesondere mit dem Religions- und Weltanschauungsunterricht, gesucht werden. - Regelmäßig werden - nach Absprache der Fachkonferenzen - Exkursionen zu außerschulischen Lernorten und Expertengespräche durchgeführt. Wer bin ich",Berlin,,7-10,2015,"Ethik, Philo",18399
