,text_excerpt,state,school type,grade,year,subject,doc_id
28026,Bildung für Toleranz und Akzeptanz von Vielfalt BTV Im Fach Psychologie beschäftigen sich die Schülerinnen und Schüler mit Einstellungen und Vorurteilen sowie Möglichkeiten ihrer Veränderung. Sie reflektieren das Verhältnis von Norm und Abweichung und die Gefahr von Stigmatisierungen. Zudem befassen sich die Schülerinnen und Schüler mit Entwicklungsaufgaben und Identität. Damit leistet der Psychologieunterricht auch einen Beitrag zur Identitätsbildung Jugendlicher und fördert,BaWü,Gemeinschaftsschule,Sek2,2016,"Psychologie, Gesundheit",28026
28027,Prüfungsanforderungen in der Abiturprüfung Ethik. A Übersicht über die verbindlichen Grundbegriffe Schuljahrgänge und Schuljahrgänge und Schuljahrgänge und Erfolg/Misserfolg Freundschaft glückliches Leben das Göttliche Goldene Regel Idol Klischee Mobbing Monotheismus/Polytheismus Naturwissenschaft Normen Religiosität Ritual Schöpfung Toleranz Verantwortungsbewusstsein Vorbild Vorurteil Werte Ethik Geschlechterrolle Grundbedürfnisse Initiationsritus Konflikt Konvention Krise Liebe Menschenrechte Menschenwürde Orientierung Prävention Selbstbestimmung Selbstwertgefühl Sexualität soziale Rolle Sucht Weltanschauung Weltbild Erkennen Ethik,Niedersachsen,Gesamtschule,,2017,"Ethik, Philo",28027
28028,"Sport, Vergleich zwischen positiver und negativer Formulierung der Goldenen Regel untersuchen mögliche Folgen von Regelverletzungen. Prävention, Sanktion, Strafe Funktionen von Strafe: Abschreckung, Wiedergutmachung, Vorbeugung, Einsicht, Vergeltung ... Grundbegriffe: Goldene Regel, Normen, Ritual, Werte Inhaltsbezogener Kompetenzbereich: Fragen nach der Wirklichkeit Leitthema: Leben in Vielfalt Erwartete Kompetenzen am Ende von Schuljahrgang Mögliche Inhalte für den Kompetenzerwerb Die Schülerinnen und Schüler ... beschreiben unterschiedliche",Niedersachsen,Gesamtschule,,2017,"Ethik, Philo",28028
28029,"sowie deren Bedeutung für das Zusammenleben. Regeln und Normen in Klasse, Familie, Freundeskreis, Verein Sicherheit, Verlässlichkeit, Einschränkung Gedankenexperiment: Welt ohne Regeln und Normen erläutern die Werte, die bestimmten Regeln und Normen zugrunde liegen z. B. Ehrlichkeit, Höflichkeit, Achtsamkeit, Geselligkeit vergleichen Regeln und Rituale in verschiedenen Kontexten. Schulregeln in verschiedenen kulturellen und historischen Kontexten Verhaltensregeln in verschiedenen Sportarten und Spielen Verhaltensweisen in",Niedersachsen,Gesamtschule,,2017,"Ethik, Philo",28029
28030,"Die Schülerinnen und Schüler setzen sich im Vergleich der über die Paradigmen beschriebenen Menschenbilder mit unterschiedlichen Wertemaßstäben auseinander und stellen diese einander gegenüber. Hierbei entdecken sie zugleich, wie sich gesellschaftliche Normen und Werte im Zeitverlauf wandeln und an die jeweilige Umgebungsgesellschaft angepasst werden. W A B F F M U Lernjahr M Das Paradigma der Tiefenpsychologie Wahlpflicht Fachübergreifend Inhalte Fachbezogen Umsetzungshilfen",Hamburg,,Sek1,2024,"Psychologie, Gesundheit",28030
28031,"Themas Prosoziales Verhalten erfolgen. Kompetenzen Fachinterne Bezüge S. Motivation S. Soziale Wahrnehmung S. Antisoziales Verhalten bleibt zunächst leer Psychologie der Gruppe Arten von Gruppen, Gründe für Gruppenbildung, soziale Rollen und Normen, Gruppenzusammenhalt, Leistung in Gruppen Social loafing Latané et al. Informativer Sherif und normativer Asch sozialer Einfluss Einfluss von Kultur und Selbstsicht interdependent, independent Prosoziales Verhalten Stufen zur Hilfeleistung Prozessmodell nach",Hamburg,,Sek1,2024,"Psychologie, Gesundheit",28031
28032,Nachsorge Medienerziehung: Online-Kriminalität W BNE B PGW Phi Rec Rel Päd F F F M M U H Beitrag zur Leitperspektive W: Die Schülerinnen und Schüler setzen sich mit gesellschaftlichen Normen und Werten im Rahmen von Strafrecht und Justizvollzug auseinander. Sie erlangen auf diesem Wege ein Verständnis für die Notwendigkeit juristischer Normsetzungen und die hinter diesen stehenden Wertvorstellungen mit Blick auf,Hamburg,,Sek1,2024,"Psychologie, Gesundheit",28032
28033,"regelhaft um die Frage, wer von welchen ökonomischen Entscheidungen profitiert und wer die Lasten derselben trägt. Bei diesen Fragen über die in den jeweiligen Entscheidungsoptionen zum Ausdruck kommenden Werte und Normen nachzudenken und hier pädagogisch zu wirken, gehört zum Kernbestand des ökonomischen Fachunterrichts. Dies betrifft insbesondere auch den Aspekt der ökonomischen Gerechtigkeit unter Berücksichtigung unterschiedlicher Gerechtigkeitsdimensionen. Bildung für nachhaltige Entwicklung BNE",Hamburg,Gym,Sek1,2024,Sozialkunde,28033
28034,"D: In unternehmerischen ethischen Entscheidungssituationen wird die Bedeutung wertorientierten Handelns als Konsumentin bzw. Konsument, Wirtschaftsbürgerin bzw. Wirtschaftsbürger und Unternehmerin bzw. Unternehmer deutlich. Zudem wird der Einfluss verschiedener Sub-Kulturen, Lebensweisen und Normen auf unternehmerische Entscheidungen analysiert. Das Modul ermöglicht die Bewertung unternehmerischer Entscheidungen und Verantwortung im Hinblick auf soziale und ökologische Nachhaltigkeit sowie die Fähigkeit zum ressourcenorientierten Denken. Digitalität und Digitalisierung wirken",Hamburg,Gym,Sek1,2024,Sozialkunde,28034
28035,"dennoch in einzelnen Fällen Urheberrechte nicht berücksichtigt worden sein, wenden Sie sich bitte an den Herausgeber. Alle eingesetzten beziehungsweise verarbeiteten Rohstoffe und Materialien entsprechen den zum Zeitpunkt der Angebotsabgabe gültigen Normen beziehungsweise geltenden Bestimmungen und Gesetzen der Bundesrepublik Deutschland. Der Herausgeber hat bei seinen Leistungen sowie bei Zulieferungen Dritter im Rahmen der wirtschaftlichen und technischen Möglichkeiten umweltfreundliche Verfahren und Erzeugnisse bevorzugt",BaWü,Gemeinschaftsschule,Sek2,2016,"Psychologie, Gesundheit",28035
