topic_name,Bio,"Ethik, Philo",Geschichte,Psychologie,Sozialkunde,entropy,topic_total,topic_proportion
-1_konsum_lernen_medien_positionen,0.0521,0.6354,0.0729,0.0729,0.1667,1.6195,96,0.15
0_eigene_bedrfnis_sucht_menschen,0.0512,0.8279,0.0326,0.0186,0.0698,0.9808,215,0.3359
1_interessen_handeln_interessen bedrfnisse_themenfelder,0.0308,0.1462,0.1538,0.0,0.6692,1.3633,130,0.2031
2_lernenden_emotionen_sozialkompetenz_realitt,0.1875,0.3125,0.2188,0.0938,0.1875,2.2298,32,0.05
3_familie_eth_bedrfnisse wnsche_individualitt,0.0,0.3929,0.0,0.0,0.6071,0.9666,28,0.0438
4_sexualitt_liebe_lebensformen_akzeptanz lebensformen,0.1071,0.8929,0.0,0.0,0.0,0.4912,28,0.0438
5_fhigkeiten_verantwortlich_sehen_wirklichkeit,0.2222,0.3333,0.2222,0.0,0.2222,1.9749,27,0.0422
6_mensch_kinderarbeit_schuljahrgang_grundbedrfnisse,0.1154,0.8846,0.0,0.0,0.0,0.5159,26,0.0406
7_wnsche_bedrfnisse wnsche_kriterien_vergleichen,0.0385,0.8077,0.0,0.0,0.1538,0.8451,26,0.0406
8_chancen_risiken_internet_erfahrungen,0.0625,0.6875,0.0625,0.0,0.1875,1.3245,16,0.025
9_klassenstufen_diskutieren_klassenstufe_dialogpartner,0.0,0.75,0.0,0.0,0.25,0.8113,16,0.025
TOTAL,0.0625,0.5938,0.075,0.0219,0.2469,1.5957,640,1.0
