,Topic -1 terms,Topic -1 probabilities,Topic 0 terms,Topic 0 probabilities,Topic 1 terms,Topic 1 probabilities,Topic 2 terms,Topic 2 probabilities,Topic 3 terms,Topic 3 probabilities,Topic 4 terms,Topic 4 probabilities,Topic 5 terms,Topic 5 probabilities,Topic 6 terms,Topic 6 probabilities,Topic 7 terms,Topic 7 probabilities,Topic 8 terms,Topic 8 probabilities,Topic 9 terms,Topic 9 probabilities
0,konsum,0.055,eigene,0.0492,interessen,0.0493,lernenden,0.1813,familie,0.1405,sexualitt,0.1474,fhigkeiten,0.1667,mensch,0.1445,wnsche,0.1946,chancen,0.1326,klassenstufen,0.2668
1,lernen,0.05,bedrfnis,0.0438,handeln,0.0449,emotionen,0.1605,eth,0.1073,liebe,0.1468,verantwortlich,0.1524,kinderarbeit,0.1245,bedrfnisse wnsche,0.1447,risiken,0.1296,diskutieren,0.1404
2,medien,0.0401,sucht,0.0435,interessen bedrfnisse,0.0428,sozialkompetenz,0.1347,bedrfnisse wnsche,0.0898,lebensformen,0.0956,sehen,0.1524,schuljahrgang,0.1118,kriterien,0.0922,internet,0.1214,klassenstufe,0.1367
3,positionen,0.0398,menschen,0.0372,themenfelder,0.0416,realitt,0.1343,individualitt,0.0877,akzeptanz lebensformen,0.0778,wirklichkeit,0.1498,grundbedrfnisse,0.1094,vergleichen,0.0728,erfahrungen,0.1179,dialogpartner,0.1111
4,eigene,0.0393,wahrnehmung,0.0324,bewerten,0.04,voraussetzungen,0.1284,wnsche,0.0805,akzeptanz,0.0769,potenziale,0.1473,grundbegriffe,0.1084,unterscheiden,0.0721,digitalen,0.1149,einzelnen,0.1099
5,sozialen,0.0339,freiheit,0.0323,nutzen,0.0392,achten,0.124,identitt,0.0728,selbstfindung,0.0737,grenzen,0.145,fragen,0.0997,berprfung,0.065,alltag,0.1128,ber,0.1015
6,auseinander,0.0328,entwickeln,0.0306,wandel,0.0356,reflektieren,0.1184,aufgaben,0.07,selbstfindung akzeptanz,0.0737,wahr,0.1388,ethik,0.0993,wnschen,0.065,wahrnehmen,0.1071,orientiert,0.0985
7,zusammenhang,0.0322,reflektieren,0.0291,gestaltet,0.0297,sozialer,0.111,lebensformen,0.0694,btv,0.0668,rechte,0.1378,konflikt,0.0945,diskutieren,0.0649,gefahren,0.0863,vorgaben,0.0926
8,setzen,0.0318,deren,0.0256,funktionen,0.0295,nehmen,0.1079,rolle,0.069,beispielen,0.0613,vielfalt,0.1318,ende,0.0945,eigener fhigkeiten,0.064,reflektieren,0.0855,bedeutet,0.0926
9,gegenber,0.0313,verantwortung,0.0251,sachkompetenz,0.029,gefhle bedrfnisse,0.1079,erziehung,0.0674,anhand,0.0476,erfassen,0.131,mgliche,0.0933,erstellen,0.063,chancen risiken,0.0781,fcherbergreifenden,0.0854
10,unterschiedliche,0.0313,handeln,0.0249,menschen,0.0278,unterschiedliche,0.1073,funktion,0.0664,familie,0.0449,dabei,0.1263,inhalte,0.0911,brauche,0.063,kultur,0.0766,ende,0.0832
11,entwickeln,0.0307,situationen,0.0245,bedarf,0.0277,fhigkeiten,0.0993,befriedigung,0.0636,mensch,0.0408,gefhle bedrfnisse,0.1258,selbstbestimmung,0.0802,einschtzung,0.0595,vertreten,0.0714,entscheidungen,0.0822
12,gefhle,0.0298,handlungen,0.0244,deren,0.0276,gefhle,0.0934,erlutern,0.0569,wnsche,0.0404,erkennen,0.1121,sexualitt,0.0665,qualitt,0.0595,persnliche,0.0714,kulturelle,0.0788
13,bildung,0.0287,fragen,0.0238,konomische,0.0276,gemeinschaften,0.0784,eth freiheit,0.0543,bedrfnisse wnsche,0.0398,gefhle,0.1089,welt,0.0641,phnomene,0.0595,welt,0.0691,kontext,0.077
14,auseinandersetzung,0.0285,erkennen,0.0237,erlutern,0.0272,bewltigen,0.0784,freiheit verantwortung,0.053,menschen,0.0397,lernenden,0.1036,religiser,0.0573,eigener,0.0586,medien,0.0675,funktion,0.0747
15,deren,0.028,glck,0.023,grundlagen,0.0265,partner,0.0757,innerhalb,0.0483,eth,0.0396,eigene,0.0971,werte,0.0547,inklusion,0.0576,unterschiede,0.0638,interessen,0.0745
16,sollen,0.0268,vorstellungen,0.023,prinzip,0.0265,stellenwert,0.0741,wandel,0.0395,kommunikation,0.0385,interessen,0.0967,kulturen,0.0547,angemessene,0.056,bereits,0.0589,eigenen bedrfnissen,0.0704
17,phnomenen,0.0259,lebens,0.0228,spannungsfeld,0.0262,lage,0.0741,geschlechterrollen,0.0392,darstellen,0.0373,dimensionen,0.0929,teil,0.0526,nachhaltigen entwicklung,0.0538,beeinflusst,0.0571,gleichberechtigung,0.0663
18,verschiedenen,0.0258,regeln,0.0224,struktur,0.026,gesellschaften,0.0715,verantwortung,0.0387,freundschaft,0.0363,positive,0.0929,begriff,0.0508,nachhaltigen,0.0529,gilt,0.0556,unterschiedlichen,0.0642
19,beurteilen,0.0253,menschlichen,0.022,aktiv,0.0257,gruppen,0.0692,gesellschaft,0.0375,grundbedrfnisse,0.0354,reflektieren,0.092,menschliche,0.05,globaler,0.0529,persnlichen,0.0553,kultur,0.0635
