topic_name,Bio,"Ethik, Philo",Geschichte,Psychologie,entropy,topic_total,topic_proportion
-1_erklren_entstehung_verwandtschaft_evolutionstheorie,0.9403,0.0149,0.0448,0.0,0.3747,268,0.247
0_evolutionstheorie_evolution menschen_fossilien_fitness,0.9883,0.0088,0.0,0.0029,0.1016,341,0.3143
1_basiskonzepte_individuelle evolutive_biologie_steuerung,0.9885,0.0115,0.0,0.0,0.0905,261,0.2406
2_erlutern_anthropologie_darstellen_arten,0.873,0.0952,0.0317,0.0,0.6521,63,0.0581
3_sek_angepasstheit_wirbeltieren_pflanzen,1.0,0.0,0.0,0.0,0.0,38,0.035
4_informationsverarbeitung_neurobiologie_evolution informationsverarbeitung_schwerpunkte,0.9545,0.0,0.0,0.0455,0.2668,22,0.0203
5_fortpflanzung_variation_genetische_sexuelle fortpflanzung,1.0,0.0,0.0,0.0,0.0,20,0.0184
6_vielfalt_vielfalt lebewesen_lebensrume_vernderung,0.9474,0.0526,0.0,0.0,0.2975,19,0.0175
7_merkmal_stammbume_homologe_merkmale,1.0,0.0,0.0,0.0,0.0,19,0.0175
8_gesellschaft_welt_weltbild_freiheit,0.0,1.0,0.0,0.0,0.0,17,0.0157
9_funktion_stammesgeschichtlichen entwicklung_stammesgeschichtlichen_struktur funktion,1.0,0.0,0.0,0.0,0.0,17,0.0157
TOTAL,0.9539,0.0313,0.0129,0.0018,0.3192,1085,1.0
