Topic,Count,Proportion,Name,Representation,Representative_Docs
-1,268,0.24700460829493087,-1_erklren_entstehung_verwandtschaft_evolutionstheorie,"['erklren', 'entstehung', 'verwandtschaft', 'evolutionstheorie', 'organismen', 'arten', 'individuelle evolutive', 'lebens', 'tabelle', 'stammesgeschichte', 'variabilitt', 'beschreiben erklren', 'ber', 'strukturierungsvorschlag', 'genetik', 'isolation', 'vernderung', 'merkmale', 'verhalten', 'lernenden']","['werden innere Zustände aufrechterhalten oder funktionsbezogen verändert. Innerhalb dieses Basiskonzeptes gibt es wesentliche Prinzipien, z.B. positive und negative Rückkopplung, Prinzip der Homöostase. Individuelle und evolutive Entwicklung Das Basiskonzept individuelle und evolutive Entwicklung beschreibt den Sachverhalt, dass sich lebende Systeme über verschiedene Zeiträume im Zusammenhang mit Umwelteinflüssen verändern. Die individuelle Entwicklung von Lebewesen und die Weitergabe ihrer genetischen Information durch Fortpflanzung sind', 'innere Zustände aufrechterhalten oder funktionsbezogen verändert. Innerhalb dieses Basiskonzeptes gibt es wesentliche Prinzipien, z. B. positive und negative Rückkopplung, Prinzip der Homöostase. Individuelle und evolutive Entwicklung Das Basiskonzept individuelle und evolutive Entwicklung beschreibt den Sachverhalt, dass sich lebende Systeme über verschiedene Zeiträume im Zusammenhang mit Umwelteinflüssen verändern. Die individuelle Entwicklung von Lebewesen und die Weitergabe ihrer genetischen Information durch Fortpflanzung sind', 'E. K. K. B. B. B. Entstehung des Lebens und Entwicklung der Arten Fachübergreifend Inhalte Fachbezogen Umsetzungshilfen Leitperspektiven Aufgabengebiete Globales Lernen Umwelterziehung Sprachbildung Fachübergreifende Bezüge Evolution des Lebens Belege für Evolution: molekularbiologische Homologien Synthetische Evolutionstheorie Stammbäume: ursprüngliche und abgeleitete Merkmale Verwandtschaft und Stammesgeschichte des Menschen Optional: die Entstehung der Lebewesen Kompetenzen Fachbegriffe die Anpassung, die Art, die Artbildung, die Artenvielfalt, das']"
0,341,0.3142857142857143,0_evolutionstheorie_evolution menschen_fossilien_fitness,"['evolutionstheorie', 'evolution menschen', 'fossilien', 'fitness', 'belege', 'erlutern', 'selektion', 'verwandtschaft', 'belege evolution', 'verhalten', 'kulturelle', 'organismen', 'stammbume', 'ergebnis', 'mutation', 'entstehung', 'synthetische', 'modernen', 'modernen menschen', 'anhand']","['zusätzlich im erhöhten Anforderungsniveau die Apoptose das Genome-Editing die transgenen Organismen Fachinterne Bezüge S- S- S- Evolution als Ursache von Biodiversität Belege für die Evolution: molekularbiologische Homologien grundlegende Prinzipien der Evolution: Rekombination, Mutation, Selektion, Verwandtschaft, Variation, Fitness, Isolation, Drift, Artbildung, Biodiversität, Koevolution, populationsgenetischer Artbegriff adaptiver Wert von Verhalten: reproduktive Fitness, KostenNutzen-Analyse synthetische Evolutionstheorie: Abgrenzung von nichtnaturwissenschaftlichen Vorstellungen zusätzlich im erhöhten Anforderungsniveau', 'Rekombination, Mutation, Selektion, Verwandtschaft, Variation, Fitness, Isolation, Drift, Artbildung, Biodiversität, Koevolution, populationsgenetischer Artbegriff adaptiver Wert von Verhalten: reproduktive Fitness, KostenNutzen-Analyse synthetische Evolutionstheorie: Abgrenzung von nichtnaturwissenschaftlichen Vorstellungen zusätzlich im erhöhten Anforderungsniveau Evolution des Menschen: Ursprung, Fossilgeschichte, Stammbäume und Verbreitung des heutigen Menschen kulturelle Evolution: Werkzeuggebrauch, Sprachentwicklung Sozialverhalten bei Primaten: exogene und endogene Ursachen, Fortpflanzungsverhalten, reproduktive Fitness Beitrag zur Leitperspektive W Die Schülerinnen', 'Evolution: Rekombination, Mutation, Selektion, Verwandtschaft, Variation, Fitness, Isolation, Drift, Artbildung, Biodiversität, Koevolution, populationsgenetischer Artbegriff N adaptiver Wert von Verhalten: reproduktive Fitness, Kosten-Nutzen-Analyse N Synthetische Evolutionstheorie, Abgrenzung von nicht-naturwissenschaftlichen Vorstellungen N Evolution des Menschen: Ursprung, Fossilgeschichte, Stammbäume und Verbreitung des heutigen Menschen N Kulturelle Evolution: Werkzeuggebrauch, Sprachentwicklung N Sozialverhalten bei Primaten: exogene und endo-gene Ursachen, Fortpflanzungsverhalten, reproduktive Fitness Fachliche Verfahren N PCR']"
1,261,0.24055299539170508,1_basiskonzepte_individuelle evolutive_biologie_steuerung,"['basiskonzepte', 'individuelle evolutive', 'biologie', 'steuerung', 'zelle', 'stoff', 'energieumwandlung', 'struktur', 'stoff energieumwandlung', 'funktion', 'entstehung', 'steuerung regelung', 'regelung', 'entwickeln', 'information', 'erklren', 'struktur funktion', 'information kommunikation', 'genetik', 'phnomene']","['Wissen und die Erschließung neuer Inhalte fördern. Lebewesen sind offene Systeme, die in stofflichen, energetischen und informatorischen Wechselwirkungen mit ihrer Umwelt stehen, zu Selbstregulation fähig sind und sich individuell und evolutiv entwickeln. Daraus werden folgende Basiskonzepte für den Biologieunterricht abgeleitet: Struktur und Funktion, Stoff- und Energieumwandlung, Information und Kommunikation, Steuerung und Regelung sowie individuelle und evolutive Entwicklung. Diese Basiskonzepte ermöglichen eine', 'Wissen und die Erschließung neuer Inhalte fördern. Lebewesen sind offene Systeme, die in stofflichen, energetischen und informatorischen Wechselwirkungen mit ihrer Umwelt stehen, zu Selbstregulation fähig sind und sich individuell und evolutiv entwickeln. Daraus werden folgende Basiskonzepte für den Biologieunterricht abgeleitet: Struktur und Funktion, Stoff- und Energieumwandlung, Information und Kommunikation, Steuerung und Regelung sowie individuelle und evolutive Entwicklung. Diese Basiskonzepte ermöglichen eine', 'strukturiertem Wissen und die Erschließung neuer Inhalte. Lebewesen sind offene Systeme, die in stofflichen, energetischen und informatorischen Wechselwirkungen mit ihrer Umwelt stehen, zu Selbstregulation fähig sind und sich individuell und evolutiv entwickeln. Daraus werden folgende Basiskonzepte für den Biologieunterricht abgeleitet: Struktur und Funktion, Stoff- und Energieumwandlung, Information und Kommunikation, Steuerung und Regelung sowie individuelle und evolutive Entwicklung. Diese Basiskonzepte ermöglichen eine']"
2,63,0.05806451612903226,2_erlutern_anthropologie_darstellen_arten,"['erlutern', 'anthropologie', 'darstellen', 'arten', 'stammesgeschichtliche entwicklung', 'natur', 'verwandtschaft', 'anhand', 'angepasstheiten', 'angepasstheit', 'freiheit', 'erkenntnisgewinnung', 'evolution menschen', 'umwelt', 'ausgewhlter', 'darwins', 'stammesgeschichtliche verwandtschaft', 'kommunikation', 'aspekte', 'aufrechter']","['und Anthropologie ETH Freiheit und Anthropologie REV Gott REV Gott RRK Gott Evolution des Menschen die stammesgeschichtliche Verwandtschaft und die Ausbreitung von Menschenarten Hominini anhand ausgewählter Fossilfunde darstellen Besonderheiten der Evolution des Menschen erläutern und die Bedeutung kultureller Entwicklungen darstellen zum Beispiel aufrechter Gang, Präzisionsgriff; Werkzeuggebrauch, Sprachentwicklung; Widerlegung des Konzepts der Menschenrassen Erkenntnisgewinnung , Kommunikation , , , , , Evolution', 'naturwissenschaftliche Theorie gegenüber nicht-naturwissenschaft-lichen Vorstellungen zur Entstehung von Artenvielfalt abgrenzen Kommunikation , ETH Freiheit und Anthropologie ETH Freiheit und Anthropologie REV Gott REV Gott RRK Gott Evolution des Menschen die stammesgeschichtliche Verwandtschaft und die Ausbreitung von Menschenarten Hominini anhand ausgewählter Fossilfunde darstellen Besonderheiten der Evolution des Menschen erläutern und die Bedeutung kultureller Entwicklungen darstellen zum Beispiel aufrechter Gang, Präzisionsgriff; Werkzeuggebrauch, Sprachentwicklung;', 'naturwissenschaftliche Theorie gegenüber nicht-naturwissenschaft-lichen Vorstellungen zur Entstehung von Artenvielfalt abgrenzen Kommunikation , ETH Freiheit und Anthropologie ETH Freiheit und Anthropologie REV Gott REV Gott RRK Gott Evolution des Menschen die stammesgeschichtliche Verwandtschaft und die Ausbreitung von Menschenarten Hominini anhand ausgewählter Fossilfunde darstellen Besonderheiten der Evolution des Menschen erläutern und die Bedeutung kultureller Entwicklungen darstellen zum Beispiel aufrechter Gang, Präzisionsgriff; Werkzeuggebrauch, Sprachentwicklung;']"
3,38,0.035023041474654376,3_sek_angepasstheit_wirbeltieren_pflanzen,"['sek', 'angepasstheit', 'wirbeltieren', 'pflanzen', 'systematik', 'wirbeltiere', 'evolutiver', 'individualentwicklung', 'evolutive mechanismen', 'vergleichen', 'mechanismen', 'verglichen', 'verwandtschaft', 'individueller', 'jahrgang', 'ebene', 'evolutiven', 'unterscheiden', 'stammesgeschichtlicher entwicklung', 'gemeinsamkeiten']","['Zusammenhänge des Basiskonzepts Inhaltsbezogene Kompetenzen Die Schülerinnen und Schüler ... Verbindliche Fachinhalte Jahrgangsstufen / Sek. I - GV Lebewesen unterliegen einer Individualentwicklung und einer evolutiven Entwicklung. unterscheiden zwischen individueller und stammesgeschichtlicher Entwicklung. Individualentwicklung von Pflanzen und Wirbeltieren Angepasstheit von Pflanzen und Wirbeltieren als Prozess Sek. I - GV Lebewesen werden verglichen und geordnet, um ihre evolutive Entwicklung abzubilden. beschreiben Gemeinsamkeiten und', 'Entwicklung. unterscheiden zwischen individueller und stammesgeschichtlicher Entwicklung. Individualentwicklung von Pflanzen und Wirbeltieren Angepasstheit von Pflanzen und Wirbeltieren als Prozess Sek I - GV Lebewesen werden verglichen und geordnet, um ihre evolutive Entwicklung abzubilden. beschreiben Gemeinsamkeiten und Unterschiede von Organismen und schließen daraus auf Verwandtschaft. beschreiben Verwandtschaft als das Ergebnis evolutiver Prozesse. Systematik und Stammbaum der Wirbeltiere Übergang WasserLand bei Wirbeltieren Systematik', 'Entwicklung. unterscheiden zwischen individueller und stammesgeschichtlicher Entwicklung. Individualentwicklung von Pflanzen und Wirbeltieren Angepasstheit von Pflanzen und Wirbeltieren als Prozess Sek. I - GV Lebewesen werden verglichen und geordnet, um ihre evolutive Entwicklung abzubilden. beschreiben Gemeinsamkeiten und Unterschiede von Organismen und schließen daraus auf Verwandtschaft. beschreiben Verwandtschaft als das Ergebnis evolutiver Prozesse. Systematik und Stammbaum der Wirbeltiere Übergang Wasser-Land bei Wirbeltieren Systematik']"
4,22,0.020276497695852536,4_informationsverarbeitung_neurobiologie_evolution informationsverarbeitung_schwerpunkte,"['informationsverarbeitung', 'neurobiologie', 'evolution informationsverarbeitung', 'schwerpunkte', 'lernen', 'stoffwechselphysiologie', 'inhaltsfelder', 'information', 'bewegung', 'nervensystem', 'individuelle evolutive', 'kommunikation', 'hinweise', 'kompetenzerwartungen', 'verfahren', 'bezieht', 'hinweise anregungen', 'anregungen', 'inhaltsfeld', 'sollen']","['Information und Kommunikation: Codierung und Decodierung von Information bei der Proteinbiosynthese Steuerung und Regelung: Prinzip der Homöostase bei der Regulation der Genaktivität Individuelle und evolutive Entwicklung: Selektion bei Prozessen des evolutiven Artwandels Leistungskurs Die Kompetenzen der Schülerinnen und Schüler sollen im Rahmen der Behandlung der nachfolgenden, für die Qualifikationsphase obligatorischen Inhaltsfelder entwickelt werden: Neurobiologie Stoffwechselphysiologie Ökologie Genetik und Evolution Bezieht man', 'Prozessen des evolutiven Artwandels Leistungskurs Die Kompetenzen der Schülerinnen und Schüler sollen im Rahmen der Behandlung der nachfolgenden, für die Qualifikationsphase obligatorischen Inhaltsfelder entwickelt werden: Neurobiologie Stoffwechselphysiologie Ökologie Genetik und Evolution Bezieht man übergeordnete Kompetenzerwartungen Kap. . sowie die unten aufgeführten inhaltlichen Schwerpunkte aufeinander, so ergeben sich die nachfolgenden konkretisierten Kompetenzerwartungen: Inhaltsfeld Neurobiologie Inhaltliche Schwerpunkte: Grundlagen der Informationsverarbeitung Bau und Funktionen', 'politischer und sozialer Perspektive. Grundkurs Die Kompetenzen der Schülerinnen und Schüler sollen im Rahmen der Behandlung der nachfolgenden, für die Qualifikationsphase obligatorischen Inhaltsfelder entwickelt werden: Neurobiologie Stoffwechselphysiologie Ökologie Genetik und Evolution Bezieht man übergeordnete Kompetenzerwartungen Kap. . sowie die unten aufgeführten inhaltlichen Schwerpunkte aufeinander, so ergeben sich die nachfolgenden konkretisierten Kompetenzerwartungen: Inhaltsfeld Neurobiologie Inhaltliche Schwerpunkte: Grundlagen der Informationsverarbeitung Bau und Funktionen']"
5,20,0.018433179723502304,5_fortpflanzung_variation_genetische_sexuelle fortpflanzung,"['fortpflanzung', 'variation', 'genetische', 'sexuelle fortpflanzung', 'genetischem', 'lebende systeme', 'lebende', 'genetischem material', 'material', 'zusammenhang umwelteinflssen', 'umwelteinflssen', 'fhrt', 'sexuelle', 'entwicklung lebewesen', 'sachverhalt', 'sachverhalt lebende', 'umwelteinflssen verndern', 'systeme ber', 'erhht', 'ber']","['Sachverhalt, dass sich lebende Systeme über verschiedene Zeiträume im Zusammenhang mit Umwelteinflüssen verändern. Die individuelle Entwicklung von Lebewesen und die Weitergabe ihrer genetischen Information durch Fortpflanzung sind die Grundlage für evolutive Entwicklung. Sexuelle Fortpflanzung führt zur Rekombination von genetischem Material und erhöht die genetische Variation. Zusammen mit Selektion ist genetische Variation eine wichtige Ursache für Artwandel. Innerhalb dieses Basiskonzeptes gibt es', 'Sachverhalt, dass sich lebende Systeme über verschiedene Zeiträume im Zusammenhang mit Umwelteinflüssen verändern. Die individuelle Entwicklung von Lebewesen und die Weitergabe ihrer genetischen Information durch Fortpflanzung sind die Grundlage für evolutive Entwicklung. Sexuelle Fortpflanzung führt zur Rekombination von genetischem Material und erhöht die genetische Variation. Zusammen mit Selektion ist genetische Variation eine wichtige Ursache für Artwandel. Innerhalb dieses Basiskonzeptes gibt es', 'Sachverhalt, dass sich lebende Systeme über verschiedene Zeiträume im Zusammenhang mit Umwelteinflüssen verändern. Die individuelle Entwicklung von Lebewesen und die Weitergabe ihrer genetischen Information durch Fortpflanzung sind die Grundlage für evolutive Entwicklung. Sexuelle Fortpflanzung führt zur Rekombination von genetischem Material und erhöht die genetische Variation. Zusammen mit Selektion ist genetische Variation eine wichtige Ursache für Artwandel. Innerhalb dieses Basiskonzeptes gibt es']"
6,19,0.017511520737327188,6_vielfalt_vielfalt lebewesen_lebensrume_vernderung,"['vielfalt', 'vielfalt lebewesen', 'lebensrume', 'vernderung', 'vorstellungen entwicklung', 'deren', 'mutation', 'entwicklung lebewesen', 'insbesondere', 'menschwerdung', 'mutation selektion', 'selektion isolation', 'genetische', 'somit', 'selektion', 'vielfalt vernderung', 'erkennen', 'evolutionre', 'lebensrumen', 'isolation']","['- Vielfalt und Veränderung Anhand von Fossilienfunden und deren Datierung werden dynamische Vorstellungen der Entwicklung von Lebewesen, insbesondere der Menschwerdung nachvollziehbar. Diese Entwicklung wird verständlich durch Mutation, Selektion und Isolation. Evolution ist somit ein ständig anhaltender Prozess, der zu einer Angepasstheit von Lebewesen an vorhandene Lebensräume und auch zur Vielfalt der Lebewesen führt. Artenvielfalt bedeutet genetische Vielfalt und stellt eine Ressource', 'von Lebewesen. Evolutionäre Entwicklung Anhand von Fossilienfunden und deren Datierung werden dynamische Vorstellungen der Entwicklung von Lebewesen, insbesondere der Menschwerdung nachvollziehbar. Diese Entwicklung wird verständlich durch Mutation, Selektion und Isolation. Evolution ist somit ein ständig anhaltender Prozess, der zu einer Angepasstheit von Lebewesen an vorhandene Lebensräume und auch zur Vielfalt der Lebewesen führt. Artenvielfalt bedeutet genetische Vielfalt und stellt eine Ressource', 'von Lebewesen. Evolutionäre Entwicklung Anhand von Fossilienfunden und deren Datierung werden dynamische Vorstellungen der Entwicklung von Lebewesen, insbesondere der Menschwerdung nachvollziehbar. Diese Entwicklung wird verständlich durch Mutation, Selektion und Isolation. Evolution ist somit ein ständig anhaltender Prozess, der zu einer Angepasstheit von Lebewesen an vorhandene Lebensräume und auch zur Vielfalt der Lebewesen führt. Artenvielfalt bedeutet genetische Vielfalt und stellt eine Ressource']"
7,19,0.017511520737327188,7_merkmal_stammbume_homologe_merkmale,"['merkmal', 'stammbume', 'homologe', 'merkmale', 'abgrenzung', 'stammbumen', 'stammesgeschichte', 'analysieren phylogenetische', 'evolution genen', 'stammbume hinblick', 'verwandtschaft', 'hinblick verwandtschaft', 'lebewesen evolution', 'verwandtschaft lebewesen', 'dnasequenzen', 'genen', 'stammbaum', 'kladogramm', 'phylogenetische stammbume', 'gemeinsamen vorfahren']","['Vorschläge und Hinweise E Stammesgeschichte und Verwandtschaft E Mit Hilfe verschiedener Merkmale können Stammbäume erstellt werden. Die Schülerinnen und Schüler a ursprüngliches Merkmal, Plesiomorphie, abgeleitetes Merkmal, Apomorphie, Taxa, Art, Stammbaum, Stammesgeschichte a identifizieren ursprüngliche und abgeleitete Merkmale und nutzen diese zur Prüfung von Stammbaumhypothesen homologe morphologische Merkmale, homologe DNA-Sequenzen, a apomorph: Merkmal, welches sich gegenüber dem Merkmalszustand des letzten gemeinsamen Vorfahren', 'homologe morphologische Merkmale, homologe DNA-Sequenzen, a apomorph: Merkmal, welches sich gegenüber dem Merkmalszustand des letzten gemeinsamen Vorfahren verändert hat. Beispiel Milchdrüsen der Säugetiere im Vergleich zu den anderen Wirbeltieren b stammesgeschichtliche Stammbäume in Abgrenzung zu Familienstammbäumen, Kladogramm b analysieren phylogenetische Stammbäume im Hinblick auf die Verwandtschaft von Lebewesen und die Evolution von Genen, c Leitfossilien, Altersdatierung, C-Methode, Atom, radioaktives Isotop, radioaktive', 'homologe morphologische Merkmale, homologe DNA-Sequenzen, a abgeleitet: Merkmal, welches sich gegenüber dem Merkmalszustand des letzten gemeinsamen Vorfahren verändert hat. Beispiel Milchdrüsen der Säugetiere im Vergleich zu den anderen Wirbeltieren b stammesgeschichtliche Stammbäume in Abgrenzung zu Familienstammbäumen, Kladogramm b analysieren phylogenetische Stammbäume im Hinblick auf die Verwandtschaft von Lebewesen und die Evolution von Genen. E Die Stammesgeschichte wird kontrovers diskutiert. Die Schülerinnen']"
8,17,0.01566820276497696,8_gesellschaft_welt_weltbild_freiheit,"['gesellschaft', 'welt', 'weltbild', 'freiheit', 'interpretieren', 'analysieren', 'religion', 'argumentieren', 'probleme', 'schuljahrgnge', 'aspekte', 'mensch teil', 'reflektieren', 'beurteilen', 'teil', 'evolution kologie', 'vergleichen', 'kontext', 'anthropologie', 'darstellungen']","['BNE Friedensstrategien BNE Friedensstrategien Analysieren und interpretieren , , , , Argumentieren und reflektieren , , , Beurteilen und sich entscheiden , , Gesellschaft und Toleranz Glück und Moral BIO Evolution GK Aufgaben und Probleme des Sozialstaats Analysieren und interpretieren , , , , Argumentieren und reflektieren , , , Beurteilen und sich entscheiden , , Gesellschaft und Toleranz Glück und', 'und Probleme des Sozialstaats Analysieren und interpretieren , , , , Argumentieren und reflektieren , , , Beurteilen und sich entscheiden , , Gesellschaft und Toleranz Glück und Moral BIO Evolution GK Aufgaben und Probleme des Sozialstaats Analysieren und interpretieren , , , , Argumentieren und reflektieren , , , Beurteilen und sich entscheiden , , Gesellschaft und Toleranz Glück und', 'reflektiert begründen BNE Demokratiefähigkeit Analysieren und interpretieren , , , , , Beurteilen und sich entscheiden , , , , , Freiheit und Naturalismus Freiheit und digitale Welt Moralphilosophie BIO Evolution und Ökologie D Medien GEO Globale Herausforderungen WI Fallstudie Moral, Religion und Kritik Grundlagen philosophischer Ethik Die Schülerinnen und Schüler können Aufgaben von Ethik in einer pluralistischen Gesellschaft benennen und']"
