topic_name,Bio,"Ethik, Philo",Geschichte,Psychologie,Sozialkunde,entropy,topic_total,topic_proportion
-1_personen_vorurteile_oft_unterschiedliche,0.0385,0.6346,0.0962,0.0769,0.1538,1.6221,52,0.1469
0_lernenden_bedrfnisse_nehmen_soziale,0.1429,0.5102,0.1224,0.102,0.1224,1.9744,49,0.1384
1_mglichkeiten_situation_gefhls_reaktionen,0.0,0.9333,0.0,0.0333,0.0333,0.42,30,0.0847
2_gedanken_situationen_unterscheiden_verndern,0.0,0.9839,0.0,0.0161,0.0,0.1191,62,0.1751
3_armut_wohlstand_armut wohlstand_klassenstufen,0.0,1.0,0.0,0.0,0.0,0.0,25,0.0706
4_moralische_moralisch_beispiel_menschen,0.0,0.9808,0.0,0.0192,0.0,0.1371,52,0.1469
5_individualitt_gefhl vernunft_vernunft_darstellung,0.0,1.0,0.0,0.0,0.0,0.0,18,0.0508
6_gewissen_handelns_bezogen_motive,0.0,0.6857,0.2,0.0,0.1143,1.1953,35,0.0989
7_freundschaft_klassengemeinschaft_familie_probleme,0.0323,0.7742,0.0968,0.0645,0.0323,1.1866,31,0.0876
TOTAL,0.0282,0.8164,0.0593,0.0395,0.0565,1.0446,354,1.0
