topic_name,Bio,"Ethik, Philo",Geschichte,Psychologie,Sozialkunde,entropy,topic_total,topic_proportion
-1_verantwortung_welt_analysieren_gesellschaft,0.0831,0.4605,0.1321,0.007,0.3173,1.7748,999,0.2595
0_beschreiben_ethik_verantwortung_reflektieren,0.0868,0.5579,0.1289,0.0113,0.2151,1.7069,1590,0.4131
1_wirtschaftlichen_wirtschaftliches_konomische_wirtschaftliches handeln,0.0848,0.0892,0.0629,0.0029,0.7602,1.1891,684,0.1777
2_kompetenzbereiche_fachlichen_inhaltsfelder_entwicklung,0.5039,0.2171,0.1124,0.0194,0.1473,1.8483,258,0.067
3_fhigkeiten_personale_sollen_schlerin,0.2169,0.2048,0.1807,0.0482,0.3494,2.1337,83,0.0216
4_motive_motivation_moralisch_definieren,0.0,1.0,0.0,0.0,0.0,0.0,66,0.0171
5_medial_interpretieren_welt_analysieren interpretieren,0.0,0.8305,0.0,0.0,0.1695,0.6565,59,0.0153
6_handeln menschen_bercksichtigung_historischen_historische,0.0,0.0,0.6279,0.0,0.3721,0.9523,43,0.0112
7_dimension_normative_argumentationskompetenz diskurskompetenz_diskurskompetenz,0.0,1.0,0.0,0.0,0.0,0.0,25,0.0065
8_handlung_jugendstrafrechts_besonderheiten_folgen,0.0,0.0,0.0435,0.0,0.9565,0.258,23,0.006
9_glck_wege_moral_selbstverwirklichung,0.0,1.0,0.0,0.0,0.0,0.0,19,0.0049
TOTAL,0.1109,0.4261,0.1174,0.0094,0.3362,1.831,3849,1.0
