,Topic 0 terms,Topic 0 probabilities,Topic 1 terms,Topic 1 probabilities
0,wettbewerb,0.0328,konkurrenz,0.0765
1,konkurrenz,0.0206,kologische,0.0629
2,marktwirtschaft,0.0191,beziehungen,0.0554
3,bedeutung,0.0157,nische,0.0515
4,erlutern,0.015,parasitismus,0.0499
5,sozialen,0.015,symbiose,0.0461
6,globalisierung,0.0124,kologische nische,0.0429
7,soziale,0.0124,interspezifische,0.0413
8,markt,0.0121,faktoren,0.0393
9,beurteilungskompetenz,0.0118,erlutern,0.0301
10,europischen,0.0115,beschreiben,0.0289
11,wettbewerbs,0.0111,beziehungen konkurrenz,0.0287
12,konomische,0.0111,interspezifische beziehungen,0.0287
13,md,0.011,arten,0.0287
14,unternehmen,0.0105,parasitismus symbiose,0.0278
15,beurteilen,0.0105,organismen,0.0269
16,deutschland,0.0102,intra,0.026
17,auswirkungen,0.0099,einfluss,0.0256
18,stunden,0.0096,ruberbeutebeziehung,0.0251
19,kooperation,0.0096,kologische potenz,0.0251
