topic_name,Bio,"Ethik, Philo",Geschichte,Psychologie,Sozialkunde,entropy,topic_total,topic_proportion
-1_angebote_nutzen_einzelnen_bildung,0.24,0.1733,0.1733,0.0933,0.32,2.216,75,0.1318
0_komplexe_dienen_lerngruppe_arbeitstechniken,0.1053,0.3158,0.2105,0.0,0.3684,1.871,19,0.0334
1_frdern_lernarrangements_arbeitsformen_lern,0.1765,0.2941,0.1176,0.0588,0.3529,2.0949,17,0.0299
2_teamfhigkeit_kooperation teamfhigkeit_gegenber_arbeiten,0.2,0.2,0.2889,0.0222,0.2889,2.0859,45,0.0791
3_medien_schlern_kooperatives_informationen,0.3571,0.1786,0.1071,0.0,0.3571,1.8501,28,0.0492
4_bewertung_leistungen_leistung_gruppe,0.2857,0.2286,0.1714,0.0,0.3143,1.9641,35,0.0615
5_kommunikation_kommunikation kooperation_welt_themen,0.046,0.1149,0.2529,0.0115,0.5747,1.5979,261,0.4587
6_kooperationen_fachlichen_schritten_darzustellen interdisziplinre,0.1923,0.1923,0.3077,0.0,0.3077,1.9612,26,0.0457
7_sozialkompetenz_methodenkompetenz_kommunikation_verhalten,0.4921,0.1111,0.1111,0.1746,0.1111,1.9997,63,0.1107
TOTAL,0.1757,0.1547,0.2144,0.0404,0.4148,2.0473,569,1.0
