Topic,Count,Proportion,Name,Representation,Representative_Docs
-1,389,0.2653478854024557,-1_leben_welt_religionen_aspekte,"['leben', 'welt', 'religionen', 'aspekte', 'moderne', 'knnen', 'natur', 'geschichte', 'fragen', 'handeln', 'lernen', 'umgang', 'inhalte', 'auseinandersetzung', 'entwicklungen', 'zusammenlebens', 'religion', 'gesellschaft kultur', 'beschreiben', 'dabei']","['des Einzelnen als auch auf das gemeinsame gesellschaftliche Handeln beziehen. Die Auseinandersetzung mit Kernproblemen richtet sich insbesondere auf: Grundwerte menschlichen Zusammenlebens: Menschenrechte, das friedliche Zusammenleben in einer Welt mit unterschiedlichen Kulturen, Religionen, Gesellschaftsformen, Völkern und Nationen Nachhaltigkeit der ökologischen, sozialen und ökonomischen Entwicklung: Erhalt der natürlichen Lebensgrundlagen, Sicherung und Weiterentwicklung der sozialen, wirtschaftlichen und technischen Lebensbedingungen im Kontext der Globalisierung Gleichstellung', 'des Einzelnen als auch auf das gemeinsame gesellschaftliche Handeln beziehen. Die Auseinandersetzung mit Kernproblemen richtet sich insbesondere auf: Grundwerte menschlichen Zusammenlebens: Menschenrechte, das friedliche Zusammenleben in einer Welt mit unterschiedlichen Kulturen, Religionen, Gesellschaftsformen Völkern und Nationen Nachhaltigkeit der ökologischen, sozialen und ökonomischen Entwicklung: Erhalt der natürlichen Lebensgrundlagen, Sicherung und Weiterentwicklung der sozialen, wirtschaftlichen und technischen Lebensbedingungen im Kontext der Globalisierung Gleichstellung', 'Umwelt Konflikte, Streit, Schlichtung Regeln, Zusammenleben Denken, Erfahrung, Wissen Symbole, Rituale, Transzendenz Motive, Pflicht, -Konsequenzen Medien, Darstellungen, Selbstdarstellungen Aggression, Gewalt, Konfliktlösung Gerechtes Handeln, Werte, Normen, Sprache, Wissenschaft, Wirklichkeit Weltbilder, Religionen, Kulturen Selbst, Identität, -Geschlecht Gewissen, Verantwortung, Freiheit Medien, Kommunikation, Öffentlichkeit Leben, Sinn, Arbeit Natur, Kultur, Technik Krieg, Frieden Recht, Gerechtigkeit, Moral Fragen nach der Wirklichkeit Fragen nach dem Sinn Fragen nach']"
0,609,0.4154160982264666,0_politische_geschichte_antike_wissenschaft,"['politische', 'geschichte', 'antike', 'wissenschaft', 'demokratie', 'wirtschaft', 'herrschaft', 'entwicklung', 'republik', 'natur', 'europischen', 'wissenschaft kultur', 'politik', 'bedeutung', 'erkennen', 'technik', 'europa', 'mensch', 'beispiel', 'mittelalter']","['Lebensverhältnisse: Diversität und Inklusion Globalisierung religiöser und ethischer Leitbilder Bildung Politische Herrschaft, Demokratie und Menschenrechte Good Governance Getrennt und wiedervereinigt - Deutschland im Spiegel internationaler Politik nach Vielfalt der Werte, Kulturen und Lebensverhältnisse: Diversität und Inklusion Globalisierung religiöser und ethischer Leitbilder Armut und soziale Sicherheit Frieden und Konflikt Politische Herrschaft, Demokratie und Menschenrechte Good Governance Global Governance - Weltordnungspolitik Herausforderung Europa', 'und Inklusion Globalisierung religiöser und ethischer Leitbilder Frieden und Konflikt Politische Herrschaft, Demokratie und Menschenrechte Good Governance Global Governance - Weltordnungspolitik Demokratie in Zukunft lernen und leben Vielfalt der Werte, Kulturen und Lebensverhältnisse: Diversität und Inklusion Globalisierung religiöser und ethischer Leitbilder Bildung Politische Herrschaft, Demokratie und Menschenrechte Good Governance Getrennt und wiedervereinigt - Deutschland im Spiegel internationaler Politik nach Vielfalt der', 'Globalisierung: Vom Kolonialismus zum Global Village Chancen und Gefahren des technologischen Fortschritts Frieden und Konflikt Politische Herrschaft, Demokratie und Menschenrechte Good Governance Global Governance - Weltordnungspolitik Nationalsozialismus Vielfalt der Werte, Kulturen und Lebensverhältnisse: Diversität und Inklusion Frieden und Konflikt Politische Herrschaft, Demokratie und Menschenrechte Good Governance Demokratie heute lernen und leben Vielfalt der Werte, Kulturen und Lebensverhältnisse: Diversität und Inklusion Politische']"
1,207,0.14120054570259208,1_religionen_islam_beschreiben_welt,"['religionen', 'islam', 'beschreiben', 'welt', 'religion', 'verschiedener', 'zusammenleben', 'weltanschauungen', 'ethische', 'fragen', 'verschiedener kulturen', 'kunst', 'entwicklung', 'auseinandersetzung', 'entwickeln', 'prgenden', 'ber', 'religise', 'religion kultur', 'christentum']","['Wünschen und Gedanken und den verschiedenen Möglichkeiten, sein Leben zu führen und selbst zu gestalten. Zusammenleben Zusammenleben bildet im besonderen Maße den Rahmen zur Entwicklung vielfältiger sozialer Kompetenzen. Religion und Kultur Religion und Kultur entwickelt ethische Kompetenzen in der Auseinandersetzung mit den Wertvorstellungen verschiedener Kulturen und der sie prägenden Religionen und befähigt dazu, das eigene Welt- und Menschenbild zu erweitern, zu', 'und den verschiedenen Möglichkeiten, sein Leben zu führen und selbst zu gestalten. Zusammenleben Zusammenleben bildet im besonderen Maße den Rahmen zur Entwicklung vielfältiger sozialer Kompetenzen. Religion und Kultur Religion und Kultur entwickelt ethische Kompetenzen in der Auseinandersetzung mit den Wertvorstellungen verschiedener Kulturen und der sie prägenden Religionen und befähigt dazu, das eigene Weltund Menschenbild zu erweitern, zu überprüfen und zu festigen.', 'und den verschiedenen Möglichkeiten, sein Leben zu führen und selbst zu gestalten. Zusammenleben Zusammenleben bildet im besonderen Maße den Rahmen zur Entwicklung vielfältiger sozialer Kompetenzen. Religion und Kultur Religion und Kultur entwickelt ethische Kompetenzen in der Auseinandersetzung mit den Wertvorstellungen verschiedener Kulturen und der sie prägenden Religionen und befähigt dazu, das eigene Weltund Menschenbild zu erweitern, zu überprüfen und zu festigen.']"
2,99,0.06753069577080491,2_kulturelle_leben_ethik_vielfalt,"['kulturelle', 'leben', 'ethik', 'vielfalt', 'methodischdidaktische', 'methodischdidaktische hinweise', 'kompetenzen methodischdidaktische', 'inhaltsbezogene kompetenzen', 'inhaltsbezogene', 'hinweise', 'kulturelle vielfalt', 'internet', 'kulturellen', 'gemeinschaft leben', 'identifizieren', 'welt', 'alltag', 'gemeinschaft', 'handeln', 'welt kultur']","['Kultur-Beutel: z. B. Alltagsgegenstände, Werkzeug, Sprache, Traditionen, gesellschaftliche Regeln, Institutionen, Moralvorstellungen, religiös-konfessionelle Zugehörigkeit, Bildung, Konsumgüter, Wissenschaft, Technik Sein: Ich und die anderen In Gemeinschaft leben Ethik / Leben mit/in anderen Kulturen inhaltsbezogene Kompetenzen methodisch-didaktische Hinweise Leben mit/in anderen Kulturen Die Schülerinnen und Schüler identifizieren Unterschiede und Gemeinsamkeiten verschiedener Kulturen, diskutieren mögliche Hintergründe für kulturelle Erscheinungsformen, hinterfragen kritisch die Tendenz kulturelle Vorurteile', 'Gemeinschaft leben Ethik / Leben mit/in anderen Kulturen inhaltsbezogene Kompetenzen methodisch-didaktische Hinweise Handeln Projekt: Klasse ohne kulturelle Grenzen: Ändern des Sitzplans in der Klasse für einen gewissen Zeitraum Projekttag: Deine Kultur - meine Kultur Hinweis s. Thema Wert- und Moralvorstellungen im Christentum, Islam und Judentum Sein: Die Welt Kultur Ethik / Internet - Chancen und Gefahren Das Internet ist ein selbstverständlicher', 'Gemeinschaft leben Ethik / Leben mit/in anderen Kulturen inhaltsbezogene Kompetenzen methodisch-didaktische Hinweise Handeln Projekt: Klasse ohne kulturelle Grenzen: Ändern des Sitzplans in der Klasse für einen gewissen Zeitraum Projekttag: Deine Kultur - meine Kultur Hinweis s. Thema Wert- und Moralvorstellungen im Christentum, Islam und Judentum Sein: Die Welt Kultur Ethik / Internet - Chancen und Gefahren Das Internet ist ein selbstverständlicher']"
3,34,0.023192360163710776,3_beurteilen_historischen_erklren_verschiedenen epochen,"['beurteilen', 'historischen', 'erklren', 'verschiedenen epochen', 'ergebnisse', 'epochen kulturen', 'begrndet', 'individuum', 'faktoren', 'akteure', 'zusammenhnge', 'kontext', 'ereignisse', 'vergleiche', 'epochen', 'wandel', 'fllen', 'gruppen', 'hilfe', 'begrndete']","['in der Zeit Motive und Begründungen der Handlungen einzelner Akteure und Gruppen in ihrem historischen Kontext erklären und in ihren Konsequenzen beurteilen, an Beispielen kriteriengeleitet Vergleiche zwischen verschiedenen Epochen oder Kulturen vornehmen und die Ergebnisse begründet beurteilen, mit Hilfe von Sachaussagen über historische Ereignisse und Zusammenhänge und ihre Auswirkungen auf die Gegenwart selbstständig begründete Sachurteile fällen. Orientierungskompetenz für Zeiterfahrung ihre eigenen', 'und Revolution beurteilen, Motive und Begründungen der Handlungen einzelner Akteure und Gruppen in ihrem historischen Kontext erklären und in ihren Konsequenzen beurteilen, an Beispielen kriteriengeleitet Vergleiche zwischen verschiedenen Epochen oder Kulturen vornehmen und die Ergebnisse begründet beurteilen, mit Hilfe von Sachaussagen über historische Ereignisse und Zusammenhänge und ihre Auswirkungen auf die Gegenwart selbstständig begründete Sachurteile fällen. g Die Lernenden können ihre', 'und Revolution beurteilen, Motive und Begründungen der Handlungen einzelner Akteure und Gruppen in ihrem historischen Kontext erklären und in ihren Konsequenzen beurteilen, an Beispielen kriteriengeleitet Vergleiche zwischen verschiedenen Epochen oder Kulturen vornehmen und die Ergebnisse begründet beurteilen, mit Hilfe von Sachaussagen über historische Ereignisse und Zusammenhänge und ihre Auswirkungen auf die Gegenwart selbstständig begründete Sachurteile fällen. g Die Lernenden können ihre']"
4,33,0.022510231923601638,4_englisch_musik_deutsch_grundsatzband,"['englisch', 'musik', 'deutsch', 'grundsatzband', 'gem', 'bildung kultur', 'griechisch', 'fcherbergreifenden themen', 'bezge fcherbergreifenden', 'fcherbergreifenden', 'sport', 'kunst musik', 'sozialkunde', 'themen', 'kunst', 'bezge', 'geographie', 'lernen', 'ethikunterricht', 'biologie']","['Musik: Musikkulturen der Welt entdecken - Jazz und Weltmusik Vielfalt kulturhistorischer Bezüge in ausgewählten Beispielen von Weltmusik aus verschiedenen Regionen erörtern Bezüge zu den fächerübergreifenden Themen gemäß Grundsatzband Kap. Bildung, Kultur und lebenslanges Lernen Englisch, Französisch, Spanisch, Russisch, Italienisch, Latein, Griechisch, Sozialkunde, Katholischer Religionsunterricht, Geographie, Kunst, Sport Geschlechtergleichstellung Deutsch, Englisch, Französisch, Russisch, Latein, Griechisch, Sozialkunde, Ethikunterricht, Evangelischer Religionsunterricht, Katholischer Religionsunterricht, Musik,', 'Veränderung von Bildungsmöglichkeiten und Arbeitsbedingungen, Inklusion Bezüge zu den fächerübergreifenden Themen gemäß Grundsatzband Kap. Keine Armut und kein Hunger Englisch, Französisch, Spanisch, Latein, Griechisch, Chemie, Geschichte, Katholischer Religionsunterricht, Geographie Bildung, Kultur und lebenslanges Lernen Englisch, Französisch, Spanisch, Russisch, Italienisch, Latein, Griechisch, Geschichte, Ethikunterricht, Kunst, Musik, Sport Geschlechtergleichstellung Deutsch, Englisch, Französisch, Spanisch, Italienisch, Latein, Chemie, Geschichte, Evangelischer Religionsunterricht, Katholischer Religionsunterricht, Musik, Sport', 'vs. Konstruktivismus Bezüge zu den fächerübergreifenden Themen gemäß Grundsatzband Kap. Keine Armut und kein Hunger Deutsch, Englisch, Spanisch, Russisch, Biologie, Chemie, Geschichte, Ethikunterricht, Evangelischer Religionsunterricht, Katholischer Religionsunterricht, Geographie, Informatik Bildung, Kultur und lebenslanges Lernen Deutsch, Englisch, Französisch, Spanisch, Russisch, Italienisch, Latein, Griechisch, Biologie, Geschichte, Ethikunterricht, Evangelischer Religionsunterricht, Katholischer Religionsunterricht Geographie, Informatik, Kunst, Musik, Sport Klimawandel und Klimaschutz Deutsch, Englisch, Französisch, Spanisch,']"
5,21,0.01432469304229195,5_schlern_toleranz_lesen_erworben,"['schlern', 'toleranz', 'lesen', 'erworben', 'allgemeine', 'umfasst', 'gelegenheit', 'grundstze', 'frderung', 'besonderen', 'wissenschaft kultur', 'formen', 'grenzen', 'mai', 'menschenwrde', 'wissenschaft', 'individuelle gesellschaftliche', 'fallbeispiele', 'motivation', 'fiktiver']","['Landes MecklenburgVorpommern Leistungsbewertungsverordnung - LeistBewVO M-V vom April Förderung von Schülerinnen und Schülern mit besonderen Schwierigkeiten im Lesen, im Rechtschreiben oder im Rechnen Verwaltungsvorschrift des Ministeriums für Bildung, Wissenschaft und Kultur vom Mai Allgemeine Grundsätze Leistungsbewertung umfasst mündliche, schriftliche und gegebenenfalls praktische Formen der Leistungsermittlung. Den Schülerinnen und Schülern muss im Fachunterricht die Gelegenheit dazu gegebene werden, Kompetenzen, die sie erworben', 'Landes MecklenburgVorpommern Leistungsbewertungsverordnung - LeistBewVO M-V vom April Förderung von Schülerinnen und Schülern mit besonderen Schwierigkeiten im Lesen, im Rechtschreiben oder im Rechnen Verwaltungsvorschrift des Ministeriums für Bildung, Wissenschaft und Kultur vom Mai Allgemeine Grundsätze Leistungsbewertung umfasst mündliche, schriftliche und gegebenenfalls praktische Formen der Leistungsermittlung. Den Schülerinnen und Schülern muss im Fachunterricht die Gelegenheit dazu gegeben werden, Kompetenzen, die sie erworben', 'Landes MecklenburgVorpommern Leistungsbewertungsverordnung - LeistBewVO M-V vom April Förderung von Schülerinnen und Schülern mit besonderen Schwierigkeiten im Lesen, im Rechtschreiben oder im Rechnen Verwaltungsvorschrift des Ministeriums für Bildung, Wissenschaft und Kultur vom Mai Allgemeine Grundsätze Leistungsbewertung umfasst mündliche, schriftliche und gegebenenfalls praktische Formen der Leistungsermittlung. Den Schülerinnen und Schülern muss im Fachunterricht die Gelegenheit dazu gegeben werden, Kompetenzen, die sie erworben']"
6,21,0.01432469304229195,6_zielen_interkulturellen bildung_erbe_werten,"['zielen', 'interkulturellen bildung', 'erbe', 'werten', 'lernprozesse', 'interkulturellen', 'beschftigung', 'mecklenburgvorpommern', 'architektur', 'demokratie', 'zugehrigkeit', 'geben', 'region', 'gesellschaftlichem', 'engagement', 'verbindung', 'wahrnehmung', 'gestaltung', 'orientierung', 'individuum']","['Erbe in Landschaft, Kultur und Architektur mit den Werten von Demokratie sowie den Zielen der interkulturellen Bildung zu verbinden. Diese Lernprozesse zielen auf die Beschäftigung mit Mecklenburg-Vorpommern als Migrationsgebiet, als Kultur- und Tourismusland sowie als Wirtschaftsstandort ab. Sie geben eine Orientierung für die Wahrnehmung von Originalität, Zugehörigkeit als Individuum, emotionaler und sozialer Einbettung in Verbindung mit gesellschaftlichem Engagement. Die Gestaltung des', 'Erbe in Landschaft, Kultur und Architektur mit den Werten von Demokratie sowie den Zielen der interkulturellen Bildung zu verbinden. Diese Lernprozesse zielen auf die Beschäftigung mit Mecklenburg-Vorpommern als Migrationsgebiet, als Kultur- und Tourismusland sowie als Wirtschaftsstandort ab. Sie geben eine Orientierung für die Wahrnehmung von Originalität, Zugehörigkeit als Individuum, emotionaler und sozialer Einbettung in Verbindung mit gesellschaftlichem Engagement. Die Gestaltung des', 'Erbe in Landschaft, Kultur und Architektur mit den Werten von Demokratie sowie den Zielen der interkulturellen Bildung zu verbinden. Diese Lernprozesse zielen auf die Beschäftigung mit Mecklenburg-Vorpommern als Migrationsgebiet, als Kultur- und Tourismusland sowie als Wirtschaftsstandort ab. Sie geben eine Orientierung für die Wahrnehmung von Originalität, Zugehörigkeit als Individuum, emotionaler und sozialer Einbettung in Verbindung mit gesellschaftlichem Engagement. Die Gestaltung des']"
7,18,0.01227830832196453,7_perspektiven_bereiche_thematische_medien,"['perspektiven', 'bereiche', 'thematische', 'medien', 'digitalisierung', 'grundfragen', 'raum zeit', 'generationen', 'beruf', 'politische bildung', 'verkehr', 'natur kultur', 'sprache', 'raum', 'individualitt', 'technik', 'gerechtigkeit', 'menschlichen', 'gesundheit', 'arbeit']","['Fächer bearbeitet. Bezugspunkte für die Themenfindung sind Perspektiven und thematische Bereiche. Perspektiven beinhalten Grundfragen und Grundkonstanten des menschlichen Lebens: Raum und Zeit Sprache und Denken Individualität und Sozialität Natur und Kultur Perspektiven Die thematischen Bereiche umfassen: Verkehr Arbeit Medien Beruf Kommunikation Gesundheit Kunst Umwelt Verhältnis der Generationen Wirtschaft Gerechtigkeit Technik Eine Welt Politische Bildung, Medienbildung und Digitalisierung sowie Bildung für nachhaltige', 'Fächer bearbeitet. Bezugspunkte für die Themenfindung sind Perspektiven und thematische Bereiche. Perspektiven beinhalten Grundfragen und Grundkonstanten des menschlichen Lebens: Raum und Zeit Sprache und Denken Individualität und Sozialität Natur und Kultur Perspektiven Die thematischen Bereiche umfassen: Verkehr Arbeit Medien Beruf Kommunikation Gesundheit Kunst Umwelt Verhältnis der Generationen Wirtschaft Gerechtigkeit Technik Eine Welt Politische Bildung, Medienbildung und Digitalisierung sowie Bildung für nachhaltige', 'Fächer bearbeitet. Bezugspunkte für die Themenfindung sind Perspektiven und thematische Bereiche. Perspektiven beinhalten Grundfragen und Grundkonstanten des menschlichen Lebens: Raum und Zeit Sprache und Denken Individualität und Sozialität Natur und Kultur Perspektiven Die thematischen Bereiche umfassen: Verkehr Arbeit Medien Beruf Kommunikation Gesundheit Kunst Umwelt Verhältnis der Generationen Wirtschaft Gerechtigkeit Technik Eine Welt Politische Bildung, Medienbildung und Digitalisierung sowie Bildung für nachhaltige']"
8,18,0.01227830832196453,8_lernbereich_wahlbereich_ustd_groe,"['lernbereich', 'wahlbereich', 'ustd', 'groe', 'polis', 'klassenstufe', 'lernbereiche', 'antike', 'demokratie', 'reflexions', 'rmische', 'reflexions diskursfhigkeit', 'lernbereich lngsschnitt', 'diskursfhigkeit', 'ziele', 'migration', 'geschichte', 'griechischen', 'aristokratie', 'perikles']","['treffen Ustd. Lernbereich : Hinduismus und Buddhismus Ustd. Lernbereich : Das Phänomen Liebe Ustd. Lernbereich : Reflexionen über den Tod Ustd. Lernbereiche mit Wahlcharakter Wahlbereich : Ausflug in eine fremde Kultur Wahlbereich : Das Bewusste und das Unbewusste Wahlbereich : Von Ayurveda bis Zen Klassenstufe Lernbereich : Wissenschaft, Technik und Verantwortung Ustd. Lernbereich : Religion in der Gegenwart Ustd. Lernbereich :', 'Zusammenleben im antiken Griechenland Ustd. Lernbereich : Längsschnitt: Mensch und Natur Ustd. Lernbereiche mit Wahlcharakter Wahlbereich : Hellenismus - Alexander der Große Wahlbereich : Hellenismus - Alexandria als Begegnungsstätte der Kulturen Wahlbereich : Hellenismus - Geschichten und Geschichte um Alexander Klassenstufe Lernbereich : Die römische Zivilisation und ihre prägende Wirkung Ustd. Lernbereich : Herrschaft und Lebensformen im Mittelalter Ustd. Lernbereich :', 'Hellenismus - Geschichten und Geschichte um Alexander Klassenstufe Lernbereich : Die römische Zivilisation und ihre prägende Wirkung Ustd. Lernbereich : Herrschaft und Lebensformen im Mittelalter Ustd. Lernbereich : Religionen und Kulturen im Mit- und Gegeneinander Ustd. Lernbereich : Längsschnitt: Erziehung zum Bürger Ustd. Lernbereiche mit Wahlcharakter Wahlbereich : Regionalgeschichte - Besiedlung Sachsens Wahlbereich : Regionalgeschichte - Sachsens Weg zum Kurfürstentum Wahlbereich']"
