,Topic -1 terms,Topic -1 probabilities,Topic 0 terms,Topic 0 probabilities,Topic 1 terms,Topic 1 probabilities,Topic 2 terms,Topic 2 probabilities,Topic 3 terms,Topic 3 probabilities,Topic 4 terms,Topic 4 probabilities,Topic 5 terms,Topic 5 probabilities,Topic 6 terms,Topic 6 probabilities,Topic 7 terms,Topic 7 probabilities,Topic 8 terms,Topic 8 probabilities,Topic 9 terms,Topic 9 probabilities
0,leben,0.0291,politische,0.0307,religionen,0.0538,kulturelle,0.0888,beurteilen,0.1174,englisch,0.1663,schlern,0.2058,zielen,0.3434,perspektiven,0.2048,lernbereich,0.2179,wahr,0.2759
1,welt,0.0254,geschichte,0.0296,islam,0.0422,leben,0.0744,historischen,0.0923,musik,0.1581,toleranz,0.1531,interkulturellen bildung,0.2113,bereiche,0.1633,wahlbereich,0.2094,prgung,0.2666
2,religionen,0.0222,antike,0.0273,beschreiben,0.0381,ethik,0.0618,erklren,0.0668,deutsch,0.145,lesen,0.1494,erbe,0.2058,thematische,0.1115,ustd,0.2088,nehmen,0.2402
3,aspekte,0.0176,wissenschaft,0.0247,welt,0.0308,vielfalt,0.0615,verschiedenen epochen,0.0663,grundsatzband,0.1082,erworben,0.1494,werten,0.2042,medien,0.0952,groe,0.0825,kommunikation,0.2374
4,moderne,0.0162,demokratie,0.0222,religion,0.0298,methodischdidaktische,0.0584,ergebnisse,0.0663,gem,0.1073,allgemeine,0.1475,lernprozesse,0.1954,digitalisierung,0.0897,polis,0.0819,lernenden,0.2139
5,knnen,0.016,wirtschaft,0.0219,verschiedener,0.025,methodischdidaktische hinweise,0.0584,epochen kulturen,0.0649,bildung kultur,0.1036,umfasst,0.1425,interkulturellen,0.1881,grundfragen,0.0874,klassenstufe,0.0624,verfgung,0.1574
6,natur,0.016,herrschaft,0.0212,zusammenleben,0.0231,kompetenzen methodischdidaktische,0.0559,begrndet,0.0626,griechisch,0.1035,gelegenheit,0.1369,beschftigung,0.1859,raum zeit,0.0853,lernbereiche,0.0541,wobei,0.1504
7,geschichte,0.0157,entwicklung,0.0207,weltanschauungen,0.0228,inhaltsbezogene kompetenzen,0.0554,individuum,0.0585,fcherbergreifenden themen,0.103,grundstze,0.1345,mecklenburgvorpommern,0.1773,generationen,0.0853,antike,0.0527,werthaltungen,0.1504
8,fragen,0.015,republik,0.0202,ethische,0.022,inhaltsbezogene,0.0554,faktoren,0.0569,bezge fcherbergreifenden,0.103,frderung,0.1345,architektur,0.1552,beruf,0.0827,demokratie,0.0524,einstellungen,0.1504
9,handeln,0.0148,natur,0.0187,fragen,0.0219,hinweise,0.0528,akteure,0.0555,fcherbergreifenden,0.1017,besonderen,0.1323,demokratie,0.133,politische bildung,0.0827,reflexions,0.0501,demokratischen,0.1385
10,lernen,0.0147,europischen,0.0187,verschiedener kulturen,0.0218,kulturelle vielfalt,0.0495,zusammenhnge,0.0546,sport,0.0965,wissenschaft kultur,0.1034,zugehrigkeit,0.1291,verkehr,0.0819,rmische,0.0416,berzeugungen,0.136
11,umgang,0.0143,wissenschaft kultur,0.018,kunst,0.0217,internet,0.0453,kontext,0.0535,kunst musik,0.0924,formen,0.1026,geben,0.128,natur kultur,0.0817,reflexions diskursfhigkeit,0.0405,handlungen,0.1342
12,inhalte,0.0141,politik,0.0178,entwicklung,0.0205,kulturellen,0.0426,ereignisse,0.0531,sozialkunde,0.0907,grenzen,0.1012,region,0.1269,sprache,0.0802,lernbereich lngsschnitt,0.0405,positionen,0.1342
13,auseinandersetzung,0.014,bedeutung,0.0174,auseinandersetzung,0.0202,gemeinschaft leben,0.0407,vergleiche,0.0513,themen,0.0897,mai,0.0993,gesellschaftlichem,0.1269,raum,0.0766,diskursfhigkeit,0.0394,ressourcen,0.1316
14,entwicklungen,0.0139,erkennen,0.0169,entwickeln,0.02,identifizieren,0.039,epochen,0.0509,kunst,0.0882,menschenwrde,0.0856,engagement,0.1194,individualitt,0.0766,ziele,0.039,kultureller,0.13
15,zusammenlebens,0.0134,technik,0.0167,prgenden,0.0193,welt,0.0388,wandel,0.0493,bezge,0.0857,wissenschaft,0.0841,verbindung,0.1186,technik,0.0759,migration,0.039,gegenber,0.1244
16,religion,0.0132,europa,0.0166,ber,0.0192,alltag,0.0385,fllen,0.0493,geographie,0.0812,individuelle gesellschaftliche,0.0766,wahrnehmung,0.1094,gerechtigkeit,0.0745,geschichte,0.0372,reflektieren,0.1127
17,gesellschaft kultur,0.013,mensch,0.0165,religise,0.0189,gemeinschaft,0.0372,gruppen,0.0485,lernen,0.0772,fallbeispiele,0.075,gestaltung,0.1032,menschlichen,0.0736,griechischen,0.037,interkulturelle,0.1106
18,beschreiben,0.013,beispiel,0.0162,religion kultur,0.0188,handeln,0.0319,hilfe,0.0485,ethikunterricht,0.0741,motivation,0.075,orientierung,0.1007,gesundheit,0.0735,aristokratie,0.0368,spiele,0.0852
19,dabei,0.0129,mittelalter,0.0146,christentum,0.0181,welt kultur,0.0318,begrndete,0.0482,biologie,0.0578,fiktiver,0.0735,individuum,0.1003,arbeit,0.0702,perikles,0.0368,kulturelle,0.0839
