Topic,Count,Proportion,Name,Representation,Representative_Docs
-1,395,0.31225296442687744,-1_ethik_moralischer_moral ethik_argumentation,"['ethik', 'moralischer', 'moral ethik', 'argumentation', 'moralischer argumentation', 'ethikunterricht', 'moralisch', 'prinzip', 'lernen', 'gesellschaft', 'verantwortung', 'eigenen', 'grundlagen', 'handelns', 'freiheit', 'beitrag', 'orientierung', 'wirklichkeit', 'ethisch', 'erlutern']","['nicht Nach mir die Sintflut Das macht man nicht Folge deinem Herzen Kompetenzerwartungen Die Schülerinnen und Schüler können durch Ideen und Ideologien gelenkte Wahrnehmung beschreiben und reflektieren Vernunft als Prinzip moralischer Argumentation, den eigenen Wahrnehmungsprozess kontextbezogen reflektieren Vernunft als Prinzip moralischer Argumentation, mit anderen eigene Perspektiven in Frage stellen - emotionale Grenzen akzeptieren Vernunft als Prinzip moralischer Argumentation, verschiedene Möglichkeiten der', 'im Hinblick auf einen anzustrebenden Konsens gegeneinander abwägen Folgenorientierung als Prinzip moralischer Argumentation, Verallgemeinerbarkeit als Prinzip moralischer Argumentation, Vernunft als Prinzip moralischer Argumentation, können den Argumentationsgang darstellen Vernunft als Prinzip moralischer Argumentation. inhaltsbezogene Kompetenzen methodisch-didaktische Hinweise Folgenorientierung als Prinzip moralischer Argumentation Die Schülerinnen und Schüler analysieren eine ethisch relevante Handlung bezüglich ihrer voraussichtlichen negativen und positiven Folgen, stellen das Abwägen von', 'deinem Herzen Kompetenzerwartungen Die Schülerinnen und Schüler können durch Ideen und Ideologien gelenkte Wahrnehmung beschreiben und reflektieren Vernunft als Prinzip moralischer Argumentation, den eigenen Wahrnehmungsprozess kontextbezogen reflektieren Vernunft als Prinzip moralischer Argumentation, mit anderen eigene Perspektiven in Frage stellen - emotionale Grenzen akzeptieren Vernunft als Prinzip moralischer Argumentation, verschiedene Möglichkeiten der Urteilsbegründung im Hinblick auf einen anzustrebenden Konsens gegeneinander abwägen Folgenorientierung']"
0,501,0.3960474308300395,0_ethik_recht_gerechtigkeit_glck,"['ethik', 'recht', 'gerechtigkeit', 'glck', 'werte normen', 'moralisch', 'handlungen', 'freiheit', 'kompetenz', 'unterscheiden', 'wert', 'gesellschaft', 'perspektive', 'moralischer', 'regeln', 'frage', 'guten', 'grundbegriffe', 'norm', 'gibt']","['Handlungsdruck durch Forderungen des Gewissens und der Gesellschaft und Situationen ohne unmittelbaren Handlungsdruck vor dem Hintergrund eines möglichen Sinns und gegebenen Bedingungsfaktoren eines guten Lebens Grundbegriffe der Ethik und der Moral Allgemeine Ethik Hauptphase LK Inhaltsbezogene Kompetenzen Konkretisierung und Hinweise Ethik und Moral Die Schülerinnen und Schüler unterscheiden deskriptive und normative Aussagen, Analysieren von naturalistischen Fehlschlüssen Unterscheiden der Bedeutung von sollen', 'Handlungsdruck durch Forderungen des Gewissens und der Gesellschaft und Situationen ohne unmittelbaren Handlungsdruck vor dem Hintergrund eines möglichen Sinns und gegebenen Bedingungsfaktoren eines guten Lebens Grundbegriffe der Ethik und der Moral Allgemeine Ethik Hauptphase GK Inhaltsbezogene Kompetenzen Konkretisierung und Hinweise Ethik und Moral Die Schülerinnen und Schüler unterscheiden deskriptive und normative Aussagen, Analysieren von naturalistischen Fehlschlüssen Unterscheiden der Bedeutung von sollen', 'zwischen Gerechtigkeit und Mehrheitsmeinung z. B. Mobbing siehe auch Thema Gerechtigkeit Vorschläge und Anregungen Handeln Einbringen von ethischen Problem- und Fragestellungen in Unterrichtsthemen anderer Schulfächer Grundbegriffe der Ethik und der Moral Allgemeine Ethik Hauptphase LK Literatur Bayertz, Kurt: Warum überhaupt moralisch sein München: Beck, Düwell, Marcus; Hübenthal, Christoph; Werner, Micha Hg.: Handbuch Ethik. Stuttgart: Metzler, Franzen, Henning: Ethisch urteilen. Braunschweig: Westermann,']"
1,77,0.06086956521739131,1_urteilen_eigene_bewerten_argumentationen,"['urteilen', 'eigene', 'bewerten', 'argumentationen', 'kulturellen', 'begrndet', 'zusammenhngen', 'positionen', 'argumentativ', 'entwickeln', 'historischen', 'wertvorstellungen', 'religisen zusammenhngen', 'urteilsfhigkeit', 'alltags', 'nachvollziehen', 'urteile', 'urteil', 'untersuchen', 'fremden']","['e und nachvollziehbar darstellen. Argumentieren und Urteilen ündet be lösungsorientierte Urteile zu ethischen Konflikten des Alltags entwickeln, orstellungen moralische Wertvorstellungen in ihren historischen, kulturellen und religiösen Zusammenhängen beschreiben und einordnen, moralische Wertvorstellungen in ihren historischen, kulturellen und religiösen Zusammenhängen einordnen und bewerten et nachvoll ethische Argumentationen nachvollziehen und bewerten, prüfen und unter Bezug auf erworbenes Fachwissen eigene und fremde Positionen überprüfen', 'verfügen, nd nachvollziehbar darstellen. Argumentieren und Urteilen det be lösungsorientierte Urteile zu ethischen Konflikten des Alltags entwickeln, tellungen moralische Wertvorstellungen in ihren historischen, kulturellen und religiösen Zusammenhängen beschreiben und einordnen, moralische Wertvorstellungen in ihren historischen, kulturellen und religiösen Zusammenhängen einordnen und bewerten nachvoll ethische Argumentationen nachvollziehen und bewerten, üfen und unter Bezug auf erworbenes Fachwissen eigene und fremde Positionen überprüfen und', 'erschließen, ügen, nachvollziehbar darstellen. Argumentieren und Urteilen et bewer- lösungsorientierte Urteile zu ethischen Konflikten des Alltags entwickeln, stellungen moralische Wertvorstellungen in ihren historischen, kulturellen und religiösen Zusammenhängen beschreiben und einordnen, moralische Wertvorstellungen in ihren historischen, kulturellen und religiösen Zusammenhängen einordnen und bewerten chvollzie- ethische Argumentationen nachvollziehen und bewerten, üfen und unter Bezug auf erworbenes Fachwissen eigene und fremde Positionen überprüfen und']"
2,75,0.05928853754940711,2_urteilsbildung_ethischmoralischen_absicht_sollen,"['urteilsbildung', 'ethischmoralischen', 'absicht', 'sollen', 'unterrichts', 'verschiedenen', 'ethisch', 'themen', 'frage', 'praktischer absicht', 'urteilsbildung praktischer', 'praktischer', 'situationen', 'entwickeln', 'beispielsweise', 'ethik', 'historischer', 'frage problemstellungen', 'fhigkeit', 'ethikunterrichts']","['eine zentrale Rolle. Verweise auf die Leitperspektive finden sich im Rahmen dieser Auseinandersetzung. Kompetenzen In den verschiedenen Bildungsstandards werden die prozessbezogenen Kompetenzen, die sich aus der Zielbeschreibung des Ethikunterrichts, der ethisch-moralischen Urteilsbildung in praktischer Absicht, ergeben, mit inhaltsbezogenen Kompetenzen zusammengeführt, so beispielsweise mit verschiedenen Themenfeldern oder Begründungsansätzen der Moral. Bezugspunkt für deren Auswahl bilden zum einen die Leitbegriffe Freiheit, Gerechtigkeit und', 'werden die prozessbezogenen Kompetenzen, die sich aus der Zielbeschreibung des Ethikunterrichts, der ethisch-moralischen Urteilsbildung in praktischer Absicht, ergeben, mit inhaltsbezogenen Kompetenzen zusammengeführt, so beispielsweise mit verschiedenen Themenfeldern oder Begründungsansätzen der Moral. Bezugspunkt für deren Auswahl bilden zum einen die Leitbegriffe Freiheit, Gerechtigkeit und Verantwortung und zum anderen die Lebenswelt der Schülerinnen und Schüler mit Bezug auf ethisch relevante Fragestellungen. Zusammenhang zwischen', 'werden die prozessbezogenen Kompetenzen, die sich aus der Zielbeschreibung des Ethikunterrichts, der ethisch-moralischen Urteilsbildung in praktischer Absicht, ergeben, mit inhaltsbezogenen Kompetenzen zusammengeführt, so beispielsweise mit verschiedenen Themenfeldern oder Begründungsansätzen der Moral. Bezugspunkt für deren Auswahl bilden zum einen die Leitbegriffe Freiheit, Gerechtigkeit und Verantwortung und zum anderen die Lebenswelt der Schülerinnen und Schüler mit Bezug auf ethisch relevante Fragestellungen. Zusammenhang zwischen']"
3,61,0.048221343873517786,3_religionen_weltanschauungen_religionen weltanschauungen_verantwortung,"['religionen', 'weltanschauungen', 'religionen weltanschauungen', 'verantwortung', 'ethischmoralische', 'religion', 'glck', 'ethik', 'kirche', 'welt verantwortung', 'glauben', 'glaubensgrundstze', 'bild', 'religisen', 'glauben ethos', 'handelns', 'ethos', 'mensch natur', 'religise', 'toleranz']","['prüfen BTV Formen interkulturellen und interreligiösen Dialogs PG Selbstregulation und Lernen Wahrnehmen und sich hineinversetzen , , Argumentieren und reflektieren , Beurteilen und sich entscheiden , , , Glück und Moral BKPROFIL Bild RAK Welt und Verantwortung RALE Andere Religionen und Weltanschauungen REV Religionen und Weltanschauungen RISL Gesellschaft und Geschichte RJUED HAOLAM RRK Religionen und Weltanschauungen RSYR Religionen und Weltanschauungen Erscheinungsformen', 'Geschichte RJUED HAOLAM RRK Religionen und Weltanschauungen RSYR Religionen und Weltanschauungen Wahrnehmen und sich hineinversetzen , , Argumentieren und reflektieren , Beurteilen und sich entscheiden , , , Glück und Moral BK Bild RAK Welt und Verantwortung RALE Andere Religionen und Weltanschauungen REV Religionen und Weltanschauungen RISL Gesellschaft und Geschichte RJUED HAOLAM RRK Religionen und Weltanschauungen RSYR Religionen und Weltanschauungen Ethik', 'Bild RAK Welt und Verantwortung RALE Andere Religionen und Weltanschauungen REV Religionen und Weltanschauungen RISL Gesellschaft und Geschichte RJUED HAOLAM RRK Religionen und Weltanschauungen RSYR Religionen und Weltanschauungen Ethik und Moral Glück und Moral Die Schülerinnen und Schüler können Aspekte und Vorstellungen von Glück beschreiben und den Stellenwert von Werten und Normen für das Zusammenleben darlegen. Sie können Spannungsfelder zwischen individuellem']"
4,38,0.030039525691699605,4_argumentieren reflektieren_hineinversetzen_wahrnehmen hineinversetzen_analysieren interpretieren,"['argumentieren reflektieren', 'hineinversetzen', 'wahrnehmen hineinversetzen', 'analysieren interpretieren', 'interpretieren', 'wahrnehmen', 'medial', 'hineinversetzen analysieren', 'beurteilen entscheiden', 'medial vermittelten', 'vermittelten', 'vermittelten welt', 'interpretieren argumentieren', 'entscheiden', 'glck moral', 'moral bio', 'glck', 'konfliktregelung', 'bio', 'ethischmoralische']","['Chancen und Risiken der Lebensführung Wahrnehmen und sich hineinversetzen , , Analysieren und interpretieren , , Argumentieren und reflektieren , Werte und Normen in der medial vermittelten Welt Glück und Moral BIO Ökologie GEO Analyse ausgewählter Meeres-räume Wahrnehmen und sich hineinversetzen , , Analysieren und inter-pretieren , , Argumentieren und reflektieren , Werte und Normen in der medial vermittelten Welt Glück', 'Kooperation Wahrnehmen und sich hineinversetzen , , Analysieren und interpretieren , , , , Freiheit und Verantwortung Friedliches Zusammenleben und die Bedeutung von Konflikten Handeln in der medial vermittelten Welt Ethisch-moralische Grundlagen des Handelns AES Körper und Körpergestaltungen AES Individuelle Lebensplanung GK Zusammen-leben in sozialen Gruppen GK Familie und Gesellschaft Wahrnehmen und sich hineinversetzen , , Analysieren und interpretieren , ,', 'Gesellschaft Wahrnehmen und sich hineinversetzen , , Analysieren und interpretieren , , , , Freiheit und Verantwortung Friedliches Zusammenleben und die Bedeutung von Konflikten Handeln in der medial vermittelten Welt Ethisch-moralische Grundlagen des Handelns AES Körper und Körpergestaltungen AES Individuelle Lebensplanung GK Zusammen-leben in sozialen Gruppen GK Familie und Gesellschaft Wahrnehmen und sich hineinversetzen , , Analysieren und interpretieren , ,']"
5,29,0.02292490118577075,5_erlutern_ethik natur_natur umweltschutzes_umweltschutzes,"['erlutern', 'ethik natur', 'natur umweltschutzes', 'umweltschutzes', 'umwelt', 'mediennutzung', 'gegenber', 'kompetenzerwartungen', 'aspekte', 'technik', 'positionen', 'entwicklung', 'erlutern diskutieren', 'ethischmoralischer', 'verantwortung', 'relevante', 'relevant', 'daraus', 'bne', 'probleme']","['des Natur- und Umweltschutzes Die Schülerinnen und Schüler diskutieren den moralischen Status ausgewählter Naturphänomene im Vergleich zu dem des Menschen, erläutern mögliche Grenzziehung in der Natur bzgl. der Sphäre der Moral und unterscheiden sich daraus ergebende naturethische Positionen, beschreiben naturethisch relevante Situationen und Probleme aus der Sicht verschiedener naturethischer Positionen, erläutern deren Einfluss auf moralisches Handeln gegenüber der Natur, beurteilen den', 'gibt es keine Unmoral. Sein: Die Welt Natur Ethik / Ethik des Natur- und Umweltschutzes inhaltsbezogene Kompetenzen methodisch-didaktische Hinweise Ethik des Natur- und Umweltschutzes Die Schülerinnen und Schüler diskutieren den moralischen Status ausgewählter Naturphänomene im Vergleich zu dem des Menschen, erläutern mögliche Grenzziehung in der Natur bzgl. der Sphäre der Moral und unterscheiden sich daraus ergebende naturethische Positionen, beschreiben naturethisch relevante', 'Tieren gibt es keine Unmoral. Sein: Die Welt Natur Ethik Ethik des Natur- und Umweltschutzes inhaltsbezogene Kompetenzen methodisch-didaktische Hinweise Ethik des Natur- und Umweltschutzes Die Schülerinnen und Schüler diskutieren den moralischen Status ausgewählter Naturphänomene im Vergleich zu dem des Menschen, erläutern mögliche Grenzziehung in der Natur bzgl. der Sphäre der Moral und unterscheiden sich daraus ergebende naturethische Positionen, beschreiben naturethisch relevante']"
6,28,0.022134387351778657,6_bercksichtigung_verantwortung_instanz_wesen,"['bercksichtigung', 'verantwortung', 'instanz', 'wesen', 'hinblick', 'handlung', 'gegenber', 'verantwortlichen', 'daher', 'grundlage', 'kern', 'geschieht', 'mittelpunkt', 'identitt', 'persnlicher', 'ethischmoralischer', 'stehen', 'gut bse', 'ethischer', 'aspekten']","['mit diesen Aspekten geschieht auf der Grundlage persönlicher Erfahrungen und ätze. sittliches Bewusstsein von Gut und Böse, Recht und Unrecht der Kern ethischer Identität. Die sst den Menschen zum freien, moralisch verantwortlichen Wesen werden. Verantwortung hat s, gegenüber jemandem und im Hinblick auf eine Instanz. Verantwortung schließt daher Asr Handlung und der Berücksichtigung der Handlungsfolgen ein: Ein Mensch handelt verantnter der', 'mit diesen Aspekten geschieht auf der Grundlage persönlicher Erfahrungen und ätze. sittliches Bewusstsein von Gut und Böse, Recht und Unrecht der Kern ethischer Identität. Die sst den Menschen zum freien, moralisch verantwortlichen Wesen werden. Verantwortung hat as, gegenüber jemandem und im Hinblick auf eine Instanz. Verantwortung schließt daher Asr Handlung und der Berücksichtigung der Handlungsfolgen ein: Ein Mensch handelt verantnter der', 'mit diesen Aspekten geschieht auf der Grundlage persönlicher Erfahrungen und ätze. sittliches Bewusstsein von Gut und Böse, Recht und Unrecht der Kern ethischer Identität. Die sst den Menschen zum freien, moralisch verantwortlichen Wesen werden. Verantwortung hat as, gegenüber jemandem und im Hinblick auf eine Instanz. Verantwortung schließt daher Asr Handlung und der Berücksichtigung der Handlungsfolgen ein: Ein Mensch handelt verantnter der']"
7,25,0.019762845849802372,7_dimension_wahrheit_lge_hinblick,"['dimension', 'wahrheit', 'lge', 'hinblick', 'erfahrungen', 'vorstellungen guten', 'rechtfertigen', 'dimensionen', 'normative', 'guten lebens', 'deskriptive', 'analyse', 'bereiche', 'lebens', 'handeln werte', 'lgen', 'moralisches handeln', 'vorstellungen', 'urteils', 'selbstbestimmten']","['Dimension, Sein Bereiche der Wahrnehmungs- und Verstehenskompetenz, Analyse- und Reflexionskompetenz Sie begründen und rechtfertigen ihr Denken und Urteilen im Hinblick auf ein sinnvolles Leben Glück und im Hinblick auf ein moralisch gutes Handeln: normative Dimension, Sollen Bereiche der Urteils- und Argumentationskompetenz, Diskurskompetenz Sie entwickeln so eine selbstbestimmte Persönlichkeit mit Orientierungskompetenz und der Fähigkeit zum selbstbestimmten, verantwortlichen Handeln: performative Dimension, Handeln Orientierungs-', 'Glücksethiken Vorstellungen des guten Lebens und der normativen Ethiken moralisches Handeln - Werte und Normen. Dimensionen Deskriptive Dimension: Sein Normative Dimension: Sollen Perspektiven Ich Ich und die anderen Die Welt Moralisches Handeln Werte und Normen Vorstellungen des guten Lebens Mensch sein In Gemeinschaft leben Kultur Natur Welt und Transzendenz Themen Performative Dimension: Handeln etwa in der projektförmigen Anwendung in der Lerngemeinschaft,', 'Glücksethiken Vorstellungen des guten Lebens und der normativen Ethiken moralisches Handeln - Werte und Normen. Dimensionen Deskriptive Dimension: Sein Normative Dimension: Sollen Perspektiven Ich Ich und die anderen Die Welt Moralisches Handeln Werte und Normen Vorstellungen des guten Lebens Mensch sein In Gemeinschaft leben Kultur Natur Welt und Transzendenz Themen Performative Dimension: Handeln etwa in der projektförmigen Anwendung in der Lerngemeinschaft,']"
8,21,0.016600790513833993,8_ethik_ethik moral_perspektiven_ethik ethik,"['ethik', 'ethik moral', 'perspektiven', 'ethik ethik', 'begriffe', 'vielfltige', 'philosophie', 'diskussionen', 'verwendung', 'kategorisieren', 'prfen', 'weise', 'begriffen', 'formen', 'gesellschaftlich', 'begriffe ethik', 'texten', 'metaethik', 'spannungsfeld', 'etc']","['und Problembereiche Ethik, Ethik und Moral, analysieren und reflektieren die ethische Relevanz von Handlungen und Situationen im Spannungsfeld von Faktizität und Normativität Ethik und Moral, definieren Begriffe Ethik, Ethik und Moral, prüfen die korrekte Verwendung von Begriffen in Diskussionen und Texten Ethik und Moral, kategorisieren Begriffe auf vielfältige Weise z. B. über Perspektiven auf die Welt: individuell, sozial, gesellschaftlich etc. Ethik', 'Disziplinen Ethik, Philosophie, Wissenschaft und Politik, analysieren und reflektieren die ethische Relevanz von Handlungen und Situationen im Spannungsfeld von Faktizität und Normativität Ethik und Moral, definieren Begriffe Ethik, Ethik und Moral, prüfen die korrekte Verwendung von Begriffen in Diskussionen und Texten Ethik und Moral, kategorisieren Begriffe auf vielfältige Weise z. B. über Perspektiven auf die Welt: individuell, sozial, gesellschaftlich etc. Ethik', 'Handlungen und Situationen im Spannungsfeld von Faktizität und Normativität Ethik und Moral, definieren Begriffe Ethik, Ethik und Moral, prüfen die korrekte Verwendung von Begriffen in Diskussionen und Texten Ethik und Moral, kategorisieren Begriffe auf vielfältige Weise z. B. über Perspektiven auf die Welt: individuell, sozial, gesellschaftlich etc. Ethik und Moral. Inhaltsbezogene Kompetenzen Konkretisierung und Hinweise Ethik Die Schülerinnen und Schüler unterscheiden']"
