,Topic -1 terms,Topic -1 probabilities,Topic 0 terms,Topic 0 probabilities,Topic 1 terms,Topic 1 probabilities,Topic 2 terms,Topic 2 probabilities,Topic 3 terms,Topic 3 probabilities,Topic 4 terms,Topic 4 probabilities,Topic 5 terms,Topic 5 probabilities,Topic 6 terms,Topic 6 probabilities
0,systematik,0.0673,psychologie,0.1258,positionen,0.0807,fragen,0.0809,welt,0.138,politischen,0.0854,wirtschaft,0.0879,entscheidungen,0.1971
1,beispiel,0.0596,sozialen,0.1131,urteile,0.0643,inhalte,0.0596,wissenschaft,0.1029,fhigkeit,0.075,soziale,0.0761,kologie,0.1938
2,modernen,0.0596,erkenntnisse,0.1096,rahmen,0.0586,argumentierens,0.0576,grenzen,0.0684,interessen,0.0682,gesellschaftlichen,0.0717,formulieren,0.1918
3,lernenden,0.0582,perspektive,0.1006,position,0.0534,bedeutung,0.0563,mensch,0.0678,bereitschaft,0.0628,beurteilen,0.0641,kriterien,0.1808
4,wissen,0.0526,theorien,0.0925,eigenen,0.0533,deren,0.0551,aufgabe,0.0658,fhigkeit bereitschaft,0.0609,situationen,0.0632,selbststndig,0.1734
5,begriffe,0.0526,phnomene,0.0839,rationaler,0.0531,welt,0.055,rationales,0.0609,grundlage,0.0591,probleme,0.063,konomie,0.1733
6,aristoteles,0.0526,bewltigung,0.0839,berprfen,0.0516,philosophie,0.0528,verstehen,0.0593,medien,0.0541,konomische,0.0621,wirtschaftliche,0.1714
7,philosophie,0.0493,dadurch,0.0748,reflektieren,0.0491,darin,0.0524,betrachtung,0.0575,toleranz,0.0523,auseinandersetzung,0.0602,vertreten,0.1574
8,unterschiedlichen,0.0473,lassen,0.0699,eigene position,0.047,philosophische,0.0524,fhigkeit,0.0574,mastbe,0.0521,inhalte,0.0575,sinne,0.1507
9,sowohl,0.0473,wissenschaftlichen,0.0685,begrnden,0.0452,schlern,0.0498,deren,0.0553,vertreten,0.0497,sekundarstufe,0.0556,weitgehend,0.12
10,handeln,0.0455,alltag,0.0676,verschiedene,0.0427,argumentation,0.0487,vernunft,0.055,mastbe entwickeln,0.0458,ziel,0.0553,einnehmen,0.12
11,diskurs,0.0447,grundlagen,0.0653,unterricht,0.0395,reflexion,0.0477,frage,0.047,konomischen,0.0456,sollen,0.052,standpunkt,0.0613
12,voraussetzungen,0.0447,beurteilen,0.0649,argumentativ,0.0393,ethischen,0.0459,ermglichen,0.046,eigener,0.0448,bereich,0.052,begrndet,0.0564
13,meinungen,0.0447,umgang,0.0571,perspektiven,0.0393,methodische,0.045,ethik,0.0419,rationaler,0.0436,politik,0.0509,nutzen,0.0554
14,gesellschaftliche,0.0437,handeln,0.0571,urteilen,0.039,ethikunterricht,0.0432,gehrt,0.0406,berzeugungen,0.0425,immer,0.0481,bercksichtigung,0.0553
15,gesellschaftlichen,0.0434,entscheidungen,0.0529,auseinandersetzung,0.0373,prinzip,0.0432,menschen,0.0383,gesellschaftlichen,0.0422,fach,0.046,kritische,0.0489
16,unterricht,0.0429,prozesse,0.0528,problemstellungen,0.037,ben,0.0417,neben,0.0349,reflektieren,0.0419,wirtschaftliche,0.0459,verantwortung,0.0473
17,kennen,0.0427,beziehen,0.0507,diskurses,0.0366,mensch,0.0416,geschichte,0.0345,brger,0.0392,urteilsbildung,0.0451,reflektiert,0.0442
18,psychologie,0.0418,hufig,0.0507,wirtschaft,0.0363,sollen,0.0404,handeln,0.0342,chancen,0.0392,politikunterrichts,0.0434,konomischer,0.0418
19,reflexion,0.0418,konomische,0.0503,prfen,0.0349,bezge,0.0404,wesentlich,0.0338,identitt,0.0392,politischen,0.0421,menschen,0.0417
