Topic,Count,Proportion,Name,Representation,Representative_Docs
-1,143,0.11198120595144871,-1_gewalt_auswirkungen_analysieren_kompetenzen,"['gewalt', 'auswirkungen', 'analysieren', 'kompetenzen', 'anhand', 'politische', 'welt', 'folgen', 'verschiedene', 'ursachen auswirkungen', 'erkennen', 'soziale', 'untersuchen', 'entwicklung', 'kologische', 'deutschland', 'gesellschaft', 'erscheinungsformen', 'bezge', 'erarbeiten']","['einem Kummerkasten z. B. Ausübung von Macht genus proximum gegen den Willen des anderen differentia specifica z. B. physische, psychische, strukturelle, verbale Gewalt anhand von geeigneten Bildern, Text- oder Filmausschnitten Ursachen der Gewalt z. B. mit Hilfe von Aggressionstheorien analysieren Sein: Ich und die anderen In Gemeinschaft leben Ethik / Gewalt und Gewaltverzicht inhaltsbezogene Kompetenzen methodisch-didaktische Hinweise Beurteilen von Präventionsmaßnahmen aus', 'Gewalt, Gewalt und gesellschaftliches Zusammenleben. inhaltsbezogene Kompetenzen methodisch-didaktische Hinweise Gewalt Die Schülerinnen und Schüler beschreiben ihre Erfahrungen mit Gewalt, definieren den Begriff Gewalt, charakterisieren verschiedene Formen von Gewalt, analysieren die Ursachen für Gewalt, Sammeln anonymer Erfahrungsberichte in einem Kummerkasten z. B. Ausübung von Macht genus proximum gegen den Willen des anderen differentia specifica z. B. physische, psychische, strukturelle, verbale Gewalt anhand', 'Gewalt, Gewalt und gesellschaftliches Zusammenleben. inhaltsbezogene Kompetenzen methodisch-didaktische Hinweise Gewalt Die Schülerinnen und Schüler beschreiben ihre Erfahrungen mit Gewalt, definieren den Begriff Gewalt, charakterisieren verschiedene Formen von Gewalt, analysieren die Ursachen für Gewalt, Sammeln anonymer Erfahrungsberichte in einem Kummerkasten z. B. Ausübung von Macht genus proximum gegen den Willen des anderen differentia specifica z. B. physische, psychische, strukturelle, verbale Gewalt anhand']"
0,785,0.6147220046985121,0_folgen_auswirkungen_analysieren_deutschland,"['folgen', 'auswirkungen', 'analysieren', 'deutschland', 'ursachen folgen', 'akteure', 'politische', 'konflikte', 'gesellschaft', 'entwicklung', 'gesellschaftliche', 'dar', 'historischer', 'formen', 'interessen', 'sachkompetenz', 'wandel', 'historische', 'beispiel', 'benennen']","['und Grenzen der Friedenssicherung und Konfliktbewältigung durch UNO, NATO, EU, Bundeswehr und zivilgesellschaftliche Akteure, erläutern die Reformation im Hinblick auf ihre Folgen für Gesellschaft und Kirche, erklären religiöse und politische Ursachen sowie gesellschaftliche und ökonomische Folgen des Dreißigjährigen Krieges und des Westfälischen Friedens, unterscheiden zwischen Anlass und Ursachen des Ersten Weltkriegs, erläutern Sichtweisen politisch verantwortlicher Akteure auf den Verlauf und die', 'Dimensionen und Auswirkungen der Globalisierung Institutionen zur Gestaltung der ökonomischen Dimension der Globalisierung Globalisierungskritik Global Governance Internationale Wirtschaftsbeziehungen Wirtschaftsstandort Deutschland SACHKOMPETENZ Die Schülerinnen und Schüler unterscheiden und analysieren beispielsbezogen Erscheinungsformen, Ursachen und Strukturen internationaler Konflikte, Krisen und Kriege, erläutern an einem Fallbeispiel die Bedeutung der Grund- und Menschenrechte sowie der Demokratie im Rahmen der Globalisierung, analysieren politische, gesellschaftliche, ökologische und wirtschaftliche', 'Folgen dar, erläutern Voraussetzungen, Gründe und Folgen der von Europa ausgehenden Entdeckungsreisen und Eroberungen, erläutern die Reformation im Hinblick auf ihre Folgen für Kirche und Gesellschaft, erklären religiöse und politische Ursachen sowie gesellschaftliche und ökonomische Folgen des Dreißigjährigen Krieges und des Westfälischen Friedens. Urteilskompetenz Die Schülerinnen und Schüler beurteilen die Auswirkungen von Innovationen und Technik u.a. Buchdruck auf politische und gesellschaftliche']"
1,87,0.06812842599843383,1_genetische_variabilitt_fortpflanzung_selektion,"['genetische', 'variabilitt', 'fortpflanzung', 'selektion', 'organismen', 'evolution', 'lebewesen', 'ursache', 'evolutive', 'information', 'lernenden knnen', 'menschen', 'abstammung', 'entwicklung', 'zusammen', 'fhrt', 'lernenden', 'genetischer', 'innerhalb', 'wichtige']","['Information durch Fortpflanzung sind die Grundlage für evolutive Entwicklung. Sexuelle Fortpflanzung führt zur Rekombination von genetischem Material und erhöht die genetische Variation. Zusammen mit Selektion ist genetische Variation eine wichtige Ursache für Artwandel. Innerhalb dieses Basiskonzeptes gibt es wesentliche Prinzipien, z. B. Zelldifferenzierung, Reproduktion, Selektion. Naturwissenschaftliche Denk- und Arbeitsweisen Naturwissenschaften sind nicht nur durch ihre Inhalte gekennzeichnet, sondern auch durch ihre', 'Information durch Fortpflanzung sind die Grundlage für evolutive Entwicklung. Sexuelle Fortpflanzung führt zur Rekombination von genetischem Material und erhöht die genetische Variation. Zusammen mit Selektion ist genetische Variation eine wichtige Ursache für Artwandel. Innerhalb dieses Basiskonzeptes gibt es wesentliche Prinzipien, zum Beispiel Zelldifferenzierung, Reproduktion, Selektion. Dieses Basiskonzept hilft unter anderem beim Verständnis der Entstehung des Lebens und der Humangenetik, der homologen', 'Information durch Fortpflanzung sind die Grundlage für evolutive Entwicklung. Sexuelle Fortpflanzung führt zur Rekombination von genetischem Material und erhöht die genetische Variation. Zusammen mit Selektion ist genetische Variation eine wichtige Ursache für Artwandel. Innerhalb dieses Basiskonzeptes gibt es wesentliche Prinzipien, z. B. Zelldifferenzierung, Reproduktion, Selektion. Im Kompetenzbereich Sachkompetenz werden das Wissen und die Fähigkeiten der Schülerinnen und Schüler bezüglich konkreter biologischer']"
2,77,0.060297572435395456,2_behandlung_kommunikation_biodiversitt_wirkung,"['behandlung', 'kommunikation', 'biodiversitt', 'wirkung', 'symptome', 'ursachen symptome', 'menschlichen', 'prvention', 'bewertung', 'erkenntnisgewinnung', 'ursache', 'funktion', 'nutzung', 'ursache wirkung', 'nachhaltige', 'hinweise anregungen', 'anregungen', 'ursachewirkungszusammenhnge', 'verhaltensweisen', 'hinweise']","['und ezifischen Verhaltensweisen aus der Tierwelt illustrieren die Kommunikation zwischen emente der menschlichen Kommunikation zeigen sich im Zusammenhang mit sozialen nd dem Sexualverhalten. Vergleichen von Phänomenen und Vorgängen Unterscheidung von Ursache und Wirkung Entwicklung von Fragestellungen und Hypothesen Kommunikation Interpretation von Beobachtungen, Abbildungen und Daten Bewertung Bewerten von Einflüssen auf die Gesundheit und Leistungsfähigkeit me und ihre spezifischen Funktionen vermitteln ein', 'und Vergleichen von Phänomenen ezifischen Verhaltensweisen aus der Tierwelt illustrieren die Kommunikation zwischen emente der menschlichen Kommunikation zeigen sich im Zusammenhang mit sozialen nd dem Sexualverhalten. und Vorgängen Unterscheidung von Ursache und Wirkung Entwicklung von Fragestellungen und Hypothesen Kommunikation Interpretation von Beobachtungen, Abbildungen und Daten Bewertung Bewerten von Einflüssen auf die Gesundheit und Leistungsfähigkeit me und ihre spezifischen Funktionen vermitteln ein', 'und ezifischen Verhaltensweisen aus der Tierwelt illustrieren die Kommunikation zwischen mente der menschlichen Kommunikation zeigen sich im Zusammenhang mit sozialen d dem Sexualverhalten. Vergleichen von Phänomenen und Vorgängen Unterscheidung von Ursache und Wirkung Entwicklung von Fragestellungen und Hypothesen Kommunikation Interpretation von Beobachtungen, Abbildungen und Daten Bewertung Bewerten von Einflüssen auf die Gesundheit und Leistungsfähigkeit me und ihre spezifischen Funktionen vermitteln ein']"
3,57,0.04463586530931871,3_iii_zusammenhang_sachverhalte_sachverhalt,"['iii', 'zusammenhang', 'sachverhalte', 'sachverhalt', 'begrnden', 'angst', 'darstellung', 'identifizieren', 'bestimmten', 'beispiele', 'materialien', 'zusammenhnge', 'gesichtspunkten', 'aufzeigen', 'eigene', 'urteile', 'aussagen', 'sttzen', 'verstndlich', 'interpretieren']","['II - III Einen Zusammenhang, einen Sachverhalt oder die eigene Position umfassend und begründet ausführen p derungsbereiche Definitionen Erklären II - III Sachverhalte in einen Zusammenhang stellen und Hintergründe bzw. Ursachen aufzeigen Begründen II - III Sachaussagen, Thesen, Urteile usw. durch geeignete Beispiele stützen und zu nachvollziehbaren Argumenten verarbeiten Erörtern Diskutieren III Ein Bewertungsproblem erfassen, unterschiedliche Positionen auf ihre Stichhaltigkeit und', 'Anforderungsbereiche Definitionen Entfalten II - III Einen Zusammenhang, einen Sachverhalt oder die eigene Position umfassend und begründet ausführen Erklären II - III Sachverhalte in einen Zusammenhang stellen und Hintergründe bzw. Ursachen aufzeigen Begründen II - III Sachaussagen, Thesen, Urteile usw. durch geeignete Beispiele stützen und zu nachvollziehbaren Argumenten verarbeiten Erörtern Diskutieren III Ein Bewertungsproblem erfassen, unterschiedliche Positionen auf ihre Stichhaltigkeit und', 'Anforderungsbereiche Definitionen Entfalten II - III Einen Zusammenhang, einen Sachverhalt oder die eigene Position umfassend und begründet ausführen Erklären II - III Sachverhalte in einen Zusammenhang stellen und Hintergründe bzw. Ursachen aufzeigen Begründen II - III Sachaussagen, Thesen, Urteile usw. durch geeignete Beispiele stützen und zu nachvollziehbaren Argumenten verarbeiten Erörtern Diskutieren III Ein Bewertungsproblem erfassen, unterschiedliche Positionen auf ihre Stichhaltigkeit und']"
4,25,0.01957713390759593,4_geeignete_daten_modelle_interpretieren,"['geeignete', 'daten', 'modelle', 'interpretieren', 'beobachten', 'fragestellungen', 'beim', 'digitaler', 'ursachewirkungsbeziehungen', 'ziehen', 'modellen', 'ordnen', 'experimenten', 'formulieren', 'auswertung', 'sachverhalte', 'ursache', 'ursache wirkung', 'fhren', 'ergebnisse']","['Untersuchungen durch und protokollieren diese fachgerecht, interpretieren ausgewählte Daten aus Experimenten und Quellen und ziehen geeignete Schlussfolgerungen, erörtern die Genauigkeit von Untersuchungsergebnissen, beachten Sicherheits- und Umweltaspekte beim Experimentieren, unterscheiden zwischen Ursache und Wirkung, entwerfen geeignete Modelle, um fachliche Fragen zu klären, wenden geeignete Modelle zur Erarbeitung und Veranschaulichung von Zusammenhängen an, analysieren Sachverhalte mit Modellen, prüfen und beurteilen die Anwendbarkeit und', 'diese fachgerecht, interpretieren ausgewählte Daten aus Experimenten und Quellen und ziehen geeignete Schlussfolgerungen, gege benenfalls durch Mathematisierung, erörtern die Genauigkeit von Untersuchungsergebnissen, beachten Sicherheits- und Umweltaspekte beim Experimentieren, unterscheiden zwischen Ursache und Wirkung, entwerfen geeignete Modelle, um fachliche Fragen zu klären, wenden geeignete Modelle zur Erarbeitung und Veranschaulichung von Zusammenhängen an, analysieren Sachverhalte und dynamische Prozesse mit Hilfe von Modellen, prüfen', 'und protokollieren diese fachgerecht, interpretieren Daten aus Experimenten und Quellen und ziehen geeignete Schlussfolgerungen, auch durch Mathematisierung, erörtern die Genauigkeit von Untersuchungsergebnissen, beachten Sicherheits- und Umweltaspekte beim Experimentieren, unterscheiden zwischen Ursache und Wirkung, entwerfen geeignete Modelle, um fachliche Fragen zu klären, wenden geeignete Modelle zur Erarbeitung und Veranschaulichung von Zusammenhängen an, analysieren Sachverhalte und dynamische Prozesse mit Hilfe von Modellen, prüfen']"
5,21,0.01644479248238058,5_differenzierte_nutzen_zeigen_auseinandersetzung,"['differenzierte', 'nutzen', 'zeigen', 'auseinandersetzung', 'darstellungen', 'quellen', 'themen', 'politische gesellschaftliche', 'dabei', 'historischen', 'politische', 'gesellschaftliche', 'weitgehend', 'quellen darstellungen', 'ursachen folgen', 'komplexe', 'zeit', 'formulieren', 'vielfalt', 'folgen']","['Auswirkungen der weltanschaulichen Orientierung von Staaten auf die Lebenswelt ihrer Bürgerinnen und Bürger zu beschreiben. erklären politische und gesellschaftliche Prozesse der Zeit zwischen und multikausal, indem sie kurz- und langfristige Ursachen und Folgen berücksichtigen. Dabei formulieren sie differenzierte und problembewusste Argumentationen, die eine weitgehend selbständige Auseinandersetzung mit historischen Themen zeigen. Sie nutzen eine breite Vielfalt auch umfangreicherer komplexer Quellen und Darstellungen,', 'Folgen der NS-Diktatur auseinander. Sie nutzen ihre Erkenntnisse, um den zentralen Stellenwert der Menschenrechte wertzuschätzen. erklären politische und gesellschaftliche Prozesse der Zeit zwischen und multikausal, indem sie kurz- und langfristige Ursachen und Folgen berücksichtigen. Dabei formulieren sie differenzierte und problembewusste Argumentationen, die eine weitgehend selbständige Auseinandersetzung mit historischen Themen zeigen. Sie nutzen eine breite Vielfalt auch umfangreicherer komplexer Quellen und Darstellungen,', 'und Gegenwart an, um die historische Errungenschaft von Grundrechten und politischen Mitbestimmungsmöglichkeiten wertzuschätzen. erklären politische und gesellschaftliche Prozesse der Zeit zwischen und den er-Jahren multikausal, indem sie kurz- und langfristige Ursachen und Folgen berücksichtigen. Dabei formulieren sie differenzierte und problembewusste Argumentationen, die eine weitgehend selbständige Auseinandersetzung mit historischen Themen zeigen. Sie nutzen eine breite Vielfalt auch umfangreicherer komplexer Quellen und Darstellungen,']"
6,21,0.01644479248238058,6_jugendlichen_formen_beschreiben ursachen_einfluss,"['jugendlichen', 'formen', 'beschreiben ursachen', 'einfluss', 'lebensgestaltung', 'soziale', 'ursachen formen', 'sozialer', 'vielfalt', 'vielfltigen', 'dar', 'gesellschaft', 'erlutern mglichkeiten', 'methodenkompetenz', 'prinzipien', 'mobbing', 'aufgaben', 'sozialen', 'sachkompetenz', 'manahmen']","['Prinzipien des Jugendstrafrechts Sachkompetenz Die Schülerinnen und Schüler erklären den Einfluss sozialer Erwartungen auf die Identitätsbildung von Jugendlichen, beschreiben die Vielfalt der Wertorientierungen von Jugendlichen, erläutern Möglichkeiten sozialen Engagements, beschreiben Ursachen und Formen von Jugendkriminalität, stellen Ziele und Aufgaben des Jugendstrafrechts dar. Urteilskompetenz Die Schülerinnen und Schüler beurteilen die Herausforderungen und Chancen einer vielfältigen Gesellschaft Diversität, beurteilen die Bedeutung digitaler Medien', 'und der Erde Sachkompetenz Die Schülerinnen und Schüler erklären den Einfluss sozialer Erwartungen auf die Identitätsbildung von Jugendlichen, beschreiben die Vielfalt der Wertorientierungen von Jugendlichen, erläutern Möglichkeiten sozialen Engagements, beschreiben Ursachen und Formen von Jugendkriminalität, stellen Ziele und Aufgaben des Jugendstrafrechts dar, gliedern städtische Räume nach ausgewählten Merkmalen, stellen Ursachen des Wachsens und Schrumpfens von Städten sowie daraus resultierende Folgen dar,', 'und der Erde Sachkompetenz Die Schülerinnen und Schüler erklären den Einfluss sozialer Erwartungen auf die Identitätsbildung von Jugendlichen, beschreiben die Vielfalt der Wertorientierungen von Jugendlichen, erläutern Möglichkeiten sozialen Engagements, beschreiben Ursachen und Formen von Jugendkriminalität, stellen Ziele und Aufgaben des Jugendstrafrechts dar, gliedern städtische Räume nach ausgewählten Merkmalen, stellen Ursachen des Wachsens und Schrumpfens von Städten sowie daraus resultierende Folgen dar,']"
7,21,0.01644479248238058,7_beurteilungskompetenz_methodenkompetenz_folgen_anhand,"['beurteilungskompetenz', 'methodenkompetenz', 'folgen', 'anhand', 'dar', 'europischen', 'analysieren anhand', 'deutsche', 'stellen ursachen', 'strategien', 'dar methodenkompetenz', 'grafisch dar', 'grafisch', 'verlauf', 'manahmen', 'wirtschaftliche', 'ursachen folgen', 'leistungskurs', 'niveau', 'deren folgen']","['US-Dollars und des Euros Methodenkompetenz, unterscheiden zwischen der Preisnotierung und der Mengennotierung Beurteilungskompetenz, stellen die Kursbildung in Preis- und Mengennotierung am Beispiel des USDollars und des Euros grafisch dar Methodenkompetenz, Ursachen und Folgen von Wechselkursschwankungen beschreiben wechselkursbeeinflussende Faktoren. erläutern wirtschaftliche Einflussfaktoren auf das Devisenangebot und die Devisennachfrage anhand von Fachliteratur und statistischem Zahlenmaterial Beurteilungskompetenz, Methodenkompetenz, stellen die Wechselkursbildung bei Verschiebungen der', 'die offizielle Legitimation der Reparationszahlungen von den tatsächlichen Ursachen der interalliierten Verschuldung Beurteilungskompetenz, erläutern wirtschaftliche und politische Folgen der Reparationszahlungen Beurteilungskompetenz, Die deutsche Inflation und Währungsreform erläutern den Inflationsbegriff, stellen Ursachen und den Verlauf der Inflation dar, analysieren anhand von Texten die Ursachen der Inflation Methodenkompetenz, erläutern das Entstehen der Hyperinflation und deren Folgen. stellen einen Ursache-Wirkungszusammenhang anhand der Fisherschen Verkehrsgleichung', 'Beurteilungskompetenz, erläutern wirtschaftliche und politische Folgen der Reparationszahlungen Beurteilungskompetenz, Die deutsche Inflation und Währungsreform erläutern den Inflationsbegriff, stellen Ursachen und den Verlauf der Inflation dar, analysieren anhand von Texten die Ursachen der Inflation Methodenkompetenz, erläutern das Entstehen der Hyperinflation und deren Folgen. stellen einen Ursache-Wirkungszusammenhang anhand der Fisherschen Verkehrsgleichung des Geldes her Methodenkompetenz. Wirtschaftsgeschichte der Weimarer Republik Wirtschaftslehre Hauptphase LK Sachkompetenz']"
8,20,0.015661707126076743,8_sozialverhalten_evolution_exogene_fitness,"['sozialverhalten', 'evolution', 'exogene', 'fitness', 'endogene', 'reproduktive fitness', 'reproduktive', 'verhalten', 'menschen', 'kostennutzenanalyse', 'wert', 'kulturelle', 'the', 'adaptiver', 'adaptiver wert', 'heutigen', 'aggression', 'wert verhalten', 'information', 'evolutionstheorie']","['und Vernetzungen - Leitthema , Pflichtbaustein: Vielfalt und Vererbung - Leitthema , Pflichtbaustein: Umweltfaktoren, Ressourcen und Populationen Verhalten als Ergebnis von Evolution - Verhaltensökologie Grund- und Leistungsfach Leistungsfach Grundlagen und Ursachen von Verhalten adaptiver Wert von Verhalten - Verhaltensweisen und reproduktive Fitness - Kosten-Nutzen-Analyse proximate und ultimate Erklärungsformen exogene und endogene Verhaltensursachen Kulturelle Evolution Werkzeuggebrauch Sprachentwicklung Sozialverhalten Sozialverhalten bei Primaten Kooperation', 'von Verhalten, Kosten-Nutzen-Analyse, reproduktive Fitness, Koevolution, Abgrenzung von nicht-naturwissenschaftlichen Vorstellungen Stammbäume und Verwandtschaft: Artbildung, Biodiversität, populationsgenetischer Artbegriff, Isolation, molekularbiologische Homologien, ursprüngliche und abgeleitete Merkmale Sozialverhalten bei Primaten: exogene und endogene Ursachen, Fortpflanzungsverhalten Evolution des Menschen und kulturelle Evolution: Ursprung, Fossilgeschichte, Stammbäume und Verbreitung des heutigen Menschen, Werkzeuggebrauch, Sprachentwicklung Fachliche Verfahren PCR Gelelektrophorese Gentechnik: Veränderung und Einbau von DNA, Gentherapeutische Verfahren Sachkompetenz', 'Fitness, Isolation, Drift, Artbildung, Biodiversität, Koevolution, populationsgenetischer Artbegriff Synthetische Evolutionstheorie, Abgrenzung von nicht-naturwissenschaftlichen Vorstellungen Stammbäume: ursprüngliche und abgeleitete Merkmale proximate exogen und endogen und ultimate adaptiver Wert für die Fitnessmaximierung Ursachen von Verhalten Prinzip, adaptiver Wert von Verhalten: reproduktive Fitness, Kosten-Nutzen-Analyse erhöhtes Niveau Leistungskurs Evolution des Menschen: Ursprung, Fossilgeschichte, hypothetische Stammbäume und Verbreitung des heutigen Menschen kulturelle Evolution: Werkzeuggebrauch, Sprachentwicklung Sozialverhalten']"
