,text_excerpt,search_term,match_term,state,school type,grade,year,subject,doc_id,bertopic_topic
105,"Krankheit, Tod für das eigene und für menschliches Leben allgemein, erörtern kriteriengeleitet Fragen hinsichtlich Ursprung und Grenzen des Lebens. Inhaltsfeld : Menschliche Erkenntnis Inhaltliche Schwerpunkte: - Realität und Virtualität - Vorurteil, Urteil, Wissen Sachkompetenz Die Schülerinnen und Schüler unterscheiden zwischen Wirklichkeit und medialer Realität, benennen Chancen und Herausforderungen von Virtualität, erläutern die Entstehung und Verbreitung von Vorurteilen, entwickeln Lösungsansätze zum Abbau",Vorurteil,Vorurteil,NRW,,Sek1,2024,"Ethik, Philo",105,2
106,"und Schüler begründen Urteile unter kritischer Berücksichtigung von Quellen, erörtern die Bedeutung von Meinungsverstärkern u. a. Peergroup, digitale Filterblasen auf Wahrnehmung und Handeln in der Welt, erörtern das Verhältnis von Vorurteil, Urteil und Wissen, erörtern eine mögliche Beeinflussung von Wahrnehmungs- und Erkenntnisprozessen. Lernerfolgsüberprüfung und Leistungsbewertung Die rechtlich verbindlichen Grundsätze der Leistungsbewertung sind im Schulgesetz SchulG sowie in der Ausbildungs- und Prüfungsordnung",Vorurteil,Vorurteil,NRW,,Sek1,2024,"Ethik, Philo",106,2
107,"Realität und Virtualität - Vorurteil, Urteil, Wissen Sachkompetenz Die Schülerinnen und Schüler unterscheiden zwischen Wirklichkeit und medialer Realität, benennen Chancen und Herausforderungen von Virtualität, erläutern die Entstehung und Verbreitung von Vorurteilen, entwickeln Lösungsansätze zum Abbau von Vorurteilen, beschreiben mögliche Einflüsse auf Wahrnehmungs- und Erkenntnisprozesse. Urteilskompetenz Die Schülerinnen und Schüler begründen Urteile unter kritischer Berücksichtigung von Quellen, erörtern die Bedeutung von Meinungsverstärkern",Vorurteil,Vorurteilen,NRW,,Sek1,2024,"Ethik, Philo",107,2
108,"Wissen Sachkompetenz Die Schülerinnen und Schüler unterscheiden zwischen Wirklichkeit und medialer Realität, benennen Chancen und Herausforderungen von Virtualität, erläutern die Entstehung und Verbreitung von Vorurteilen, entwickeln Lösungsansätze zum Abbau von Vorurteilen, beschreiben mögliche Einflüsse auf Wahrnehmungs- und Erkenntnisprozesse. Urteilskompetenz Die Schülerinnen und Schüler begründen Urteile unter kritischer Berücksichtigung von Quellen, erörtern die Bedeutung von Meinungsverstärkern u. a. Peergroup, digitale Filterblasen auf",Vorurteil,Vorurteilen,NRW,,Sek1,2024,"Ethik, Philo",108,2
313,"Ausgrenzung, Diskriminierung, Konflikte, Gewalt diskutieren Möglichkeiten und Voraussetzungen eines toleranten Zusammenlebens. Minimalkonsens grundlegender Wertvorstellungen Informationen über andere Religionen und Kulturen, interkulturelle Begegnungen infolge von Migration, Fluchtursachen ... Grundbegriffe: Klischee, Toleranz, Vorurteil Inhaltsbezogener Kompetenzbereich: Fragen nach Orientierungsmöglichkeiten Leitthema: Aspekte von Religionen und Weltanschauungen Erwartete Kompetenzen am Ende von Schuljahrgang Mögliche Inhalte für den Kompetenzerwerb Die Schülerinnen und Schüler ... arbeiten Gottesvorstellungen in",Vorurteil,Vorurteil,Niedersachsen,Oberschule.pdf,,,"Ethik, Philo",313,2
314,die verbindlichen Grundbegriffe Schuljahrgänge und Schuljahrgänge und Schuljahrgänge und Erfolg/Misserfolg Familienformen Freundschaft glückliches Leben das Göttliche Goldene Regel Idol Klischee Mobbing Monotheismus/Polytheismus Naturwissenschaft Normen Religiosität Ritual Schöpfung Toleranz Verantwortungsbewusstsein Vorbild Vorurteil Werte Ethik Geschlechterrolle Grundbedürfnisse Initiationsritus Konflikt Konvention Krise Liebe Menschenbild Menschenrechte Menschenwürde Mobbing Orientierung Prävention Selbstbestimmung Selbstwertgefühl Sexualität soziale Rolle Sucht Weltanschauung Weltbild Endlichkeit Erkennen Ethik Gender/Sex Gewalt Glauben/Meinen/Wissen Glück,Vorurteil,Vorurteil,Niedersachsen,Oberschule.pdf,,,"Ethik, Philo",314,1
315,"Schüler also dazu auf, sich eigene und ihnen begegnende Wahrheits- und Wirklichkeitsvorstellungen bewusst zu machen und die Voraussetzungen ihrer Urteile über Wirklichkeit zu reflektieren. Kritisch hinterfragen die Schülerinnen und Schüler Vorurteile und Klischees und erweitern durch die Auseinandersetzung mit unbekannten Lebens- und Sinnentwürfen ihr Fremdverstehen und ihre Fähigkeit zur Perspektivenübernahme. Sie prüfen den Inhalt, den Anspruch und die Tragweite von Menschenrechten",Vorurteil,Vorurteile,Niedersachsen,Oberschule.pdf,,,"Ethik, Philo",315,2
316,"... beschreiben unterschiedliche Formen der Lebensgestaltung. verschiedene Interessen, unterschiedliche Herkunft und Sitten, auch in der Folge von Migration Kleidung, Körpersprache, Mimik, Sprachstil, Umgangsformen, Temperament, auffällige Merkmale benennen Beispiele für gängige Vorurteile und Klischees. Vorurteile und Klischees bezogen auf Aussehen, Geschlechterrollen, Lebensalter, Religionszugehörigkeit, soziale und ethnische Herkunft Klischees und Stereotype in den Medien erläutern Ursachen und Folgen von Vorurteilen. Unkenntnis, Desinteresse, Intoleranz,",Vorurteil,Vorurteile,Niedersachsen,Oberschule.pdf,,,"Ethik, Philo",316,3
317,"Formen der Lebensgestaltung. verschiedene Interessen, unterschiedliche Herkunft und Sitten, auch in der Folge von Migration Kleidung, Körpersprache, Mimik, Sprachstil, Umgangsformen, Temperament, auffällige Merkmale benennen Beispiele für gängige Vorurteile und Klischees. Vorurteile und Klischees bezogen auf Aussehen, Geschlechterrollen, Lebensalter, Religionszugehörigkeit, soziale und ethnische Herkunft Klischees und Stereotype in den Medien erläutern Ursachen und Folgen von Vorurteilen. Unkenntnis, Desinteresse, Intoleranz, Unsicherheit, Schwarz-Weiß-Denken, Stärkung",Vorurteil,Vorurteile,Niedersachsen,Oberschule.pdf,,,"Ethik, Philo",317,3
318,"... untersuchen geschlechtsspezifische Rollenerwartungen im Bereich von Liebe und Sexualität und setzen sich mit diesen auseinander. vermeintlich typisch männliche bzw. typisch weibliche Eigenschaften und Vorstellungen, unterschiedliche Kommunikationsformen, Rollenverhalten der Geschlechter, Vorurteile gegenüber Homosexualität Sexualität und Rollenklischees in den Medien diskutieren Möglichkeiten und Grenzen sexueller Selbstbestimmung in Vergangenheit und Gegenwart. Konventionen im historischen Vergleich Liebe und Sexualität im Spannungsfeld von Partnerwahl und",Vorurteil,Vorurteile,Niedersachsen,Oberschule.pdf,,,"Ethik, Philo",318,1
