Topic,Count,Proportion,Name,Representation,Representative_Docs
-1,569,0.26651053864168617,-1_normen_werte normen_handeln_knnen,"['normen', 'werte normen', 'handeln', 'knnen', 'daten', 'regeln', 'formulieren', 'unterricht', 'beitrag', 'erkennen', 'auseinandersetzung', 'fach', 'kompetenzen', 'diskutieren', 'gerechtigkeit', 'dabei', 'fach werte', 'entwicklung', 'schuljahrgnge', 'erklren']","['kritisches, differenziertes Urteilsvermögen und verantwortungsvolles, prosoziales Handeln von großer Bedeutung. In diesem Sinne leistet das Fach Werte und Normen zusätzlich einen wichtigen Beitrag zur Medienbildung. Werteorientierung Der Unterricht im Fach Werte und Normen strebt das übergeordnete Ziel an, dass die Schülerinnen und Schüler gesellschaftliche und persönliche Herausforderungen unter den Gesichtspunkten eines guten und gerechten Lebens, der Freiheit und Verantwortung, der Pluralität', 'kritisches, differenziertes Urteilsvermögen und verantwortungsvolles, prosoziales Handeln von großer Bedeutung. In diesem Sinne leistet das Fach Werte und Normen zusätzlich einen wichtigen Beitrag zur Medienbildung. Werteorientierung Der Unterricht im Fach Werte und Normen strebt das übergeordnete Ziel an, dass die Schülerinnen und Schüler gesellschaftliche und persönliche Herausforderungen unter den Gesichtspunkten eines guten und gerechten Lebens, der Freiheit und Verantwortung, der Pluralität', 'prosoziales Handeln von großer Bedeutung. In diesem Sinne leistet das Fach Werte und Normen zusätzlich einen wichtigen Beitrag zur Medienbildung. Werteorientierung in lebensanschaulichen und religiösen Diskursen Der Unterricht im Fach Werte und Normen strebt das übergeordnete Ziel an, dass die Schülerinnen und Schüler gesellschaftliche und persönliche Herausforderungen unter den Gesichtspunkten des guten und gerechten Lebens, der Freiheit und Verantwortung, der Pluralität']"
0,1059,0.4960187353629977,0_normen_werte normen_ethik_knnen,"['normen', 'werte normen', 'ethik', 'knnen', 'handeln', 'reflektieren', 'gerechtigkeit', 'leben', 'gesellschaft', 'welt', 'eigene', 'kompetenzen', 'verantwortung', 'fach', 'moralische', 'freiheit', 'wertvorstellungen', 'erkennen', 'diskutieren', 'sollen']","['Ethik III WM Angewandte Ethik III WM Eudaimonistische Ethik III WM Gerechtigkeit IV PM Brücken in eine friedliche Zukunft IV WM Herausforderungen im Umgang mit Künstlicher Intelligenz Werte und Normen Werte und Normen in unserem Leben Wertekonflikte Selbstbestimmung, Verantwortung und Pflicht Beitrag zur Leitperspektive W: Die Schülerinnen und Schüler prüfen eigene und fremde Werte und Normen sowie Wertorientierungen, die Entscheidungen und', 'Ethik III WM Angewandte Ethik III WM Eudaimonistische Ethik III WM Gerechtigkeit IV PM Brücken in eine friedliche Zukunft IV WM Herausforderungen im Umgang mit Künstlicher Intelligenz Werte und Normen Werte und Normen in unserem Leben Wertekonflikte Selbstbestimmung, Verantwortung und Pflicht Beitrag zur Leitperspektive W: Die Schülerinnen und Schüler prüfen eigene und fremde Werte und Normen sowie Wertorientierungen, die Entscheidungen und', 'Spielregeln, Gesetze, Gebote, moralische Normen, Benimmregeln; technische Normen: DIN, technische Anweisung; Verkehrsregeln; Klugheitsregeln; ästhetische Normen Sollen: Moralisches Handeln Werte und Normen Ethik / Was ist wichtig und sollte sein - Werte und Normen inhaltsbezogene Kompetenzen methodisch-didaktische Hinweise kategorisieren diese, erschließen aus den Normen die dahinterliegenden Werte und umgekehrt. Zuordnungsspiele; Erläutern der Zuordnung von Werten zu Normen Moralische Werte und Normen Die']"
1,164,0.07681498829039812,1_sachverhalte_aussagen_biologische_beurteilen,"['sachverhalte', 'aussagen', 'biologische', 'beurteilen', 'entscheidungen', 'normative aussagen', 'identifizieren', 'normative', 'treffen', 'herkunft', 'handlungsoptionen', 'deskriptive', 'deskriptive normative', 'deren', 'sachverhalten', 'bezug', 'biologischer', 'sachinformationen', 'persnlich', 'gesellschaftlich']","['Sachverhalte und Informationen multiperspektivisch beurteilen Die Lernenden ... B analysieren Sachverhalte im Hinblick auf ihre Bewertungsrelevanz; B betrachten Sachverhalte aus unterschiedlichen Perspektiven; B unterscheiden deskriptive und normative Aussagen; B identifizieren Werte, die normativen Aussagen zugrunde liegen; B beurteilen Quellen hinsichtlich ihrer Herkunft und in Bezug auf spezifische Interessenlagen; B beurteilen Möglichkeiten und Grenzen biologischer Sichtweisen. Kriteriengeleitet Meinungen bilden und Entscheidungen treffen', 'Sachverhalte und Informationen multiperspektivisch beurteilen Die Lernenden ... B analysieren Sachverhalte im Hinblick auf ihre Bewertungsrelevanz; B betrachten Sachverhalte aus unterschiedlichen Perspektiven; B unterscheiden deskriptive und normative Aussagen; B identifizieren Werte, die normativen Aussagen zugrunde liegen; B beurteilen Quellen hinsichtlich ihrer Herkunft und in Bezug auf spezifische Interessenlagen; B beurteilen Möglichkeiten und Grenzen biologischer Sichtweisen. Kriteriengeleitet Meinungen bilden und Entscheidungen treffen', 'Sachverhalte und Informationen multiperspektivisch beurteilen Die Lernenden ... B analysieren Sachverhalte im Hinblick auf ihre Bewertungsrelevanz; B betrachten Sachverhalte aus unterschiedlichen Perspektiven; B unterscheiden deskriptive und normative Aussagen; B identifizieren Werte, die normativen Aussagen zugrunde liegen; B beurteilen Quellen hinsichtlich ihrer Herkunft und in Bezug auf spezifische Interessenlagen; B beurteilen Möglichkeiten und Grenzen biologischer Sichtweisen. Kriteriengeleitet Meinungen bilden und Entscheidungen treffen']"
2,127,0.059484777517564404,2_religionsunterricht_englisch_katholischer religionsunterricht_katholischer,"['religionsunterricht', 'englisch', 'katholischer religionsunterricht', 'katholischer', 'deutsch', 'geschichte', 'geographie', 'evangelischer religionsunterricht', 'evangelischer', 'russisch', 'spanisch', 'deutsch englisch', 'spanisch russisch', 'griechisch', 'kunst', 'sozialkunde', 'franzsisch', 'quellen', 'religionsunterricht geographie', 'demokratische werte']","['Arbeit und Wirtschaft Französisch, Latein, Griechisch, Chemie, Sozialkunde, Katholischer Religionsunterricht, Musik Weniger Ungleichheit Deutsch, Englisch, Latein, Griechisch, Biologie, Chemie, Sozialkunde, Evangelischer Religionsunterricht, Katholischer Religionsunterricht, Geographie Friedliche und inklusive Gesellschaft, demokratische Werte Deutsch, Englisch, Französisch, Spanisch, Russisch, Italienisch, Latein, Griechisch, Sozialkunde, Evangelischer Religionsunterricht, Katholischer Religionsunterricht, Geographie Globale Partnerschaften und Europa Englisch, Französisch, Spanisch, Russisch, Latein, Griechisch, Sozialkunde, Evangelischer Religionsunterricht, Kunst Sechstes Fachpraktikum:', 'Gültigkeit und Bedeutung in der Gegenwart - Jakobinerherrschaft Bezüge zu den fächerübergreifenden Themen gemäß Grundsatzband Kap. Weniger Ungleichheit Deutsch, Evangelischer Religionsunterricht, Katholischer Religionsunterricht, Geographie, Kunst Friedliche und inklusive Gesellschaft, demokratische Werte Deutsch, Englisch, Spanisch, Russisch, Italienisch, Sozialkunde, Evangelischer Religionsunterricht, Katholischer Religionsunterricht, Kunst, Musik Drittes Fachpraktikum: Mit Geschichte für Sachsen-Anhalt werben Interpretationskompetenz - auf der Grundlage von Quellen, Auszügen der Geschichtsschreibung oder', 'Bildung, Kultur und lebenslanges Lernen Deutsch, Englisch, Französisch, Spanisch, Russisch, Italienisch, Latein, Griechisch, Biologie, Geschichte, Ethikunterricht, Evangelischer Religionsunterricht, Katholischer Religionsunterricht Geographie, Informatik, Kunst, Musik, Sport Friedliche und inklusive Gesellschaft, demokratische Werte Deutsch, Englisch, Französisch, Spanisch, Russisch, Italienisch, Latein, Griechisch, Geschichte, Ethikunterricht, Evangelischer Religionsunterricht, Katholischer Religionsunterricht, Geographie, Kunst, Musik Kurs : Gesellschaftliche Herausforderungen untersuchen und bewerten Bearbeitung mit Fallanalyse, Fallstudie, Problemstudie oder']"
3,55,0.02576112412177986,3_fhren_experiment_experimentieren_planen,"['fhren', 'experiment', 'experimentieren', 'planen', 'experimente', 'beim', 'beobachtungen', 'stellen', 'mithilfe', 'abhngigkeit', 'jeweilige', 'daten', 'digitaler werkzeuge', 'einfache', 'qualitative quantitative', 'nehmen qualitative', 'nachweis', 'daten mithilfe', 'experimenten', 'mithilfe digitaler']","['bei der Planung von Beobachtungen, Vergleichen, Experimenten sowie Modellierungen das jeweilige Variablengefüge, E berücksichtigen die Variablenkontrolle beim Experimentieren, E nehmen qualitative und quantitative Daten auch mithilfe digitaler Werkzeuge auf und werten sie aus, E wenden Labor- und freilandbiologische Geräte und Techniken sachgerecht und unter Berücksichtigung der Sicherheitsbestimmungen an. Erkenntnisprozesse und Ergebnisse interpretieren und reflektieren Die Lernenden E finden in erhobenen oder', 'bei der Planung von Beobachtungen, Vergleichen, Experimenten sowie Modellierungen das jeweilige Variablengefüge; E berücksichtigen die Variablenkontrolle beim Experimentieren; E nehmen qualitative und quantitative Daten auch mithilfe digitaler Werkzeuge auf und werten sie aus; E wenden Labor- und freilandbiologische Geräte und Techniken sachgerecht und unter Berücksichtigung der Sicherheitsbestimmungen an. Erkenntnisprozesse und Ergebnisse interpretieren und reflektieren Die Lernenden ... E finden in erhobenen', 'bei der Planung von Beobachtungen, Vergleichen, Experimenten sowie Modellierungen das jeweilige Variablengefüge; E berücksichtigen die Variablenkontrolle beim Experimentieren; E nehmen qualitative und quantitative Daten auch mithilfe digitaler Werkzeuge auf und werten sie aus; E wenden Labor- und freilandbiologische Geräte und Techniken sachgerecht und unter Berücksichtigung der Sicherheitsbestimmungen an. Erkenntnisprozesse und Ergebnisse interpretieren und reflektieren Die Lernenden ... E finden in erhobenen']"
4,50,0.0234192037470726,4_enzymaktivitt_phwert_experiment_temperatur,"['enzymaktivitt', 'phwert', 'experiment', 'temperatur', 'abhngigkeit', 'abbau', 'fhren', 'experimente', 'struktur', 'bau', 'enzymen', 'faktoren', 'planen', 'beeinflussung', 'beispiel', 'stoffwechsel', 'nachweis', 'wasser', 'funktion', 'einfluss']","['Experiment unter Zugabe von Salzsäure, Natronlauge oder destilliertem Wasser, Temperaturabhängigkeit: gleiches Experiment bei Raumtemperatur, nach Erhitzen bzw. Abkühlen des Ansatzes in Eiswasser. b Sättigungskurve, Optimumskurve, Enzymkonzentration, Substratkonzentration, pHWert, Temperatur b werten Diagramme aus zur Enzymaktivität in Abhängigkeit von verschiedenen Bedingungen, c Protonen, Hydroxidionen c erklären den Einfluss einer pH-Wert-Änderung auf die Bindungseigenschaften im aktiven Zentrum, d kompetitive Hemmung, nicht-kompetitive Hemmung, allosterische', 'bereits durchgeführten Experiment aus S Zersetzung von Wasserstoffperoxid durch Katalase eignen sich folgende Experimente: Abhängigkeit von Enzymkonzentration: gleiches Experiment mit unterschiedlicher Katalasemenge, Substratkonzentration: gleiches Experiment mit unterschiedlicher Menge an HO, pH-Wert: gleiches Experiment unter Zugabe von Salzsäure, Natronlauge oder destilliertem Wasser, Temperaturabhängigkeit: gleiches Experiment bei Raumtemperatur, nach Erhitzen bzw. Abkühlen des Ansatzes in Eiswasser. b Sättigungskurve, Optimumskurve, Enzymkonzentration, Substratkonzentration, pHWert, Temperatur', 'bereits durchgeführten Experiment aus S Zersetzung von Wasserstoffperoxid durch Katalase eignen sich folgende Experimente: Abhängigkeit von Enzymkonzentration: gleiches Experiment mit unterschiedlicher Katalasemenge, Substratkonzentration: gleiches Experiment mit unterschiedlicher Menge an HO, pH-Wert: gleiches Experiment unter Zugabe von Salzsäure, Natronlauge oder destilliertem Wasser, Temperaturabhängigkeit: gleiches Experiment bei Raumtemperatur, nach Erhitzen bzw. Abkühlen des Ansatzes in Eiswasser. b Sättigungskurve, Optimumskurve, Enzymkonzentration, Substratkonzentration, pHWert, Temperatur']"
5,38,0.017798594847775177,5_verhalten_evolution_ursachen_adaptiven,"['verhalten', 'evolution', 'ursachen', 'adaptiven', 'evolutionstheorie', 'beispiel', 'selektion', 'biodiversitt', 'genetik', 'adaptiven wert', 'merkmale', 'abgrenzung', 'erkenntnisgewinnung', 'entstehung', 'kommunikation', 'vorstellungen', 'heutigen', 'erkenntnisgewinnung kommunikation', 'information', 'aggression']","['durch Mutation und Rekombination, Selektion, Isolation, Gendrift den biologischen Artbegriff erklären und Artbildungsprozesse erläutern allopatrische und sympatrische Artbildung Koevolution als wechselseitigen Anpassungsprozess zweier Arten an einem Beispiel darstellen den adaptiven Wert von Verhalten an einem Beispiel begründen Kosten-Nutzen-Analyse zum Beispiel bei Gruppenbildung, Egoismus, Altruismus, Aggression Erkenntnisgewinnung , , Kommunikation , Evolution Genetik Biomoleküle und molekulare Genetik Die Schülerinnen und Schüler können', 'Evolution: Selektion, Verwandtschaft, Variation, Fitness, Isolation, Drift, Artbildung, Biodiversität, Koevolution, populationsgenetischer Artbegriff Synthetische Evolutionstheorie, Abgrenzung von nicht-naturwissenschaftlichen Vorstellungen Stammbäume: ursprüngliche und abgeleitete Merkmale proximate exogen und endogen und ultimate adaptiver Wert für die Fitnessmaximierung Ursachen von Verhalten Prinzip, adaptiver Wert von Verhalten: reproduktive Fitness, Kosten-Nutzen-Analyse erhöhtes Niveau Leistungskurs Evolution des Menschen: Ursprung, Fossilgeschichte, hypothetische Stammbäume und Verbreitung des heutigen Menschen kulturelle', 'Koevolution, populationsgenetischer Artbegriff Synthetische Evolutionstheorie, Abgrenzung von nicht-naturwissenschaftlichen Vorstellungen Stammbäume: ursprüngliche und abgeleitete Merkmale proximate exogen und endogen und ultimate adaptiver Wert für die Fitnessmaximierung Ursachen von Verhalten Prinzip, adaptiver Wert von Verhalten: reproduktive Fitness, Kosten-Nutzen-Analyse erhöhtes Niveau Leistungskurs Evolution des Menschen: Ursprung, Fossilgeschichte, hypothetische Stammbäume und Verbreitung des heutigen Menschen kulturelle Evolution: Werkzeuggebrauch, Sprachentwicklung Sozialverhalten bei Primaten: exogene und endogene']"
6,21,0.009836065573770493,6_diversitt inklusion_diversitt_inklusion_lebensverhltnisse diversitt,"['diversitt inklusion', 'diversitt', 'inklusion', 'lebensverhltnisse diversitt', 'globalisierung', 'lebensverhltnisse', 'kulturen lebensverhltnisse', 'werte kulturen', 'vielfalt werte', 'kulturen', 'vielfalt', 'herrschaft', 'demokratie', 'global', 'menschenrechte', 'politische', 'religiser', 'frieden', 'konflikt', 'ethischer']","['und Lebensverhältnisse: Diversität und Inklusion Globalisierung religiöser und ethischer Leitbilder Bildung Politische Herrschaft, Demokratie und Menschenrechte Good Governance Getrennt und wiedervereinigt - Deutschland im Spiegel internationaler Politik nach Vielfalt der Werte, Kulturen und Lebensverhältnisse: Diversität und Inklusion Globalisierung religiöser und ethischer Leitbilder Armut und soziale Sicherheit Frieden und Konflikt Politische Herrschaft, Demokratie und Menschenrechte Good Governance Global Governance - Weltordnungspolitik Herausforderung', 'heute lernen und leben Vielfalt der Werte, Kulturen und Lebensverhältnisse: Diversität und Inklusion Politische Herrschaft, Demokratie und Menschenrechte Good Governance Getrennt und wiedervereinigt - die Entwicklung Deutschlands nach Vielfalt der Werte, Kulturen und Lebensverhältnisse: Diversität und Inklusion Globalisierung von Wirtschaft und Arbeit Demografische Strukturen und Entwicklungen Frieden und Konflikt Migration und Integration Politische Herrschaft, Demokratie und Menschenrechte Good Governance Europa und', 'Diversität und Inklusion Globalisierung religiöser und ethischer Leitbilder Frieden und Konflikt Politische Herrschaft, Demokratie und Menschenrechte Good Governance Global Governance - Weltordnungspolitik Demokratie in Zukunft lernen und leben Vielfalt der Werte, Kulturen und Lebensverhältnisse: Diversität und Inklusion Globalisierung religiöser und ethischer Leitbilder Bildung Politische Herrschaft, Demokratie und Menschenrechte Good Governance Getrennt und wiedervereinigt - Deutschland im Spiegel internationaler Politik nach Vielfalt']"
7,19,0.008899297423887589,7_beteiligt_personen_oberstufe_kerncurriculum,"['beteiligt', 'personen', 'oberstufe', 'kerncurriculum', 'weiterentwicklung', 'genannten', 'unterrichtsfach', 'unterrichtsfach werte', 'werte normen', 'gymnasialen oberstufe', 'gymnasialen', 'gymnasium', 'schuljahrgnge', 'normen', 'abiturprfung', 'gefrdert', 'sekundarstufe', 'lsungen', 'arbeit', 'beurteilung']","['Niedersächsisches Kultusministerium Kerncurriculum für die Oberschule Schuljahrgänge - Werte und Normen Niedersachsen An der Weiterentwicklung des Kerncurriculums für das Unterrichtsfach Werte und Normen in der Oberschule waren die nachstehend genannten Personen beteiligt: Evgeny Kochnev, Clausthal-Zellerfeld Kathrin Paul, Oldenburg Markus', 'Niedersächsisches Kultusministerium Kerncurriculum für das Gymnasium Schuljahrgänge - Werte und Normen Niedersachsen An der Weiterentwicklung des Kerncurriculums für das Unterrichtsfach Werte und Normen in den Schuljahrgängen - des Gymnasiums waren die nachstehend genannten Personen beteiligt: Dr. Robert Jan Berg, Wolfsburg Christiane Michaelis, Göttingen Markus Rassiller, Hannover Sarah Lena Reuß, Garbsen Thorsten', 'Niedersächsisches Kultusministerium Kerncurriculum für das Gymnasium Schuljahrgänge - Werte und Normen Niedersachsen An der Weiterentwicklung des Kerncurriculums für das Unterrichtsfach Werte und Normen in den Schuljahrgängen - des Gymnasiums waren die nachstehend genannten Personen beteiligt: Dr. Robert Jan Berg,']"
8,17,0.007962529274004685,8_religion werte_sexualitt_religion_schuljahrgnge,"['religion werte', 'sexualitt', 'religion', 'schuljahrgnge', 'orientierung', 'gewalt', 'prvention', 'fortpflanzung', 'mobbing', 'sexualerziehung', 'konflikt', 'sexueller', 'verantwortliches', 'ben', 'normen', 'aspekte', 'werte normen', 'soziale', 'religiositt', 'sucht']","['Arten sexueller Orientierung. RELIGION, WERTE UND NORMEN erläutern die Mitose und ihre Bedeutung für die Individualentwicklung. beschreiben Aspekte selbstbestimmter Sexualität und Identität und entwickeln Akzeptanz gegenüber unterschiedlichen sexuellen Identitäten. RELIGION, WERTE UND NORMEN ben Grundaspekte der sexutpflanzung, Schwangerschaft fängnisverhütung beim Meneiden zwischen geschlechtliungeschlechtlicher FortpflanBlütenpflanzen. beschreiben Methoden der Empfängnisverhütung und der Verhütung von sexuell übertragbaren Erkrankungen. erörtern verantwortliches Verhalten in der Sexualpartnerschaft.', 'am Ende von Schuljahrgang / Die Schülerinnen und Schüler ... ben entwicklungsbedingte ungen des menschlichen Körer Pubertät. die zunehmende Sexualisieen Medien. RELIGION, WERTE EN beschreiben Formen der sexuellen Orientierung. RELIGION, WERTE UND NORMEN beschreiben Aspekte selbstbestimmter Sexualität und entwickeln Toleranz gegenüber verschiedenen Arten sexueller Orientierung. RELIGION, WERTE UND NORMEN erläutern die Mitose und ihre Bedeutung für die Individualentwicklung. beschreiben Aspekte selbstbestimmter', 'Pubertät. die zunehmende Sexualisieen Medien. RELIGION, WERTE EN beschreiben Formen der sexuellen Orientierung. RELIGION, WERTE UND NORMEN beschreiben Aspekte selbstbestimmter Sexualität und entwickeln Toleranz gegenüber verschiedenen Arten sexueller Orientierung. RELIGION, WERTE UND NORMEN erläutern die Mitose und ihre Bedeutung für die Individualentwicklung. beschreiben Aspekte selbstbestimmter Sexualität und Identität und entwickeln Akzeptanz gegenüber unterschiedlichen sexuellen Identitäten. RELIGION, WERTE UND NORMEN ben Grundaspekte']"
