,Topic -1 terms,Topic -1 probabilities,Topic 0 terms,Topic 0 probabilities,Topic 1 terms,Topic 1 probabilities,Topic 2 terms,Topic 2 probabilities,Topic 3 terms,Topic 3 probabilities,Topic 4 terms,Topic 4 probabilities,Topic 5 terms,Topic 5 probabilities,Topic 6 terms,Topic 6 probabilities,Topic 7 terms,Topic 7 probabilities,Topic 8 terms,Topic 8 probabilities,Topic 9 terms,Topic 9 probabilities
0,normen,0.0471,normen,0.0487,sachverhalte,0.0591,religionsunterricht,0.0811,fhren,0.083,enzymaktivitt,0.1853,verhalten,0.2056,diversitt inklusion,0.1642,beteiligt,0.2518,religion werte,0.1534,zielen,0.3482
1,werte normen,0.04,werte normen,0.0388,aussagen,0.0542,englisch,0.0521,experiment,0.0796,phwert,0.1579,evolution,0.1543,diversitt,0.1581,personen,0.2415,sexualitt,0.1317,kultur,0.264
2,handeln,0.0254,ethik,0.0299,biologische,0.0426,katholischer religionsunterricht,0.0506,experimentieren,0.0687,experiment,0.1536,ursachen,0.0986,inklusion,0.1581,oberstufe,0.2415,religion,0.1172,region,0.2141
3,knnen,0.0202,knnen,0.0245,beurteilen,0.0417,katholischer,0.0506,planen,0.0635,temperatur,0.1221,adaptiven,0.0826,lebensverhltnisse diversitt,0.149,kerncurriculum,0.2312,schuljahrgnge,0.1085,positiv,0.2006
4,daten,0.0201,handeln,0.0241,entscheidungen,0.0413,deutsch,0.0479,experimente,0.0559,abhngigkeit,0.0992,evolutionstheorie,0.0785,globalisierung,0.1464,weiterentwicklung,0.2294,orientierung,0.083,wachstum,0.1984
5,regeln,0.0191,reflektieren,0.0225,normative aussagen,0.038,geschichte,0.047,beim,0.0557,abbau,0.0685,beispiel,0.0784,lebensverhltnisse,0.1459,genannten,0.2214,gewalt,0.0815,fortschritt,0.1905
6,formulieren,0.0187,gerechtigkeit,0.0218,identifizieren,0.0373,geographie,0.0435,beobachtungen,0.0557,fhren,0.0679,selektion,0.0775,kulturen lebensverhltnisse,0.1439,unterrichtsfach,0.2147,prvention,0.0798,mehr,0.1827
7,unterricht,0.0185,leben,0.0218,normative,0.0345,evangelischer religionsunterricht,0.0425,stellen,0.0502,experimente,0.0636,biodiversitt,0.0773,werte kulturen,0.1439,unterrichtsfach werte,0.1999,fortpflanzung,0.0736,geben,0.1814
8,beitrag,0.0178,gesellschaft,0.021,treffen,0.0342,evangelischer,0.0425,mithilfe,0.0463,struktur,0.063,genetik,0.0773,vielfalt werte,0.1428,werte normen,0.1814,mobbing,0.0727,interkulturellen,0.1752
9,erkennen,0.0177,welt,0.0207,herkunft,0.0335,russisch,0.0422,abhngigkeit,0.0449,bau,0.0594,adaptiven wert,0.0766,kulturen,0.1281,gymnasialen oberstufe,0.1699,sexualerziehung,0.0665,beschftigung,0.172
10,auseinandersetzung,0.0174,eigene,0.0194,handlungsoptionen,0.0333,spanisch,0.0412,jeweilige,0.0438,enzymen,0.0568,merkmale,0.0575,vielfalt,0.1207,gymnasialen,0.1679,konflikt,0.0643,beziehungen,0.1522
11,fach,0.0173,kompetenzen,0.0192,deskriptive,0.0312,deutsch englisch,0.0401,daten,0.0433,faktoren,0.0538,abgrenzung,0.0545,herrschaft,0.1151,gymnasium,0.166,sexueller,0.0641,begriffe,0.1506
12,kompetenzen,0.0171,verantwortung,0.0187,deskriptive normative,0.0297,spanisch russisch,0.0391,digitaler werkzeuge,0.0426,planen,0.0535,erkenntnisgewinnung,0.0496,demokratie,0.1141,schuljahrgnge,0.1522,verantwortliches,0.0631,demokratie,0.1333
13,diskutieren,0.0168,fach,0.0186,deren,0.0292,griechisch,0.0385,einfache,0.0424,beeinflussung,0.0535,entstehung,0.048,global,0.0931,normen,0.1478,ben,0.0614,eigenen,0.1214
14,gerechtigkeit,0.016,moralische,0.0182,sachverhalten,0.0278,kunst,0.0381,qualitative quantitative,0.0423,beispiel,0.0504,kommunikation,0.0454,menschenrechte,0.0924,abiturprfung,0.1348,normen,0.0595,migration,0.1137
15,dabei,0.0157,freiheit,0.018,bezug,0.0276,sozialkunde,0.0367,nehmen qualitative,0.0423,stoffwechsel,0.0492,vorstellungen,0.0448,politische,0.0887,gefrdert,0.1076,aspekte,0.0571,deren,0.1094
16,fach werte,0.0156,wertvorstellungen,0.0174,biologischer,0.0266,franzsisch,0.036,nachweis,0.042,nachweis,0.0487,heutigen,0.0413,religiser,0.0806,sekundarstufe,0.1026,werte normen,0.0564,frdern,0.0637
17,entwicklung,0.0146,erkennen,0.0171,sachinformationen,0.0265,quellen,0.0356,daten mithilfe,0.0419,wasser,0.048,erkenntnisgewinnung kommunikation,0.0404,frieden,0.0703,lsungen,0.1016,soziale,0.0556,globalisierung,0.0622
18,schuljahrgnge,0.0143,diskutieren,0.0163,persnlich,0.0264,religionsunterricht geographie,0.0349,experimenten,0.0419,funktion,0.0468,information,0.037,konflikt,0.0608,arbeit,0.0975,religiositt,0.0534,beurteilen,0.0445
19,erklren,0.014,sollen,0.0161,gesellschaftlich,0.0258,demokratische werte,0.0298,mithilfe digitaler,0.0419,einfluss,0.0446,aggression,0.0362,ethischer,0.0593,beurteilung,0.0971,sucht,0.0534,entwicklung,0.0413
