Topic,Count,Proportion,Name,Representation,Representative_Docs
-1,95,0.14797507788161993,-1_arten_sek_individuen_fhren,"['arten', 'sek', 'individuen', 'fhren', 'vernderung', 'angepasst', 'einfhrungsphase', 'umwelt', 'kommunikation', 'pflanzen', 'wirbeltieren', 'genetisch', 'sek sek', 'biodiversitt', 'zeigen', 'bedeutung', 'darstellen', 'bewerten', 'prozess', 'ernhrung']","['Inhalte der Einführungsphase erweitert durch molekulargenetische Erklärungen Angepasstheit, Anpassung Individuen sind angepasst Angepasstheit Arten sind angepasst Anpassung ist ein passiver Prozess Auslese Selektion der besser angepassten Individuen Anpassung führen zu Angepasstheit Einführungsphase Individuen zeigen Angepasstheit Angepasstheit ist genetisch fixiert Anpassung findet auf Populationsebene statt Anpassung führt zur Veränderung von Arten Anpassung kann zur Artbildung führen Q-Phase Angepasstheit beruht auf der Basensequenz', 'molekulargenetische Erklärungen Angepasstheit, Anpassung Individuen sind angepasst Angepasstheit Arten sind angepasst Anpassung ist ein passiver Prozess Auslese Selektion der besser angepassten Individuen Anpassung führen zu Angepasstheit Einführungsphase Individuen zeigen Angepasstheit Angepasstheit ist genetisch fixiert Anpassung findet auf Populationsebene statt Anpassung führt zur Veränderung von Arten Anpassung kann zur Artbildung führen Q-Phase Angepasstheit beruht auf der Basensequenz der Allele Anpassung ist die', 'einer Population Q-Phase Inhalte der Einführungsphase erweitert durch molekulargenetische Erklärungen Angepasstheit, Anpassung Individuen sind angepasst Angepasstheit Arten sind angepasst Anpassung ist ein passiver Prozess Auslese Selektion der besser angepassten Individuen Anpassung führen zu Angepasstheit Einführungsphase Individuen zeigen Angepasstheit Angepasstheit ist genetisch fixiert Anpassung findet auf Populationsebene statt Anpassung führt zur Veränderung von Arten Anpassung kann zur Artbildung führen Q-Phase Angepasstheit beruht']"
0,128,0.19937694704049844,0_variabilitt_selektion_evolution_sek,"['variabilitt', 'selektion', 'evolution', 'sek', 'evolutionstheorie', 'individuelle', 'lebewesen', 'genetische', 'variabilitt angepasstheit', 'population', 'organismen', 'rekombination', 'kologische', 'beschreiben erklren', 'individuums', 'nische', 'ebene', 'kologische nische', 'artbildung', 'individuen']","['Angepasstheit wird auf der Ebene des Individuums betrachtet. Es wird zwischen individueller und evolutiver Angepasstheit unterschieden. Selektion führt zur evolutiven Angepasstheit. Sek I-VA, Sek I-VA, Sek I-VA Individuelle Variabilität und Angepasstheit von Organismen sind die Grundlage für seine reproduktive Fitness. OS-VA, OS-VA, OS-VA Zelle Im Zellkern befindet sich Erbmaterial. Durch Rekombination und Mutation verändert sich das Erbmaterial. Sek I-VA Die Eigenschaften', 'Die genetische Variabilität von Nachkommen wird durch Mutationen und Rekombinationsprozesse ermöglicht. erklären, dass die genetische Variabilität auf Individualebene durch Mutationen und Rekombinationsprozesse bestimmt wird. Rekombination Mutation Sek I - VA Angepasstheit ist eine Folge der Selektion. erklären den Fortpflanzungserfolg unterschiedlich angepasster Individuen durch Selektion. Selektion an einem Beispiel Sek I - VA Angepasstheit ist auf zellulärer und molekularer Ebene zu finden.', 'können - die Entstehung von Arten nach der Synthetischen Evolutionstheorie erklären: Wirken von Mutation, Rekombination, Selektion, Gendrift und Isolation Artbildung populationsgenetischer Artbegriff als Ergebnis der Veränderung des Genpools einer Population Angepasstheit als Folge der Evolution - die Bedeutung der Theorie von Charles DARWIN für die wissenschaftliche Abstammungslehre erläutern Belege für die Evolution Die Lernenden können - die Bedeutung von Belegen für']"
1,88,0.13707165109034267,1_pflanzen_lebensrume_tiere_tieren,"['pflanzen', 'lebensrume', 'tiere', 'tieren', 'basiskonzept', 'jahreszeiten', 'fortpflanzung', 'merkmale', 'sinnesorgane', 'sonne', 'krpertemperatur', 'leben', 'funktion', 'haut', 'angepasstheit tieren', 'berwinterungsstrategien', 'motor', 'speicherstoffe', 'tiere pflanzen', 'energieumwandlung']","['über ausgewählte Tiere oder Pflanzen Kriterien für Gefährdungen bei Veränderungen ihres Lebensraums durch den Menschen ableiten. B, K Inhaltsfeld Sonne, Klima, Leben Inhaltliche Schwerpunkte Mögliche Kontexte Angepasstheit an die Jahresrhythmik Angepasstheit an Lebensräume Fotosynthese Pflanzen und Tiere in den Jahreszeiten Die Sonne als Motor des Lebens Lebewesen in extremen Lebensräumen Basiskonzept System Energieumwandlung, Speicherstoffe, abiotische Faktoren, Überwinterungsstrategien, Regulation der Körpertemperatur Basiskonzept', 'Schülerinnen und Schüler können... eine ausgewogene Ernährung und die Notwendigkeit körperlicher Bewegung begründet darstellen. B Inhaltsfeld Tiere und Pflanzen im Jahreslauf Inhaltliche Schwerpunkte Mögliche Kontexte Fotosynthese Angepasstheit an die Jahresrhythmik Angepasstheit an Lebensräume Die Sonne - Motor des Lebens Pflanzen und Tiere - Leben mit den Jahreszeiten Basiskonzept System Energieumwandlung, Speicherstoffe, abiotische Faktoren, Überwinterungsstrategien, Regulation der Körpertemperatur Basiskonzept Struktur und Funktion', '- Motor des Lebens Pflanzen und Tiere - Leben mit den Jahreszeiten Basiskonzept System Energieumwandlung, Speicherstoffe, abiotische Faktoren, Überwinterungsstrategien, Regulation der Körpertemperatur Basiskonzept Struktur und Funktion Pflanzenzelle, Blattaufbau Basiskonzept Entwicklung Angepasstheit, Überdauerungsformen, Wasserspeicher Umgang mit Fachwissen Die Schülerinnen und Schüler können... anhand von mikroskopischen Untersuchungen zeigen, dass Pflanzen und andere Lebewesen aus Zellen bestehen. UF, E Überwinterungsformen von Tieren anhand von']"
2,70,0.10903426791277258,2_sachkompetenz_rolle_leben_bezge,"['sachkompetenz', 'rolle', 'leben', 'bezge', 'heute', 'vernderungen', 'kunst', 'unterricht', 'formen', 'beurteilen', 'zeit', 'anforderungsniveau', 'normen', 'bezug', 'diskutieren', 'ber', 'reflektieren', 'nehmen', 'bne', 'inhalte kompetenzen']","['um Bildaussagen selbständig zu deuten und dazu persönlich Stellung zu nehmen. setzen die Entwicklungen der Kunst seit dem Jahrhundert mit deren zeitgeschichtlichen Hintergründen in Bezug, um Kunstströmungen im Spannungsfeld von Anpassung an den Zeitgeschmack und Provokation, Propaganda und Protest zu verstehen. beschreiben mithilfe der systematischen Bildanalyse inhaltliche und stilistische Merkmale moderner sowie zeitgenössischer Malerei, erkennen die bildnerische Wirkung und Aussage und', 'um Bildaussagen selbständig zu deuten und dazu persönlich Stellung zu nehmen. setzen die Entwicklungen der Kunst seit dem Jahrhundert mit deren zeitgeschichtlichen Hintergründen in Bezug, um Kunstströmungen im Spannungsfeld von Anpassung an den Zeitgeschmack und Provokation, Propaganda und Protest zu verstehen. beschreiben mithilfe der systematischen Bildanalyse inhaltliche und stilistische Merkmale moderner sowie zeitgenössischer Malerei, erkennen die bildnerische Wirkung und Aussage und', 'um Bildaussagen selbständig zu deuten und dazu persönlich Stellung zu nehmen. setzen die Entwicklungen der Kunst seit dem Jahrhundert mit deren zeitgeschichtlichen Hintergründen in Bezug, um Kunstströmungen im Spannungsfeld von Anpassung an den Zeitgeschmack und Provokation, Propaganda und Protest zu verstehen. beschreiben mithilfe der systematischen Bildanalyse inhaltliche und stilistische Merkmale moderner sowie zeitgenössischer Malerei, erkennen die bildnerische Wirkung und Aussage und']"
3,68,0.1059190031152648,3_fotosynthese_licht_umweltfaktoren_umweltfaktor,"['fotosynthese', 'licht', 'umweltfaktoren', 'umweltfaktor', 'anpassungen', 'kologische', 'temperatur', 'kosystem', 'pflanzen', 'abiotische', 'mithilfe', 'beispiele', 'faktoren', 'struktur', 'bedeutung', 'funktion', 'wechselwirkung', 'beziehungen', 'energie', 'bau']","['BNE ca. Unterrichtsstunden Verbindliche Inhalte Hinweise und Anregungen Von Teichfröschen und Eichhörnchen Anpassungen von Wirbeltieren an den Umweltfaktor Temperatur Wechselwarme Gleichwarme Jedes Blatt ein Unikat Bau und Funktionen des Laubblattes Anpassungen von Pflanzen an den Umweltfaktor Licht Fotosynthese: lichtabhängige und lichtunabhängige Reaktionen Licht- und Schattenblätter Anpassungen von Pflanzen an den Umweltfaktor Wasser ökologische Pflanzentypen Xerophyten Hygrophyten Hydrophyten Bezug zwischen Blutkreislauf, Vorkommen,', 'Zeigerorganismen referieren B: die Wirkung von abiotischen und biotischen Umweltfaktoren auf Lebewesen in einem Ökosystem erörtern Abiotische Umweltfaktoren BNE ca. Unterrichtsstunden Verbindliche Inhalte Hinweise und Anregungen Von Teichfröschen und Eichhörnchen Anpassungen von Wirbeltieren an den Umweltfaktor Temperatur Wechselwarme Gleichwarme Jedes Blatt ein Unikat Bau und Funktionen des Laubblattes Anpassungen von Pflanzen an den Umweltfaktor Licht Fotosynthese im Überblick energetische und stoffliche', 'Zeigerorganismen referieren B: die Wirkung von abiotischen und biotischen Umweltfaktoren auf Lebewesen in einem Ökosystem erörtern Abiotische Umweltfaktoren BNE ca. Unterrichtsstunden Verbindliche Inhalte Hinweise und Anregungen Von Teichfröschen und Eichhörnchen Anpassungen von Wirbeltieren an den Umweltfaktor Temperatur Wechselwarme Gleichwarme Jedes Blatt ein Unikat Bau und Funktionen des Laubblattes Anpassungen von Pflanzen an den Umweltfaktor Licht Fotosynthese: lichtabhängige und lichtunabhängige Reaktionen Licht-']"
4,51,0.0794392523364486,4_organismen_struktur_funktion_struktur funktion,"['organismen', 'struktur', 'funktion', 'struktur funktion', 'information', 'reproduktion', 'zusammenhnge', 'steuerung', 'dar', 'beschreiben erklren', 'steuerung regelung', 'regelung', 'verwandtschaft', 'stoff energieumwandlung', 'variabilitt', 'stoff', 'organen', 'basiskonzept', 'energieumwandlung', 'funktionelle']","['Schülerinnen und Schüler F. stellen strukturelle und funktionelle Gemeinsamkeiten und Unterschiede von Organismen und Organismengruppen dar. F. beschreiben und erklären Struktur und Funktion von Organen und Organsystemen. F. beschreiben die Angepasstheit von Organismen an die Umwelt. F Entwicklung Die Schülerinnen und Schüler F. beschreiben die artspezifische Individualentwicklung von Organismen. F. beschreiben die verschiedenen Formen der Fortpflanzung. F. beschreiben die stammesgeschichtliche Verwandtschaft', 'funktionelle Gemeinsamkeiten und Unterschiede von Organismen und Organismengruppen dar. F beschreiben und erklären Struktur und Funktion von Organen, z. B. bei der Steuerung und Regelung. F beschreiben und erklären die Angepasstheit ausgewählter Organismen an die Umwelt. F Entwicklung Die Schülerinnen und Schüler F erläutern die Bedeutung der Zellteilung für Wachstum, Fortpflanzung und Vermehrung. F beschreiben und erklären stammesgeschichtliche Verwandtschaft von Organismen', 'funktionelle Gemeinsamkeiten und Unterschiede von Organismen und Organismengruppen dar. F beschreiben und erklären Struktur und Funktion von Organen, z. B. bei der Steuerung und Regelung. F beschreiben und erklären die Angepasstheit ausgewählter Organismen an die Umwelt. F Entwicklung Die Schülerinnen und Schüler F erläutern die Bedeutung der Zellteilung für Wachstum, Fortpflanzung und Vermehrung. F beschreiben und erklären stammesgeschichtliche Verwandtschaft von Organismen']"
5,42,0.06542056074766354,5_schule_knnen_basiskonzepte_anpassungen,"['schule', 'knnen', 'basiskonzepte', 'anpassungen', 'ermglichen', 'lernen', 'eigene', 'darstellungen', 'lehrplan', 'reflektieren', 'bewertung', 'analysieren', 'allgemein', 'fachwissen', 'recherchieren', 'ausgewhlter', 'einzelnen', 'lernenden', 'verschiedenen', 'notwendigkeit']","['und Schüler können mit ihren Freundinnen und Freunden, beispielsweise aus der Kindertagesstätte oder aus der Nachbarschaft, gemeinsam in eine Schule gehen und gemeinsam lernen. Für eine inklusive Bildung sind curriculare Anpassungen notwendig, um den Schülerinnen und Schülern einen individualisierten Zugang zum Rahmenplan der allgemein bildenden Schulen zu ermöglichen. Meine Heimat - Mein modernes Mecklenburg-Vorpommern Bildungs- und Erziehungsziel sowie Querschnittsaufgabe der Schule', 'und Schüler können mit ihren Freundinnen und Freunden, beispielsweise aus der Kindertagesstätte oder aus der Nachbarschaft, gemeinsam in eine Schule gehen und gemeinsam lernen. Für eine inklusive Bildung sind curriculare Anpassungen notwendig, um den Schülerinnen und Schülern einen individualisierten Zugang zum Rahmenplan der allgemein bildenden Schulen zu ermöglichen. Meine Heimat - Mein modernes Mecklenburg-Vorpommern Bildungs- und Erziehungsziel sowie Querschnittsaufgabe der Schule', 'und Schüler können mit ihren Freundinnen und Freunden, beispielsweise aus der Kindertagesstätte oder aus der Nachbarschaft, gemeinsam in eine Schule gehen und gemeinsam lernen. Für eine inklusive Bildung sind curriculare Anpassungen notwendig, um den Schülerinnen und Schülern einen individualisierten Zugang zum Rahmenplan der allgemein bildenden Schulen zu ermöglichen. Meine Heimat - Mein modernes Mecklenburg-Vorpommern Bildungs- und Erziehungsziel sowie Querschnittsaufgabe der Schule']"
6,42,0.06542056074766354,6_lebewesen_umwelt_bau funktion_umwelt angepasst,"['lebewesen', 'umwelt', 'bau funktion', 'umwelt angepasst', 'variabilitt', 'funktion', 'angepasst', 'bau', 'variabilitt angepasstheit', 'angepasstheit lebewesen', 'ebene', 'angepasstheit variabilitt', 'angepasst angepasstheit', 'stoff', 'organismus', 'beziehung', 'ermglicht', 'berleben', 'konzept', 'bezglich']","['Stoff- und Energieumwandlung: Lebewesen sind offene Systeme. An allen Lebensvorgängen sind Stoff- und Energieumwandlungen beteiligt. Information und Kommunikation: Lebewesen nehmen Informationen auf, speichern und verarbeiten sie und kommunizieren. Variabilität und Angepasstheit: Lebewesen sind bezüglich Bau und Funktion an ihre Umwelt angepasst. Angepasstheit wird durch Variabilität ermöglicht. Darüber hinaus spielt das Konzept der Biodiversität im Biologieunterricht der Realschule aufgrund der Tatsache, dass', 'Stoff- und Energieumwandlung: Lebewesen sind offene Systeme. An allen Lebensvorgängen sind Stoff- und Energieumwandlungen beteiligt. Information und Kommunikation: Lebewesen nehmen Informationen auf, speichern und verarbeiten sie und kommunizieren. Variabilität und Angepasstheit: Lebewesen sind bezüglich Bau und Funktion an ihre Umwelt angepasst. Angepasstheit wird durch Variabilität ermöglicht. Darüber hinaus spielt das Konzept der Biodiversität im Biologieunterricht der Realschule aufgrund der Tatsache, dass', 'Stoff- und Energieumwandlung: Lebewesen sind offene Systeme. An allen Lebensvorgängen sind Stoff- und Energieumwandlungen beteiligt. Information und Kommunikation: Lebewesen nehmen Informationen auf, speichern und verarbeiten sie und kommunizieren. Variabilität und Angepasstheit: Lebewesen sind bezüglich Bau und Funktion an ihre Umwelt angepasst. Angepasstheit wird durch Variabilität ermöglicht. Darüber hinaus spielt das Konzept der Biodiversität im Biologieunterricht der Realschule aufgrund der Tatsache, dass']"
7,22,0.03426791277258567,7_fach_schuljahrgnge_erziehung_kompetenzentwicklung,"['fach', 'schuljahrgnge', 'erziehung', 'kompetenzentwicklung', 'digitalen', 'schuljahrgngen', 'welt', 'bersicht', 'fassung', 'ethikunterricht', 'sozialkunde', 'nachhaltigkeit', 'wissensbestnde', 'ber', 'fach biologie', 'biologie', 'wirtschaft', 'grundsatzband', 'qualifikationsphase', 'psychologie']","['Dessau Kurtz, Peter Naumburg/Schulpforte Schäfer, Daniel Wanzleben Sinde, Dagmar Burg Dr. Träger, Johannes Halle Leitung der Fachgruppe Herausgeber: Ministerium für Bildung des Landes Sachsen-Anhalt Turmschanzenstr. Magdeburg In Kraft seit , Anpassung Inhaltsverzeichnis Seite Bildung und Erziehung im Fach Ethikunterricht Kompetenzentwicklung im Fach Ethikunterricht Kompetenzentwicklung in den Schuljahrgängen Übersicht Schuljahrgänge / Schuljahrgänge / Schuljahrgang Schuljahrgang Einführungsphase Schuljahrgänge / Qualifikationsphase Bildung und Erziehung', 'vom .. haben mitgewirkt: Dr. Both, Siegfried Halle Leitung der Fachgruppe Flug, Cynthia Röblingen Mende, Bettina Salzwedel Herausgeber: Ministerium für Bildung des Landes Sachsen-Anhalt Turmschanzenstr. Magdeburg In Kraft seit , Anpassung Inhaltsverzeichnis Seite Bildung und Erziehung im Fach Geschichte Entwicklung fachbezogener Kompetenzen Kompetenzbereiche im Fach Geschichte Wissensbestände im Fach Geschichte Kompetenzentwicklung in den Schuljahrgängen Übersicht über die Kompetenzschwerpunkte Schuljahrgänge / Schuljahrgänge', 'Martin Wittenberg Peger, Stefanie Halle Weißhampel, Stefan Halle Dr. Wendlik, Steffen Osterwieck Kalinna, Yvonne Halle wissenschaftliche Beratung Herausgeber: Ministerium für Bildung des Landes Sachsen-Anhalt Turmschanzenstr. Magdeburg In Kraft seit , Anpassung Inhaltsverzeichnis Seite Bildung und Erziehung im Fach Geschichte Kompetenzentwicklung im Fach Geschichte Kompetenzentwicklung in den Schuljahrgängen Übersicht Schuljahrgänge / Schuljahrgänge / Schuljahrgang Schuljahrgang Einführungsphase Schuljahrgänge / Qualifikationsphase Bildung und Erziehung']"
8,20,0.03115264797507788,8_oberstufe_macht_notwendige_gymnasiale oberstufe,"['oberstufe', 'macht', 'notwendige', 'gymnasiale oberstufe', 'gymnasiale', 'inhaltliche', 'vorliegenden', 'fachlichen', 'fachbergreifende', 'anpassungen', 'ziel', 'erziehung', 'kompetenzentwicklung', 'fassung', 'fach', 'themen', 'lernen', 'whrend', 'konomische', 'gruppe']","['Q, das vor den Osterferien endet. Dies macht eine Anpassung der Kerncurricula der gymnasialen Oberstufe in allen Abiturprüfungsfächern notwendig. Die Änderungen betreffen die inhaltliche Anschlussfähigkeit der Q sowie gegebenenfalls notwendige Anpassungen in den vorherigen Kurshalbjahren. Die gymnasiale Oberstufe und das berufliche Gymnasium Ganzheitliches Lernen und Kompetenzorientierung in der gymnasialen Oberstufe und dem beruflichen Gymnasium Das Ziel der gymnasialen Oberstufe und des', 'Q, das vor den Osterferien endet. Dies macht eine Anpassung der Kerncurricula der gymnasialen Oberstufe in allen Abiturprüfungsfächern notwendig. Die Änderungen betreffen die inhaltliche Anschlussfähigkeit der Q sowie gegebenenfalls notwendige Anpassungen in den vorherigen Kurshalbjahren. Die gymnasiale Oberstufe und das berufliche Gymnasium Ganzheitliches Lernen und Kompetenzorientierung in der gymnasialen Oberstufe und dem beruflichen Gymnasium Das Ziel der gymnasialen Oberstufe und des', 'Q, das vor den Osterferien endet. Dies macht eine Anpassung der Kerncurricula der gymnasialen Oberstufe in allen Abiturprüfungsfächern notwendig. Die Änderungen betreffen die inhaltliche Anschlussfähigkeit der Q sowie gegebenenfalls notwendige Anpassungen in den vorherigen Kurshalbjahren. Die gymnasiale Oberstufe und das berufliche Gymnasium Ganzheitliches Lernen und Kompetenzorientierung in der gymnasialen Oberstufe und dem beruflichen Gymnasium Das Ziel der gymnasialen Oberstufe und des']"
