,Topic -1 terms,Topic -1 probabilities,Topic 0 terms,Topic 0 probabilities,Topic 1 terms,Topic 1 probabilities,Topic 2 terms,Topic 2 probabilities,Topic 3 terms,Topic 3 probabilities,Topic 4 terms,Topic 4 probabilities,Topic 5 terms,Topic 5 probabilities,Topic 6 terms,Topic 6 probabilities,Topic 7 terms,Topic 7 probabilities,Topic 8 terms,Topic 8 probabilities,Topic 9 terms,Topic 9 probabilities
0,arten,0.0799,variabilitt,0.0738,pflanzen,0.0733,sachkompetenz,0.0847,fotosynthese,0.0625,organismen,0.0767,schule,0.1151,lebewesen,0.107,fach,0.4901,oberstufe,0.5853,lebensweise,0.1004
1,sek,0.0522,selektion,0.0657,lebensrume,0.0633,rolle,0.0666,licht,0.0603,struktur,0.0537,knnen,0.1046,umwelt,0.1031,schuljahrgnge,0.3258,macht,0.2368,lebensweise lebensraum,0.0834
2,individuen,0.0481,evolution,0.0649,tiere,0.0625,leben,0.0664,umweltfaktoren,0.0588,funktion,0.0524,basiskonzepte,0.0845,bau funktion,0.0768,erziehung,0.302,notwendige,0.2327,insekten,0.0798
3,fhren,0.0377,sek,0.0587,tieren,0.0584,bezge,0.0658,umweltfaktor,0.054,struktur funktion,0.0488,anpassungen,0.0832,umwelt angepasst,0.0743,kompetenzentwicklung,0.2925,gymnasiale oberstufe,0.2327,gruppen,0.0794
4,vernderung,0.0369,evolutionstheorie,0.0498,basiskonzept,0.047,heute,0.0602,anpassungen,0.049,information,0.0459,ermglichen,0.0702,variabilitt,0.0731,digitalen,0.2472,gymnasiale,0.2327,wirbeltieren,0.0778
5,angepasst,0.0359,individuelle,0.0479,jahreszeiten,0.0431,vernderungen,0.0548,kologische,0.0479,reproduktion,0.038,lernen,0.0645,funktion,0.07,schuljahrgngen,0.2405,inhaltliche,0.1918,identifizieren,0.0742
6,einfhrungsphase,0.0335,lebewesen,0.0441,fortpflanzung,0.0408,kunst,0.0527,temperatur,0.0478,zusammenhnge,0.035,eigene,0.0583,angepasst,0.0683,welt,0.2298,vorliegenden,0.1546,wirbellosen,0.0706
7,umwelt,0.0332,genetische,0.0408,merkmale,0.0401,unterricht,0.0518,kosystem,0.0458,steuerung,0.0334,darstellungen,0.0583,bau,0.0637,bersicht,0.2179,fachlichen,0.1509,wirbeltiere,0.0628
8,kommunikation,0.0274,variabilitt angepasstheit,0.0377,sinnesorgane,0.036,formen,0.0516,pflanzen,0.0401,dar,0.032,lehrplan,0.0546,variabilitt angepasstheit,0.0586,fassung,0.1604,fachbergreifende,0.1448,jeweiligen,0.0578
9,pflanzen,0.0271,population,0.0368,sonne,0.035,beurteilen,0.0506,abiotische,0.0371,beschreiben erklren,0.032,reflektieren,0.0532,angepasstheit lebewesen,0.0554,ethikunterricht,0.1389,anpassungen,0.138,geographie,0.0567
10,wirbeltieren,0.0261,organismen,0.0361,krpertemperatur,0.0331,zeit,0.0503,mithilfe,0.0306,steuerung regelung,0.032,bewertung,0.0526,ebene,0.0464,sozialkunde,0.1389,ziel,0.1258,exemplarisch,0.0556
11,genetisch,0.0254,rekombination,0.0347,leben,0.032,anforderungsniveau,0.0477,beispiele,0.0296,regelung,0.0315,analysieren,0.0518,angepasstheit variabilitt,0.0457,nachhaltigkeit,0.1313,erziehung,0.1235,merkmale,0.0529
12,sek sek,0.0251,kologische,0.0313,funktion,0.0314,normen,0.0477,faktoren,0.0289,verwandtschaft,0.0314,allgemein,0.0499,angepasst angepasstheit,0.043,wissensbestnde,0.1292,kompetenzentwicklung,0.1196,vielfalt blickwinkel,0.0518
13,biodiversitt,0.0248,beschreiben erklren,0.0301,haut,0.0303,bezug,0.0468,struktur,0.0287,stoff energieumwandlung,0.0313,fachwissen,0.0471,stoff,0.043,ber,0.127,fassung,0.1184,jeweiligen gruppen,0.0518
14,zeigen,0.0229,individuums,0.0287,angepasstheit tieren,0.0299,diskutieren,0.0468,bedeutung,0.0274,variabilitt,0.0299,recherchieren,0.0464,organismus,0.0411,fach biologie,0.1136,fach,0.1086,identifizieren typische,0.0518
15,bedeutung,0.0227,nische,0.0287,berwinterungsstrategien,0.0291,ber,0.0468,funktion,0.0274,stoff,0.0276,ausgewhlter,0.0451,beziehung,0.0408,biologie,0.1037,themen,0.108,gruppen beschreiben,0.0518
16,darstellen,0.0223,ebene,0.0277,motor,0.0286,reflektieren,0.0456,wechselwirkung,0.0273,organen,0.027,einzelnen,0.0431,ermglicht,0.0398,wirtschaft,0.0896,lernen,0.0951,merkmale jeweiligen,0.0518
17,bewerten,0.022,kologische nische,0.0275,speicherstoffe,0.0275,nehmen,0.0444,beziehungen,0.0271,basiskonzept,0.0258,lernenden,0.0412,berleben,0.0371,grundsatzband,0.0872,whrend,0.0846,beobachtete,0.0518
18,prozess,0.0216,artbildung,0.0274,tiere pflanzen,0.027,bne,0.0442,energie,0.0267,energieumwandlung,0.0258,verschiedenen,0.04,konzept,0.0369,qualifikationsphase,0.0852,konomische,0.0817,dabei identifizieren,0.0518
19,ernhrung,0.0213,individuen,0.0265,energieumwandlung,0.027,inhalte kompetenzen,0.0431,bau,0.0265,funktionelle,0.0248,notwendigkeit,0.0388,bezglich,0.034,psychologie,0.0662,gruppe,0.0755,beobachtete vielfalt,0.0518
