,Topic -1 terms,Topic -1 probabilities,Topic 0 terms,Topic 0 probabilities,Topic 1 terms,Topic 1 probabilities,Topic 2 terms,Topic 2 probabilities,Topic 3 terms,Topic 3 probabilities,Topic 4 terms,Topic 4 probabilities,Topic 5 terms,Topic 5 probabilities,Topic 6 terms,Topic 6 probabilities,Topic 7 terms,Topic 7 probabilities,Topic 8 terms,Topic 8 probabilities,Topic 9 terms,Topic 9 probabilities
0,glck,0.0544,bedrfnis,0.0373,themenfelder,0.0452,familie,0.1177,lernenden,0.1404,lernbereich,0.2557,beispiel,0.1566,sollen,0.259,bewusstsein,0.2095,bietet,0.2696,risiken,0.1788
1,unterschiedliche,0.0422,wnsche,0.037,wandel,0.0431,bedrfnisse wnsche,0.0755,fhigkeiten,0.1235,sport,0.1831,religionen,0.1381,position,0.2357,ebenso,0.2066,bildung,0.2051,erfahrungen,0.1643
2,menschen,0.0414,eigene,0.0363,beschreiben,0.0429,wnsche,0.072,gefhle bedrfnisse,0.114,freizeit,0.1516,religionen weltanschauungen,0.1066,bilden,0.2263,behinderung,0.2038,bedeutung,0.1706,digitalen,0.1577
3,leben,0.038,beschreiben,0.0326,interessen,0.0414,lebensformen,0.0699,reflektieren,0.1062,umwelt,0.1402,weltanschauungen,0.1066,darauf,0.2249,wichtige,0.1879,deren,0.1573,wahrnehmen,0.151
4,einflussfaktoren,0.0347,entwickeln,0.0314,handeln,0.0392,liebe,0.0676,gefhle,0.1007,inhalte kompetenzen,0.0987,wahrnehmung,0.1016,abwgen,0.2159,inklusion,0.1879,zusammenarbeit,0.1534,chancen,0.1224
5,sucht,0.0339,eigenen,0.0313,bewerten,0.0385,btv,0.0576,soziale,0.0917,kompetenzen,0.0842,fach,0.0881,nehmen,0.2141,spielt,0.1879,zunehmender,0.1494,kultur,0.1156
6,kommunikation,0.0315,menschen,0.0304,entwicklung,0.0339,identitt,0.0517,erfassen,0.0893,inhalte,0.0752,ausdruck,0.0866,spielt,0.2114,mitmenschen,0.1745,besonderer,0.1494,soziale,0.102
7,verhalten,0.0303,kompetenzen,0.0289,macht,0.0336,befriedigung,0.0437,wahr,0.0876,strken schwchen,0.0733,bedrfnisse wnsche,0.0851,wichtige,0.2114,ansprchen,0.1726,unternehmen,0.1426,chancen risiken,0.0986
8,eigenen,0.0303,sucht,0.0283,gestaltet,0.0332,rolle,0.0433,emotionen,0.08,schwchen,0.0733,wnsche,0.0765,zusammenhang,0.2082,achtung,0.1724,entsprechenden,0.1398,unterschiede,0.0967
9,kompetenzerwartungen,0.0302,leben,0.0276,deren,0.0329,verantwortung,0.0431,nehmen,0.074,strken,0.068,untersuchen,0.0761,wahrnehmen,0.1963,blick,0.169,interessen,0.1382,alltag,0.092
10,eigene,0.0298,lernen,0.0268,prinzip,0.0328,erziehung,0.0405,realitt,0.072,eigenes,0.0662,grundlegendes,0.0754,mitmenschen,0.1963,bewusst,0.1608,teil,0.1372,reflektieren,0.0915
11,unterschiedlichen,0.0291,bedrfnisse wnsche,0.0261,grundlagen,0.0319,kommunikation,0.0404,berzeugungen,0.0709,verhalten,0.0662,achtung,0.0691,bewusst,0.1809,wahrzunehmen,0.1597,frdern,0.1348,mglichkeiten,0.091
12,auseinander,0.0288,freiheit,0.0261,knnen,0.0315,erlutern,0.0399,her,0.0709,aktiv,0.0615,orientierung,0.0656,verschiedenen,0.1667,gefrdert,0.1595,vielfltige,0.1315,welt,0.0895
13,folgen,0.0282,knnen,0.0254,interessen bedrfnisse,0.0311,aufgaben,0.0386,wirklichkeit,0.0696,ziele,0.0615,prinzip,0.0596,rolle,0.1631,rolle,0.145,begabungen,0.1305,eigene bedrfnisse,0.086
14,vielfltige,0.0277,diskutieren,0.0252,sachkompetenz,0.0295,funktion,0.0382,verantwortlich,0.0696,bercksichtigen,0.0582,alten,0.0534,fhigkeiten,0.1406,entwicklung,0.1414,kinder,0.1295,persnliche,0.0849
15,inhalte,0.0276,handeln,0.0242,funktionen,0.0294,freiheit,0.0376,voraussetzungen,0.0684,zunehmend,0.0469,gerechtigkeit,0.0519,knnen,0.1271,umgang,0.141,neue,0.1286,identifizieren,0.0821
16,sachverhalte,0.0275,gegenber,0.0227,soziale,0.0289,innerhalb,0.0361,sozialkompetenz,0.066,leistungsfhigkeit,0.0469,besondere,0.0508,eigene,0.1187,ethikunterricht,0.1331,jugendliche,0.1268,persnlichen,0.0797
17,prfen,0.0271,bedrfnisse sucht,0.0224,auswirkungen,0.0287,blick,0.0337,grenzen,0.0647,spiele,0.0469,identifizieren,0.0508,ideen,0.0724,dabei,0.1295,geben,0.1268,medien,0.0791
18,deren,0.0269,reflektieren,0.0218,kompetenzen,0.028,bercksichtigen,0.0329,rechte,0.0638,eigenen,0.0467,zeigt,0.0501,,0.0,gegenber,0.1168,gestaltet,0.1219,kennen,0.0782
19,gefhlen bedrfnissen,0.0263,bedeutung,0.0212,spannungsfeld,0.0275,leistet,0.0286,achten,0.0634,deren,0.0451,exemplarisch,0.0501,,0.0,menschen,0.1048,erziehung,0.1165,beziehungen,0.0729
