,text_excerpt,search_term,match_term,state,school type,grade,year,subject,doc_id,bertopic_topic
7462,"verbaler Sprache und Schrift. Dies ermöglichte die kulturelle Evolution. Durch kulturelle Evolution geschaffene Veränderung wurde zum biologischen Evolutionsfaktor für andere Spezies und für den Menschen selbst. Dies wird in Kontext Evolution des Menschen: Woher kommen wir behandelt. Das exponentielle Wachstum der menschlichen Population fordert immer mehr Ressourcen und Eingriffe in die globalen Ökosysteme. Rohstoffgewinnung, industrielle Landwirtschaft und die Verbrennung fossiler Energieträger",Evolution,Evolution,Rheinland-Pfalz,,,2024,Bio,7462,0
7463,"Gehirnentwicklung. Die Veränderungen ermöglichten neue Funktionen. Es entwickelten sich Bewusstsein und Kognition, ebenso eine differenzierte Kommunikation mit Mimik, Gestik, verbaler Sprache und Schrift. Dies ermöglichte die kulturelle Evolution. Durch kulturelle Evolution geschaffene Veränderung wurde zum biologischen Evolutionsfaktor für andere Spezies und für den Menschen selbst. Dies wird in Kontext Evolution des Menschen: Woher kommen wir behandelt. Das exponentielle Wachstum der menschlichen",Evolution,Evolution,Rheinland-Pfalz,,,2024,Bio,7463,0
7464,"Kosten-Nutzen-Analyse, reproduktive Fitness, Koevolution, Abgrenzung von nicht-naturwissenschaftlichen Vorstellungen Stammbäume und Verwandtschaft: Artbildung, Biodiversität, populationsgenetischer Artbegriff, Isolation, molekularbiologische Homologien, ursprüngliche und abgeleitete Merkmale Sozialverhalten bei Primaten: exogene und endogene Ursachen, Fortpflanzungsverhalten Evolution des Menschen und kulturelle Evolution: Ursprung, Fossilgeschichte, Stammbäume und Verbreitung des heutigen Menschen, Werkzeuggebrauch, Sprachentwicklung Fachliche Verfahren PCR Gelelektrophorese Gentechnik: Veränderung und Einbau von DNA, Gentherapeutische Verfahren Sachkompetenz Die Schülerinnen",Evolution,Evolution,NRW,Gym,Sek2,2022,Bio,7464,3
7465,"Gesichtsfeldes und zur Gehirnentwicklung. Die Veränderungen ermöglichten neue Funktionen. Es entwickelten sich Bewusstsein und Kognition, ebenso eine differenzierte Kommunikation mit Mimik, Gestik, verbaler Sprache und Schrift. Dies ermöglichte die kulturelle Evolution. Durch kulturelle Evolution geschaffene Veränderung wurde zum biologischen Evolutionsfaktor für andere Spezies und für den Menschen selbst. Dies wird in Kontext Evolution des Menschen: Woher kommen wir behandelt. Das exponentielle",Evolution,Evolution,Rheinland-Pfalz,,,2024,Bio,7465,0
7466,"vererbt wird. Analog zur biologischen Evolution werden Meme weitergegeben. Meme sind Gedanken, Techniken oder Weltanschauungen. Die Weitergabe von Memen in die nächste Generation folgt dem gleichen Muster. Auch die kulturelle Evolution entsteht durch Diversität, Selektion und Reproduktion von Wissen oder Ideen. Ökosysteme liefern Ressourcen für menschliche Bedürfnisse. Menschen sind Teil der Natur. Menschliches Verhalten wirkt auf globale Ökosysteme. GLOBALES ÖKOSYSTEM Stoffe",Evolution,Evolution,Rheinland-Pfalz,,,2024,Bio,7466,1
7467,"Anpassungsfähigkeit beruht auf kulturellen und technischen Möglichkeiten, welche die biologische Begrenztheit aufheben. Im kulturellen, sozialen und weltanschaulichen Kontext wird Wissen generiert, das weitergegeben und quasi vererbt wird. Analog zur biologischen Evolution werden Meme weitergegeben. Meme sind Gedanken, Techniken oder Weltanschauungen. Die Weitergabe von Memen in die nächste Generation folgt dem gleichen Muster. Auch die kulturelle Evolution entsteht durch Diversität, Selektion und",Evolution,Evolution,Rheinland-Pfalz,,,2024,Bio,7467,0
7468,"die gleiche lange Evolution durchgemacht. Es gibt je nach Umwelt entstanden Arten, die genau auf eine einzige ökologische Nische angepasst sind Spezialisten und andere, die ein größeres Anpassungspotenzial besitzen Generalisten. Evolution ist ein Lebensprinzip. Sie hat verändernde Kraft, wenn in einer Population Diversität, Selektion und Reproduktion vorhanden sind. Menschen sind Generalisten. Ihre enorme Anpassungsfähigkeit beruht auf kulturellen und technischen Möglichkeiten, welche",Evolution,Evolution,Rheinland-Pfalz,,,2024,Bio,7468,0
7469,"alle Merkmale eines Säugetiers. Die Gene, die der Mensch mit anderen Menschen und anderen Arten teilt, lassen auf den Grad der Verwandtschaft schließen. Alle rezenten Arten haben die gleiche lange Evolution durchgemacht. Es gibt je nach Umwelt entstanden Arten, die genau auf eine einzige ökologische Nische angepasst sind Spezialisten und andere, die ein größeres Anpassungspotenzial besitzen Generalisten. Evolution ist ein Lebensprinzip.",Evolution,Evolution,Rheinland-Pfalz,,,2024,Bio,7469,-1
7470,"von nicht-naturwissenschaftlichen Vorstellungen Stammbäume und Verwandtschaft: Artbildung, Biodiversität, populationsgenetischer Artbegriff, Isolation, molekularbiologische Homologien, ursprüngliche und abgeleitete Merkmale Sozialverhalten bei Primaten: exogene und endogene Ursachen, Fortpflanzungsverhalten Evolution des Menschen und kulturelle Evolution: Ursprung, Fossilgeschichte, Stammbäume und Verbreitung des heutigen Menschen, Werkzeuggebrauch, Sprachentwicklung Fachliche Verfahren PCR Gelelektrophorese Gentechnik: Veränderung und Einbau von DNA, Gentherapeutische Verfahren Sachkompetenz Die Schülerinnen und Schüler erläutern vergleichend die",Evolution,Evolution,NRW,Gym,Sek2,2022,Bio,7470,3
7471,"pädagogisches Anliegen dieses Themenfeldes und kann fächerverbindend genutzt werden. Das Themenfeld macht interdisziplinäre und innerfachliche Zusammenhänge deutlich, die in Ansätzen bearbeitet werden können. Exemplarisch soll das bereits erworbene Wissen über Evolution, Ökologie, Neurobiologie, Immunbiologie und Genetik vernetzt und punktuell vertieft werden. Kompetenzen In der Rubrik Kompetenzen werden konkrete Aktivitäten der Schülerinnen und Schüler an zum Teil alternativ wählbare Fachinhalte gekoppelt. Diese",Evolution,Evolution,Rheinland-Pfalz,,,2024,Bio,7471,-1
