,Topic -1 terms,Topic -1 probabilities,Topic 0 terms,Topic 0 probabilities,Topic 1 terms,Topic 1 probabilities,Topic 2 terms,Topic 2 probabilities,Topic 3 terms,Topic 3 probabilities
0,einsatz,0.8293,propheten,0.3853,gott,0.2081,begriffe,0.4519,knnen,0.1217
1,gottes,0.3605,verhltnisse,0.1822,gottes,0.1839,zivilcourage,0.2958,soziale,0.1161
2,kompetenzerwartungen,0.3279,gott,0.1758,zivilcourage,0.1793,ggf,0.2178,beurteilen,0.1075
3,frage,0.2591,menschen,0.1603,menschen,0.1265,ber,0.216,kompetenzen,0.094
4,soziale gerechtigkeit,0.2206,menschen gerechtigkeit,0.1575,menschen gerechtigkeit,0.1243,denen,0.159,sozialer,0.0921
5,sozialer,0.1867,errtern,0.131,heute,0.1195,nehmen,0.107,erlutern,0.0917
6,soziale,0.1471,zeit,0.1023,eigenes,0.1181,hoffnung,0.1067,formen,0.0854
7,geschichte,0.1218,mglichkeiten,0.0993,kompetenzerwartungen,0.1115,kompetenzen,0.0913,sozialen,0.0818
8,,0.0,ber,0.0851,begriffe,0.087,zeit,0.0899,menschen,0.0784
9,,0.0,kompetenzen,0.0779,frieden,0.0797,heute,0.0887,ber,0.0779
10,,0.0,jeweiligen,0.062,soziale gerechtigkeit,0.075,gott,0.0772,soziale gerechtigkeit,0.0771
11,,0.0,einsatz,0.0596,jeweiligen,0.0733,verhltnisse,0.0712,frieden,0.0704
12,,0.0,erlutern,0.056,ggf,0.0733,sozialer,0.0629,mglichkeiten,0.0692
13,,0.0,geschichte,0.0525,hoffnung,0.0719,orientierung,0.0599,errtern,0.0674
14,,0.0,gerechtigkeit frieden,0.0511,einsatz,0.0705,eigenes,0.0584,frage,0.0592
15,,0.0,heute,0.0505,formen,0.0697,kompetenzerwartungen,0.0552,ethische,0.0452
16,,0.0,stellen,0.0505,sozialer,0.0635,formen,0.0517,begriffe,0.0401
17,,0.0,beurteilen,0.0479,gerechtigkeit frieden,0.0605,knnen,0.0494,denen,0.0381
18,,0.0,nehmen,0.0457,orientierung,0.0605,erlutern,0.0328,nehmen,0.0356
19,,0.0,denen,0.0452,stellen,0.0598,,0.0,orientierung,0.0319
