Topic,Count,Proportion,Name,Representation,Representative_Docs
-1,122,0.1796759941089838,-1_konsum_erfolg_glck konsum_fragen,"['konsum', 'erfolg', 'glck konsum', 'fragen', 'argumente', 'umgang', 'inhalte', 'glckliches leben', 'wege', 'wege glck', 'glckliches', 'denken', 'endlichkeit', 'regeln', 'individuelle', 'zusammenhang', 'glcksvorstellungen', 'persnliche', 'mgliche', 'gelingendes']","['Selbstvertrauen, Motivation und Demotivation entwickeln Verhaltensmöglichkeiten für den Umgang Erfolg bzw. Misserfolg. Trost, Lob, Anerkennung, Wertschätzung relativen Erfolgs, Inanspruchnahme fremder Hilfe, Bescheidenheit, realistische Selbsteinschätzung, Aufstiegsmöglichkeiten, Versagensängste, Förderprogramme ... Grundbegriffe: Erfolg/Misserfolg, glückliches Leben, Verantwortungsbewusstsein Inhaltsbezogener Kompetenzbereich: Fragen nach Moral und Ethik Leitthema: Regeln für das Zusammenleben Erwartete Kompetenzen am Ende von Schuljahrgang Mögliche Inhalte für den Kompetenzerwerb Die Schülerinnen und Schüler ...', 'Selbstvertrauen, Motivation und Demotivation entwickeln Verhaltensmöglichkeiten für den Umgang Erfolg bzw. Misserfolg. Trost, Lob, Anerkennung, Wertschätzung relativen Erfolgs, Inanspruchnahme fremder Hilfe, Bescheidenheit, realistische Selbsteinschätzung, Aufstiegsmöglichkeiten, Versagensängste, Förderprogramme ... Grundbegriffe: Erfolg/Misserfolg, glückliches Leben, Verantwortungsbewusstsein Inhaltsbezogener Kompetenzbereich: Fragen nach Moral und Ethik Leitthema: Regeln für das Zusammenleben Erwartete Kompetenzen am Ende von Schuljahrgang Mögliche Inhalte für den Kompetenzerwerb Die Schülerinnen und Schüler ...', 'Motivation und Demotivation entwickeln Verhaltensmöglichkeiten für den Umgang mit Erfolg bzw. Misserfolg. Trost, Lob, Anerkennung, Wertschätzung relativen Erfolgs, Inanspruchnahme fremder Hilfe, Bescheidenheit, realistische Selbsteinschätzung, Aufstiegsmöglichkeiten, Versagensängste, Förderprogramme ... Grundbegriffe: Erfolg/Misserfolg, glückliches Leben, Verantwortungsbewusstsein Inhaltsbezogener Kompetenzbereich: Fragen nach Moral und Ethik Leitthema: Regeln für das Zusammenleben Erwartete Kompetenzen am Ende von Schuljahrgang Mögliche Inhalte für den Kompetenzerwerb Die Schülerinnen und Schüler ...']"
0,184,0.2709867452135493,0_moral_glck moral_analysieren_reflektieren,"['moral', 'glck moral', 'analysieren', 'reflektieren', 'wahrnehmen', 'knnen', 'verantwortung', 'werte', 'interpretieren', 'gerechtigkeit', 'welt', 'natur', 'mensch', 'gesellschaft', 'hineinversetzen', 'handeln', 'beurteilen', 'sinn', 'liebe', 'technik']","[', , , , Argumentieren und reflektieren , , Glück und Moral Wahrnehmen und sich hineinversetzen , , Analysieren und interpretieren , , , , Argumentieren und reflektieren , , Glück und Moral Wahrnehmen und sich hineinversetzen , , Analysieren und interpretieren , , , , Argumentieren und reflektieren , , Glück und Moral Konfliktregelung und Toleranz Konfliktregelung und Friedensbildung Die', 'Glück und Moral D Medien Wahrnehmen und sich hineinversetzen , , Analysieren und interpretieren , , , , , Argumentieren und reflektieren , , Konfliktregelung und Friedensstiftung Mensch und Umwelt Glück und Moral D Medien Wahrnehmen und sich hineinversetzen , , Analysieren und interpretieren , , , , , Argumentieren und reflektieren , , Konfliktregelung und Friedensstiftung Mensch und Umwelt Glück', 'und Risiken der Lebensführung Wahrnehmen und sich hineinversetzen , , Analysieren und interpretieren , , Argumentieren und reflektieren , Werte und Normen in der medial vermittelten Welt Mensch als Kulturwesen Glück und Moral BIO Ökologie GEO Analyse ausgewählter Meeresräume Mensch als Kulturwesen Die Schülerinnen und Schüler können die Bedeutung von Natur und Technik für das Selbstverständnis des Menschen als Kulturwesen erläutern']"
1,113,0.16642120765832105,1_glcks_lust_zufriedenheit_persnliche,"['glcks', 'lust', 'zufriedenheit', 'persnliche', 'glcksvorstellungen', 'zufall', 'eher', 'thema', 'positive', 'philosophie', 'mrchen', 'religion', 'verschiedener', 'hedonismus', 'menschlichen', 'grundlegende', 'begriffe', 'auseinandersetzung', 'ziel', 'gesellschaft']","['den Glücksbegriff, nämlich o Glück als Ziel o Glück als positive Empfindung Spannbreite: Lust pleasure, eher kurzzeitig, rauschhaft, Freude, Zufriedenheit happiness, eher gleichförmig, überdauernd o Glück als positiver Zufall luck Glück als Selbstwirksamkeit success Anwendung der Zeitebene auf die Begriffe: Glück als jeweils periodisches oder dauerhaftes Thematisieren ihrer Überschneidungen Identifizieren der Begriffe in Sprichwörtern zum Thema Glück Essays zu Zitaten wie:', 'Glücksbegriff, nämlich o Glück als Ziel o Glück als positive Empfindung Spannbreite: Lust pleasure, eher kurzzeitig, rauschhaft, Freude, Zufriedenheit happiness, eher gleichförmig, überdauernd o Glück als positiver Zufall luck o Glück als Selbstwirksamkeit success Anwendung der Zeitebene auf die Begriffe: Glück als jeweils periodisches oder dauerhaftes Thematisieren ihrer Überschneidungen Identifizieren der Begriffe in Sprichwörtern zum Thema Glück Essays zu Zitaten wie:', 'kritisieren diese. Placemat Glück und das gute Leben Allgemeine Ethik Hauptphase LK Inhaltsbezogene Kompetenzen Konkretisierungen und Hinweise Die Schülerinnen und Schüler differenzieren den Glücksbegriff, nämlich o Glück als Ziel o Glück als positive Empfindung Spannbreite: Lust pleasure, eher kurzzeitig, rauschhaft, Freude, Zufriedenheit happiness, eher gleichförmig, überdauernd o Glück als positiver Zufall luck Glück als Selbstwirksamkeit success Anwendung der Zeitebene auf die']"
2,80,0.11782032400589101,2_glcksvorstellungen_unglck_glck glcklich_eigene,"['glcksvorstellungen', 'unglck', 'glck glcklich', 'eigene', 'untersuchen', 'glcklich glck', 'glck unglck', 'frage', 'sachkompetenz', 'gut', 'definieren', 'immer', 'formulieren', 'erkennen', 'selbstverwirklichung glck', 'glck beschreiben', 'vorstellungen glck', 'analysieren', 'texten', 'diskutieren']","['gelenkte Wahrnehmung beschreiben und reflektieren Was ist Glück, Gemeinsamkeiten und Differenzen von Handlungsgrundsätzen und Wertvorstellungen erklären und diskutieren Selbstverwirklichung und Glück, die Relevanz sozialer Kontexte für Handlungen analysieren Selbstverwirklichung und Glück, pointierte sprachliche Ausdrucksformen für eigene Gedanken entwickeln und schriftlich formulieren z. B. Metaphern, Neologismen Was ist Glück, die korrekte Verwendung von Begriffen in Diskussionen und Texten prüfen Was ist Glück,', 'diskutieren Selbstverwirklichung und Glück, die Relevanz sozialer Kontexte für Handlungen analysieren Selbstverwirklichung und Glück, pointierte sprachliche Ausdrucksformen für eigene Gedanken entwickeln und schriftlich formulieren z. B. Metaphern, Neologismen Was ist Glück, die korrekte Verwendung von Begriffen in Diskussionen und Texten prüfen Was ist Glück, Begriffe durch Oberbegriffe und Unterscheidungsmerkmale definieren Was ist Glück. inhaltsbezogene Kompetenzen methodisch-didaktische Hinweise Was ist Glück Die', 'diskutieren Selbstverwirklichung und Glück, die Relevanz sozialer Kontexte für Handlungen analysieren Selbstverwirklichung und Glück, pointierte sprachliche Ausdrucksformen für eigene Gedanken entwickeln und schriftlich formulieren z. B. Metaphern, Neologismen Was ist Glück, die korrekte Verwendung von Begriffen in Diskussionen und Texten prüfen Was ist Glück, Begriffe durch Oberbegriffe und Unterscheidungsmerkmale definieren Was ist Glück. inhaltsbezogene Kompetenzen methodisch-didaktische Hinweise Was ist Glück Die']"
3,55,0.08100147275405008,3_kriterien_welt_wohlstand_armut,"['kriterien', 'welt', 'wohlstand', 'armut', 'glckliches', 'mglichkeiten', 'selbstbestimmten', 'inhalte', 'glckliches leben', 'fhigkeit', 'mgliche', 'reichtum', 'entwicklung', 'lebensgestaltung', 'ermglicht', 'kompetenzerwerb', 'freizeit', 'ende', 'zukunft', 'selbstbestimmtes leben']","['für das eigene Leben. Identifikations- und Abgrenzungsangebote bezüglich verschiedener Kriterien: Schönheit, Berühmtheit, Reichtum, Erfolg, Mut, Zivilcourage, Hilfsbereitschaft, Gewaltlosigkeit ... Grundbegriffe: Freundschaft, Idol, Vorbild Inhaltsbezogener Kompetenzbereich: Fragen nach der Zukunft Leitthema: Glück und Lebensgestaltung Erwartete Kompetenzen am Ende von Schuljahrgang Mögliche Inhalte für den Kompetenzerwerb Die Schülerinnen und Schüler ... beschreiben individuelle Zukunftswünsche und nennen Kriterien für glückliches Leben. Berufswunsch, fiktiver Lebenslauf,', 'das eigene Leben. Identifikations- und Abgrenzungsangebote bezüglich verschiedener Kriterien: Schönheit, Berühmtheit, Reichtum, Erfolg, Mut, Zivilcourage, Hilfsbereitschaft, Gewaltlosigkeit ... Grundbegriffe: Familienformen, Freundschaft, Idol, Vorbild Inhaltsbezogener Kompetenzbereich: Fragen nach der Zukunft Leitthema: Glück und Lebensgestaltung Erwartete Kompetenzen am Ende von Schuljahrgang Mögliche Inhalte für den Kompetenzerwerb Die Schülerinnen und Schüler ... beschreiben individuelle Zukunftswünsche und nennen Kriterien für glückliches Leben. Berufswunsch, fiktiver Lebenslauf,', 'das eigene Leben. Identifikations- und Abgrenzungsangebote bezüglich verschiedener Kriterien: Schönheit, Berühmtheit, Reichtum, Erfolg, Mut, Zivilcourage, Hilfsbereitschaft, Gewaltlosigkeit ... Grundbegriffe: Familienformen, Freundschaft, Idol, Vorbild Inhaltsbezogener Kompetenzbereich: Fragen nach der Zukunft Leitthema: Glück und Lebensgestaltung Erwartete Kompetenzen am Ende von Schuljahrgang Mögliche Inhalte für den Kompetenzerwerb Die Schülerinnen und Schüler ... beschreiben individuelle Zukunftswünsche und nennen Kriterien für glückliches Leben. Berufswunsch, fiktiver Lebenslauf,']"
4,25,0.036818851251840944,4_dingen_konsum_vergleich_chancen,"['dingen', 'konsum', 'vergleich', 'chancen', 'bewusstsein', 'verantwortlich', 'zeigen bewusstsein', 'umzugehen', 'beim', 'gemeinschaft', 'sinnvolles', 'zeigen', 'dinge', 'persnlichen', 'mglichkeit', 'sozialen', 'entwerfen', 'lebensfhrung', 'gegenber', 'regeln']","['Untersuchen der Freiheit gegenüber sozialen Zwängen und Werbung Diskussion: Sind Freundschaft, Liebe und Gemeinschaft wie Dinge, die man konsumiert Glück und Konsum Die Schülerinnen und Schüler beschreiben ihre Vorstellungen von Glück, erläutern Chancen und Gefahren beim Versuch, durch den Konsum von Dingen glücklich zu werden, entwerfen Regeln für ein sinnvolles Konsumverhalten. systematisches Fortführen des Satzes Ich gehe in die Schule, um', 'von Dingen glücklich zu werden, entwerfen Regeln für ein sinnvolles Konsumverhalten. systematisches Fortführen des Satzes Ich gehe in die Schule, um ...: Suche nach dem Endziel des Lebens als Möglichkeit, Glück zu beschreiben Vergleich mit dem Leben eines Mitglieds eines Naturvolks mögliche Chancen und Gefahren beim Versuch, durch den Konsum von Dingen glücklich zu werden: Teilhabe an Gemeinschaft, Selbstausdruck, Genuss etc.', 'von Dingen glücklich zu werden, entwerfen Regeln für ein sinnvolles Konsumverhalten. systematisches Fortführen des Satzes Ich gehe in die Schule, um ...: Suche nach dem Endziel des Lebens als Möglichkeit, Glück zu beschreiben Vergleich mit dem Leben eines Mitglieds eines Naturvolks mögliche Chancen und Gefahren beim Versuch, durch den Konsum von Dingen glücklich zu werden: Teilhabe an Gemeinschaft, Selbstausdruck, Genuss etc.']"
5,24,0.035346097201767304,5_selbstverwirklichung_zunchst_anbietet_nahezu,"['selbstverwirklichung', 'zunchst', 'anbietet', 'nahezu', 'scheinbar', 'werbungen', 'gegenstand', 'berhaupt', 'glcks glck', 'reflexion', 'glck vermittelt', 'vermittelt', 'denkanste', 'eigene vorstellungen', 'lebensziele', 'glcks', 'ziele', 'form', 'scheint', 'individuellen']","['nach einem stabilen Selbst braucht Orientierungen, wobei sich das Glück - auch vermittelt durch Idealbilder glücklicher Menschen in Werbungen nahezu selbstverständlich anbietet. Ebenso scheint die Selbstverwirklichung eine selbstverständliche Form individuellen Glücks zu sein. Doch das Glück selbst ist zunächst meist kein Gegenstand der Reflexion. Scheinbar eigene Vorstellungen von Glück und Selbstverwirklichung sind vielmehr oft Objekte der Fremdbestimmung. Denkanstöße Was ist Glück', 'Werbungen nahezu selbstverständlich anbietet. Ebenso scheint die Selbstverwirklichung eine selbstverständliche Form individuellen Glücks zu sein. Doch das Glück selbst ist zunächst meist kein Gegenstand der Reflexion. Scheinbar eigene Vorstellungen von Glück und Selbstverwirklichung sind vielmehr oft Objekte der Fremdbestimmung. Denkanstöße Was ist Glück Kann ich überhaupt glücklich werden Bin ich selbst meines Glückes Schmied/Schmiedin Sind meine Lebensziele wirklich meine Ziele Mein', 'Werbungen nahezu selbstverständlich anbietet. Ebenso scheint die Selbstverwirklichung eine selbstverständliche Form individuellen Glücks zu sein. Doch das Glück selbst ist zunächst meist kein Gegenstand der Reflexion. Scheinbar eigene Vorstellungen von Glück und Selbstverwirklichung sind vielmehr oft Objekte der Fremdbestimmung. Denkanstöße Was ist Glück Kann ich überhaupt glücklich werden Bin ich selbst meines Glückes Schmied/Schmiedin Sind meine Lebensziele wirklich meine Ziele Mein']"
6,22,0.03240058910162003,6_glck glck_leben glck_glcklichen_heute,"['glck glck', 'leben glck', 'glcklichen', 'heute', 'mehr', 'beim', 'scheint', 'denkanste', 'genuss', 'immer', 'gutes leben', 'mglich', 'moral', 'zusammen', 'glcklichen leben', 'gutes', 'ber', 'moralische', 'menschlichen lebens', 'glckliches leben']","['wurde beides im Konzept des guten Lebens noch nicht getrennt: Zum glücklichen Leben gehörte das moralische Leben. Ist das auch ein heute gangbarer Weg Denkanstöße Was wären wir ohne Glück Glück ist käuflich. Wie immer auch beim Glück: Haben oder Sein. Glück ist mehr als Genuss. Ist ein glückliches Leben auch ein gutes Leben Glück und Moral - passt das zusammen', 'noch nicht getrennt: Zum glücklichen Leben gehörte das moralische Leben. Ist das auch ein heute gangbarer Weg Denkanstöße Was wären wir ohne Glück Glück ist käuflich. Wie immer auch beim Glück: Haben oder Sein. Glück ist mehr als Genuss. Ist ein glückliches Leben auch ein gutes Leben Glück und Moral - passt das zusammen Kompetenzerwartungen Die Schülerinnen und Schüler betrachten die', 'noch nicht getrennt: Zum glücklichen Leben gehörte das moralische Leben. Ist das auch ein heute gangbarer Weg Denkanstöße Was wären wir ohne Glück Glück ist käuflich. Wie immer auch beim Glück: Haben oder Sein. Glück ist mehr als Genuss. Ist ein glückliches Leben auch ein gutes Leben Glück und Moral - passt das zusammen Kompetenzerwartungen Die Schülerinnen und Schüler beschreiben Einflussfaktoren']"
7,21,0.030927835051546393,7_wnsche_wege glck_wege_bedrfnisse,"['wnsche', 'wege glck', 'wege', 'bedrfnisse', 'wnschen', 'handlungsmuster', 'denkanste', 'bedrfnissen', 'handlungen', 'freizeit', 'kriterien', 'kompetenzerwartungen knnen', 'relevanz', 'situationen', 'vergleichen', 'relevanz handlungen', 'konsum', 'ethische relevanz', 'beschreiben kategorisieren', 'kategorisieren']","['Konsum zunächst offensichtlich zu sein scheint. Doch ist das auch so Denkanstöße Brauchen wir alles, was wir besitzen Weshalb konsumieren wir so häufig Was ist Glück Werden wir durch Dinge glücklich Kompetenzerwartungen Die Schülerinnen und Schüler können Handlungsmuster in Beziehung zu Handlungsgrundsätzen und Wertvorstellungen setzen Konsum, die ethische Relevanz von Handlungen und Situationen beschreiben und kategorisieren z. B. Zugehörigkeit zur Glücks-', 'dass der Konnex Glück und Konsum zunächst offensichtlich zu sein scheint. Doch ist das auch so Denkanstöße Brauchen wir alles, was wir besitzen Weshalb konsumieren wir so häufig Was ist Glück Werden wir durch Dinge glücklich Kompetenzerwartungen Die Schülerinnen und Schüler können Handlungsmuster in Beziehung zu Handlungsgrundsätzen und Wertvorstellungen setzen Konsum, die ethische Relevanz von Handlungen und Situationen beschreiben und kategorisieren', 'Konsum zunächst offensichtlich zu sein scheint. Doch ist das auch so Denkanstöße Brauchen wir alles, was wir besitzen Weshalb konsumieren wir so häufig Was ist Glück Werden wir durch Dinge glücklich Kompetenzerwartungen Die Schülerinnen und Schüler können Handlungsmuster in Beziehung zu Handlungsgrundsätzen und Wertvorstellungen setzen Konsum, die ethische Relevanz von Handlungen und Situationen beschreiben und kategorisieren z. B. Zugehörigkeit zur Glücks-']"
8,17,0.025036818851251842,8_gute leben_gute_leben antike_antike,"['gute leben', 'gute', 'leben antike', 'antike', 'ziel', 'etc', 'glck gute', 'geld', 'konkretisierungen hinweise', 'kompetenzen konkretisierungen', 'konkretisierungen', 'erklren', 'individuum', 'essays', 'hinweise glck', 'begriffe glck', 'hauptphase inhaltsbezogene', 'leben glck', 'begriff', 'utopien']","['Essays Glück, definieren Begriffe Glück, Das gute Leben in der Antike, Verwenden Formen szenischer Darstellung Standbild, Sketch etc, bildhafter Darstellung Collage, Zeitung, Cartoon etc. und lyrisch-musischer Darstellung Rap, Song etc. Glück, Das gute Leben in der Antike, Glück und Moral. Glück und das gute Leben Allgemeine Ethik Hauptphase GK Inhaltsbezogene Kompetenzen Konkretisierungen und Hinweise Glück Die Schülerinnen und Schüler erklären Glück', 'und lyrisch-musischer Darstellung Rap, Song etc. Glück, Das gute Leben in der Antike, Glück und Moral. Glück und das gute Leben Allgemeine Ethik Hauptphase GK Inhaltsbezogene Kompetenzen Konkretisierungen und Hinweise Glück Die Schülerinnen und Schüler erklären Glück als eine Leitidee im Leben, Glück als Ziel formaler Begriff Möglichkeit der Ausweitung: Ziel für Individuum oder für Gesellschaft/Staat: Utopien Rückführungsspiele: Ich gehe zur', 'Glück, Das gute Leben in der Antike, Glück und Moral. Glück und das gute Leben Allgemeine Ethik Hauptphase GK Inhaltsbezogene Kompetenzen Konkretisierungen und Hinweise Glück Die Schülerinnen und Schüler erklären Glück als eine Leitidee im Leben, Glück als Ziel formaler Begriff Möglichkeit der Ausweitung: Ziel für Individuum oder für Gesellschaft/Staat: Utopien Rückführungsspiele: Ich gehe zur Arbeit, um Geld zu verdienen. Ich']"
