topic_name,Bio,"Ethik, Philo",Geschichte,"Psychologie, Gesundheit",Sozialkunde,entropy,topic_total,topic_proportion
-1_handlungen_leben_lernbereich_verantwortung,0.2112,0.3974,0.0759,0.0024,0.3132,1.8304,843,0.2231
0_handlungen_eigene_analysieren_verantwortung,0.1468,0.3812,0.0842,0.0204,0.3674,1.8826,2697,0.7139
1_motivation_motive_handelns_gerne,0.0,1.0,0.0,0.0,0.0,0.0,51,0.0135
2_dimensionen_dimension_verantwortlichen handeln_potenziale,0.1522,0.5,0.1522,0.0217,0.1739,1.8856,46,0.0122
3_aufgaben_bewltigung_fertigkeiten_kenntnisse,0.2,0.3,0.1667,0.0,0.3333,1.9446,30,0.0079
4_les_handlungen ablufe_les verbes_verbes,0.3333,0.3333,0.0,0.0,0.3333,1.585,21,0.0056
5_handlungen entscheidungen_bewerten_personen_menschlichen lebens,0.0,1.0,0.0,0.0,0.0,0.0,20,0.0053
6_verstehen_erkennen_anteil_einfhlen,0.2105,0.6842,0.0,0.0,0.1053,1.1897,19,0.005
7_gegenstandsbereiche_kommunizieren_ethisch_vorstellen,0.0,1.0,0.0,0.0,0.0,0.0,18,0.0048
8_glck_reaktionen_moral_wege glck,0.1111,0.7778,0.0,0.0,0.1111,0.9864,18,0.0048
9_gottes_jesu_sichtbar_reich,0.3333,0.3333,0.0,0.0,0.3333,1.585,15,0.004
TOTAL,0.1601,0.4031,0.0802,0.0154,0.3412,1.8653,3778,1.0
