,text_excerpt,search_term,match_term,state,school type,grade,year,subject,doc_id,bertopic_topic
12799,Lebensökonomie z. B. die Untersuchung der Funktionsweisen des Körpers oder die Bewertung der Nutzung verschiedener Energieträger und Rohstoffe. Die Schülerinnen und Schüler überdenken dadurch ihre Einstellungen und optimieren ihr alltägliches Handeln. Das Fach Chemie trägt durch die häufige Anbindung von wissenschaftlichen und industriellen Vorgehens- und Verfahrensweisen sowie durch den praktischen Umgang mit Chemikalien und Geräten zur beruflichen Orientierung der Schülerinnen und,Handeln,Handeln,Bayern,Realschule,,2023,Bio,12799,0
12800,"- Nachweis von Stärke, Glucose, Protein in Lebensmitteln - Experimente zu Veränderungen von Atemfrequenz, Blutdruck und Puls Möglichkeiten zur Abstimmung in den Schuljahrgängen / - Sozialkunde: Rechtliche Grundlagen für das Handeln Jugendlicher beurteilen Bearbeitung mit Fallanalyse, Fallstudie oder Konfliktanalyse - Rechtsvorschriften für das Handeln Jugendlicher - Evangelischer Religionsunterricht: Anthropologie - Sich mit Partnerschaft in Vielfalt und Verantwortung auseinandersetzen Kriterien für einen",Handeln,Handeln,Sachsen-Anhalt,Gym,,2022,Bio,12800,-1
12801,"Beispiel Strukturmodell, Mind-Map, Concept-Map, zur Visualisierung und Strukturierung politischer, wirtschaftlicher und gesellschaftlicher Sach-, Konflikt- und Problemlagen erarbeiten produkt-, rollen- beziehungsweise adressatenorientierte Texte verfassen zum Beispiel Leserbrief, Blogeintrag, Rede, Streitgespräch politisches Handeln simulieren zum Beispiel Rollendebatte, Rollenspiel in elementarer Form sozialwissenschaftlich arbeiten zum Beispiel eine Erkundung, Expertenbefragung, Meinungsumfrage oder ein Interview durchführen, auswerten und präsentieren Standards für inhaltsbezogene Kompetenzen Klassen // Gesellschaft",Handeln,Handeln,BaWü,,Sek1,2016,Sozialkunde,12801,0
12802,"dass Geschichte Bestandteil der Gegenwart ist, da jede Gegenwart auf eine jeweils eigene Art und Weise mit Geschichte umgeht Geschichtskultur. Sie erkennen, dass gegenwärtige Ereignisse historisch bedingt sind und gegenwärtiges Handeln die Zukunft beeinflusst. Zudem erwerben die Schülerinnen und Schüler bei der Begegnung mit Geschichte Kompetenzen, die sie bei der Herausbildung einer eigenen Identität unterstützen, die ihnen helfen, sich in ihrer",Handeln,Handeln,Bayern,Realschule,,2023,Bio,12802,0
12803,"Frage nach der ultimaten Betrachtung eines Phänomens angemessen. Lebensweltbezogenes Lernen Biologisches Wissen ermöglicht die Erklärung von Lebensprozessen, insbesondere auch die der eigenen Person, sowie von evolutionären Entwicklungsprozessen. Dies beeinflusst das Handeln in unterschiedlichen Alltagssituationen, gesundheitsgerechtes Verhalten und den nachhaltigen Umgang mit Ressourcen. Die Lernenden erhalten einen fachlichen Zugang zu lebensweltbezogenen Problemen, z. B. zum Erhalt der Biodiversität, zu den Folgen der",Handeln,Handeln,Sachsen-Anhalt,Gym,,2022,Bio,12803,0
12804,"Spannungsfeld von Interessen und Werten Lernbereich IV Leistungseinschätzung Grundsätze Kriterien Grundsätze der Leistungseinschätzung in bilingualen Modulen Zur Kompetenzentwicklung im Geschichtsunterricht zum Erwerb der allgemeinen Hochschulreife Im Unterrichtsfach Geschichte wird das Handeln von Menschen in der Zeit untersucht und analysiert. Der Schüler lernt die Entstehung menschlicher Gesellschaften, deren Entwicklung und Wirken bis in die Gegenwart kennen. Er setzt sich mit der historischen",Handeln,Handeln,Thüringen,Gym,,2021,Geschichte,12804,0
12805,"von Individuum und Gesellschaft in verschiedenen politischen Theorien vergleichen. Methodenkompetenz Der Schüler kann - Fallbeispiele für Sozialisation analysieren, - Studien zum Einfluss von Medien auf den Sozialisationsprozess auswerten, - soziales Handeln im Alltag untersuchen, - sich mit Minderheitenproblemen in Gesellschaften, z. B. in Form einer Talkshow, eines Streitgesprächs, einer Expertenbefragung, auseinandersetzen, - mit Hilfe einer Konfliktanalyse die Rolle des Staates in",Handeln,Handeln,Thüringen,Gym,,2012,Sozialkunde,12805,-1
12806,"ihre historischen Voraussetzungen und Bedingungen, befragt werden. Hier geht es vor allem um die Einsicht, dass die Kenntnis um die historischen Entstehungszusammenhänge aktueller Phänomene deren Beurteilung erleichtert und ein verantwortungsvolles Handeln in Gegenwart und Zukunft ermöglicht. Der Blick kann sich darüber hinaus auch auf Sachverhalte und Prozesse in der Vergangenheit richten, die vergleichbar mit gegenwärtigen Situationen sind, etwa wenn es sich",Handeln,Handeln,Thüringen,Gym,,2021,Geschichte,12806,0
12807,"zwischen Vergangenheit und Gegenwart ist nur dann sinnvoll, wenn der Schüler dabei die Differenz zwischen historischen und gegenwärtigen Erfahrungen Alterität erkennt und beachtet. Er muss demzufolge zunächst das Denken und Handeln der Menschen im Kontext ihrer Zeit rekonstruieren und aus dem jeweiligen Normen- und Wertehorizont heraus beurteilen. Darauf aufbauend kann er reflektierte Bezüge zur Gegenwart herzustellen und ggf. Denk- und Handlungsalternativen",Handeln,Handeln,Thüringen,Gym,,2021,Geschichte,12807,0
12808,"Methoden historischer Erkenntnisgewinnung vertraut und wendet diese zunehmend selbstständiger an. In schulischen und außerschulischen Lernsituationen erprobt er verschiedene, auch kreative Formen der Aneignung und Darstellung von Geschichte und reflektiert sein Handeln. Entsprechende Lernarrangements unterstützen den Schüler dabei, seine Lernstrategien und Lösungswege selbsttätig und zielgerichtet zu planen und angemessen umzusetzen sowie sein Vorgehen und seine Handlungsergebnisse kritisch zu überprüfen. Wissenschaftsorientierung Das Prinzip",Handeln,Handeln,Thüringen,Gym,,2021,Geschichte,12808,0
