,text_excerpt,search_term,match_term,state,school type,grade,year,subject,doc_id,bertopic_topic
16676,Prozesse als erste Kriegsverbrecherprozesse in der Geschichte Gleichschaltung Volksgemeinschaft und Ausgrenzung/ Verfolgung/ Ermordung enge Verzahnung von Wirtschaft und Staat: Schulden Senkung der Arbeitslosigkeit durch staatliche Investitionen Kriegsvorbereitung Zwangsarbeit März Die Konkurrenz der Systeme Potsdamer Konferenz TrumanDoktrin und Marshallplan; Zwei-LagerTheorie / Berliner Blockade Gründung der NATO Gründung zweier deutscher Staaten - Koreakrieg Gründung des Warschauer Paktes Mauerbau Kuba-Krise KSZESchlussakte sowjetischer Einmarsch in,Konkurrenz,Konkurrenz,Saarland,Gym,Sek2,2019,Geschichte,16676,0
16677,"- Kursfahrt in die Jugendbegegnungs- und Bildungsstätte Albert Schweitzer in Niederbronnles-Bains - Historisches Museum Saar: Gestapozelle - Jüdische Friedhöfe und Synagoge Aspekte internationaler Geschichte im Jahrhundert Geschichte Hauptphase LK Die Konkurrenz der Systeme Die Auseinandersetzung zwischen den kapitalistischen USA und der kommunistischen Sowjetunion sollte sich als ein totaler Konflikt erweisen, da nahezu alle Regionen und Bewohner der Erde von diesem Konflikt",Konkurrenz,Konkurrenz,Saarland,Gym,Sek2,2019,Geschichte,16677,0
16678,"gegenüber einem abiotischen Faktor mithilfe einer geeigneten Darstellungsform. erläutern inter- und intraspezifische Konkurrenz, Räuber-Beute-Beziehung, Parasitismus und Symbiose als Wechselbeziehungen zwischen Organismen an konkreten Beispielen. werten Ökogramme im Hinblick auf interspezifische Konkurrenz aus. stellen die ökologische Nische als Beziehungsgefüge zwischen einer Art und ihrer Umwelt mithilfe einer geeigneten Darstellungsform dar. Die Rückwirkungen zwischen Individuenanzahl und Umweltbedingungen regulieren das Populationswachstum in Ökosystemen. Sachkompetenz",Konkurrenz,Konkurrenz,Niedersachsen,Gym,Sek2,2022,Bio,16678,1
16679,Themenfelder und Halbjahr der Hauptphase Geschichte LK Aspekte nationaler und regionaler Geschichte im und Jahrhundert Die Weimarer Republik Stunden Deutschland im Nationalsozialismus Stunden Aspekte internationaler Geschichte im und Jahrhundert Die Konkurrenz der Systeme Stunden Variabler Pflichtbereich Die Kultur der Weimarer Republik - Das Beispiel Film Stunden Der Vietnamkrieg Stunden Das geteilte Deutschland in der Zeit des Kalten Krieges Stunden Expansion und,Konkurrenz,Konkurrenz,Saarland,Gym,Sek2,2019,Geschichte,16679,0
16680,genetischer Code Transkription Translation Variabilität und Angepasstheit VA VA - Populationsebene Variabilität als Grundlage für Selektionsprozesse abiotische und biotische Faktoren ökologische Nische Polymorphismus biotische und abiotische Umweltfaktoren als Evolutionsfaktoren Variationsbreite Konkurrenz physiologische und ökologische Potenz Fundamental- und Realnische ökologische Nische als multidimensionales Modell Genpool Isolation Gendrift Selektionstypen Artbegriff Isolationsmechanismen allopatrische und sympatrische Artbildung Genfluss adaptive Radiation Koevolution Flaschenhalseffekt Stellenäquivalenz Grundoperationen und,Konkurrenz,Konkurrenz,Schleswig-Holstein,,Sek1,2019,Bio,16680,1
16681,"zur Gestaltung der Globalisierung, beurteilen Ziele, Möglichkeiten und Grenzen des Einflusses globalisierungskritischer Organisationen, beurteilen Konsequenzen eigenen lokalen Handelns vor dem Hintergrund globaler Prozesse und eigener sowie fremder Wertvorstellungen, erörtern die Konkurrenz von Ländern und Regionen um die Ansiedlung von Unternehmen im Hinblick auf ökonomische, politische und gesellschaftliche Auswirkungen. Leistungskurs Die nachfolgenden übergeordneten Kompetenzerwartungen sind im Leistungskurs anzustreben. SACHKOMPETENZ Die Schülerinnen und",Konkurrenz,Konkurrenz,NRW,Gym,Sek2,2014,Sozialkunde,16681,0
16682,"in die Gegenwart Beurteilungs- und Handlungskompetenz, vergleichen unterschiedliche fachwissenschaftliche Deutungen des Kalten Krieges Methoden- und Beurteilungskompetenz, ergänzen das eingeführte Strukturgitter Orientierungskompetenz. Aspekte internationaler Geschichte im Jahrhundert Geschichte Hauptphase LK Die Konkurrenz der Systeme Basisbegriffe Potsdamer Konferenz, Kalter Krieg, Truman-Doktrin, Marshallplan, Zwei-Lager-Theorie, atomares Patt, Koreakrieg, NATO, Warschauer Pakt, Mauerbau, Kuba-Krise, Entspannung, Ostpolitik, KSZE, SDI, Perestroika und Glasnost, Mauerfall Vorschläge und Hinweise Mögliche",Konkurrenz,Konkurrenz,Saarland,Gym,Sek2,2019,Geschichte,16682,0
16683,VA Die ökologische Nische ist multidimensional. beschreiben die Angepasstheit in verschiedenen Dimensionen. Variationsbreite physiologische und ökologische Potenz Fundamental- und Realnische ökologische Nische als multidimensionales Modell beschreiben die Einnischung der Lebewesen. Konkurrenz Koevolution Stellenäquivalenz OS - VA Angepasstheit zeigt sich in reproduktiver Fitness. beschreiben und erklären die reproduktive Fitness als ein Maß für die Angepasstheit eines Individuums. reproduktive Fitness OS - VA,Konkurrenz,Konkurrenz,Schleswig-Holstein,,Sek1,2019,Bio,16683,1
16684,- SR Die Größe und die Zusammensetzung der Populationen eines Ökosystems befinden sich in einem dynamischen Gleichgewichtszustand. beschreiben und erklären Rückkopplungseffekte innerhalb einer Population. intraspezifische Beziehungen dichteabhängige und dichteunabhängige Faktoren: Konkurrenz Koexistenz beschreiben und erklären die Wechselbeziehungen von Populationen in einer Lebensgemeinschaft. interspezifische Beziehungen: Räuber-Beute-Beziehung Symbiose Parasitismus beschreiben und erklären Rückkoppl ff k h d l Lotka-Volterra Regeln d b ll,Konkurrenz,Konkurrenz,Schleswig-Holstein,,Sek1,2019,Bio,16684,1
16685,"Naturschutz: Erhalt der Biodiversität Information und Kommunikation IK Mimikry, Mimese Variabilität und Angepasstheit VA Angepasstheit an Umweltfaktoren Variationsbreite physiologische und ökologische Potenz Fundamental- und Realnische ökologische Nische als multidimensionales Modell Konkurrenz reproduktive Fitness Allel, Genpool Evolutionsfaktoren: Mutation, Rekombination, Selektion, Isolation, Migration, Gendrift Selektionstypen Isolationsmechanismen Genfluss Koevolution allopatrische und sympatrische Artbildung adaptive Radiation Geschichte und Verwandtschaft GV Homologie und Divergenz Analogie und",Konkurrenz,Konkurrenz,Schleswig-Holstein,,Sek1,2019,Bio,16685,1
