topic_name,Bio,"Ethik, Philo",Geschichte,"Psychologie, Gesundheit",Sozialkunde,entropy,topic_total,topic_proportion
-1_angebote_knnen_zusammenarbeit_regionalen,0.2941,0.2941,0.1176,0.0,0.2941,1.9211,17,0.0318
0_spielregeln_entsprechenden verhaltens_spielregeln tragen_verhaltens spielregeln,0.3333,0.3333,0.0,0.0,0.3333,1.585,15,0.028
1_fairnesskooperationselbstkompetenz_lehrkraft_insbesondere_sportartspezifischen,0.3548,0.3226,0.0,0.0,0.3226,1.5835,31,0.0579
2_lernbereich_kompetenzerwartungen_gesundheit fitness_fitness,0.3333,0.3333,0.0,0.0,0.3333,1.585,18,0.0336
3_lerngruppe_lern_ermglichen_teilnahme,0.1111,0.3333,0.2222,0.0,0.3333,1.8911,18,0.0336
4_lernenden_solidaritt_arbeiten_gegenber,0.1795,0.2051,0.2564,0.0256,0.3333,2.0809,39,0.0729
5_entsprechenden verhaltensregeln_verhaltensregeln tragen_verhaltensregeln_durchhaltevermgen vorbereitende,0.3333,0.3333,0.0,0.0,0.3333,1.585,24,0.0449
6_vorbereitende ausgleichende_vorbereitende_kompetenzen bereich_gegenseitige rcksichtnahme,0.3261,0.3261,0.0,0.0217,0.3261,1.7016,46,0.086
7_strken_frage_orientierung_beitrag,0.0,0.8125,0.0,0.125,0.0625,0.8684,16,0.0299
8_schule_kooperation_unterricht_beim,0.225,0.175,0.225,0.125,0.25,2.2835,40,0.0748
9_kooperation_kommunikation_entwicklung_fach,0.1402,0.155,0.1587,0.0295,0.5166,1.878,271,0.5065
TOTAL,0.1981,0.2336,0.1271,0.0318,0.4093,2.0167,535,1.0
