Topic,Count,Proportion,Name,Representation,Representative_Docs
-1,17,0.03177570093457944,-1_angebote_knnen_zusammenarbeit_regionalen,"['angebote', 'knnen', 'zusammenarbeit', 'regionalen', 'individuelle', 'beitrag', 'jeweiligen', 'fach', 'rahmen', 'jahrgangsstufe', 'hinaus', 'kooperation', 'sollten', 'fachbergreifendes', 'fchern', 'bercksichtigen', 'sollen', 'bereich', 'schulischen', 'kulturen']","['Schwerpunkten und Zielen. Sie können unterrichtsergänzende leistungsdifferenzierte Bildungsangebote, freizeitpädagogische Angebote und offene Angebote im Rahmen der Schulclubarbeit umfassen. Gerade im sportlichen und musisch-künstlerischen Bereich können pädagogisch wertvolle unterrichtsergänzende Angebote in Kooperation mit regionalen Verbänden und Vereinen einen wichtigen Beitrag zur ganzheitlichen Bildung leisten. Ganztagsangebote sollen schülerorientiert und bedarfsgerecht gestaltet werden. Sie berücksichtigen die Heterogenität der Schüler und knüpfen an deren individuelle', 'Schwerpunkten und Zielen. Sie können unterrichtsergänzende leistungsdifferenzierte Bildungsangebote, freizeitpädagogische Angebote und offene Angebote im Rahmen der Schulclubarbeit umfassen. Gerade im sportlichen und musisch-künstlerischen Bereich können pädagogisch wertvolle unterrichtsergänzende Angebote in Kooperation mit regionalen Verbänden und Vereinen einen wichtigen Beitrag zur ganzheitlichen Bildung leisten. Ganztagsangebote sollen schülerorientiert und bedarfsgerecht gestaltet werden. Sie berücksichtigen die Heterogenität der Schüler und knüpfen an deren individuelle', 'Schwerpunkten und Zielen. Sie können unterrichtsergänzende leistungsdifferenzierte Bildungsangebote, freizeitpädagogische Angebote und offene Angebote im Rahmen der Schulclubarbeit umfassen. Gerade im sportlichen und musisch-künstlerischen Bereich können pädagogisch wertvolle unterrichtsergänzende Angebote in Kooperation mit regionalen Verbänden und Vereinen einen wichtigen Beitrag zur ganzheitlichen Bildung leisten. Ganztagsangebote sollen schülerorientiert und bedarfsgerecht gestaltet werden. Sie berücksichtigen die Heterogenität der Schüler und knüpfen an deren individuelle']"
0,15,0.028037383177570093,0_spielregeln_entsprechenden verhaltens_spielregeln tragen_verhaltens spielregeln,"['spielregeln', 'entsprechenden verhaltens', 'spielregeln tragen', 'verhaltens spielregeln', 'verhaltens', 'sportart', 'vorbereitende', 'potenzial sportart', 'vorbereitende ausgleichende', 'durchhaltevermgen vorbereitende', 'sportartspezifischen', 'beugen verletzungen', 'sportartspezifischen sicherheitsmanahmen', 'bungen beugen', 'beachten insbesondere', 'sicherheitsmanahmen analysieren', 'beugen', 'insbesondere sportartspezifischen', 'ausgleichende bungen', 'ausgleichende']","['vorbereitende und ausgleichende Übungen beugen sie Verletzungen und muskulären Dysbalancen gezielt vor und beachten insbesondere die sportartspezifischen Sicherheitsmaßnahmen. analysieren gemeinsam mit der Lehrkraft das Potenzial der Sportart Badminton im Lernbereich Fairness/Kooperation/Selbstkompetenz, um ihre Kompetenzen in diesem Bereich systematisch zu verbessern. Dabei berücksichtigen sie vor allem die entsprechenden Verhaltens- und Spielregeln und tragen durch gegenseitige Rücksichtnahme und Hilfe sowie Einsatzbereitschaft und Durchhaltevermögen', 'vorbereitende und ausgleichende Übungen beugen sie Verletzungen und muskulären Dysbalancen gezielt vor und beachten insbesondere die sportartspezifischen Sicherheitsmaßnahmen. analysieren gemeinsam mit der Lehrkraft das Potenzial der Sportart Hockey im Lernbereich Fairness/Kooperation/Selbstkompetenz, um ihre Kompetenzen in diesem Bereich systematisch zu verbessern. Dabei berücksichtigen sie vor allem die entsprechenden Verhaltens- und Spielregeln und tragen durch gegenseitige Rücksichtnahme und Hilfe sowie Einsatzbereitschaft und Durchhaltevermögen', 'vorbereitende und ausgleichende Übungen beugen sie Verletzungen und muskulären Dysbalancen gezielt vor und beachten insbesondere die sportartspezifischen Sicherheitsmaßnahmen. analysieren gemeinsam mit der Lehrkraft das Potenzial der Sportart Basketball im Lernbereich Fairness/Kooperation/Selbstkompetenz, um ihre Kompetenzen in diesem Bereich systematisch zu verbessern. Dabei berücksichtigen sie vor allem die entsprechenden Verhaltens- und Spielregeln und tragen durch gegenseitige Rücksichtnahme und Hilfe sowie Einsatzbereitschaft und Durchhaltevermögen']"
1,31,0.05794392523364486,1_fairnesskooperationselbstkompetenz_lehrkraft_insbesondere_sportartspezifischen,"['fairnesskooperationselbstkompetenz', 'lehrkraft', 'insbesondere', 'sportartspezifischen', 'beachten insbesondere', 'insbesondere sportartspezifischen', 'sportartspezifischen sicherheitsmanahmen', 'einsatzbereitschaft durchhaltevermgen', 'bercksichtigen entsprechenden', 'verletzungen muskulren', 'dysbalancen gezielt', 'einsatzbereitschaft', 'dysbalancen', 'gezielt beachten', 'verletzungen', 'muskulren', 'muskulren dysbalancen', 'hilfe einsatzbereitschaft', 'gezielt', 'entsprechenden']","['und ausgleichende Übungen beugen sie Verletzungen und muskulären Dysbalancen gezielt vor und beachten insbesondere die sportartspezifischen Sicherheitsmaßnahmen. analysieren gemeinsam mit der Lehrkraft das Potenzial der Sportart Segeln für den Lernbereich Fairness/Kooperation/Selbstkompetenz, um ihre Kompetenzen in diesem Bereich systematisch zu verbessern. Dabei berücksichtigen sie vor allem die entsprechenden Verhaltens-Regeln und tragen durch gegenseitige Rücksichtnahme und Hilfe sowie Einsatzbereitschaft und Durchhaltevermögen zu einem', 'und ausgleichende Übungen beugen sie Verletzungen und muskulären Dysbalancen gezielt vor und beachten insbesondere die sportartspezifischen Sicherheitsmaßnahmen. analysieren gemeinsam mit der Lehrkraft das Potenzial der Sportart Ski Alpin im Lernbereich Fairness/Kooperation/Selbstkompetenz, um ihre Kompetenzen in diesem Bereich systematisch zu verbessern. Dabei berücksichtigen sie vor allem die entsprechenden Verhaltens-Regeln und tragen durch gegenseitige Rücksichtnahme und Hilfe sowie Einsatzbereitschaft und Durchhaltevermögen zu einem', 'und ausgleichende Übungen beugen sie Verletzungen und muskulären Dysbalancen gezielt vor und beachten insbesondere die sportartspezifischen Sicherheitsmaßnahmen. analysieren gemeinsam mit der Lehrkraft das Potenzial der Sportart Rhythmische Sportgymnastik im Lernbereich Fairness/Kooperation/Selbstkompetenz, um ihre Kompetenzen in diesem Bereich systematisch zu verbessern. Dabei berücksichtigen sie vor allem die entsprechenden Verhaltens-Regeln und tragen durch gegenseitige Rücksichtnahme und Hilfe sowie Einsatzbereitschaft und Durchhaltevermögen zu einem']"
2,18,0.03364485981308411,2_lernbereich_kompetenzerwartungen_gesundheit fitness_fitness,"['lernbereich', 'kompetenzerwartungen', 'gesundheit fitness', 'fitness', 'gesundheit', 'lernbereich fairnesskooperationselbstkompetenz', 'fairnesskooperationselbstkompetenz', 'beschreiben', 'zusammenhnge', 'bereich', 'wert', 'ber', 'wissen', 'gruppe', 'setzen', 'erweitern', 'umgebung', 'systematisch', 'besonderheiten', 'natur']","['Breakdance Ausdrucksmittel: verschiedene Kopf- und Armbewegungen Elemente aus einem weiteren Fitnessbereich, z. B. Step-Aerobic Kombination von Techniken und Kunststücken mit Ball und/oder Seil Lernbereich : Gesundheit und Fitness Lernbereich : Fairness/Kooperation/Selbstkompetenz Basissport Kompetenzerwartungen Die Schülerinnen und Schüler ... setzen ihr Wissen über die Dauermethode um und bewältigen eine -minütige Ausdauerleistung im aeroben Bereich. beschreiben den gesundheitlichen Wert aeroben Ausdauertrainings. erweitern systematisch', 'Breakdance Ausdrucksmittel: verschiedene Kopf- und Armbewegungen Elemente aus einem weiteren Fitnessbereich, z. B. Step-Aerobic Kombination von Techniken und Kunststücken mit Ball und/oder Seil Lernbereich : Gesundheit und Fitness Lernbereich : Fairness/Kooperation/Selbstkompetenz Basissport Kompetenzerwartungen Die Schülerinnen und Schüler ... setzen ihr Wissen über die Dauermethode um und bewältigen eine -minütige Ausdauerleistung im aeroben Bereich. beschreiben den gesundheitlichen Wert aeroben Ausdauertrainings. erweitern systematisch', 'Breakdance Ausdrucksmittel: verschiedene Kopf- und Armbewegungen Elemente aus einem weiteren Fitnessbereich, z. B. Step-Aerobic Kombination von Techniken und Kunststücken mit Ball und/oder Seil Lernbereich : Gesundheit und Fitness Lernbereich : Fairness/Kooperation/Selbstkompetenz Basissport Kompetenzerwartungen Die Schülerinnen und Schüler ... setzen ihr Wissen über die Dauermethode um und bewältigen eine -minütige Ausdauerleistung im aeroben Bereich. beschreiben den gesundheitlichen Wert aeroben Ausdauertrainings. erweitern systematisch']"
3,18,0.03364485981308411,3_lerngruppe_lern_ermglichen_teilnahme,"['lerngruppe', 'lern', 'ermglichen', 'teilnahme', 'arbeitstechniken', 'lassen', 'vertiefung', 'fragestellungen', 'schlern', 'frdert', 'angebote', 'unterricht', 'lernen', 'arbeiten', 'kommunikation', 'kompetenzen', 'kooperation', 'erarbeiten', 'konflikt', 'erffnen']","['höheren Anspruch haben. Diese Angebote dienen der Vertiefung und Erweiterung und lassen komplexe Fragestellungen zu. Innere Differenzierung fordert und fördert fächerübergreifende Kompetenzen wie das eigenverantwortliche, selbstständige Lernen und Arbeiten, die Kooperation und Kommunikation in der Lerngruppe sowie das Erlernen und Beherrschen wichtiger Lern- und Arbeitstechniken. Um den Schülerinnen und Schülern eine aktive Teilnahme am Unterricht zu ermöglichen, ist es vorteilhaft, sie', 'höheren Anspruch haben. Diese Angebote dienen der Vertiefung und Erweiterung und lassen komplexe Fragestellungen zu. Innere Differenzierung fordert und fördert fächerübergreifende Kompetenzen wie das eigenverantwortliche, selbstständige Lernen und Arbeiten, die Kooperation und Kommunikation in der Lerngruppe sowie das Erlernen und Beherrschen wichtiger Lern- und Arbeitstechniken. Um den Schülerinnen und Schülern eine aktive Teilnahme am Unterricht zu ermöglichen, ist es vorteilhaft sie', 'höheren Anspruch haben. Diese Angebote dienen der Vertiefung und Erweiterung und lassen komplexe Fragestellungen zu. Innere Differenzierung fordert und fördert fächerübergreifende Kompetenzen wie das eigenverantwortliche, selbstständige Lernen und Arbeiten, die Kooperation und Kommunikation in der Lerngruppe sowie das Erlernen und Beherrschen wichtiger Lern- und Arbeitstechniken. Um den Schülerinnen und Schülern eine aktive Teilnahme am Unterricht zu ermöglichen, ist es vorteilhaft, sie']"
4,39,0.07289719626168224,4_lernenden_solidaritt_arbeiten_gegenber,"['lernenden', 'solidaritt', 'arbeiten', 'gegenber', 'bernehmen', 'entwickeln', 'verantwortung', 'einstellungen', 'rcksichtnahme', 'nehmen', 'verschiedener', 'zeigen', 'aufgaben', 'angemessener', 'partnern', 'kooperation', 'zentrale', 'deren', 'bedeutung', 'soziale']","['Handlungskompetenz, die sich im Zusammenspiel verschiedener Fähigkeiten, Fertigkeiten, Motivationen und Einstellungen entfaltet. Grundlage ihrer Entwicklung ist eine soziale Wahrnehmungsfähigkeit. In Interaktionen entwickeln die Lernenden Rücksichtnahme und Solidarität gegenüber ihren Partnern. Kooperation und Teamfähigkeit haben zentrale Bedeutung für ein erfolgreiches gemeinsames Arbeiten. Bei auftretenden Spannungen gelingt den Lernenden ein angemessener Umgang mit Konflikten. Die Lernenden übernehmen gesellschaftliche Verantwortung und üben ihre Mit-Gestaltungsrechte', 'Handlungskompetenz, die sich im Zusammenspiel verschiedener Fähigkeiten, Fertigkeiten, Motivationen und Einstellungen entfaltet. Grundlage ihrer Entwicklung ist eine soziale Wahrnehmungsfähigkeit. In Interaktionen entwickeln die Lernenden Rücksichtnahme und Solidarität gegenüber ihren Partnern. Kooperation und Teamfähigkeit haben zentrale Bedeutung für ein erfolgreiches gemeinsames Arbeiten. Bei auftretenden Spannungen gelingt den Lernenden ein angemessener Umgang mit Konflikten. Die Lernenden übernehmen gesellschaftliche Verantwortung und üben ihre Mit-Gestaltungsrechte', 'Handlungskompetenz, die sich im Zusammenspiel verschiedener Fähigkeiten, Fertigkeiten, Motivationen und Einstellungen entfaltet. Grundlage ihrer Entwicklung ist eine soziale Wahrnehmungsfähigkeit. In Interaktionen entwickeln die Lernenden Rücksichtnahme und Solidarität gegenüber ihren Partnern. Kooperation und Teamfähigkeit haben zentrale Bedeutung für ein erfolgreiches gemeinsames Arbeiten. Bei auftretenden Spannungen gelingt den Lernenden ein angemessener Umgang mit Konflikten. Die Lernenden übernehmen gesellschaftliche Verantwortung und üben ihre Mit-Gestaltungsrechte']"
5,24,0.044859813084112146,5_entsprechenden verhaltensregeln_verhaltensregeln tragen_verhaltensregeln_durchhaltevermgen vorbereitende,"['entsprechenden verhaltensregeln', 'verhaltensregeln tragen', 'verhaltensregeln', 'durchhaltevermgen vorbereitende', 'vorbereitende ausgleichende', 'potenzial sportart', 'vorbereitende', 'sportart', 'ausgleichende', 'beugen', 'beugen verletzungen', 'bungen beugen', 'sicherheitsmanahmen analysieren', 'insbesondere sportartspezifischen', 'sportartspezifischen', 'ausgleichende bungen', 'sportartspezifischen sicherheitsmanahmen', 'beachten insbesondere', 'bungen', 'verletzungen muskulren']","['vorbereitende und ausgleichende Übungen beugen sie Verletzungen und muskulären Dysbalancen gezielt vor und beachten insbesondere die sportartspezifischen Sicherheitsmaßnahmen. analysieren gemeinsam mit der Lehrkraft das Potenzial der Sportart Rodeln im Lernbereich Fairness/Kooperation/Selbstkompetenz, um ihre Kompetenzen in diesem Bereich systematisch zu verbessern. Dabei berücksichtigen sie vor allem die entsprechenden Verhaltens-Regeln und tragen durch gegenseitige Rücksichtnahme und Hilfe sowie Einsatzbereitschaft und Durchhaltevermögen zu einem', 'vorbereitende und ausgleichende Übungen beugen sie Verletzungen und muskulären Dysbalancen gezielt vor und beachten insbesondere die sportartspezifischen Sicherheitsmaßnahmen. analysieren gemeinsam mit der Lehrkraft das Potenzial der Sportart Judo im Lernbereich Fairness/Kooperation/Selbstkompetenz, um ihre Kompetenzen in diesem Bereich systematisch zu verbessern. Dabei berücksichtigen sie vor allem die entsprechenden Verhaltens-Regeln und tragen durch gegenseitige Rücksichtnahme und Hilfe sowie Einsatzbereitschaft und Durchhaltevermögen zu einem', 'vorbereitende und ausgleichende Übungen beugen sie Verletzungen und muskulären Dysbalancen gezielt vor und beachten insbesondere die sportartspezifischen Sicherheitsmaßnahmen. analysieren gemeinsam mit der Lehrkraft das Potenzial der Sportart Kanu im Lernbereich Fairness/Kooperation/Selbstkompetenz, um ihre Kompetenzen in diesem Bereich systematisch zu verbessern. Dabei berücksichtigen sie vor allem die entsprechenden Verhaltens-Regeln und tragen durch gegenseitige Rücksichtnahme und Hilfe sowie Einsatzbereitschaft und Durchhaltevermögen zu einem']"
6,46,0.08598130841121496,6_vorbereitende ausgleichende_vorbereitende_kompetenzen bereich_gegenseitige rcksichtnahme,"['vorbereitende ausgleichende', 'vorbereitende', 'kompetenzen bereich', 'gegenseitige rcksichtnahme', 'tragen gegenseitige', 'tragen', 'fairnesskooperationselbstkompetenz kompetenzen', 'durchhaltevermgen', 'dabei bercksichtigen', 'systematisch verbessern', 'analysieren gemeinsam', 'gegenseitige', 'sicherheitsmanahmen', 'rcksichtnahme hilfe', 'bereich systematisch', 'gemeinsam lehrkraft', 'verbessern dabei', 'hilfe', 'lehrkraft potenzial', 'verbessern']","['Durch vorbereitende und ausgleichende Übungen beugen sie Verletzungen und muskulären Dysbalancen gezielt vor und beachten insbesondere die sportartspezifischen Sicherheitsmaßnahmen. analysieren gemeinsam mit der Lehrkraft das Potenzial der Bewegungskünste im Lernbereich Fairness/Kooperation/Selbstkompetenz, um ihre Kompetenzen in diesem Bereich systematisch zu verbessern. Dabei berücksichtigen sie vor allem die entsprechenden Verhaltensregeln und tragen durch gegenseitige Rücksichtnahme und Hilfe sowie Einsatzbereitschaft und Durchhaltevermögen zu einem', 'Durch vorbereitende und ausgleichende Übungen beugen sie Verletzungen und muskulären Dysbalancen gezielt vor und beachten insbesondere die sportartspezifischen Sicherheitsmaßnahmen. analysieren gemeinsam mit der Lehrkraft das Potenzial der Bewegungskünste im Lernbereich Fairness/Kooperation/Selbstkompetenz, um ihre Kompetenzen in diesem Bereich systematisch zu verbessern. Dabei berücksichtigen sie vor allem die entsprechenden Verhaltensregeln und tragen durch gegenseitige Rücksichtnahme und Hilfe sowie Einsatzbereitschaft und Durchhaltevermögen zu einem', 'Durch vorbereitende und ausgleichende Übungen beugen sie Verletzungen und muskulären Dysbalancen gezielt vor und beachten insbesondere die sportartspezifischen Sicherheitsmaßnahmen. analysieren gemeinsam mit der Lehrkraft das Potenzial der Bewegungskünste im Lernbereich Fairness/Kooperation/Selbstkompetenz, um ihre Kompetenzen in diesem Bereich systematisch zu verbessern. Dabei berücksichtigen sie vor allem die entsprechenden Verhaltensregeln und tragen durch gegenseitige Rücksichtnahme und Hilfe sowie Einsatzbereitschaft und Durchhaltevermögen zu einem']"
7,16,0.029906542056074768,7_strken_frage_orientierung_beitrag,"['strken', 'frage', 'orientierung', 'beitrag', 'schlern', 'beurteilen', 'gesellschaft', 'bercksichtigen', 'kooperation', 'medien', 'kommunikation', 'verantwortung', 'gegebenheiten', 'hinblick', 'verschiedenen', 'form', 'neue', 'setzen', 'fragen', 'entwickeln']","['einen Beitrag zur Medienbildung, indem er der Frage nach einer sinnvollen und ethisch verantwortlichen Mediennutzung nachgeht. Die Schülerinnen und Schüler berücksichtigen Umgangsregeln, ethisch-moralische Prinzipien sowie Persönlichkeitsrechte bei digitaler Interaktion und Kooperation. Sie beurteilen Potenziale und Risiken der Digitalisierung und des Mediengebrauchs für das Individuum und die Gesellschaft. Berufliche Orientierung Die Schülerinnen und Schülern bekommen die Gelegenheit, ihre persönlichen Stärken und moralische', 'einen Beitrag zur Medienbildung, indem er der Frage nach einer sinnvollen und ethisch verantwortlichen Mediennutzung nachgeht. Die Schülerinnen und Schüler berücksichtigen Umgangsregeln, ethisch-moralische Prinzipien sowie Persönlichkeitsrechte bei digitaler Interaktion und Kooperation. Sie beurteilen Potenziale und Risiken der Digitalisierung und des Mediengebrauchs für das Individuum und die Gesellschaft. Berufliche Orientierung Die Schülerinnen und Schülern bekommen die Gelegenheit, ihre persönlichen Stärken und moralische', 'einen Beitrag zur Medienbildung, indem er der Frage nach einer sinnvollen und ethisch verantwortlichen Mediennutzung nachgeht. Die Schülerinnen und Schüler berücksichtigen Umgangsregeln, ethisch-moralische Prinzipien sowie Persönlichkeitsrechte bei digitaler Interaktion und Kooperation. Sie beurteilen Potenziale und Risiken der Digitalisierung und des Mediengebrauchs für das Individuum und die Gesellschaft. Berufliche Orientierung Die Schülerinnen und Schülern bekommen die Gelegenheit, ihre persönlichen Stärken und moralische']"
8,40,0.07476635514018691,8_schule_kooperation_unterricht_beim,"['schule', 'kooperation', 'unterricht', 'beim', 'ber', 'schulen', 'kompetenzen', 'manahmen', 'fachbezogene', 'besonderheiten', 'gestaltung', 'bedeutung', 'hinaus', 'dabei', 'erhalten', 'gemeinsame', 'ergebnisse', 'aufgaben', 'sozialen', 'schlern']","['die Gestaltung des schulinternen Curriculums, in dem der Bildungs- und Erziehungsauftrag von Schule standortspezifisch konkretisiert wird. Dazu werden fachbezogene, fachübergreifende und fächerverbindende Entwicklungsschwerpunkte sowie profilbildende Maßnahmen festgelegt. Schulinternes Curriculum Die Kooperation innerhalb der einzelnen Fachbereiche ist dabei von ebenso großer Bedeutung wie fachübergreifende Absprachen und Vereinbarungen. Beim Erstellen des schulinternen Curriculums werden regionale und schulspezifische Besonderheiten sowie die Neigungen und Interessenlagen', 'die Gestaltung des schulinternen Curriculums, in dem der Bildungs- und Erziehungsauftrag von Schule standortspezifisch konkretisiert wird. Dazu werden fachbezogene, fachübergreifende und fächerverbindende Entwicklungsschwerpunkte sowie profilbildende Maßnahmen festgelegt. Schulinternes Curriculum Die Kooperation innerhalb der einzelnen Fachbereiche ist dabei von ebenso großer Bedeutung wie fachübergreifende Absprachen und Vereinbarungen. Beim Erstellen des schulinternen Curriculums werden regionale und schulspezifische Besonderheiten sowie die Neigungen und Interessenlagen', 'die Gestaltung des schulinternen Curriculums, in dem der Bildungs- und Erziehungsauftrag von Schule standortspezifisch konkretisiert wird. Dazu werden fachbezogene, fachübergreifende und fächerverbindende Entwicklungsschwerpunkte sowie profilbildende Maßnahmen festgelegt. Schulinternes Curriculum Die Kooperation innerhalb der einzelnen Fachbereiche ist dabei von ebenso großer Bedeutung wie fachübergreifende Absprachen und Vereinbarungen. Beim Erstellen des schulinternen Curriculums werden regionale und schulspezifische Besonderheiten sowie die Neigungen und Interessenlagen']"
