topic_name,Bio,"Ethik, Philo",Geschichte,"Psychologie, Gesundheit",Sozialkunde,entropy,topic_total,topic_proportion
-1_gesellschaft_bildung_religionen_geschichte,0.1686,0.262,0.2938,0.0114,0.2642,2.0393,439,0.2252
0_leben_menschen_kulturelle_welt,0.1713,0.4635,0.1793,0.0279,0.158,1.9595,753,0.3864
1_politische_antike_republik_wirtschaft,0.0876,0.0769,0.3846,0.0107,0.4402,1.7137,468,0.2401
2_islam_religion_religion kultur_zusammenleben,0.1,0.45,0.34,0.0,0.11,1.7301,100,0.0513
3_familie_judentums_lassen_vielzahl,0.2826,0.2609,0.0652,0.0652,0.3261,2.0619,46,0.0236
4_religionsunterricht_englisch_musik_deutsch,0.1463,0.2439,0.3415,0.0,0.2683,1.9408,41,0.021
5_stunden_themengebiete_auseinander inhalte_lernbereichen,0.32,0.32,0.04,0.0,0.32,1.7639,25,0.0128
6_schlern_leistungsbewertung_schriftliche_erworben,0.1818,0.5,0.1364,0.0455,0.1364,1.9338,22,0.0113
7_zielen_verbinden_werten_interkulturellen bildung,0.381,0.0952,0.1905,0.0,0.3333,1.8375,21,0.0108
8_prgung_wahr_kommunikation_nehmen,0.2105,0.3684,0.1579,0.0,0.2632,1.9313,19,0.0097
9_alten_nutzen_gypten_nutzen kenntnisse,0.1333,0.2,0.3333,0.1333,0.2,2.2323,15,0.0077
TOTAL,0.1534,0.3068,0.2622,0.019,0.2586,2.0574,1949,1.0
