Topic,Count,Proportion,Name,Representation,Representative_Docs
-1,439,0.22524371472550025,-1_gesellschaft_bildung_religionen_geschichte,"['gesellschaft', 'bildung', 'religionen', 'geschichte', 'bedeutung', 'kunst', 'auseinandersetzung', 'menschen', 'sport', 'fragen', 'stunden', 'entwickeln', 'ber', 'eigene', 'wichtige', 'fach', 'medien', 'erkennen', 'leben', 'themen']","['zu erkennen und unter Achtung der Überzeugung der anderen Verantwortung für das Zusammenleben der Menschen zu übernehmen. Die Schülerinnen und Schüler erwerben deshalb auch Kenntnisse über wichtige Wertvorstellungen in verschiedenen Kulturen sowie der sie prägenden Religionen. Damit wird eine wesentliche Grundlage für ein von Wertschätzung und Toleranz geprägtes Miteinander von Menschen unterschiedlicher Herkunft und Glaubensvorstellungen gelegt. Ethische Fragen, die sich z.', 'zu erkennen und unter Achtung der Überzeugung der anderen Verantwortung für das Zusammenleben der Menschen zu übernehmen. Die Schülerinnen und Schüler erwerben deshalb auch Kenntnisse über wichtige Wertvorstellungen in verschiedenen Kulturen sowie der sie prägenden Religionen. Damit wird eine wesentliche Grundlage für ein von Wertschätzung und Toleranz geprägtes Miteinander von Menschen unterschiedlicher Herkunft und Glaubensvorstellungen gelegt. Ethische Fragen, die sich z.', 'zu erkennen und unter Achtung der Überzeugung der anderen Verantwortung für das Zusammenleben der Menschen zu übernehmen. Die Schülerinnen und Schüler erwerben deshalb auch Kenntnisse über wichtige Wertvorstellungen in verschiedenen Kulturen sowie der sie prägenden Religionen. Damit wird eine wesentliche Grundlage für ein von Wertschätzung und Toleranz geprägtes Miteinander von Menschen unterschiedlicher Herkunft und Glaubensvorstellungen gelegt. Ethische Fragen, die sich z.']"
0,753,0.3863519753719856,0_leben_menschen_kulturelle_welt,"['leben', 'menschen', 'kulturelle', 'welt', 'religionen', 'ethik', 'bildung', 'gesellschaft', 'geschichte', 'ber', 'kulturellen', 'natur', 'bedeutung', 'entwicklung', 'technik', 'verschiedener', 'handeln', 'umwelt', 'reflektieren', 'knnen']","['Regeln, Institutionen, Moralvorstellungen, religiös-konfessionelle Zugehörigkeit, Bildung, Konsumgüter, Wissenschaft, Technik Sein: Ich und die anderen In Gemeinschaft leben Ethik / Leben mit/in anderen Kulturen inhaltsbezogene Kompetenzen methodisch-didaktische Hinweise Leben mit/in anderen Kulturen Die Schülerinnen und Schüler identifizieren Unterschiede und Gemeinsamkeiten verschiedener Kulturen, diskutieren mögliche Hintergründe für kulturelle Erscheinungsformen, hinterfragen kritisch die Tendenz kulturelle Vorurteile und Stereotypen zu bilden, Visualisieren im Eisbergmodell: Unterscheiden', 'Kultur-Beutel: z. B. Alltagsgegenstände, Werkzeug, Sprache, Traditionen, gesellschaftliche Regeln, Institutionen, Moralvorstellungen, religiös-konfessionelle Zugehörigkeit, Bildung, Konsumgüter, Wissenschaft, Technik Sein: Ich und die anderen In Gemeinschaft leben Ethik / Leben mit/in anderen Kulturen inhaltsbezogene Kompetenzen methodisch-didaktische Hinweise Leben mit/in anderen Kulturen Die Schülerinnen und Schüler identifizieren Unterschiede und Gemeinsamkeiten verschiedener Kulturen, diskutieren mögliche Hintergründe für kulturelle Erscheinungsformen, hinterfragen kritisch die Tendenz kulturelle Vorurteile', 'Kultur-Beutel: z. B. Alltagsgegenstände, Werkzeug, Sprache, Traditionen, gesellschaftliche Regeln, Institutionen, Moralvorstellungen, religiös-konfessionelle Zugehörigkeit, Bildung, Konsumgüter, Wissenschaft, Technik Sein: Ich und die anderen In Gemeinschaft leben Ethik / Leben mit/in anderen Kulturen inhaltsbezogene Kompetenzen methodisch-didaktische Hinweise Leben mit/in anderen Kulturen Die Schülerinnen und Schüler identifizieren Unterschiede und Gemeinsamkeiten verschiedener Kulturen, diskutieren mögliche Hintergründe für kulturelle Erscheinungsformen, hinterfragen kritisch die Tendenz kulturelle Vorurteile']"
1,468,0.24012314007183172,1_politische_antike_republik_wirtschaft,"['politische', 'antike', 'republik', 'wirtschaft', 'herrschaft', 'weimarer', 'gesellschaft', 'wissenschaft', 'demokratie', 'revolution', 'bildung', 'weimarer republik', 'geschichte', 'europa', 'ministerium bildung', 'ministerium', 'beurteilen', 'bildung wissenschaft', 'politik', 'aspekte']","['Globalisierung: Vom Kolonialismus zum Global Village Chancen und Gefahren des technologischen Fortschritts Frieden und Konflikt Politische Herrschaft, Demokratie und Menschenrechte Good Governance Global Governance - Weltordnungspolitik Nationalsozialismus Vielfalt der Werte, Kulturen und Lebensverhältnisse: Diversität und Inklusion Frieden und Konflikt Politische Herrschaft, Demokratie und Menschenrechte Good Governance Demokratie heute lernen und leben Vielfalt der Werte, Kulturen und Lebensverhältnisse: Diversität und Inklusion Politische', 'und Inklusion Globalisierung religiöser und ethischer Leitbilder Frieden und Konflikt Politische Herrschaft, Demokratie und Menschenrechte Good Governance Global Governance - Weltordnungspolitik Demokratie in Zukunft lernen und leben Vielfalt der Werte, Kulturen und Lebensverhältnisse: Diversität und Inklusion Globalisierung religiöser und ethischer Leitbilder Bildung Politische Herrschaft, Demokratie und Menschenrechte Good Governance Getrennt und wiedervereinigt - Deutschland im Spiegel internationaler Politik nach Vielfalt der', 'werden. Erdkunde Geschichte Sozialkunde Wirtschaft und Bevölkerung in Deutschland Weimarer Republik Das politische System der Bundesrepublik Deutschland NS-Herrschaft Demokratie und Werte Der europäische Wirtschaftsraum Die Europäische Einigung China Geschichte und Kultur Chinas Ökonomische und ökologische Aspekte der Globalisierung Länderprofile im Vergleich: USA - Russland Die Welt nach Friedenssicherung Raumwahrnehmungen Herrschaftsdarstellungen in der Geschichte Medien und Politik Lehrplan Sozialkunde Gemeinschaftsschule Jahrgangsbezogener Teil']"
2,100,0.051308363263211906,2_islam_religion_religion kultur_zusammenleben,"['islam', 'religion', 'religion kultur', 'zusammenleben', 'kultur religion', 'ethische', 'vielfltiger', 'religionen', 'prgenden religionen', 'kulturen prgenden', 'erweitern', 'berprfen', 'besonderen', 'verschiedener', 'entwickelt', 'beschreiben', 'prgenden', 'befhigt', 'rahmen', 'entwicklung']","['Wünschen und Gedanken und den verschiedenen Möglichkeiten, sein Leben zu führen und selbst zu gestalten. Zusammenleben Zusammenleben bildet im besonderen Maße den Rahmen zur Entwicklung vielfältiger sozialer Kompetenzen. Religion und Kultur Religion und Kultur entwickelt ethische Kompetenzen in der Auseinandersetzung mit den Wertvorstellungen verschiedener Kulturen und der sie prägenden Religionen und befähigt dazu, das eigene Weltund Menschenbild zu erweitern, zu überprüfen', 'und den verschiedenen Möglichkeiten, sein Leben zu führen und selbst zu gestalten. Zusammenleben Zusammenleben bildet im besonderen Maße den Rahmen zur Entwicklung vielfältiger sozialer Kompetenzen. Religion und Kultur Religion und Kultur entwickelt ethische Kompetenzen in der Auseinandersetzung mit den Wertvorstellungen verschiedener Kulturen und der sie prägenden Religionen und befähigt dazu, das eigene Weltund Menschenbild zu erweitern, zu überprüfen und zu festigen.', 'und den verschiedenen Möglichkeiten, sein Leben zu führen und selbst zu gestalten. Zusammenleben Zusammenleben bildet im besonderen Maße den Rahmen zur Entwicklung vielfältiger sozialer Kompetenzen. Religion und Kultur Religion und Kultur entwickelt ethische Kompetenzen in der Auseinandersetzung mit den Wertvorstellungen verschiedener Kulturen und der sie prägenden Religionen und befähigt dazu, das eigene Weltund Menschenbild zu erweitern, zu überprüfen und zu festigen.']"
3,46,0.023601847101077475,3_familie_judentums_lassen_vielzahl,"['familie', 'judentums', 'lassen', 'vielzahl', 'regionale', 'niederdeutsche', 'niederdeutsche sprache', 'lsst', 'bevlkerungsgruppen', 'besonderer weise', 'besonderer', 'familien', 'literatur', 'museen', 'gesellschaftlichem', 'erkunden', 'jdischen', 'persnlichkeiten', 'vergleichen', 'weise']","['Einbettung in Verbindung mit gesellschaftlichem Engagement. Die Gestaltung des gesellschaftlichen Zusammenhalts aller Bevölkerungsgruppen ist eine zentrale Zukunftsaufgabe. Eine Vielzahl von Unterrichtsinhalten eignet sich in besonderer Weise, regionale Literatur, Kunst, Architektur, Kultur, Musik und die niederdeutsche Sprache zu erleben. In Mecklenburg-Vorpommern lassen sich Hansestädte, Welterbestätten, Museen und Nationalparks sowie Stätten des Weltnaturerbes erkunden. Außerdem lässt sich Neues über das Schaffen von Persönlichkeiten', 'Einbettung in Verbindung mit gesellschaftlichem Engagement. Die Gestaltung des gesellschaftlichen Zusammenhalts aller Bevölkerungsgruppen ist eine zentrale Zukunftsaufgabe. Eine Vielzahl von Unterrichtsinhalten eignet sich in besonderer Weise, regionale Literatur, Kunst, Architektur, Kultur, Musik und die niederdeutsche Sprache zu erleben. In Mecklenburg-Vorpommern lassen sich Hansestädte, Welterbestätten, Museen und Nationalparks sowie Stätten des Weltnaturerbes erkunden. Außerdem lässt sich Neues über das Schaffen von Persönlichkeiten', 'Einbettung in Verbindung mit gesellschaftlichem Engagement. Die Gestaltung des gesellschaftlichen Zusammenhalts aller Bevölkerungsgruppen ist eine zentrale Zukunftsaufgabe. Eine Vielzahl von Unterrichtsinhalten eignet sich in besonderer Weise, regionale Literatur, Kunst, Architektur, Kultur, Musik und die niederdeutsche Sprache zu erleben. In Mecklenburg-Vorpommern lassen sich Hansestädte, Welterbestätten, Museen und Nationalparks sowie Stätten des Weltnaturerbes erkunden. Außerdem lässt sich Neues über das Schaffen von Persönlichkeiten']"
4,41,0.02103642893791688,4_religionsunterricht_englisch_musik_deutsch,"['religionsunterricht', 'englisch', 'musik', 'deutsch', 'franzsisch', 'spanisch', 'katholischer', 'katholischer religionsunterricht', 'fcherbergreifenden', 'kultur lebenslanges', 'themen gem', 'grundsatzband kap', 'kap', 'lebenslanges lernen', 'gem grundsatzband', 'lebenslanges', 'grundsatzband', 'gem', 'griechisch', 'fcherbergreifenden themen']","['Veränderung von Bildungsmöglichkeiten und Arbeitsbedingungen, Inklusion Bezüge zu den fächerübergreifenden Themen gemäß Grundsatzband Kap. Keine Armut und kein Hunger Englisch, Französisch, Spanisch, Latein, Griechisch, Chemie, Geschichte, Katholischer Religionsunterricht, Geographie Bildung, Kultur und lebenslanges Lernen Englisch, Französisch, Spanisch, Russisch, Italienisch, Latein, Griechisch, Geschichte, Ethikunterricht, Kunst, Musik, Sport Geschlechtergleichstellung Deutsch, Englisch, Französisch, Spanisch, Italienisch, Latein, Chemie, Geschichte, Evangelischer Religionsunterricht, Katholischer Religionsunterricht, Musik, Sport', 'Musik: Musikkulturen der Welt entdecken - Jazz und Weltmusik Vielfalt kulturhistorischer Bezüge in ausgewählten Beispielen von Weltmusik aus verschiedenen Regionen erörtern Bezüge zu den fächerübergreifenden Themen gemäß Grundsatzband Kap. Bildung, Kultur und lebenslanges Lernen Englisch, Französisch, Spanisch, Russisch, Italienisch, Latein, Griechisch, Sozialkunde, Katholischer Religionsunterricht, Geographie, Kunst, Sport Geschlechtergleichstellung Deutsch, Englisch, Französisch, Russisch, Latein, Griechisch, Sozialkunde, Ethikunterricht, Evangelischer Religionsunterricht, Katholischer Religionsunterricht, Musik,', 'vs. Konstruktivismus Bezüge zu den fächerübergreifenden Themen gemäß Grundsatzband Kap. Keine Armut und kein Hunger Deutsch, Englisch, Spanisch, Russisch, Biologie, Chemie, Geschichte, Ethikunterricht, Evangelischer Religionsunterricht, Katholischer Religionsunterricht, Geographie, Informatik Bildung, Kultur und lebenslanges Lernen Deutsch, Englisch, Französisch, Spanisch, Russisch, Italienisch, Latein, Griechisch, Biologie, Geschichte, Ethikunterricht, Evangelischer Religionsunterricht, Katholischer Religionsunterricht Geographie, Informatik, Kunst, Musik, Sport Klimawandel und Klimaschutz Deutsch, Englisch, Französisch, Spanisch,']"
5,25,0.012827090815802977,5_stunden_themengebiete_auseinander inhalte_lernbereichen,"['stunden', 'themengebiete', 'auseinander inhalte', 'lernbereichen', 'ausgewiesenen', 'umfeld', 'innerhalb', 'kenntnisse', 'bewusst', 'mithilfe', 'alltag', 'sprache kultur', 'auseinander', 'inhalte kompetenzen', 'setzen', 'grundlage', 'spanischen', 'sprache', 'kultur auseinander', 'spanischen sprache']","['und Schüler ... bewältigen Kommunikationssituationen innerhalb der angegebenen Themengebiete mithilfe der in den Lernbereichen - ausgewiesenen Kompetenzen. setzen sich auf der Grundlage ihrer Kenntnisse bewusst mit der französischen Sprache und Kultur auseinander. Inhalte zu den Kompetenzen: Alltag und unmittelbares persönliches Umfeld: häusliche und familiäre Situationen u. a. Familie, Haustiere, Freunde Stunden Leben und Wohnen u. a. tägliche Abläufe, Lebensmittel, Wohnort, Verkehrsmittel', 'und Schüler ... bewältigen Kommunikationssituationen innerhalb der angegebenen Themengebiete mithilfe der in den Lernbereichen - ausgewiesenen Kompetenzen. setzen sich auf der Grundlage ihrer Kenntnisse bewusst mit der französischen Sprache und Kultur auseinander. Inhalte zu den Kompetenzen: Alltag und unmittelbares persönliches Umfeld: häusliche und familiäre Situationen u. a. Familie, Haustiere, Freunde Stunden Leben und Wohnen u. a. tägliche Abläufe, Lebensmittel, Wohnort, Verkehrsmittel', 'und Schüler ... bewältigen Kommunikationssituationen innerhalb der angegebenen Themengebiete mithilfe der in den Lernbereichen - ausgewiesenen Kompetenzen. setzen sich auf der Grundlage ihrer Kenntnisse bewusst mit der französischen Sprache und Kultur auseinander. Inhalte zu den Kompetenzen: Alltag und unmittelbares persönliches Umfeld: häusliche und familiäre Situationen u. a. Familie, Haustiere, Freunde Stunden Leben und Wohnen u. a. tägliche Abläufe, Lebensmittel, Wohnort, Verkehrsmittel']"
6,22,0.011287839917906618,6_schlern_leistungsbewertung_schriftliche_erworben,"['schlern', 'leistungsbewertung', 'schriftliche', 'erworben', 'lesen', 'allgemeine', 'toleranz', 'gelegenheit', 'umfasst', 'frderung', 'grundstze', 'ministeriums bildung', 'ministeriums', 'besonderen', 'wissenschaft kultur', 'bildung wissenschaft', 'grenzen', 'mai', 'menschenwrde', 'wissenschaft']","['Landes MecklenburgVorpommern Leistungsbewertungsverordnung - LeistBewVO M-V vom April Förderung von Schülerinnen und Schülern mit besonderen Schwierigkeiten im Lesen, im Rechtschreiben oder im Rechnen Verwaltungsvorschrift des Ministeriums für Bildung, Wissenschaft und Kultur vom Mai Allgemeine Grundsätze Leistungsbewertung umfasst mündliche, schriftliche und gegebenenfalls praktische Formen der Leistungsermittlung. Den Schülerinnen und Schülern muss im Fachunterricht die Gelegenheit dazu gegebene werden, Kompetenzen, die sie erworben', 'Landes MecklenburgVorpommern Leistungsbewertungsverordnung - LeistBewVO M-V vom April Förderung von Schülerinnen und Schülern mit besonderen Schwierigkeiten im Lesen, im Rechtschreiben oder im Rechnen Verwaltungsvorschrift des Ministeriums für Bildung, Wissenschaft und Kultur vom Mai Allgemeine Grundsätze Leistungsbewertung umfasst mündliche, schriftliche und gegebenenfalls praktische Formen der Leistungsermittlung. Den Schülerinnen und Schülern muss im Fachunterricht die Gelegenheit dazu gegeben werden, Kompetenzen, die sie erworben', 'Landes MecklenburgVorpommern Leistungsbewertungsverordnung - LeistBewVO M-V vom April Förderung von Schülerinnen und Schülern mit besonderen Schwierigkeiten im Lesen, im Rechtschreiben oder im Rechnen Verwaltungsvorschrift des Ministeriums für Bildung, Wissenschaft und Kultur vom Mai Allgemeine Grundsätze Leistungsbewertung umfasst mündliche, schriftliche und gegebenenfalls praktische Formen der Leistungsermittlung. Den Schülerinnen und Schülern muss im Fachunterricht die Gelegenheit dazu gegeben werden, Kompetenzen, die sie erworben']"
7,21,0.0107747562852745,7_zielen_verbinden_werten_interkulturellen bildung,"['zielen', 'verbinden', 'werten', 'interkulturellen bildung', 'lernprozesse', 'erbe', 'beschftigung', 'mecklenburgvorpommern', 'landschaft', 'interkulturellen', 'architektur', 'demokratie', 'gesellschaftlichem', 'geben', 'region', 'verbindung', 'engagement', 'wahrnehmung', 'individuum', 'gestaltung']","['Erbe in Landschaft, Kultur und Architektur mit den Werten von Demokratie sowie den Zielen der interkulturellen Bildung zu verbinden. Diese Lernprozesse zielen auf die Beschäftigung mit Mecklenburg-Vorpommern als Migrationsgebiet, als Kultur- und Tourismusland sowie als Wirtschaftsstandort ab. Sie geben eine Orientierung für die Wahrnehmung von Originalität, Zugehörigkeit als Individuum, emotionaler und sozialer Einbettung in Verbindung mit gesellschaftlichem Engagement. Die Gestaltung des', 'Erbe in Landschaft, Kultur und Architektur mit den Werten von Demokratie sowie den Zielen der interkulturellen Bildung zu verbinden. Diese Lernprozesse zielen auf die Beschäftigung mit Mecklenburg-Vorpommern als Migrationsgebiet, als Kultur- und Tourismusland sowie als Wirtschaftsstandort ab. Sie geben eine Orientierung für die Wahrnehmung von Originalität, Zugehörigkeit als Individuum, emotionaler und sozialer Einbettung in Verbindung mit gesellschaftlichem Engagement. Die Gestaltung des', 'Erbe in Landschaft, Kultur und Architektur mit den Werten von Demokratie sowie den Zielen der interkulturellen Bildung zu verbinden. Diese Lernprozesse zielen auf die Beschäftigung mit Mecklenburg-Vorpommern als Migrationsgebiet, als Kultur- und Tourismusland sowie als Wirtschaftsstandort ab. Sie geben eine Orientierung für die Wahrnehmung von Originalität, Zugehörigkeit als Individuum, emotionaler und sozialer Einbettung in Verbindung mit gesellschaftlichem Engagement. Die Gestaltung des']"
8,19,0.009748589020010261,8_prgung_wahr_kommunikation_nehmen,"['prgung', 'wahr', 'kommunikation', 'nehmen', 'lernenden', 'stehenden', 'verfgung', 'spielen', 'aufgeschlossen gegenber', 'wobei', 'verstndigung', 'demokratischen', 'positionen', 'gegenber kulturen', 'aufgeschlossen', 'handlungen', 'werthaltungen', 'einstellungen', 'berzeugungen', 'kultureller']","['die demokratischen Grundrechte und nehmen ihre Mitsprache- und Mitgestaltungsrechte wahr. Interkulturelle Verständigung: Die Lernenden nehmen die kulturelle Prägung von Kommunikation, Handlungen, Werthaltungen und Einstellungen wahr. Sie sind aufgeschlossen gegenüber anderen Kulturen und reflektieren ihre eigenen Positionen und Überzeugungen in der Kommunikation mit Menschen anderer kultureller Prägung. Lernkompetenz Problemlösekompetenz: Die Lernenden planen ihren Arbeitsprozess, wobei sie die ihnen zur Verfügung stehenden Ressourcen', 'die demokratischen Grundrechte und nehmen ihre Mitsprache- und Mitgestaltungsrechte wahr. Interkulturelle Verständigung: Die Lernenden nehmen die kulturelle Prägung von Kommunikation, Handlungen, Werthaltungen und Einstellungen wahr. Sie sind aufgeschlossen gegenüber anderen Kulturen und reflektieren ihre eigenen Positionen und Überzeugungen in der Kommunikation mit Menschen anderer kultureller Prägung. Lernkompetenz Problemlösekompetenz: Die Lernenden planen ihren Arbeitsprozess, wobei sie die ihnen zur Verfügung stehenden Ressourcen', 'die demokratischen Grundrechte und nehmen ihre Mitsprache- und Mitgestaltungsrechte wahr. Interkulturelle Verständigung: Die Lernenden nehmen die kulturelle Prägung von Kommunikation, Handlungen, Werthaltungen und Einstellungen wahr. Sie sind aufgeschlossen gegenüber anderen Kulturen und reflektieren ihre eigenen Positionen und Überzeugungen in der Kommunikation mit Menschen anderer kultureller Prägung. Lernkompetenz Problemlösekompetenz: Die Lernenden planen ihren Arbeitsprozess, wobei sie die ihnen zur Verfügung stehenden Ressourcen']"
