,Topic -1 terms,Topic -1 probabilities,Topic 0 terms,Topic 0 probabilities,Topic 1 terms,Topic 1 probabilities,Topic 2 terms,Topic 2 probabilities,Topic 3 terms,Topic 3 probabilities,Topic 4 terms,Topic 4 probabilities,Topic 5 terms,Topic 5 probabilities,Topic 6 terms,Topic 6 probabilities,Topic 7 terms,Topic 7 probabilities,Topic 8 terms,Topic 8 probabilities,Topic 9 terms,Topic 9 probabilities
0,gesellschaft,0.0248,leben,0.0331,politische,0.0375,islam,0.0969,familie,0.1126,religionsunterricht,0.1148,stunden,0.1759,schlern,0.1697,zielen,0.3315,prgung,0.2162,alten,0.1103
1,bildung,0.0233,menschen,0.0301,antike,0.0277,religion,0.0776,judentums,0.0604,englisch,0.1125,themengebiete,0.1557,leistungsbewertung,0.14,verbinden,0.2004,wahr,0.2154,nutzen,0.0997
2,religionen,0.0231,kulturelle,0.0264,republik,0.0275,religion kultur,0.0759,lassen,0.0572,musik,0.1023,auseinander inhalte,0.1525,schriftliche,0.1382,werten,0.1899,kommunikation,0.1936,gypten,0.0951
3,geschichte,0.022,welt,0.0254,wirtschaft,0.0263,zusammenleben,0.0745,vielzahl,0.0559,deutsch,0.0949,lernbereichen,0.1525,erworben,0.1366,interkulturellen bildung,0.1899,nehmen,0.1929,nutzen kenntnisse,0.0894
4,bedeutung,0.0206,religionen,0.0222,herrschaft,0.0257,kultur religion,0.0493,regionale,0.0559,franzsisch,0.0923,ausgewiesenen,0.1525,lesen,0.1335,lernprozesse,0.1862,lernenden,0.1772,spaniens,0.0865
5,kunst,0.0194,ethik,0.0218,weimarer,0.0246,ethische,0.0486,niederdeutsche,0.0559,spanisch,0.0828,umfeld,0.1417,allgemeine,0.1296,erbe,0.1778,stehenden,0.1301,landes,0.0706
6,auseinandersetzung,0.0193,bildung,0.0212,gesellschaft,0.0241,vielfltiger,0.0459,niederdeutsche sprache,0.0559,katholischer,0.0777,innerhalb,0.1303,toleranz,0.1289,beschftigung,0.1693,verfgung,0.1257,leistungen,0.0612
7,menschen,0.0189,gesellschaft,0.0193,wissenschaft,0.0237,religionen,0.0441,lsst,0.0553,katholischer religionsunterricht,0.0752,kenntnisse,0.1303,gelegenheit,0.1273,mecklenburgvorpommern,0.1679,spielen,0.122,kenntnisse,0.0605
8,sport,0.0175,geschichte,0.0177,demokratie,0.0233,prgenden religionen,0.0439,bevlkerungsgruppen,0.0553,fcherbergreifenden,0.0738,bewusst,0.1298,umfasst,0.1262,landschaft,0.1572,aufgeschlossen gegenber,0.1179,damaligen zeit,0.0587
9,fragen,0.0173,ber,0.0173,revolution,0.0228,kulturen prgenden,0.0439,besonderer weise,0.0553,kultur lebenslanges,0.0721,mithilfe,0.1298,frderung,0.1262,interkulturellen,0.1551,wobei,0.1179,damaligen,0.0587
10,stunden,0.0171,kulturellen,0.0172,bildung,0.0215,erweitern,0.0428,besonderer,0.0548,themen gem,0.0721,alltag,0.1291,grundstze,0.1262,architektur,0.1413,verstndigung,0.1152,untersuchen mithilfe,0.0577
11,entwickeln,0.0158,natur,0.017,weimarer republik,0.0214,berprfen,0.0428,familien,0.0538,grundsatzband kap,0.0721,sprache kultur,0.127,ministeriums bildung,0.1242,demokratie,0.1291,demokratischen,0.1147,frhen hochkultur,0.0577
12,ber,0.0157,bedeutung,0.0166,geschichte,0.0206,besonderen,0.0422,literatur,0.0538,kap,0.0721,auseinander,0.1226,ministeriums,0.1242,gesellschaftlichem,0.1214,positionen,0.1136,bertragen,0.0568
13,eigene,0.0153,entwicklung,0.0165,europa,0.0199,verschiedener,0.0417,museen,0.0529,lebenslanges lernen,0.0721,inhalte kompetenzen,0.1194,besonderen,0.1076,geben,0.1186,gegenber kulturen,0.1128,nil,0.0559
14,wichtige,0.0151,technik,0.0164,ministerium bildung,0.0195,entwickelt,0.0415,gesellschaftlichem,0.0529,gem grundsatzband,0.0721,setzen,0.1165,wissenschaft kultur,0.0961,region,0.1131,aufgeschlossen,0.1128,zeit,0.053
15,fach,0.0149,verschiedener,0.0163,ministerium,0.0195,beschreiben,0.0414,erkunden,0.0524,lebenslanges,0.0721,grundlage,0.1135,bildung wissenschaft,0.0946,verbindung,0.1086,handlungen,0.1107,kriterien,0.0521
16,medien,0.0148,handeln,0.0161,beurteilen,0.019,prgenden,0.0407,jdischen,0.0503,grundsatzband,0.0715,spanischen,0.1121,grenzen,0.0946,engagement,0.1059,werthaltungen,0.1107,hochkultur,0.0511
17,erkennen,0.0147,umwelt,0.0161,bildung wissenschaft,0.0188,befhigt,0.0405,persnlichkeiten,0.0499,gem,0.071,sprache,0.1096,mai,0.0917,wahrnehmung,0.1049,einstellungen,0.1087,vorgegebenen,0.0506
18,leben,0.0147,reflektieren,0.0159,politik,0.0176,rahmen,0.0404,vergleichen,0.049,griechisch,0.0684,kultur auseinander,0.1038,menschenwrde,0.0797,individuum,0.0989,berzeugungen,0.1069,ordnen,0.0497
19,themen,0.0147,knnen,0.0153,aspekte,0.0171,entwicklung,0.0387,weise,0.0478,fcherbergreifenden themen,0.0683,spanischen sprache,0.0869,wissenschaft,0.0781,gestaltung,0.0978,kultureller,0.1069,lage,0.0486
