topic_name,Bio,"Ethik, Philo",Geschichte,"Psychologie, Gesundheit",Sozialkunde,entropy,topic_total,topic_proportion
-1_fragen_handeln_regeln_gewissen,0.0286,0.8714,0.05,0.0107,0.0393,0.7892,280,0.2208
0_werte_knnen_moralischen_gerechtigkeit,0.0172,0.9397,0.0129,0.0043,0.0259,0.4367,696,0.5489
1_schlern_orientierung_risiken_kooperation,0.1538,0.7077,0.0,0.0,0.1385,1.1634,65,0.0513
2_fragen_erfahren_menschen_fragen moral,0.0794,0.8254,0.0,0.0,0.0952,0.8417,63,0.0497
3_glck_glck moral_finden_moral analysieren,0.0606,0.8485,0.0,0.0303,0.0606,0.8442,33,0.026
4_bercksichtigung_verantwortung_instanz_wesen,0.0,1.0,0.0,0.0,0.0,0.0,27,0.0213
5_wahrheit_dimension_lge_handeln,0.0,0.96,0.0,0.04,0.0,0.2423,25,0.0197
6_lernen_fach ethik_fach_jahrgangsstufen,0.08,0.84,0.0,0.0,0.08,0.7943,25,0.0197
7_natur_ethik natur_natur umweltschutzes_umweltschutzes,0.05,0.9,0.0,0.0,0.05,0.569,20,0.0158
8_eigene leben_behandelt_ebenso_gute leben,0.0,1.0,0.0,0.0,0.0,0.0,19,0.015
9_menschen_suche_wissenschaftlichen_erziehung,0.0,1.0,0.0,0.0,0.0,0.0,15,0.0118
TOTAL,0.0315,0.9054,0.0181,0.0063,0.0386,0.6196,1268,1.0
