topic_name,Bio,"Ethik, Philo",Geschichte,"Psychologie, Gesundheit",Sozialkunde,entropy,topic_total,topic_proportion
-1_inhalte_lsen_kompetenzerwartungen_form,0.2373,0.4068,0.0678,0.0169,0.2712,1.8938,59,0.1735
0_zahlen_rationale zahlen_sowohl_tragen,0.3333,0.3333,0.0,0.0,0.3333,1.585,15,0.0441
1_vermittelt_argumentation_schlern_sollen,0.0,0.9375,0.0625,0.0,0.0,0.3373,16,0.0471
2_welt_deren_fach_betrachtung,0.7179,0.1538,0.0256,0.0,0.1026,1.2312,39,0.1147
3_sozialen_erkenntnisse_rational_wissenschaftlichen,0.0476,0.1429,0.0,0.5714,0.2381,1.5645,21,0.0618
4_eigene_positionen_rahmen_rationaler,0.0169,0.7627,0.0508,0.0,0.1695,1.0503,59,0.1735
5_wirtschaft_gesellschaftlichen_wirtschaftlichen_beurteilen,0.0588,0.0588,0.0,0.0,0.8824,0.6402,17,0.05
6_entwickeln_interessen_politischen_bereitschaft,0.0682,0.125,0.1818,0.0227,0.6023,1.651,88,0.2588
7_entscheidungen_kologie_formulieren_kriterien,0.0769,0.0769,0.0,0.0385,0.8077,0.999,26,0.0765
TOTAL,0.1706,0.3294,0.0735,0.0471,0.3794,1.9778,340,1.0
