,text_excerpt,search_term,match_term,state,school type,grade,year,subject,doc_id,bertopic_topic
29488,"Umgang mit Formalismen entgegenzuwirken. Durch die wiederholte Auseinandersetzung mit chemischen Fragestellungen erhalten die Schülerinnen und Schüler einen Einblick in den naturwissenschaftlichen Erkenntnisprozess. Dadurch wird ein Beitrag für die Entwicklung eines rationalen, naturwissenschaftlich begründeten Weltbildes geleistet. Zu dem Kompetenzbereich Kommunikation zählt die Fähigkeit, Informationen fachbezogen zu erschließen und auszutauschen. Die Schülerinnen und Schüler entwickeln im Unterricht eine zunehmend ausgeschärfte Fachsprache sowie die",Rationalität,rationalen,Niedersachsen,Gym,5-10,2015,Bio,29488,2
29489,"im Medium des Gesprächs. Dabei geht das prüfende Selbstgespräch dem Dialog mit weiteren Personen vorher. Intellektuelle Redlichkeit ist die Voraussetzung für die Untersuchung der Frage, ob die eigenen Gedanken der rationalen Überprüfung standhalten und damit Gültigkeit beanspruchen dürfen. Der Bildungswert der Dialogorientierung des Faches zielt also direkt ab auf die Haltung der Lernenden, mit der sie sich und den anderen begegnen.",Rationalität,rationalen,Bremen,Oberschule,,2017,"Ethik, Philo",29489,4
29490,"Sachverhalte vorwiegend im Kontext eines Fertigungsbetriebs verstehen und differenziert beurteilen, um nachhaltige, ethisch verantwortungsvolle Entscheidungen zu treffen. Sie sind bereit, sich mit wirtschaftlichen und rechtlichen Herausforderungen im Unternehmen aufgeschlossen und rational auseinanderzusetzen und diese zu bewältigen, wobei sie ökologische und ethische Aspekte berücksichtigen. Darüber hinaus übertragen die Schülerinnen und Schüler die so erworbene Handlungskompetenz auch auf ihr Verbraucherver. Gegenstandsbereiche Perspektiven Aufbau",Rationalität,rational,Bayern,Realschule,,2023,"Ethik, Philo",29490,6
29491,"von Wissensbestandteilen sinnvoll als vielmehr eine Verbesserung von deren Qualität. Davon ist besonders jenes Wissen betroffen, mit dem die Schülerinnen und Schüler ihre Vorstellungen und Wahrnehmungen von politischen Problemlösungsprozessen zu rational begründetem Urteil und zu politischem Handeln führen. Grundlage und Ziel der Kompetenzentwicklung sind grundlegende Wissensbestände, insbesondere aus dem Sozialwissen. Dazu zählen: Abb : Wissensbestände im Fach Sozialkunde staatliche Unterstützung für",Rationalität,rational,Sachsen-Anhalt,Sekundarschule,,2019,Sozialkunde,29491,3
29492,"- Informierte und urteilsfähige Bürgerinnen und Bürger, die politische Zusammenhänge verstehen und begründete Positionen entwickeln können, aber selten politisch aktiv sind. - Interventionsfähige Bürgerinnen und Bürger, die ihre Fähigkeiten zur rationalen Urteilsbildung mit einer prinzipiellen Handlungsbereitschaft verknüpfen und bereit sind, durch politische Aktivitäten persönliche Belastungen auf sich zu nehmen. - Aktivbürgerinnen und -bürger, die politische Beteiligung als unverzichtbar hohes Gut für",Rationalität,rationalen,Sachsen-Anhalt,Sekundarschule,,2019,Sozialkunde,29492,6
29493,"als Lebensbereich zu begreifen, in dem jedes Wirtschaftssubjekt eine Funktion erfüllt und dabei verantwortlich im Rahmen der Wirtschaftsordnung agieren soll. Die Sachkompetenz der Schülerinnen und Schüler zeigt sich in einer rationalen Auseinandersetzung mit wirtschaftlichen Themen. Die Schülerinnen und Schüler sollen Wirtschaft als einen entscheidenden Bereich des gesellschaftlichen Lebens erfassen und seine historische Entwicklung und seine Verflechtung mit anderen Bereichen z. B.",Rationalität,rationalen,Saarland,Gym,Sek2,2023,Sozialkunde,29493,5
29494,"ästhetisch-expressive Begegnung und Gestaltung Sprache/Literatur, Musik/bildende und theatrale Kunst/physische Expression normativ-evaluative Auseinandersetzung mit Wirtschaft und Gesellschaft Geschichte, Politik, Ökonomie, Recht, Wirtschaft, Gesundheit und Soziales einen Modus, in dem Probleme konstitutiver Rationalität behandelt werden und über die Bedingungen menschlicher Erkenntnis und menschlichen In-der-Welt-Seins nachgedacht wird Religion, Ethik und Philosophie. Jeder dieser gleichrangigen Modi bietet also eine eigene Art und Weise, die Wirklichkeit",Rationalität,Rationalität,Hessen,Gym,Sek2,2024,Sozialkunde,29494,4
29495,"ihrer Analyse fachsprachlich zu beschreiben. Die Lernenden analysieren dabei auch ihre eigenen sowie fremde ökonomische und politische Sinnvorstellungen zum Beispiel Manifestationen, Deutungsmuster, Theorien, Ideologien, Vorurteile, Stereotype. Ziel ist es, die Rationalität und Kontroversität von Sinnvorstellungen und rechtlichen Normierungen mit wissenschaftlichen Verfahrensweisen zu überprüfen. Die Lernenden untersuchen Zusammenhänge, Wechselwirkungen und Dependenzen zwischen gesellschaftlichen Teilbereichen zum Beispiel Gesellschaft, Wirtschaft, Ökologie und unterschiedlichen Handlungsebenen",Rationalität,Rationalität,Hessen,Gym,Sek2,2024,Sozialkunde,29495,-1
29496,"den grundlegenden Problemgehalt oder die fundamentale Konfliktstruktur differenziert beschreiben, A die eigene Person im entsprechenden Gesamtzusammenhang verorten, A Sinnvorstellungen als solche erkennen und beschreiben, A Sinnvorstellungen kriteriengeleitet untersuchen, A die Rationalität von Sinnvorstellungen prüfen, A zur Analyse des jeweiligen Themas verschiedene Perspektiven im Sinne interdisziplinärer Betrachtung einnehmen, miteinander verschränken und reflektieren. erhöhtes Niveau Leistungskurs Die Lernenden können A den Wandel von",Rationalität,Rationalität,Hessen,Gym,Sek2,2024,Sozialkunde,29496,4
29497,"zielführend anwenden e, politische, ökonomische, gesellschaftliche Manifestationen, Deutungsmuster, Theorien und Ideologien als Sinnvorstellungen des Sozialen A: Sinnvorstellungen als solche erkennen und beschreiben g, A: Sinnvorstellungen kriteriengeleitet untersuchen g, A: die Rationalität von Sinnvorstellungen prüfen g, A: deskriptive, analytische und normative Anteile von Sinnvorstellungen unterscheiden und herausarbeiten e, U: als Bedingung rationalen Urteilens eigene Deutungsmuster wahrnehmen und reflektieren g, U: Urteile anderer",Rationalität,Rationalität,Hessen,Gym,Sek2,2024,Sozialkunde,29497,4
29498,"nur der diskursiven Selbstverständigung der Gesellschaft. Mit ihren häufig domänenübergreifenden Perspektiven, oft verbunden mit empirisch oder normativ begründeten Handlungsempfehlungen, tragen sie auch zu einer der Komplexität gesellschaftlicher Entwicklungen angemessenen und rationaler Entscheidungsfindung verpflichteten Gestaltung der Gesellschaft bei. Die angeführten Grundprobleme der drei Domänen stehen nicht isoliert, sondern sind eng aufeinander bezogen. Sie können aus einer domänenvernetzenden Perspektive zu übergeordneten Leitfragen des",Rationalität,rationaler,Hessen,Gym,Sek2,2024,Sozialkunde,29498,6
29499,"U Zielkonflikte angemessen erfassen, U sich für eine Lösungsperspektive entscheiden, U eigene Entscheidungen argumentativ begründen, U Auswirkungen von Entscheidungen auf die eigene Person und andere Betroffene reflektieren, U als Bedingung rationalen Urteilens eigene Deutungsmuster wahrnehmen und reflektieren, U Urteile anderer kriteriengeleitet überprüfen, U bei der Beurteilung des jeweiligen Themas verschiedene Perspektiven im Sinne interdisziplinärer Betrachtung einbeziehen. erhöhtes Niveau Leistungskurs Die Lernenden",Rationalität,rationalen,Hessen,Gym,Sek2,2024,Sozialkunde,29499,4
29500,"und beschreiben g, A: Sinnvorstellungen kriteriengeleitet untersuchen g, A: die Rationalität von Sinnvorstellungen prüfen g, A: deskriptive, analytische und normative Anteile von Sinnvorstellungen unterscheiden und herausarbeiten e, U: als Bedingung rationalen Urteilens eigene Deutungsmuster wahrnehmen und reflektieren g, U: Urteile anderer kriteriengeleitet überprüfen g, U: den Zusammenhang von Sinn-vorstellungen und gesellschaftlichen Strukturen reflektieren e, H: anderen Positionen tolerant und gegebenenfalls begründet",Rationalität,rationalen,Hessen,Gym,Sek2,2024,Sozialkunde,29500,4
29501,"ihre Ergebnisse zu kommunizieren sowie sich mit ihren spezifischen Methoden der Erkenntnisgewinnung und deren Grenzen auseinander zu setzen. Dazu gehört das theorie- und hypothesengeleitete naturwissenschaftliche Arbeiten, das eine analytische und rationale Betrachtung der Welt ermöglicht. Darüber hinaus bietet naturwissenschaftliche Grundbildung eine Orientierung für naturwissenschaftlichtechnische Berufsfelder und schafft Grundlagen für anschlussfähiges, berufbezogenes Lernen. Schüler- und handlungsorientiertes Lernen Leitbild des Lernens im Fach",Rationalität,rationale,Bremen,,Sek1,2010,Bio,29501,2
29502,"Machtlosigkeit, Gleichheit und Ungleichheit in der Gesellschaft im Rahmen einer politikgeschichtlichen Perspektive. Herrschaft, in Antike und Mittelalter überwiegend personal definiert und ausgeübt, mündet in der Neuzeit in Strukturen staatlicher Ordnung. Rationale/legale, traditionale und charismatische Herrschaft, die drei Typen legitimer Herrschaft, sind in der Geschichte in vielfältiger Form nachweisbar und ineinander verschränkt Weltdeutung und Religion. Im Rahmen des Sekundarbereichs I ist eine",Rationalität,rationale,Niedersachsen,Gym,Sek1,2015,Geschichte,29502,6
29503,Handelns gewinnen. Sie entwickeln auf der Basis philosophischer Positionen und Denkmodelle verantwortbare Handlungsoptionen und rechtfertigen eigene Entscheidungen und Handlungen durch plausible Gründe und Argumente. Sie vertreten darüber hinaus im Rahmen rationaler Diskurse im Unterricht ihre eigene Position mit argumentierender Bezugnahme auf die Positionen anderer und beteiligen sich mit philosophisch dimensionierten Beiträgen an der Diskussion allgemein-menschlicher und gegenwärtiger gesellschaftlich-politischer Fragestellungen. Inhaltsfelder Kompetenzen,Rationalität,rationaler,NRW,Gym,Sek2,2014,"Ethik, Philo",29503,4
29504,"ihrer Analyse fachsprachlich zu beschreiben. Die Lernenden analysieren dabei auch ihre eigenen sowie fremde politische und ökonomische Sinnvorstellungen zum Beispiel Manifestationen, Deutungsmuster, Theorien, Ideologien, Vorurteile, Stereotype. Ziel ist es, die Rationalität und Kontroversität von Sinnvorstellungen und rechtlichen Normierungen mit wissenschaftlichen Verfahrensweisen zu überprüfen. Die Lernenden untersuchen Zusammenhänge, Wechselwirkungen und Dependenzen zwischen gesellschaftlichen Teilbereichen zum Beispiel Gesellschaft, Wirtschaft, Ökologie und unterschiedlichen Handlungsebenen",Rationalität,Rationalität,Hessen,Gym,Sek2,2024,Sozialkunde,29504,-1
29505,"Kommunikation. Sie zeigen in ihren eigenen Bildern Vorstellungen und Empfindungen und bedienen sich relevanter Gestaltungsmittel z. B. Farbkontraste, um die beabsichtigte Bildwirkung mitzuteilen. Mathematik Die Schülerinnen und Schüler stellen positive rationale Zahlen als Bruch, Dezimalzahl, in Prozentschreibweise und auch bildlich auf der Basis verschiedener Grundvorstellungen zu Bruchzahlen dar. Sie beherrschen die Rechentechniken in den vier Grundrechenarten, wenden dabei die Rechenregeln und",Rationalität,rationale,Bayern,Realschule,,2023,"Ethik, Philo",29505,-1
29506,"Fragestellungen zu lösen und ihre Lebenssituationen gegenwärtig und zukünftig zu bewältigen. Damit leistet das Fach einen wesentlichen Beitrag zur Entwicklung des mündigen Bürgers, der in der Lage ist, sachgerechte und rationale Entscheidungen zu fällen und verantwortungsvoll in der Demokratie mitzuwirken und zu handeln unter Berücksichtigung ökonomischer, rechtlicher, ökologischer, sozialer und ethischer Aspekte. Das Kompetenzstrukturmodell des Faches Betriebswirtschaftslehre/Rechnungswesen gliedert sich in drei",Rationalität,rationale,Bayern,Realschule,,2023,"Ethik, Philo",29506,6
29507,"reellen Zahlen. schätzen den Wert von Quadratwurzeln ab und lösen quadratische Gleichungen der Form x a. formen einfache Wurzelterme um, radizieren teilweise und machen den Nenner bei Termen der Form rational. Kompetenzerwartungen und Inhalte Die Schülerinnen und Schüler ... identifizieren die zentrische Streckung als Ähnlichkeitsabbildung und beschreiben ihre Eigenschaften. bilden mithilfe der Abbildungsvorschrift der zentrischen Streckung Punkte und ebene Figuren ab",Rationalität,rational,Bayern,Realschule,,2023,"Ethik, Philo",29507,-1
29508,"ihren unterschiedlichen gesellschaftlichen Rollen wirtschaftliche und rechtliche Sachverhalte verstehen und differenziert beurteilen, um nachhaltige, ethisch verantwortungsvolle Entscheidungen zu treffen. Sie sind bereit, sich mit wirtschaftlichen und rechtlichen Herausforderungen aufgeschlossen und rational auseinanderzusetzen. Sie bewältigen gegenwärtige und zukünftige Lebenssituationen, sichern die ökonomische und soziale Existenz für sich und andere und gestalten darüber hinaus Gesellschaft, Wirtschaft und Politik aktiv mit. Die Gegenstandsbereiche des",Rationalität,rational,Bayern,Realschule,,2023,"Ethik, Philo",29508,5
