,Topic -1 terms,Topic -1 probabilities,Topic 0 terms,Topic 0 probabilities,Topic 1 terms,Topic 1 probabilities,Topic 2 terms,Topic 2 probabilities,Topic 3 terms,Topic 3 probabilities,Topic 4 terms,Topic 4 probabilities,Topic 5 terms,Topic 5 probabilities,Topic 6 terms,Topic 6 probabilities,Topic 7 terms,Topic 7 probabilities
0,inhalte,0.1043,zahlen,0.7871,vermittelt,0.2064,welt,0.0856,sozialen,0.1308,eigene,0.1039,wirtschaft,0.0935,entwickeln,0.0905,entscheidungen,0.1716
1,lsen,0.0891,rationale zahlen,0.6313,argumentation,0.1749,deren,0.0673,erkenntnisse,0.0878,positionen,0.0792,gesellschaftlichen,0.0818,interessen,0.0777,kologie,0.1666
2,kompetenzerwartungen,0.0828,sowohl,0.4315,schlern,0.1693,fach,0.0657,rational,0.0836,rahmen,0.0591,wirtschaftlichen,0.0746,politischen,0.0617,formulieren,0.1585
3,form,0.0728,tragen,0.2793,sollen,0.1664,betrachtung,0.0642,wissenschaftlichen,0.0776,rationaler,0.0559,beurteilen,0.0737,bereitschaft,0.0566,kriterien,0.1538
4,formen,0.0661,darstellung,0.2298,berprfung,0.1631,methoden,0.0601,gewinnen,0.0756,philosophie,0.0524,soziale,0.064,fhigkeit,0.0543,konomie,0.1474
5,beispiel,0.062,wenden,0.1353,prinzip,0.1602,verstehen,0.0554,umgang,0.0756,reflektieren,0.049,auseinandersetzung,0.0623,gesellschaft,0.0523,selbststndig,0.1473
6,wenden,0.0591,unterscheiden,0.075,argumente,0.1574,problemstellungen,0.0554,phnomene,0.0708,position,0.0483,politik,0.0608,rationales,0.0513,wirtschaftliche,0.1395
7,analysieren,0.0589,dar,0.075,argumentieren,0.1574,grenzen,0.0505,theorien,0.067,eigenen,0.0468,strukturen,0.0586,regeln,0.0502,politische,0.1337
8,zahlen,0.0543,situation,0.071,fragen,0.1556,dadurch,0.0504,perspektive,0.0659,eigene position,0.0451,wirtschaftliche,0.0562,konflikte,0.0496,vertreten,0.1301
9,verschiedener,0.0536,,0.0,bewltigung,0.15,erkenntnisse,0.0496,bewltigung,0.0638,rational,0.0431,politische,0.0553,vertreten,0.0492,sinne,0.1268
10,familie,0.0536,,0.0,herausforderungen,0.1367,aufbau,0.0467,knnen,0.0623,auseinandersetzung,0.0428,modernen,0.0509,toleranz,0.0443,nutzen,0.0733
11,beschreiben,0.0532,,0.0,ben,0.0694,trgt,0.0467,erweiterung,0.0616,grenzen,0.0423,rational,0.0471,medien,0.0439,konomische,0.0677
12,erlutern,0.0512,,0.0,ethikunterricht,0.0667,fhigkeit,0.0456,alltag,0.0568,ber,0.0423,rechtliche,0.0457,reflektieren,0.0401,begrndet,0.0614
13,verwenden,0.0492,,0.0,reflexion,0.0579,zugleich,0.0451,dadurch,0.0558,rationalitt,0.041,entwickelt,0.0457,grundlage,0.0388,treffen,0.0586
14,mithilfe,0.0492,,0.0,bedeutung,0.0473,lernen,0.0443,handeln,0.0556,unterricht,0.0406,sachkompetenz,0.0457,mastbe,0.0364,kologische,0.0529
15,wert,0.0482,,0.0,sicherer,0.0462,historischen,0.0438,kompetenzen,0.0549,frage,0.0384,hinsichtlich,0.044,zusammenhngen,0.0362,verschiedene,0.044
16,bertragen,0.0457,,0.0,mndliche,0.0445,vielfltige,0.0438,grundlagen,0.0548,urteilen,0.0383,historische,0.0425,rationaler,0.035,mglichkeiten,0.0433
17,religionen,0.0456,,0.0,werte,0.043,neue,0.0427,person,0.0493,verschiedene,0.0372,begreifen,0.0425,humane,0.0342,soziale,0.0433
18,wissen,0.0443,,0.0,teil,0.0417,inhalte,0.0424,grundlage,0.0463,perspektiven,0.0362,gestalten,0.0425,mastbe entwickeln,0.032,aspekte,0.0433
19,ber,0.0405,,0.0,bedingungen,0.0405,rationalitt,0.0402,prozesse,0.0443,wirtschaft,0.0357,verantwortungsvolle,0.0425,konomischen,0.0319,bercksichtigung,0.043
