topic_name,Bio,"Ethik, Philo",Geschichte,"Psychologie, Gesundheit",Sozialkunde,entropy,topic_total,topic_proportion
-1_folgen_auswirkungen_mgliche_nutzen,0.2031,0.1323,0.2492,0.0031,0.4123,1.9054,325,0.22
0_revolution_politische_folgen_auswirkungen,0.0446,0.0562,0.2267,0.0116,0.6609,1.3885,516,0.3494
1_gewalt_sachverhalte_historische_folgen,0.1345,0.3103,0.2931,0.0276,0.2345,2.0656,290,0.1963
2_genetische_evolution_variabilitt_fortpflanzung,0.9115,0.0354,0.0,0.0177,0.0354,0.5661,113,0.0765
3_ernhrung_wirkung_kommunikation_prvention,0.63,0.09,0.0,0.03,0.25,1.3844,100,0.0677
4_geeignete_planen_formulieren_daten,0.9032,0.0,0.0,0.0323,0.0645,0.5476,31,0.021
5_kraft_bewegungen_identifizieren_bewegung,0.8333,0.0833,0.0,0.0,0.0833,0.8167,24,0.0162
6_klimawandel_klimawandels_klima_klimaschutz,0.1818,0.0455,0.0,0.0,0.7727,0.9373,22,0.0149
7_jugendlichen_formen_kinderrechte_einfluss,0.0476,0.0476,0.0476,0.0,0.8571,0.8181,21,0.0142
8_verhalten_proximate_ultimate ursachen_ultimate,1.0,0.0,0.0,0.0,0.0,0.0,20,0.0135
9_beurteilungskompetenz_methodenkompetenz_hyperinflation_folgen,0.0,0.0,0.0,0.0,1.0,0.0,15,0.0102
TOTAL,0.2485,0.1212,0.1923,0.0142,0.4238,1.9376,1477,1.0
