Topic,Count,Proportion,Name,Representation,Representative_Docs
-1,325,0.22004062288422477,-1_folgen_auswirkungen_mgliche_nutzen,"['folgen', 'auswirkungen', 'mgliche', 'nutzen', 'untersuchen', 'inhalte', 'deutschland', 'ursachen folgen', 'dabei', 'menschen', 'deutschen', 'errtern', 'ursachen auswirkungen', 'kompetenzen', 'konflikten', 'ereignisse', 'formen', 'gegenwart', 'entwickeln', 'jeweiligen']","['sie Vorgehensweisen zur Entschärfung von aktuellen Krisen. untersuchen an einem Beispiel die nationalen und internationalen Folgen der Entkolonialisierung, um zu erkennen, dass deren Auswirkungen bis heute sichtbar sind. erörtern Voraussetzungen, Ursachen und Folgen der deutschen Wiedervereinigung. Dabei ordnen sie den Umbruch im Ostblock ab / als Epochenwende in den historischen Kontext ein. nutzen ihr Wissen über wichtige Etappen im Prozess der', 'sie Vorgehensweisen zur Entschärfung von aktuellen Krisen. untersuchen an einem Beispiel die nationalen und internationalen Folgen der Entkolonialisierung, um zu erkennen, dass deren Auswirkungen bis heute sichtbar sind. erörtern Voraussetzungen, Ursachen und Folgen der deutschen Wiedervereinigung. Dabei ordnen sie den Umbruch im Ostblock ab / als Epochenwende in den historischen Kontext ein. nutzen ihr Wissen über wichtige Etappen im Prozess der', 'sie Vorgehensweisen zur Entschärfung von aktuellen Krisen. untersuchen an einem Beispiel die nationalen und internationalen Folgen der Entkolonialisierung, um zu erkennen, dass deren Auswirkungen bis heute sichtbar sind. erörtern Voraussetzungen, Ursachen und Folgen der deutschen Wiedervereinigung. Dabei ordnen sie den Umbruch im Ostblock ab / als Epochenwende in den historischen Kontext ein. nutzen ihr Wissen über wichtige Etappen im Prozess der']"
0,516,0.3493568043331077,0_revolution_politische_folgen_auswirkungen,"['revolution', 'politische', 'folgen', 'auswirkungen', 'gesellschaftliche', 'gesellschaft', 'entwicklung', 'migration', 'deutschland', 'sachkompetenz', 'ursachen folgen', 'akteure', 'demokratie', 'herausforderungen', 'politischen', 'konflikte', 'konomische', 'bewerten', 'grenzen', 'wirtschaftliche']","['Verfassungsrevolution/ Bauernrevolution/ städtische Revolution die weit reichende Bedeutung der Französischen Revolution kennen und ihre Folgen erörtern Teilthema : Die Industrielle Revolution - Std. Lernziele Inhaltsaspekte Die Schülerinnen und Schüler sollen Ursachen und Verlauf der Industriellen Revolution in Deutschland begreifen Rückständigkeit gegenüber England; verzögerte wirtschaftliche Entwicklung regionale Beispiele und Besonderheiten die Bedeutung der Industriellen Revolution für den Einzelnen und die Gesellschaft bis', 'Dimensionen und Auswirkungen der Globalisierung Institutionen zur Gestaltung der ökonomischen Dimension der Globalisierung Globalisierungskritik Global Governance Internationale Wirtschaftsbeziehungen Wirtschaftsstandort Deutschland SACHKOMPETENZ Die Schülerinnen und Schüler unterscheiden und analysieren beispielsbezogen Erscheinungsformen, Ursachen und Strukturen internationaler Konflikte, Krisen und Kriege, erläutern an einem Fallbeispiel die Bedeutung der Grund- und Menschenrechte sowie der Demokratie im Rahmen der Globalisierung, analysieren politische, gesellschaftliche, ökologische und wirtschaftliche', 'an Debatten und die persönliche Positionierung in der Gesellschaft. Themen Grundlegende Inhalte Vertiefende Inhalte Individuum und Gesellschaft Soziales Handeln und der Prozess der Sozialisation Demografischer Wandel und Migration in Deutschland Ursachen und Auswirkungen des demografischen Wandels Politische, gesellschaftliche und wirtschaftliche Aspekte der Migration und der Integration in Deutschland Zukunftsszenarien des demografischen Wandels, der Migration und der Integration in Deutschland Soziale Ungleichheiten']"
1,290,0.1963439404197698,1_gewalt_sachverhalte_historische_folgen,"['gewalt', 'sachverhalte', 'historische', 'folgen', 'historischer', 'formen', 'beispielen', 'konflikten', 'zusammenhnge', 'historischen', 'darstellung', 'geschichte', 'diskutieren', 'ereignisse', 'konflikte', 'armut', 'eigene', 'erfassen', 'vorurteile', 'verschiedener']","['Zusammenlebens erfassen und diskutieren. Sie können sich mit Ursachen von Konflikten und von Gewalt auseinandersetzen und deren Auswirkungen auf ein friedliches Zusammenleben überprüfen und erläutern. Die Schülerinnen und Schüler können Ursachen und Folgen von Konflikten an Beispielen herausarbeiten und im Zusammenhang mit Vorstellungen eines friedlichen Zusammenlebens untersuchen zum Beispiel bezogen auf Intoleranz, Ungerechtigkeit, Wertekollision, Vorurteile, Diskriminierung BTV Konfliktbewältigung und Interessenausgleich Formen', 'und Schüler erklären ausgewählte historische Ereignisse und Prozesse im Zeitraum von der Steinzeit bis ins frühe Mittelalter z. B. neolithische Revolution, indem sie an besonders anschaulichen Beispielen die Zusammenhänge zwischen Ursachen und Folgen aufzeigen Sachurteil. Sie bewerten einfach zu erfassende historische Sachverhalte auf der Basis eigener Wertvorstellungen, wobei sie bei überlegt ausgewählten anschaulichen Beispielen in Ansätzen auch die Andersartigkeit früherer Wertmaßstäbe', 'und Schüler erklären ausgewählte historische Ereignisse und Prozesse im Zeitraum von der Steinzeit bis ins frühe Mittelalter z. B. neolithische Revolution, indem sie an besonders anschaulichen Beispielen die Zusammenhänge zwischen Ursachen und Folgen aufzeigen Sachurteil. Sie bewerten einfach zu erfassende historische Sachverhalte auf der Basis eigener Wertvorstellungen, wobei sie bei überlegt ausgewählten anschaulichen Beispielen in Ansätzen auch die Andersartigkeit früherer Wertmaßstäbe']"
2,113,0.07650643195666892,2_genetische_evolution_variabilitt_fortpflanzung,"['genetische', 'evolution', 'variabilitt', 'fortpflanzung', 'menschen', 'selektion', 'organismen', 'information', 'lebewesen', 'gen', 'evolutive', 'verhalten', 'lernenden knnen', 'entwicklung', 'lernenden', 'fitness', 'innerhalb', 'abstammung', 'zusammen', 'exogene']","['Information durch Fortpflanzung sind die Grundlage für evolutive Entwicklung. Sexuelle Fortpflanzung führt zur Rekombination von genetischem Material und erhöht die genetische Variation. Zusammen mit Selektion ist genetische Variation eine wichtige Ursache für Artwandel. Innerhalb dieses Basiskonzeptes gibt es wesentliche Prinzipien, z. B. Zelldifferenzierung, Reproduktion, Selektion. Themenfelder und Inhalte Wahlpflichtthemen für die Einführungsphase in der Jahrgangsstufe Die Einführungsphase der gymnasialen Oberstufe hat', 'Information durch Fortpflanzung sind die Grundlage für evolutive Entwicklung. Sexuelle Fortpflanzung führt zur Rekombination von genetischem Material und erhöht die genetische Variation. Zusammen mit Selektion ist genetische Variation eine wichtige Ursache für Artwandel. Innerhalb dieses Basiskonzeptes gibt es wesentliche Prinzipien, zum Beispiel Zelldifferenzierung, Reproduktion, Selektion. Dieses Basiskonzept hilft unter anderem beim Verständnis der Entstehung des Lebens und der Humangenetik, der homologen', 'Information durch Fortpflanzung sind die Grundlage für evolutive Entwicklung. Sexuelle Fortpflanzung führt zur Rekombination von genetischem Material und erhöht die genetische Variation. Zusammen mit Selektion ist genetische Variation eine wichtige Ursache für Artwandel. Innerhalb dieses Basiskonzeptes gibt es wesentliche Prinzipien, z. B. Zelldifferenzierung, Reproduktion, Selektion. Naturwissenschaftliche Denk- und Arbeitsweisen Naturwissenschaften sind nicht nur durch ihre Inhalte gekennzeichnet, sondern auch durch ihre']"
3,100,0.06770480704129993,3_ernhrung_wirkung_kommunikation_prvention,"['ernhrung', 'wirkung', 'kommunikation', 'prvention', 'bewertung', 'biodiversitt', 'behandlung', 'menschlichen', 'menschen', 'ursache wirkung', 'erkenntnisgewinnung', 'umwelt', 'funktion', 'nutzung', 'abbildungen', 'hinweise anregungen', 'ursachewirkungszusammenhnge', 'nachhaltige', 'anregungen', 'verhaltensweisen']","['und ezifischen Verhaltensweisen aus der Tierwelt illustrieren die Kommunikation zwischen emente der menschlichen Kommunikation zeigen sich im Zusammenhang mit sozialen nd dem Sexualverhalten. Vergleichen von Phänomenen und Vorgängen Unterscheidung von Ursache und Wirkung Entwicklung von Fragestellungen und Hypothesen Kommunikation Interpretation von Beobachtungen, Abbildungen und Daten Bewertung Bewerten von Einflüssen auf die Gesundheit und Leistungsfähigkeit me und ihre spezifischen Funktionen vermitteln ein', 'und Vergleichen von Phänomenen ezifischen Verhaltensweisen aus der Tierwelt illustrieren die Kommunikation zwischen emente der menschlichen Kommunikation zeigen sich im Zusammenhang mit sozialen nd dem Sexualverhalten. und Vorgängen Unterscheidung von Ursache und Wirkung Entwicklung von Fragestellungen und Hypothesen Kommunikation Interpretation von Beobachtungen, Abbildungen und Daten Bewertung Bewerten von Einflüssen auf die Gesundheit und Leistungsfähigkeit me und ihre spezifischen Funktionen vermitteln ein', 'und ezifischen Verhaltensweisen aus der Tierwelt illustrieren die Kommunikation zwischen mente der menschlichen Kommunikation zeigen sich im Zusammenhang mit sozialen d dem Sexualverhalten. Vergleichen von Phänomenen und Vorgängen Unterscheidung von Ursache und Wirkung Entwicklung von Fragestellungen und Hypothesen Kommunikation Interpretation von Beobachtungen, Abbildungen und Daten Bewertung Bewerten von Einflüssen auf die Gesundheit und Leistungsfähigkeit me und ihre spezifischen Funktionen vermitteln ein']"
4,31,0.02098849018280298,4_geeignete_planen_formulieren_daten,"['geeignete', 'planen', 'formulieren', 'daten', 'selbststndig', 'modelle', 'fhren', 'ende', 'beobachten', 'fragestellungen', 'ziehen', 'interpretieren', 'einfache', 'hypothesen', 'digitaler', 'beim', 'vermutungen', 'modellen', 'ende schuljahrgang', 'schuljahrgang']","['Untersuchungen durch und protokollieren diese fachgerecht, interpretieren ausgewählte Daten aus Experimenten und Quellen und ziehen geeignete Schlussfolgerungen, erörtern die Genauigkeit von Untersuchungsergebnissen, beachten Sicherheits- und Umweltaspekte beim Experimentieren, unterscheiden zwischen Ursache und Wirkung, entwerfen geeignete Modelle, um fachliche Fragen zu klären, wenden geeignete Modelle zur Erarbeitung und Veranschaulichung von Zusammenhängen an, analysieren Sachverhalte mit Modellen, prüfen und beurteilen die Anwendbarkeit und', 'diese fachgerecht, interpretieren ausgewählte Daten aus Experimenten und Quellen und ziehen geeignete Schlussfolgerungen, gege benenfalls durch Mathematisierung, erörtern die Genauigkeit von Untersuchungsergebnissen, beachten Sicherheits- und Umweltaspekte beim Experimentieren, unterscheiden zwischen Ursache und Wirkung, entwerfen geeignete Modelle, um fachliche Fragen zu klären, wenden geeignete Modelle zur Erarbeitung und Veranschaulichung von Zusammenhängen an, analysieren Sachverhalte und dynamische Prozesse mit Hilfe von Modellen, prüfen', 'und protokollieren diese fachgerecht, interpretieren Daten aus Experimenten und Quellen und ziehen geeignete Schlussfolgerungen, auch durch Mathematisierung, erörtern die Genauigkeit von Untersuchungsergebnissen, beachten Sicherheits- und Umweltaspekte beim Experimentieren, unterscheiden zwischen Ursache und Wirkung, entwerfen geeignete Modelle, um fachliche Fragen zu klären, wenden geeignete Modelle zur Erarbeitung und Veranschaulichung von Zusammenhängen an, analysieren Sachverhalte und dynamische Prozesse mit Hilfe von Modellen, prüfen']"
5,24,0.016249153689911984,5_kraft_bewegungen_identifizieren_bewegung,"['kraft', 'bewegungen', 'identifizieren', 'bewegung', 'entsprechenden', 'fall', 'fhren', 'gilt', 'mithilfe', 'mobilitt', 'bewegungen ursachen', 'kennzeichen', 'krfte', 'verstndnis', 'bercksichtigung', 'zentraler', 'wissen', 'beschreibung', 'fortschritt', 'grenzen']","['und Schüler ... beschreiben Bewegungsabläufe mithilfe von Zeit-Weg-Diagrammen und grenzen die Durchschnitts- von der Momentangeschwindigkeit ab. Sie reflektieren mit ihrem Wissen den Geschwindigkeitsbegriff im Straßenverkehr. identifizieren eine konstante Kraft als Ursache für eine gleichmäßig beschleunigte Bewegung z. B. freier Fall, indem sie Änderungen von Bewegungszuständen analysieren. Mit den entsprechenden Bewegungsgleichungen führen sie unter Berücksichtigung der Einheiten und sinnvoller Genauigkeit Berechnungen durch.', 'und Schüler ... beschreiben Bewegungsabläufe mithilfe von Zeit-Weg-Diagrammen und grenzen die Durchschnitts- von der Momentangeschwindigkeit ab. Sie reflektieren mit ihrem Wissen den Geschwindigkeitsbegriff im Straßenverkehr. identifizieren eine konstante Kraft als Ursache für eine gleichmäßig beschleunigte Bewegung z. B. freier Fall, indem sie Änderungen von Bewegungszuständen analysieren. Mit den entsprechenden Bewegungsgleichungen führen sie unter Berücksichtigung der Einheiten und sinnvoller Genauigkeit Berechnungen durch.', 'und Schüler ... beschreiben Bewegungsabläufe mithilfe von Zeit-Weg-Diagrammen und grenzen die Durchschnitts- von der Momentangeschwindigkeit ab. Sie reflektieren mit ihrem Wissen den Geschwindigkeitsbegriff im Straßenverkehr. identifizieren eine konstante Kraft als Ursache für eine gleichmäßig beschleunigte Bewegung z. B. freier Fall, indem sie Änderungen von Bewegungszuständen analysieren. Mit den entsprechenden Bewegungsgleichungen führen sie unter Berücksichtigung der Einheiten und sinnvoller Genauigkeit Berechnungen durch.']"
6,22,0.014895057549085985,6_klimawandel_klimawandels_klima_klimaschutz,"['klimawandel', 'klimawandels', 'klima', 'klimaschutz', 'erde', 'manahmen', 'treibhauseffekt', 'natrliche', 'globale', 'auswirkungen', 'globalen', 'ursachen folgen', 'folgen', 'mobilitt', 'menschlicher', 'gegenmanahmen', 'theorie', 'kritisch', 'recherchieren', 'renaturierung']","['Gegenmaßnahmen z. B. Renaturierung, Rekultivierung Kompetenzerwartungen Die Schülerinnen und Schüler ... erklären und vergleichen das komplexe Zusammenspiel der Klimafaktoren anhand von Raumbeispielen aus Deutschland und Europa. beschreiben das Phänomen, die Ursachen und Auswirkungen des globalen Klimawandels in der Atmosphäre und der Geosphäre und analysieren die besondere Rolle menschlicher Einflüsse. nehmen materialgestützt aus unterschiedlichen Perspektiven Stellung zum Klimawandel, um die Komplexität der', 'Gegenmaßnahmen z. B. Renaturierung, Rekultivierung Kompetenzerwartungen Die Schülerinnen und Schüler ... erklären und vergleichen das komplexe Zusammenspiel der Klimafaktoren anhand von Raumbeispielen aus Deutschland und Europa. beschreiben das Phänomen, die Ursachen und Auswirkungen des globalen Klimawandels in der Atmosphäre und der Geosphäre und analysieren die besondere Rolle menschlicher Einflüsse. nehmen materialgestützt aus unterschiedlichen Perspektiven Stellung zum Klimawandel, um die Komplexität der', 'Gegenmaßnahmen z. B. Renaturierung, Rekultivierung Kompetenzerwartungen Die Schülerinnen und Schüler ... erklären und vergleichen das komplexe Zusammenspiel der Klimafaktoren anhand von Raumbeispielen aus Deutschland und Europa. beschreiben das Phänomen, die Ursachen und Auswirkungen des globalen Klimawandels in der Atmosphäre und der Geosphäre und analysieren die besondere Rolle menschlicher Einflüsse. nehmen materialgestützt aus unterschiedlichen Perspektiven Stellung zum Klimawandel, um die Komplexität der']"
7,21,0.014218009478672985,7_jugendlichen_formen_kinderrechte_einfluss,"['jugendlichen', 'formen', 'kinderrechte', 'einfluss', 'beschreiben ursachen', 'lebensgestaltung', 'sozialer', 'methodenkompetenz', 'mobbing', 'soziale', 'prinzipien', 'vielfalt', 'gesellschaft', 'vielfltigen', 'sachkompetenz', 'manahmen', 'nennen', 'ursachen formen', 'erlutern mglichkeiten', 'aufgaben']","[': Identität und Lebensgestaltung Inhaltliche Schwerpunkte: - Individuelle Lebensgestaltung: Selbstverwirklichung, soziale Erwartungen und soziale Verantwortung - Leben in einer vielfältigen Gesellschaft Diversität - Selbstbestimmung in der digitalisierten Welt - Jugendkriminalität: Ursachen, präventive und repressive Maßnahmen - Jugendstrafrecht: Deliktfähigkeit, Prinzipien des Jugendstrafrechts Sachkompetenz Die Schülerinnen und Schüler erklären den Einfluss sozialer Erwartungen auf die Identitätsbildung von Jugendlichen, beschreiben die Vielfalt der Wertorientierungen', 'Prinzipien des Jugendstrafrechts Sachkompetenz Die Schülerinnen und Schüler erklären den Einfluss sozialer Erwartungen auf die Identitätsbildung von Jugendlichen, beschreiben die Vielfalt der Wertorientierungen von Jugendlichen, erläutern Möglichkeiten sozialen Engagements, beschreiben Ursachen und Formen von Jugendkriminalität, stellen Ziele und Aufgaben des Jugendstrafrechts dar. Urteilskompetenz Die Schülerinnen und Schüler beurteilen die Herausforderungen und Chancen einer vielfältigen Gesellschaft Diversität, beurteilen die Bedeutung digitaler Medien', 'Prinzipien des Jugendstrafrechts Sachkompetenz Die Schülerinnen und Schüler erklären den Einfluss sozialer Erwartungen auf die Identitätsbildung von Jugendlichen, beschreiben die Vielfalt der Wertorientierungen von Jugendlichen, erläutern Möglichkeiten sozialen Engagements, beschreiben Ursachen und Formen von Jugendkriminalität. stellen Ziele und Aufgaben des Jugendstrafrechts dar, Urteilskompetenz Die Schülerinnen und Schüler beurteilen die Herausforderungen und Chancen einer vielfältigen Gesellschaft Diversität, beurteilen die Bedeutung digitaler Medien']"
8,20,0.013540961408259987,8_verhalten_proximate_ultimate ursachen_ultimate,"['verhalten', 'proximate', 'ultimate ursachen', 'ultimate', 'proximate ultimate', 'kausale', 'erklrungen', 'funktionale', 'tieren', 'ursachen erlutern', 'wert', 'beziehen', 'bestimmten', 'anhang', 'ursachen unterscheiden', 'fitness', 'erklrt', 'gehirns', 'beispielen', 'kostennutzenanalyse']","['Buchfinken, Ritualisierung, Kaspar-Hauser-Experimente vgl. Erklärung im Vorwort auf S. sowie im Anhang b erklären, dass nach neuen Erkenntnissen der Epigenetik auch erworbenes Verhalten vererbt werden kann, c proximate Ursachen, ultimate Ursachen, kausale Ursachen, funktionale Ursachen c erläutern an Beispielen, dass Verhalten proximate und ultimate Ursachen hat und unterscheiden kausale und funktionale Erklärungen für Verhalten, d adaptiver Wert, reproduktive Fitness d beschreiben', 'Erklärung im Vorwort auf S. sowie im Anhang b erklären, dass nach neuen Erkenntnissen der Epigenetik auch erworbenes Verhalten vererbt werden kann, c proximate Ursachen, ultimate Ursachen, kausale Ursachen, funktionale Ursachen c erläutern an Beispielen, dass Verhalten proximate und ultimate Ursachen hat und unterscheiden kausale und funktionale Erklärungen für Verhalten, d adaptiver Wert, reproduktive Fitness d beschreiben an einem Beispiel den', 'dass nach neuen Erkenntnissen der Epigenetik auch erworbenes Verhalten vererbt werden kann, c proximate Ursachen, ultimate Ursachen, kausale Ursachen, funktionale Ursachen c erläutern an Beispielen, dass Verhalten proximate und ultimate Ursachen hat und unterscheiden kausale und funktionale Erklärungen für Verhalten, d adaptiver Wert, reproduktive Fitness d beschreiben an einem Beispiel den adaptiven Wert von Verhalten und die Bedeutung für die reproduktive']"
