,text_excerpt,search_term,match_term,state,school type,grade,year,subject,doc_id,bertopic_topic
32165,"Ökobilanzerstellung, das Ökoaudit anschaulich darstellen, - unter Nutzung von verschiedenen Medien Informationen über Umweltberufe gezielt auswerten und präsentieren. Selbst - und Sozialkompetenz Der Schüler kann - gesellschaftlich sowie betrieblich umweltrelevante Verhaltensweisen bewerten, - eine Auswahl von Umweltberufen für seine Berufsorientierung begründen. Lernbereich: Unternehmen im Wandel Der Schüler erwirbt Kenntnisse über die Ursachen und den Verlauf des wirtschaftlichen Wandels in der Region.",Verhalten,Verhaltensweisen,Thüringen,Regelschule,,2012,Sozialkunde,32165,0
32166,"Handlungskompetenz: Sie diskutieren die Wechselwirkungen zwischen Wirtschaft, Ideologie und staatlichem Handeln. Sie entlarven gegenwärtige rechtsextremistische Propaganda und begegnen ihr argumentativ. Urteilskompetenz: Sie gelangen zu einem kritischen Urteil über die unterschiedlichen Verhaltensweisen von Menschen in der Zeit der nationalsozialistischen Diktatur. Basis Machtübergabe und Machtausbau in den ersten Jahren nationalsozialistischer Herrschaft Grundlagen der NS-Ideologie Einfluss nationalsozialistischer Ideologie auf Außen- und Innenpolitik Hitlers Leben",Verhalten,Verhaltensweisen,Rheinland-Pfalz,,Sek1,2022,Sozialkunde,32166,0
32167,"koordinierte Bewegungen zur Musik verschiedener Stilrichtungen populärer Musik Lernbereich : Musik und ihre Grundlagen ca. Std. Kriterien zum Vergleich von Tänzen, z. B. Anzahl der Beteiligten, Form, Anlass, Funktion, Kleidung Verhaltensweisen, z. B. Kleidungsstil, Essen und Trinken, Beteiligung des Publikums, Bewegung zu Musik, Mitsingen Kompetenzerwartungen Die Schülerinnen und Schüler ... verwenden beim eigenen Musizieren mithilfe der Vorzeichen sämtliche chromatische Töne. unterscheiden",Verhalten,Verhaltensweisen,Bayern,Realschule,,2023,Sozialkunde,32167,4
32168,sowohl auf der Bühne als auch im Publikum und vergleichen unter Verwendung von einfachem Fachwortschatz differenziert ihre Eindrücke. unterscheiden und vergleichen auf der Grundlage eigener Beobachtungen und Erfahrungen differenziert typische Verhaltensweisen von Besuchern klassischer Konzerte unterschiedlicher Genres wie auch Konzerte Populärer Musik und wenden sie situativ angemessen bei eigenen Konzertbesuchen an. variieren bei der Anleitung ihrer Mitschüler durch selbst gewählte Handbewegungen,Verhalten,Verhaltensweisen,Bayern,Realschule,,2023,Sozialkunde,32168,-1
32169,"Voraussetzung zur Entwicklung eines positiven Selbstkonzepts. Auf dieser Grundlage entwickeln sich ein positives Selbstwertgefühl und Selbstvertrauen. Zur personalen Kompetenz gehören ebenfalls Aspekte der Selbstregulierung wie die Fähigkeit, sich situationsangemessen zu verhalten und eigene Lern- und Arbeitsprozesse sachgerecht und konzentriert zu steuern. Sozialkompetenz: Hierbei geht es um eine vielschichtige Handlungskompetenz, die sich im Zusammenspiel verschiedener Fähigkeiten, Fertigkeiten, Motivationen und Einstellungen entfaltet. Grundlage",Verhalten,Verhalten,Hessen,Gym,Sek1,,Sozialkunde,32169,-1
32170,"und Formationsfahren altersgemäße Spiel-, Trainings- und Wettkampfformen zur Entwicklung der sportartspezifischen Kondition und Koordination Fachtheorie: Fachsprache, Trainingsmethoden, Bewegungsanalyse und -optimierung, Vorbereitung und Durchführung von Wettkämpfen, Materialkunde und -pflege, FIS-Regeln und Verhaltensweisen im alpinen Gelände, Sicherheitsbestimmungen und -maßnahmen, Berggefahren und Umweltregeln Kompetenzerwartungen Die Schülerinnen und Schüler ... knüpfen im Bereich Gesundheit und Fitness an die Kompetenzen des Basissportunterrichts an und erweitern diese",Verhalten,Verhaltensweisen,Bayern,Realschule,,2023,Sozialkunde,32170,1
32171,"politischen Meinungsbildung und Entscheidungsfindung unter Wahrung demokratischer Grundprinzipien mit der notwendigen Konflikt- und Kompromissbereitschaft selbstständig beteiligen, eigene Positionen zu politischen und wirtschaftlichen Lösungsmöglichkeiten formulieren und vor anderen begründend vertreten, undemokratisches Verhalten erkennen und Möglichkeiten der Abwehr verfassungsfeindlicher Positionen und von Fremdenfeindlichkeit in Diskussionen formulieren, sich mit Möglichkeiten des Engagements auseinandersetzen und ein historisches Beispiel hiermit in Verbindung bringen, in Arbeitsgruppen, deren",Verhalten,Verhalten,Hessen,Gym,Sek1,,Sozialkunde,32171,0
32172,"politischen Meinungsbildung und Entscheidungsfindung unter Wahrung demokratischer Grundprinzipien mit der notwendigen Konflikt- und Kompromissbereitschaft selbstständig beteiligen, eigene Positionen zu politischen und wirtschaftlichen Lösungsmöglichkeiten formulieren und vor anderen begründend vertreten, undemokratisches Verhalten erkennen und Möglichkeiten der Abwehr verfassungsfeindlicher Positionen und von Fremdenfeindlichkeit in Diskussionen formulieren, sich mit Möglichkeiten des Engagements auseinandersetzen und ein historisches Beispiel hiermit in Verbindung bringen, in Arbeitsgruppen, deren",Verhalten,Verhalten,Hessen,Gym,Sek1,,Sozialkunde,32172,0
32173,"größere Gemeinschaften, Gesellschaften wahr. Sie versetzen sich in die Lage anderer Empathie, Perspektivenübernahme, erfassen und reflektieren den Stellenwert ihres eigenen Handelns. Rücksichtnahme und Solidarität: Die Lernenden respektieren die Meinungen und Verhaltensweisen anderer, sie sind aufmerksam gegenüber ihren Interaktionspartnern, nehmen Anteil an deren Wohlergehen und zeigen Solidarität. Kooperation und Teamfähigkeit: Die Lernenden bauen tragfähige Beziehungen zu anderen auf, respektieren die bestehenden sozialen",Verhalten,Verhaltensweisen,Hessen,Gym,Sek1,,Sozialkunde,32173,-1
32174,"ist in der Bundesrepublik Deutschland die Basis gesellrter sozialer Gerechtigkeit. Dabei ist die europäische Integration von besonderer Bedeutung okratischen Gestaltungsprozess als auch für die Entwicklung des Sozialstaates. suchung von demokratiefeindlichen Verhaltensweisen im lebensweltlichen Nahbereich und in ammenhängen ist ein weiterer zentraler Bestandteil dieses Inhaltsfeldes. Marktwirtschaft sowie die nationale und internationale Verflechtung von Wirtschaft und Geutung sind dabei die Funktionsprinzipien des Marktes,",Verhalten,Verhaltensweisen,Hessen,Gym,Sek1,,Sozialkunde,32174,0
32175,"Handlungskompetenz Einführung: Modell des Gütermarktes Die Schülerinnen und Schüler erläutern den grundsätzlichen Unterschied zwischen der Mikroökonomie und der Makroökonomie, Die Schülerinnen und Schüler grenzen anhand eines Textauszugs einzelwirtschaftliches und gesamtwirtschaftliches Verhalten voneinander ab Methodenkompetenz, charakterisieren die Annahmen eines modellhaft betrachteten Gütermarktes, entwickeln ein Bewusstsein dafür, dass die modellhafte Betrachtung des Gütermarktes grundlegende Erkenntnisse für das Verstehen realer Märkte liefert Beurteilungskompetenz, beschreiben",Verhalten,Verhalten,Saarland,Gym,Sek2,2023,Sozialkunde,32175,0
32176,Sich an und mit Geräten bewegen / Turnen und Bewegungskünste Kompetenzerwartungen Die Schülerinnen und Schüler ... verwenden sportartspezifische Techniken im Fußball und Handball zur Lösung von spielnahen Situationsaufgaben. wenden individualtaktische Verhaltensweisen im Fußball und Handball gezielt an und fügen diese zu gruppentaktischen Grundstrukturen zusammen. erweitern systematisch ihre Erfahrungen in den Rückschlagspielen z. B. Badminton und alternativen Spielen z. B. Ultimate und,Verhalten,Verhaltensweisen,Bayern,Realschule,,2023,Sozialkunde,32176,-1
32177,"Sprünge auch vom Brett Rettungshilfen, z. B. Rettungsstange, Rettungsring, Rettungsball Kompetenzerwartungen Die Schülerinnen und Schüler ... verwenden sportartspezifische Techniken im Basketball und Volleyball zur Lösung von spielnahen Situationsaufgaben. wenden individualtaktische Verhaltensweisen im Basketball und Volleyball gezielt an und fügen diese zu gruppentaktischen Grundstrukturen zusammen. erweitern systematisch ihre Erfahrungen in den Rückschlagspielen z. B. Tischtennis und alternativen Spielen z. B. Floorball und",Verhalten,Verhaltensweisen,Bayern,Realschule,,2023,Sozialkunde,32177,-1
32178,"Lösung nationaler, europäischer und globaler Herausforderungen wie etwa im Bereich der Asyl- und Migrationspolitik zu verstehen und sich mit unterschiedlichen Lösungsperspektiven auseinanderzusetzen, dabei - eine Widerstandshaltung gegen inhumane und undemokratische Verhaltensweisen zu entwickeln, aber auch demokratisch legitimierte Herrschaft und ökonomische Entscheidungen kritisch zu begleiten, - soziale Ungerechtigkeiten, Unterdrückungs- und Ausgrenzungsmechanismen wie etwa Sexismus, Rassismus, Antisemitismus und Antitziganismus und Demokratiedefizite zu erkennen",Verhalten,Verhaltensweisen,Hessen,Gym,Sek2,2024,Sozialkunde,32178,0
32179,"Entwicklung von wirtschaftlichem Wachstum und Lebensqualität und deren Beschreibungsmöglichkeiten - Tauschbeziehungen und Koordination durch Märkte Geld- und Güterkreislauf, gegebenenfalls vom einfachen zum erweiterten Wirtschaftskreislauf Modellbildungen - gesamtwirtschaftliche Auswirkungen individuellen ökonomischen Verhaltens Aggregation, insbesondere Investieren und Sparen - Produktionsfaktoren, Wirtschaftswachstum und dessen Kehrseiten / Grenzen des Wachstums - Aussagekraft und Grenzen des BIP, alternative Indikatoren - ausgewählte Kontroversen um den Begriff der",Verhalten,Verhaltens,Hessen,Gym,Sek2,2024,Sozialkunde,32179,0
32180,"Preis-Absatz-Funktion Handlungskompetenz, erklären die Verhaltensweisen und Marktstrategien eines Oligopolisten, beurteilen die grundsätzlichen Möglichkeiten eines Oligopolisten, sich seinen Konkurrenten gegenüber wirtschaftsfriedlich oder wirtschaftsfeindlich zu verhalten Beurteilungskompetenz, kritisieren die Neigung zu abgestimmtem Verhalten Beurteilungskompetenz, Notwendigkeit einer Wettbewerbskontrolle und Grenzen staatlicher Wettbewerbspolitik begründen die Notwendigkeit staatlicher Wettbewerbsaufsicht bzw. -kontrolle. diskutieren die Vorteile des freien Wettbewerbs in einer marktwirtschaftlichen Ordnung Beurteilungskompetenz, erkennen die Erfordernis staatlicher",Verhalten,Verhalten,Saarland,Gym,Sek2,2023,Sozialkunde,32180,0
