,text_excerpt,search_term,match_term,state,school type,grade,year,subject,doc_id,bertopic_topic
33981,"und Teamarbeit, z. B. Arbeitsökonomie, Wissens- und Erfahrungsaustausch, Realisierbarkeit komplexer Vorhaben Mechanismen der Vorurteilsbildung z. B. sozialpsychologische Experimente wie das Stanford-Prison-Experiment: Favorisierungs- oder Diskriminierungstendenzen in Gruppen, Wege zum Abbau von Vorurteilen, z. B. Gewinnen von Informationen, persönliche Kontakte Angriffe auf die Würde des Menschen durch Einzelne oder Gruppen, z. B. Vorurteile, Mobbing gruppendynamische Prozesse in Großgruppen: Aspekte der Massenpsychologie z. B.",Vorurteil,Vorurteilen,Bayern,Gym,8,2023,Sozialkunde,33981,2
33982,"Art. GG: Chancengleichheit / -gerechtigkeit Frauengesetzgebung Zusammenleben mit Ausländern und Asylrecht Die Schülerinnen und Schüler sollen - einen Einblick gewinnen in Fragen und Probleme des Zusammenlebens mit zugewanderten Minderheiten Fremdheit, Vorurteile, individuelles Verhalten Fremdenfeindlichkeit, Rechtsextremismus, Gewalt Bürgerrechte, Minderheitenschutz, Ausländerrecht und Asylrecht, Einwanderungspolititk multikulturelle Gesellschaft Politik als Unterrichtsgegenstand am Beispiel des Asylproblems in: Handreichung zur Jahrgangsstufe PZ-Information / Jugend im Wandel Lernziele",Vorurteil,Vorurteile,Rheinland-Pfalz,Gym,Sek2,1998,Sozialkunde,33982,5
33983,"Prozesse in ihrer räumlichen Bedingtheit und führt zur Erkenntnis räumlich bedingter Probleme und Aufgaben. Durch das Kennenlernen, Verstehen und Vergleichen ferner Erdräume und fremder Lebensformen baut sie Urteile auf und Vorurteile ab. Mit ihrem fachspezifischen Arbeitsmethoden, unter denen der Arbeit vor Ort besondere Bedeutung zukommt, vermittelt sie wichtige Kulturtechniken. Für den Beitrag der Erdkunde zur politischen Bildung sind die folgenden Aspekte",Vorurteil,Vorurteile,Rheinland-Pfalz,Gym,Sek2,1998,Sozialkunde,33983,5
33984,"und von Möglichkeiten zum Abbau von Vorurteilen Kein Mensch ist ohne Vorurteil. Jeder Mensch muss bereit sein, Vorurteile zu prüfen und gegebenenfalls zu korrigieren. Werteorientierung Unterscheidung der Begriffe Urteil und Vorurteil Urteil als subjektive, aber begründete Entscheidung Vorurteile als Ergebnis begrenzter Wahrnehmung Urteile und Vorurteile im Kontext eines Schutzbedürfnisses Klischees interessendifferenzierende Rollenspiele, Gedankenexperiment Redewendungen Grundsatz in der Justiz: Im Zweifel für",Vorurteil,Vorurteil,Sachsen,Oberschule,,2019,"Ethik, Philo",33984,4
33985,"Kenntnisse über die Religion des Judentums und die Geschichte der Juden. Die Schüler reflektieren ihre Begegnungen mit verschiedenen Menschen und Personengruppen, insbesondere mit solchen, die ihnen fremd sind. Sie lernen, Vorurteile abzubauen und entwickeln angemessene Verhaltensweisen, mit Fremdheit umzugehen. Entwickeln von ethischem Reflexions- und Urteilsvermögen Die Schüler entwickeln die Fähigkeit weiter, ihre Sinne bewusst einzusetzen und reflektieren ihre Bezüge zur Umwelt.",Vorurteil,Vorurteile,Sachsen,Oberschule,,2019,"Ethik, Philo",33985,8
33986,"Mensch und seine Verantwortung für den Mitmenschen Ustd. Kennen der Entstehung von Vorurteilen und von Möglichkeiten zum Abbau von Vorurteilen Kein Mensch ist ohne Vorurteil. Jeder Mensch muss bereit sein, Vorurteile zu prüfen und gegebenenfalls zu korrigieren. Werteorientierung Unterscheidung der Begriffe Urteil und Vorurteil Urteil als subjektive, aber begründete Entscheidung Vorurteile als Ergebnis begrenzter Wahrnehmung Urteile und Vorurteile im Kontext eines",Vorurteil,Vorurteile,Sachsen,Oberschule,,2019,"Ethik, Philo",33986,4
33987,"Kein Mensch ist ohne Vorurteil. Jeder Mensch muss bereit sein, Vorurteile zu prüfen und gegebenenfalls zu korrigieren. Werteorientierung Unterscheidung der Begriffe Urteil und Vorurteil Urteil als subjektive, aber begründete Entscheidung Vorurteile als Ergebnis begrenzter Wahrnehmung Urteile und Vorurteile im Kontext eines Schutzbedürfnisses Klischees interessendifferenzierende Rollenspiele, Gedankenexperiment Redewendungen Grundsatz in der Justiz: Im Zweifel für den Angeklagten Expertengespräch mit Ausländer- oder Gleichstellungsbeauftragtem,",Vorurteil,Vorurteile,Sachsen,Oberschule,,2019,"Ethik, Philo",33987,4
33988,"muss bereit sein, Vorurteile zu prüfen und gegebenenfalls zu korrigieren. Werteorientierung Unterscheidung der Begriffe Urteil und Vorurteil Urteil als subjektive, aber begründete Entscheidung Vorurteile als Ergebnis begrenzter Wahrnehmung Urteile und Vorurteile im Kontext eines Schutzbedürfnisses Klischees interessendifferenzierende Rollenspiele, Gedankenexperiment Redewendungen Grundsatz in der Justiz: Im Zweifel für den Angeklagten Expertengespräch mit Ausländer- oder Gleichstellungsbeauftragtem, Vertreter des Sozialamtes, Vertreter des Arbeitsamtes Einbeziehung",Vorurteil,Vorurteile,Sachsen,Oberschule,,2019,"Ethik, Philo",33988,4
33989,"Natur sensibilisiert. Primäre Naturerfahrungen können einen wesentlichen Beitrag zur Wertschätzung und Erhaltung der biologischen Vielfalt leisten und die Bewertungskompetenz für ökologische, ökonomische und sozial tragfähige Entscheidungen anbahnen. Das Entstehen negativer Vorurteile kann korrigiert und ästhetisches Empfinden geweckt werden. Die Erkenntnisse der Biowissenschaften führen zu Perspektiven und Anwendungen, die uns Menschen als Teil und als Gestalter der Natur betreffen. Zunehmend beeinflussen sie",Vorurteil,Vorurteile,Niedersachsen,Gym,5-10,2015,Bio,33989,4
33990,"Thema Antisemitismus Lernziele Inhaltsaspekte Hinweise Die Schülerinnen und Schüler sollen - sich die Situation der Juden in Deutschland bewusst machen ethnische und religiöse Minderheit; bis keine eigene staatliche Existenz; Antisemitismus; Vorurteile; Erfahrung des Holocaust; deutsche Juden - Juden in Deutschland Vgl. PZ-Information / Geschichte: Der Pogrom der Reichskristallnacht, Ablauf - Ursachen Folgen. Bausteine Der mittelalterliche Antijudaismus in Europa Die Schüler sollen",Vorurteil,Vorurteile,Rheinland-Pfalz,Gym,Sek2,1998,Sozialkunde,33990,0
33991,"der nationalsozialistischen Herrschaft Shoa, Holocaust Kinderzeichnungen aus Theresienstadt Gedenken, Stolpersteine aktuelle Erscheinungsformen des Antisemitismus Werteorientierung Lernbereich : Der Mensch und seine Verantwortung für den Mitmenschen Ustd. Kennen der Entstehung von Vorurteilen und von Möglichkeiten zum Abbau von Vorurteilen Kein Mensch ist ohne Vorurteil. Jeder Mensch muss bereit sein, Vorurteile zu prüfen und gegebenenfalls zu korrigieren. Werteorientierung Unterscheidung der Begriffe Urteil und",Vorurteil,Vorurteilen,Sachsen,Oberschule,,2019,"Ethik, Philo",33991,4
33992,"Kl. , LB Wahlbereich : Besuch einer Einrichtung für behinderte Menschen Sich positionieren zur Lebens- und Arbeitswelt von Menschen mit einer Behinderung Verständnis, Toleranz, Solidarität, Hilfe, Möglichkeiten zum Abbau von Vorurteilen, gesellschaftliche Verantwortung, Notwendigkeit geschützter Werkstätten und Behinderteneinrichtungen Stationenlernen, Kreativwerkstatt Kl. , LB Werteorientierung Wahlbereich : Mobbing in der Schule Sich positionieren zu Mobbingsituationen Wie und warum entsteht Mobbing Wer ist",Vorurteil,Vorurteilen,Sachsen,Oberschule,,2019,"Ethik, Philo",33992,1
33993,"konjunkturelle Arbeitslosigkeit erklären individuelle, gesellschaftliche und volkswirtschaftliche Folgen von Arbeitslosigkeit erläutern Analysekompetenz , Aufgaben und Probleme des Sozialstaats BO Fachspezifische und handlungsorientierte Zugänge zur Arbeits- und Berufswelt BTV Formen von Vorurteilen, Stereotypen, Klischees Entwicklungen auf dem Arbeitsmarkt in Deutschland Reallöhne und Niedriglohnsektor mithilfe von Material analysieren Aufgaben und Probleme des Sozialstaats BO Fachspezifische und handlungsorientierte Zugänge zur Arbeits- und Berufswelt die",Vorurteil,Vorurteilen,BaWü,Gym,,2023,Sozialkunde,33993,5
33994,"konjunkturelle Arbeitslosigkeit erklären individuelle, gesellschaftliche und volkswirtschaftliche Folgen von Arbeitslosigkeit erläutern Analysekompetenz , Aufgaben und Probleme des Sozialstaats BO Fachspezifische und handlungsorientierte Zugänge zur Arbeits- und Berufswelt BTV Formen von Vorurteilen, Stereotypen, Klischees das Prinzip der Tarifautonomie erläutern Art. GG, Tarifpartner, Tarifverhandlungen Analysekompetenz Methodenkompetenz BTV Konfliktbewältigung und Interessenausgleich Entwicklungen auf dem Arbeitsmarkt in Deutschland Reallöhne und Niedriglohnsektor sowie die Entwicklung der",Vorurteil,Vorurteilen,BaWü,Gym,,2023,Sozialkunde,33994,5
33995,"ihre eigene Rolle in sozialen Bezügen reflektieren und mögliche Spannungsverhältnisse erklären, soziale Prozesse in ihrem Lernumfeld analysieren und reflektieren Konflikte analysieren und jeweilige Interessen benennen, die Entstehung und Wirkung von Vorurteilen und Ausgrenzungsstrategien analysieren, Ausgrenzungsstrategien erkennen, benennen und zum Gegenstand von Reflexion machen die Stellung sozialer Gruppen im gesellschaftlichen Machtgefüge analysieren und erläutern. Kernprinzipien des politischen Systems der Bundesrepublik Die Schülerinnen",Vorurteil,Vorurteilen,Bremen,Gym,Sek1,2006,Sozialkunde,33995,5
33996,"den Begriff psychische Störung anhand typischer Kriterien beschreiben und das Spannungsfeld von Norm und Abweichung diskutieren zum Beispiel Gefahr von Stigmatisierung Analyse- und Methodenkompetenz Reflexions- und Urteilskompetenz BTV Formen von Vorurteilen, Stereotypen, Klischees; Personale und gesellschaftliche Vielfalt; Toleranz, Solidarität, Inklusion, Antidiskriminierung Leitsymptome von Störungsbildern zum Beispiel Angststörungen, Essstörungen, affektive Störungen, Entwicklungsstörungen anhand des ICD International Statistical Classification of Diseases and Related",Vorurteil,Vorurteilen,BaWü,Gemeinschaftsschule,Sek2,2016,"Psychologie, Gesundheit",33996,1
33997,"Kognition, Emotion und Motivation , sich mit Einstellungen und Vorurteilen sowie Möglichkeiten ihrer Veränderung auseinandersetzen zum Beispiel Theorie der kognitiven Dissonanz nach L. Festinger Orientierungs- und Handlungskompetenz BTV Formen von Vorurteilen, Stereotypen, Klischees Merkmale von Gruppen beschreiben und grundlegende gruppendynamische Prozesse erläutern zum Beispiel Rollen, Phasen der Gruppenbildung BTV Minderheitenschutz darlegen, wie andere auf menschliches Verhalten einwirken können zum Beispiel Konformität",Vorurteil,Vorurteilen,BaWü,Gemeinschaftsschule,Sek2,2016,"Psychologie, Gesundheit",33997,2
33998,"Schüler können soziale Wahrnehmungsprozesse, auch anhand von Beispielen aus ihrer Lebenswelt, veranschaulichen zum Beispiel Halo-Effekt, Primacy-Effekt, Rosenthal-Effekt Analyse- und Methodenkompetenz , Kognition, Emotion und Motivation , sich mit Einstellungen und Vorurteilen sowie Möglichkeiten ihrer Veränderung auseinandersetzen zum Beispiel Theorie der kognitiven Dissonanz nach L. Festinger Orientierungs- und Handlungskompetenz BTV Formen von Vorurteilen, Stereotypen, Klischees Merkmale von Gruppen beschreiben und grundlegende gruppendynamische",Vorurteil,Vorurteilen,BaWü,Gemeinschaftsschule,Sek2,2016,"Psychologie, Gesundheit",33998,2
