,text_excerpt,search_term,match_term,state,school type,grade,year,subject,doc_id,bertopic_topic
34323,"ethischer Grundlage zu treffen und Entscheidungsprozesse und deren Folgen zu reflektieren. Bewertungskompetenz umfasst dabei die Fähigkeit, bewertungsrelevante Situationen wahrzunehmen und relevante Sachinformationen und Argumente und deren Herkunft sowie damit verbundene Werte zu identifizieren. In einem Bewertungsprozess werden Handlungsoptionen ausgewertet, Entscheidungen in Bezug auf biologische Aspekte aufgrund von gesellschaftlich akzeptierten und persönlich relevanten Werten und Normen getroffen, begründet sowie reflektiert. Inhaltsfelder Kompetenzen",Wert,Werte,NRW,Gym,Sek2,2022,Bio,34323,0
34324,"Wahrheitsansprüche religiöser und weltanschaulicher Art lernen die Schülerinnen und Schüler im Unterricht zwar kennen, doch eine spezifische Präferenz für eine dieser Positionen ist ausdrücklich nicht intendiert. Der Unterricht im Fach Werte und Normen leitet zur Reflexion über die verschiedenen Orientierungen in der Absicht an, diese bezüglich ihrer Plausibilität, ihrer sozialen Zumutbarkeit sowie ihres Sinnpotenzials zu unterscheiden. Er vermittelt den Schülerinnen und",Wert,Werte,Niedersachsen,Realschule,,2018,"Ethik, Philo",34324,-1
34325,"es beinahe regelhaft um die Frage, wer von welchen ökonomischen Entscheidungen profitiert und wer die Lasten derselben trägt. Bei diesen Fragen über die in den jeweiligen Entscheidungsoptionen zum Ausdruck kommenden Werte und Normen nachzudenken und hier pädagogisch zu wirken, gehört zum Kernbestand des ökonomischen Fachunterrichts. Dies betrifft insbesondere auch den Aspekt der ökonomischen Gerechtigkeit unter Berücksichtigung unterschiedlicher Gerechtigkeitsdimensionen. Bildung für nachhaltige",Wert,Werte,Hamburg,Gym,Sek1,2024,Sozialkunde,34325,-1
34326,"DNA-Methylierung Zusammenhänge zwischen genetischem Material, Genprodukten und Merkmal: Genmutationen Genetik menschlicher Erkrankungen: Familienstammbäume, Gentest und Beratung, Gentherapie Entstehung und Entwicklung des Lebens Synthetische Evolutionstheorie: Mutation, Rekombination, Selektion, Variation, Gendrift, adaptiver Wert von Verhalten, Kosten-Nutzen-Analyse, reproduktive Fitness, Koevolution, Abgrenzung von nicht-naturwissenschaftlichen Vorstellungen Stammbäume und Verwandtschaft: Artbildung, Biodiversität, populationsgenetischer Artbegriff, Isolation, molekularbiologische Homologien, ursprüngliche und abgeleitete Merkmale Sachkompetenz Die Schülerinnen und Schüler erläutern",Wert,Wert,NRW,Gym,Sek2,2022,Bio,34326,3
34327,"Merkmal: Genmutationen Genetik menschlicher Erkrankungen: Familienstammbäume, Gentest und Beratung, Gentherapie Krebs: Krebszellen, Onkogene und Anti-Onkogene, personalisierte Medizin Entstehung und Entwicklung des Lebens Synthetische Evolutionstheorie: Mutation, Rekombination, Selektion, Variation, Gendrift, adaptiver Wert von Verhalten, Kosten-Nutzen-Analyse, reproduktive Fitness, Koevolution, Abgrenzung von nicht-naturwissenschaftlichen Vorstellungen Stammbäume und Verwandtschaft: Artbildung, Biodiversität, populationsgenetischer Artbegriff, Isolation, molekularbiologische Homologien, ursprüngliche und abgeleitete Merkmale Sozialverhalten bei Primaten: exogene und endogene",Wert,Wert,NRW,Gym,Sek2,2022,Bio,34327,3
34328,"und Normen die Pluralität unterschiedlicher Wahrheitsansprüche in Religionen und Weltanschauungen thematisiert. Zur Wahrung der Freiheit des Glaubens, des Gewissens und des religiösen und weltanschaulichen Bekenntnisses verlangt der Unterricht im Fach Werte und Normen die weltanschauliche und religiöse Neutralität des Faches. Der gesetzliche Auftrag weist dem Fach zwar vergleichbare Fragestellungen, Probleme und Sachverhalte zu, wie sie auch im Fach Religion behandelt werden,",Wert,Werte,Niedersachsen,Realschule,,2018,"Ethik, Philo",34328,0
34329,geprägt ist. Der Unterricht im Fach Werte und Normen fördert dadurch die Bereitschaft zu reflektiertem und verantwortungsbewusstem Handeln sich selbst und anderen gegenüber. In diesem Sinne also trägt das Unterrichtsfach Werte und Normen zu einer differenzierten Auseinandersetzung sowohl mit individuell-existenziellen als auch mit gesellschaftlich-globalen Problemfeldern bei und fördert dadurch die Persönlichkeitsentwicklung der Schülerinnen und Schüler. Diese sollen ein die eigene Persönlichkeit,Wert,Werte,Niedersachsen,Realschule,,2018,"Ethik, Philo",34329,0
34330,"schon an der grundlegenden Bedeutung des Themas Nachhaltigkeit vgl. Leitperspektive BNE unmittelbar einsichtig wird, sind ökonomische Entscheidungen, seien sie betriebswirtschaftlicher Natur oder im politischen Raum beheimatet, unauflösbar mit damit einhergehenden Werten und Normen verbunden. Es ist eine originäre Aufgabe des Wirtschaftsunterrichts, diese Zusammenhänge kontinuierlich zu verdeutlichen: Dies beginnt mit Überlegungen zu zugrunde liegenden Menschenbildern, berührt unternehmerische Entscheidungsoptionen und betrifft den großen",Wert,Werten,Hamburg,Gym,Sek1,2024,Sozialkunde,34330,-1
34331,und Besteuerung Frühe Kapitalismuskritik Verelendung der Arbeiterschaft Arbeiterbewegung und Gewerkschaften Genossenschaftswesen Kapitalismusanalyse bei Marx Beitrag zur Leitperspektive W: Das Modul leistet einen wichtigen Beitrag zum Verständnis des historischen Wandels von Werten im Hinblick auf die Gestaltung von Rahmenbedingungen für wirtschaftliches Handeln. W B Ges Phi PGW Bio E E S S S S B B B www.hamburg.de/bildungsplaene,Wert,Werten,Hamburg,Gym,Sek1,2024,Sozialkunde,34331,0
34332,"Schülern die Einsicht, dass es konkurrierende Wahrheits- und Weltauffassungen gibt. Diese erfordern einerseits eine Standortbestimmung und andererseits eine Haltung, die von Empathie und Toleranz geprägt ist. Der Unterricht im Fach Werte und Normen fördert dadurch die Bereitschaft zu reflektiertem und verantwortungsbewusstem Handeln sich selbst und anderen gegenüber. In diesem Sinne also trägt das Unterrichtsfach Werte und Normen zu einer differenzierten Auseinandersetzung",Wert,Werte,Niedersachsen,Realschule,,2018,"Ethik, Philo",34332,0
