topic_name,Bio,"Ethik, Philo",Geschichte,Psychologie,Sozialkunde,entropy,topic_total,topic_proportion
Antike · Gott · Ägypten,0.0,0.525,0.475,0.0,0.0,0.9982,40,0.0273
Armut · Unterschiedliche · Religionen Weltanschauungen,0.0763,0.5254,0.322,0.0,0.0763,1.5806,118,0.0805
Diversität · Lebensverhältnisse · Inklusion,0.0,0.0938,0.0625,0.0,0.8438,0.777,32,0.0218
Ethik · Philosophie · Internet,0.0,0.7647,0.1471,0.0,0.0882,1.0117,34,0.0232
Feste · Anthropologie · Kontroversen,0.0,0.8125,0.1875,0.0,0.0,0.6962,16,0.0109
Fragen · Besuch · Sozialen,0.0,0.0,1.0,0.0,0.0,0.0,18,0.0123
Fragen · Weltbilder · Perspektive,0.0,0.6076,0.3544,0.0,0.038,1.1463,79,0.0539
Fächer · Einschätzen · Wissenschaft Weiterbildung,0.32,0.04,0.04,0.0,0.6,1.3397,25,0.0171
Griechen · Römer · Antike,0.0769,0.0385,0.4615,0.0,0.4231,1.5053,26,0.0177
Grundschule · Ethik · Umgang,0.0,0.4943,0.5057,0.0,0.0,0.9999,174,0.1187
Kein Thema (Ausreißer),0.0615,0.2692,0.5615,0.0,0.1077,1.5709,130,0.0887
Landes · Kulturkreis · Politisches,0.2227,0.0095,0.0,0.0474,0.7204,1.0956,211,0.1439
Lernbereich · Heutiger · Schülern,0.0357,0.1429,0.4286,0.0,0.3929,1.6262,28,0.0191
Lernziel · Beispiele · Frühen,0.0,0.3061,0.6939,0.0,0.0,0.8886,49,0.0334
Moderne · Lernbereich · Wertewandel,0.0,0.7,0.3,0.0,0.0,0.8813,30,0.0205
Normen · Perspektiven · Individualität,0.0278,0.5833,0.2778,0.0,0.1111,1.4628,36,0.0246
Polis · Antike · Beispielen,0.1333,0.0267,0.7667,0.0,0.0733,1.0973,150,0.1023
Religionsunterricht · Antike · Antiken,0.04,0.0,0.94,0.0,0.02,0.3825,100,0.0682
Religionsunterricht · Deutsch · Englisch,0.0714,0.1429,0.6071,0.0,0.1786,1.5539,28,0.0191
Sozialer · Effekte · Natürliche,0.0,0.95,0.0,0.0,0.05,0.2864,20,0.0136
Wahlbereich · Weimarer · Hellenismus,0.0619,0.2268,0.5052,0.0309,0.1753,1.8269,97,0.0662
Wirklichkeit · Weltanschauungen · Fragen,0.04,0.52,0.36,0.0,0.08,1.4985,25,0.0171
