topic_name,Bio,"Ethik, Philo",Geschichte,Psychologie,Sozialkunde,entropy,topic_total,topic_proportion
Angst · Erklrungen · Identifizieren,0.3333,0.4,0.2667,0.0,0.0,1.5656,15,0.0117
Antisemitismus · Nationalsozialismus · Israel,0.0,0.0526,0.4211,0.0,0.5263,1.2364,19,0.0149
Arbeitslosigkeit · Arbeit · Weiteren,0.0,0.0667,0.2667,0.0,0.6667,1.1589,15,0.0117
Bercksichtigen · Differenzierte · Langfristige,0.0,0.0476,0.8571,0.0,0.0952,0.7229,21,0.0164
Biodiversitt · Nutzung · Nachhaltige,0.8571,0.0,0.0,0.0,0.1429,0.5917,28,0.0219
Darstellung · Undoder · Materialien,0.1154,0.2308,0.3077,0.0,0.3462,1.9007,26,0.0204
Demokratie · Politischen · Parteien,0.0,0.0,0.3846,0.0,0.6154,0.9612,39,0.0305
Geeignete · Daten · Modelle,0.88,0.0,0.0,0.04,0.08,0.6396,25,0.0196
Gesellschaftliche · Ungleichheit · Debatten,0.1333,0.1167,0.1,0.05,0.6,1.7397,60,0.047
Gewalt · Konflikten · Dafr,0.0,0.8182,0.1818,0.0,0.0,0.684,22,0.0172
Globalisierung · Wirtschaft · Konomische,0.0179,0.0089,0.0536,0.0,0.9196,0.5018,112,0.0877
Historische · Reform · Fortschritt,0.0,0.0435,0.913,0.0,0.0435,0.5132,23,0.018
Historischen · Argumentation · Geschichte,0.0,0.08,0.68,0.08,0.16,1.3844,25,0.0196
Historischer · Ereignisse · Ereignisse Prozesse,0.0,0.0,0.9697,0.0,0.0303,0.1959,33,0.0258
Iii · Zusammenhang · Begrnden,0.0,0.3333,0.1333,0.2,0.3333,1.9086,15,0.0117
Imperialismus · Weltkrieg · Weltkriegs,0.0,0.0,0.6471,0.0,0.3529,0.9367,51,0.0399
Industrialisierung · Industrielle · Revolution,0.0,0.0,0.8333,0.0,0.1667,0.65,18,0.0141
Inflation · Beurteilungskompetenz · Geldes,0.0,0.0,0.0,0.0,1.0,0.0,21,0.0164
Jugendlichen · Formen · Sachkompetenz Erklren,0.0,0.0,0.1364,0.0,0.8636,0.5746,22,0.0172
Kein Thema (Ausreißer),0.1044,0.2209,0.261,0.0161,0.3976,1.9522,249,0.195
Konflikten · Diskriminierung · Ursachen Konflikten,0.0,0.4,0.05,0.0,0.55,1.2192,20,0.0157
Lebensbedingungen · Historischer · Gesellschaften,0.125,0.0,0.6875,0.0,0.1875,1.1995,16,0.0125
Migration · Wandels · Wandel,0.0,0.0,0.2791,0.0,0.7209,0.8542,43,0.0337
Nato · Bundeswehr · Uno,0.0,0.0,0.1765,0.0,0.8235,0.6723,17,0.0133
Organismen · Lebewesen · Abstammung,0.9583,0.0,0.0417,0.0,0.0,0.2499,24,0.0188
Religion · Reformation · Folgen,0.0,0.0741,0.7407,0.0,0.1852,1.0494,27,0.0211
Revolution · Franzsischen · Franzsischen Revolution,0.0,0.0,0.8113,0.0,0.1887,0.6987,53,0.0415
Sozialverhalten · Fitness · Exogene,1.0,0.0,0.0,0.0,0.0,0.0,20,0.0157
Symptome · Behandlung · Ursachen Symptome,0.8776,0.0612,0.0,0.0612,0.0,0.6588,49,0.0384
Terrorismus · Internationalen · Konflikt,0.0,0.0526,0.0263,0.0,0.9211,0.471,38,0.0298
Union · Europischen · Europischen Union,0.0,0.0,0.3913,0.0,0.6087,0.9656,23,0.018
Variabilitt · Mutation · Lernenden Knnen,1.0,0.0,0.0,0.0,0.0,0.0,35,0.0274
Variation · Genetische · Fortpflanzung,0.9643,0.0,0.0,0.0357,0.0,0.2223,28,0.0219
Verhalten · Proximate · Ultimate Ursachen,1.0,0.0,0.0,0.0,0.0,0.0,20,0.0157
Zuwanderung Deutschland · Zuwanderung · Push Pullfaktoren,0.12,0.0,0.08,0.0,0.8,0.9161,25,0.0196
