Bundesland,Fach,Schulart,Klassenstufe(n),Jahr,Gesamtwortanzahl,Referenz,Dateiname
Baden-Württemberg,Bio,Gemeinschaftsschule,Sek2,2022,11681,"Ministerium für Kultus, Jugend und Sport Baden-Württemberg (2022). Bildungsplan der Oberstufe an Gemeinschaftsschulen Biologie. Überarbeitete Fassung vom 08. März 2022",LP BaWü Bio Gemeinschaftsschule Sek2 2022.pdf
Baden-Württemberg,Bio,Gym,,2022,16187,"Ministerium für Kultus, Jugend und Sport Baden-Württemberg (2022). Bildungsplan des Gymnasiums Biologie. Überarbeitete Fassung vom 08. März 2022",LP BaWü Bio Gym 2022.pdf
Baden-Württemberg,Bio,,Sek 1,2022,14215,"Ministerium für Kultus, Jugend und Sport Baden-Württemberg (2022). Bildungsplan der Sekundarstufe 1 Biologie. Überarbeitete Fassung vom 08. März 2022",LP BaWü Bio Sek 1 2022.pdf
Baden-Württemberg,"Ethik, Philo",Gym,,2016,27710,"Ministerium für Kultus, Jugend und Sport Baden-Württenberg (2016). Bildungsplan des Gymnasiums Ethik.",LP BaWü Ethik Gym 2016.pdf
Baden-Württemberg,"Ethik, Philo",,Sek1,2016,28093,"Ministerium für Kultus, Jugend und Sport Baden-Württenberg (2016). Gemeinsamer Bildungsplan der Sekundarstufe 1 Ethik.",LP BaWü Ethik Sek1 2016.pdf
Baden-Württemberg,Geschichte,Gemeinschaftsschule,Sek2,2016,11106,"Ministerium für Kultus, Jugend und Sport Baden-Württenberg (2016). Bildungsplan der Oberstufe an Gemeinschaftsschulen Geschichte.",LP BaWü Geschichte Gemeinschaftsschule Sek2 2016.pdf
Baden-Württemberg,Geschichte,Gym,,2016,19399,"Ministerium für Kultus, Jugend und Sport Baden-Württenberg (2016). Bildungsplan des Gymnasiums Geschichte.",LP BaWü Geschichte Gym 2016.pdf
Baden-Württemberg,Geschichte,,Sek1,2016,18066,"Ministerium für Kultus, Jugend und Sport Baden-Württenberg (2016). Gemeinsamer Bildungsplan der Sekundarstufe 1 Geschichte.",LP BaWü Geschichte Sek1 2016.pdf
Baden-Württemberg,Psychologie,Gemeinschaftsschule,Sek2,2016,6786,"Ministerium für Kultus, Jugend und Sport Baden-Württenberg (2016). Bildungsplan der Oberstufe an Gemeinschaftsschulen Psychologie - Wahlfach in der Oberstufe",LP BaWü WP Psychologie Gemeinschaftsschule Sek2 2016.pdf
Baden-Württemberg,Psychologie,,Sek2,2016,6808,"Ministerium für Kultus, Jugend und Sport Baden Württenberg (2016). Bildungsplan des Gymnasiums Psychologie - Wahlfah in der Oberstufe.",LP BaWü WP Psychologie Sek2 2016.pdf
Baden-Württemberg,Sozialkunde,Gym,,2023,23372,"Ministerium für Kultus, Jugend und Sport Baden Württenberg (2023). Bildungsplan Gymnasium Gemeinschaftskund. Vom 23.03.2016 in der Fassung vom 22.02.2023",LP BaWü Gemeinschaftskunde Gym 2023.pdf
Baden-Württemberg,Sozialkunde,,Sek1,2016,18448,"Ministerium für Kultus, Jugend und Sport Baden-Württenberg (2016). Gemeinsamer Bildungsplan der Sekundarstufe 1 Gemeinschaftskunde.",LP BaWü Gemeinschaftskunde Sek1 2016.pdf
Bayern,Bio,Gym,8,2024,1477,Staatsinstitut für Schulqualität und Bildungsforschung München (2024). Fachlehrpläne Biologie Gymnasium Klasse 8. https://www.lehrplanplus.bayern.de/fachlehrplan/gymnasium/8/biologie,LP Bayern Bio Gym 8 2024.pdf
Bayern,Bio,Gym,9,2024,1821,Staatsinstitut für Schulqualität und Bildungsforschung München (2024). Fachlehrpläne Biologie Gymnasium Klasse 9. https://www.lehrplanplus.bayern.de/fachlehrplan/gymnasium/9/biologie,LP Bayern Bio Gym 9 2024.pdf
Bayern,Bio,Gym,10,2024,1514,Staatsinstitut für Schulqualität und Bildungsforschung München (2024). Fachlehrpläne Biologie Gymnasium Klasse 10. https://www.lehrplanplus.bayern.de/fachlehrplan/gymnasium/10/biologie,LP Bayern Bio Gym 10 2024.pdf
Bayern,Bio,Gym,12,2024,2518,Staatsinstitut für Schulqualität und Bildungsforschung München (2024). Fachlehrpläne Biologie Gymnasium Klasse 12 grundlegendes Anforderungsniveau. https://www.lehrplanplus.bayern.de/fachlehrplan/gymnasium/12/biologie/grundlegend,LP Bayern Bio Gym 12 LK 2024.pdf
Bayern,Bio,Gym,12,2024,2068,Staatsinstitut für Schulqualität und Bildungsforschung München (2024). Fachlehrpläne Biologie Gymnasium Klasse 12 erhöhtes Anforderungsniveau. https://www.lehrplanplus.bayern.de/fachlehrplan/gymnasium/12/biologie/erhoeht,LP Bayern Bio Gym 12 GK 2024.pdf
Bayern,Bio,Gym,13,2024,2803,Staatsinstitut für Schulqualität und Bildungsforschung München (2024). Fachlehrpläne Biologie Gymnasium Klasse 13 erhöhtes Anforderungsniveau. https://www.lehrplanplus.bayern.de/fachlehrplan/gymnasium/13/biologie/erhoeht,LP Bayern Bio Gym 13 LK 2024.pdf
Bayern,Bio,Gym,13,2024,2286,Staatsinstitut für Schulqualität und Bildungsforschung München (2024). Fachlehrpläne Biologie Gymnasium Klasse 13 grundlegendes Anforderungsniveau. https://www.lehrplanplus.bayern.de/fachlehrplan/gymnasium/13/biologie/grundlegend,LP Bayern Bio Gym 13 GK 2024.pdf
Bayern,Bio,Gym,,2024,3814,Staatsinstitut für Schulqualität und Bildungsforschung München (2024). Fächerprofil Biologie. https://www.lehrplanplus.bayern.de/fachprofil/gymnasium/biologie,LP Bayern Bio Gym Fachprofil.pdf
Bayern,Bio,Realschule,,2023,13158,Staatsinstitut für Schulqualität und Bildungsforschung München (2023). LehrplanPLUS Realschule,LP Bayern Bio Realschule 2023.pdf
Bayern,"Ethik, Philo",Gym,5,o. J.,660,Staatsinstitution für Schulqualität und Bildungsforschung Müchen (o. J.). Fachlehrplan Ethik Gymnasium Klasse 5. https://www.lehrplanplus.bayern.de/fachlehrplan/gymnasium/5/ethik,LP Bayern Ethik Gym 5.pdf
Bayern,"Ethik, Philo",Gym,6,o. J.,870,Staatsinstitution für Schulqualität und Bildungsforschung Müchen (o. J.). Fachlehrplan Ethik Gymnasium Klasse 6. https://www.lehrplanplus.bayern.de/fachlehrplan/gymnasium/6/ethik,LP Bayern Ethik Gym 6.pdf
Bayern,"Ethik, Philo",Gym,7,o. J.,716,Staatsinstitution für Schulqualität und Bildungsforschung Müchen (o. J.). Fachlehrplan Ethik Gymnasium Klasse 7. https://www.lehrplanplus.bayern.de/fachlehrplan/gymnasium/7/ethik,LP Bayern Ethik Gym 7.pdf
Bayern,"Ethik, Philo",Gym,8,o. J.,882,Staatsinstitution für Schulqualität und Bildungsforschung Müchen (o. J.). Fachlehrplan Ethik Gymnasium Klasse 8. https://www.lehrplanplus.bayern.de/fachlehrplan/gymnasium/8/ethik,LP Bayern Ethik Gym 8.pdf
Bayern,"Ethik, Philo",Gym,9,o. J.,835,Staatsinstitution für Schulqualität und Bildungsforschung Müchen (o. J.). Fachlehrplan Ethik Gymnasium Klasse 9. https://www.lehrplanplus.bayern.de/fachlehrplan/gymnasium/9/ethik,LP Bayern Ethik Gym 9.pdf
Bayern,"Ethik, Philo",Gym,10,o. J.,842,Staatsinstitution für Schulqualität und Bildungsforschung Müchen (o. J.). Fachlehrplan Ethik Gymnasium Klasse 10. https://www.lehrplanplus.bayern.de/fachlehrplan/gymnasium/10/ethik,LP Bayern Ethik Gym 10.pdf
Bayern,"Ethik, Philo",Gym,11,o. J.,874,Staatsinstitution für Schulqualität und Bildungsforschung Müchen (o. J.). Fachlehrplan Ethik Gymnasium Klasse 11. https://www.lehrplanplus.bayern.de/fachlehrplan/gymnasium/11/ethik,LP Bayern Ethik Gym 11.pdf
Bayern,"Ethik, Philo",Gym,12,o. J.,1925,Staatsinstitution für Schulqualität und Bildungsforschung Müchen (o. J.). Fachlehrplan Ethik Gymnasium Klasse 12 erhöhtes Anforderungsniveau. https://www.lehrplanplus.bayern.de/fachlehrplan/gymnasium/12/ethik/erhoeht,LP Bayern Ethik Gym 12.pdf
Bayern,"Ethik, Philo",Gym,13,o. J.,1925,Staatsinstitution für Schulqualität und Bildungsforschung Müchen (o. J.). Fachlehrplan Ethik Gymnasium Klasse 13 erhöhtes Anforderungsniveau. https://www.lehrplanplus.bayern.de/fachlehrplan/gymnasium/13/ethik/erhoeht,LP Bayern Ethik Gym 13.pdf
Bayern,"Ethik, Philo",Gym,,o. J.,1919,Staatsinstitution für Schulqualität und Bildungsforschung Müchen (o. J.). Fächerprofil Ethik Gymnasium. https://www.lehrplanplus.bayern.de/schulart/gymnasium/inhalt/fachprofile,LP Bayern Ethik Gym Fachprofil.pdf
Bayern,"Ethik, Philo",Gym,12,o. J.,689,Staatsinstitution für Schulqualität und Bildungsforschung Müchen (o. J.). Fachlehrplan Ethik Gymnasium Klasse 12 grundlegendes Anforderungsniveau. https://www.lehrplanplus.bayern.de/fachlehrplan/gymnasium/12/ethik/grundlegend,LP Bayern Ethik Gym 12GK.pdf
Bayern,"Ethik, Philo",Gym,13,o. J.,559,Staatsinstitution für Schulqualität und Bildungsforschung Müchen (o. J.). Fachlehrplan Ethik Gymnasium Klasse 13 grundlegendes Anforderungsniveau. https://www.lehrplanplus.bayern.de/fachlehrplan/gymnasium/13/ethik/grundlegend,LP Bayern Ethik Gym 13GK.pdf
Bayern,"Ethik, Philo",Realschule,,2023,9595,Staatsinstitut für Schulqualität und Bildungsforschung München (2023). LehrplanPLUS Realschule,LP Bayern Ethik Realschule 2023.pdf
Bayern,Geschichte,Gym,6,o. J.,1584,Staatsinstitution für Schulqualität und Bildungsforschung München (o. J.). Fachlehrpläne Geschichte Gymnasium Klasse 6. https://www.lehrplanplus.bayern.de/fachlehrplan/gymnasium/6/geschichte,LP Bayern Geschichte Gym 6.pdf
Bayern,Geschichte,Gym,7,o. J.,1739,Staatsinstitution für Schulqualität und Bildungsforschung München (o. J.). Fachlehrpläne Geschichte Gymnasium Klasse 7. https://www.lehrplanplus.bayern.de/fachlehrplan/gymnasium/7/geschichte,LP Bayern Geschichte Gym 7.pdf
Bayern,Geschichte,Gym,8,o. J.,1574,Staatsinstitution für Schulqualität und Bildungsforschung München (o. J.). Fachlehrpläne Geschichte Gymnasium Klasse 8. https://www.lehrplanplus.bayern.de/fachlehrplan/gymnasium/8/geschichte,LP Bayern Geschichte Gym 8.pdf
Bayern,Geschichte,Gym,9,o. J.,1536,Staatsinstitution für Schulqualität und Bildungsforschung München (o. J.). Fachlehrpläne Geschichte Gymnasium Klasse 9. https://www.lehrplanplus.bayern.de/fachlehrplan/gymnasium/9/geschichte,LP Bayern Geschichte Gym 9.pdf
Bayern,Geschichte,Gym,10,o. J.,697,Staatsinstitution für Schulqualität und Bildungsforschung München (o. J.). Fachlehrpläne Geschichte Gymnasium Klasse 10. https://www.lehrplanplus.bayern.de/fachlehrplan/gymnasium/10/geschichte,LP Bayern Geschichte Gym 10.pdf
Bayern,Geschichte,Gym,11,o. J.,771,Staatsinstitution für Schulqualität und Bildungsforschung München (o. J.). Fachlehrpläne Geschichte Gymnasium Klasse 11. https://www.lehrplanplus.bayern.de/fachlehrplan/gymnasium/11/geschichte,LP Bayern Geschichte Gym 11.pdf
Bayern,Geschichte,Gym,12,o. J.,3304,Staatsinstitution für Schulqualität und Bildungsforschung München (o. J.). Fachlehrpläne Geschichte Gymnasium Klasse 12 erhöhtes Ansforderungsniveau. https://www.lehrplanplus.bayern.de/fachlehrplan/gymnasium/12/geschichte/erhoeht,LP Bayern Geschichte Gym 12 LK.pdf
Bayern,Geschichte,Gym,12,o. J.,1971,Staatsinstitution für Schulqualität und Bildungsforschung München (o. J.). Fachlehrpläne Geschichte Gymnasium Klasse 12 grundlegendes Anforderungsniveau. https://www.lehrplanplus.bayern.de/fachlehrplan/gymnasium/12/geschichte/grundlegend,LP Bayern Geschichte Gym 12 GK.pdf
Bayern,Geschichte,Gym,13,o. J.,2341,Staatsinstitution für Schulqualität und Bildungsforschung München (o. J.). Fachlehrpläne Geschichte Gymnasium Klasse 13 erhöhtes Anforderungsniveau.https://www.lehrplanplus.bayern.de/fachlehrplan/gymnasium/13/geschichte/erhoeht,LP Bayern Geschichte Gym 13 LK.pdf
Bayern,Geschichte,Gym,13,o. J.,1638,Staatsinstitution für Schulqualität und Bildungsforschung München (o. J.). Fachlehrpläne Geschichte Gymnasium Klasse 13 grundlegendes Anforderugnsniveau. https://www.lehrplanplus.bayern.de/fachlehrplan/gymnasium/13/geschichte/grundlegend,LP Bayern Geschichte Gym 13 GK.pdf
Bayern,Geschichte,Gym,,o. J.,3486,Staatsinstitution für Schulqualität und Bildungsforschung München (o. J.). Fachlprofil Geschichte. https://www.lehrplanplus.bayern.de/fachprofil/gymnasium/geschichte/13,LP Bayern Geschichte Gym Fachprofil.pdf
Bayern,Geschichte,Realschule,6,o. J.,1856,Staatsinstitution für Schulqualität und Bildungsforschung München (o. J.). Fachlehrpläne Geschichte Realschule Klasse 6.https://www.lehrplanplus.bayern.de/fachprofil/realschule/geschichte/6,LP Bayern Geschichte Realschule 6.pdf
Bayern,Geschichte,Realschule,7,o. J.,2088,Staatsinstitution für Schulqualität und Bildungsforschung München (o. J.). Fachlehrpläne Geschichte Realschule Klasse 7. https://www.lehrplanplus.bayern.de/fachprofil/realschule/geschichte/7,LP Bayern Geschichte Realschule 7.pdf
Bayern,Geschichte,Realschule,8,o. J.,1792,Staatsinstitution für Schulqualität und Bildungsforschung München (o. J.). Fachlehrpläne Geschichte Realschule Klasse 8. https://www.lehrplanplus.bayern.de/fachprofil/realschule/geschichte/8,LP Bayern Geschichte Realschule 8.pdf
Bayern,Geschichte,Realschule,9,o. J.,1989,Staatsinstitution für Schulqualität und Bildungsforschung München (o. J.). Fachlehrpläne Geschichte Realschule Klasse 9. https://www.lehrplanplus.bayern.de/fachprofil/realschule/geschichte/9,LP Bayern Geschichte Realschule 9.pdf
Bayern,Geschichte,Realschule,10,o. J.,2145,Staatsinstitution für Schulqualität und Bildungsforschung München (o. J.). Fachlehrpläne Geschichte Realschule Klasse 10. https://www.lehrplanplus.bayern.de/fachprofil/realschule/geschichte/10,LP Bayern Geschichte Realschule 10.pdf
Bayern,Geschichte,Realschule.pdf,,2023,13658,Staatsinstitution für Schulqualität und Bildungsofrschung München (2023). Fachprofil Geschichte Realschule. https://www.lehrplanplus.bayern.de/fachprofil/realschule/geschichte/8,LP Bayern Geschichte Realschule.pdf
Bayern,Psychologie,Gym,"12,13",o. J.,1664,"Staatsinstitution für Schulqualität und Bildungsforschung München (o. J.). Fachlehrplane Psychologie Gymnasium 12, 13. https://www.lehrplanplus.bayern.de/fachlehrplan/gymnasium/12/ps","LP Bayern Psychologie Gym 12,13.pdf"
Bayern,Sozialkunde,Gym,8,2023,2480,Staatsinstitution für Schulqualität und Bildungsforschung München (o. J.). Fachlerpläne Politik und Gesellschaft Gymnasium Klasse 8.https://www.lehrplanplus.bayern.de/fachlehrplan/gymnasium/8/pug,LP Bayern Politik und Gesellschaft Gym 8 2023.pdf
Bayern,Sozialkunde,Gym,8,2023,952,Staatsinstitution für Schulqualität und Bildungsforschung München (o. J.). Fachlerpläne Wirtschaft und Recht Gymnasium Klasse 8. https://www.lehrplanplus.bayern.de/fachlehrplan/gymnasium/8/wirtschaft-und-recht,LP Bayern Wirtschaft und Recht Gym 8 2023.pdf
Bayern,Sozialkunde,Gym,9,2023,938,Staatsinstitution für Schulqualität und Bildungsforschung München (o. J.). Fachlerpläne Politik und Gesellschaft Gymnasium Klasse 9. https://www.lehrplanplus.bayern.de/fachlehrplan/gymnasium/9/pug,LP Bayern Politik und Gesellschaft Gym 9 2023.pdf
Bayern,Sozialkunde,Gym,9,2023,476,Staatsinstitution für Schulqualität und Bildungsforschung München (o. J.). Fachlerpläne Wirtschaft und Recht Gymnasium Klasse 9. https://www.lehrplanplus.bayern.de/fachlehrplan/gymnasium/9/wirtschaft-und-recht,LP Bayern Wirtschaft und Recht Gym 9 2023.pdf
Bayern,Sozialkunde,Gym,10,2023,1030,Staatsinstitution für Schulqualität und Bildungsforschung München (o. J.). Fachlerpläne Politik und Gesellschaft Gymnasium Klasse 10. https://www.lehrplanplus.bayern.de/fachlehrplan/gymnasium/10/pug/einstuendig,LP Bayern Politik und Gesellschaft Gym-soz 10 2023.pdf
