term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12,Topic_13,Topic_14,Topic_15
entwicklung,210,0.0094,0.019,0.0033,0.0002,0.0001,0.0214,0.0001,0.0154,0.0172,0.0091,0.0046,0.0202,0.0118,0.0006,0.0002
lebensraum,187,0.0069,0.0306,0.0003,0.0002,0.0001,0.001,0.0001,0.004,0.0001,0.042,0.0014,0.0001,0.0001,0.0006,0.0002
organismus,187,0.0107,0.0001,0.0271,0.0002,0.0001,0.0227,0.0001,0.0243,0.0001,0.0,0.0212,0.0001,0.0001,0.0006,0.0002
funktion,187,0.0126,0.0001,0.0205,0.0002,0.0001,0.029,0.0189,0.0,0.0001,0.0111,0.0001,0.0001,0.0107,0.0006,0.0002
variabilität,181,0.0001,0.0001,0.0592,0.0002,0.0001,0.0119,0.0053,0.0215,0.0001,0.0,0.0001,0.0229,0.0001,0.0006,0.0002
tier,164,0.0001,0.0001,0.0001,0.0002,0.0001,0.0,0.0001,0.0,0.0001,0.0477,0.0001,0.0001,0.0117,0.0006,0.0002
basiskonzept,162,0.0235,0.0001,0.0169,0.0002,0.0001,0.017,0.005,0.0032,0.0107,0.0119,0.0001,0.0001,0.0028,0.0006,0.0002
pflanze,160,0.0001,0.0001,0.0001,0.0002,0.0001,0.0117,0.0015,0.0,0.0001,0.0291,0.0001,0.0001,0.0267,0.0006,0.0002
lebewesen,154,0.0088,0.0001,0.0242,0.0002,0.0001,0.014,0.0004,0.0065,0.0089,0.0129,0.0033,0.0001,0.0021,0.0006,0.0002
mensch,150,0.0097,0.0018,0.0056,0.0002,0.0001,0.0033,0.0001,0.0102,0.0081,0.0259,0.0001,0.0072,0.0001,0.0006,0.0002
struktur,148,0.0083,0.0001,0.0022,0.0002,0.0001,0.0275,0.0267,0.0,0.0001,0.0088,0.0001,0.0001,0.0041,0.0006,0.0002
art,147,0.0123,0.0001,0.0001,0.0002,0.0001,0.0065,0.0001,0.0233,0.0092,0.0,0.0021,0.0256,0.0214,0.0006,0.0002
zusammenhang,145,0.0037,0.0001,0.0055,0.0002,0.0001,0.0282,0.0112,0.0,0.0229,0.0035,0.0001,0.0001,0.007,0.0006,0.0002
umwelt,130,0.0108,0.0001,0.0228,0.0002,0.0001,0.0191,0.0001,0.009,0.0001,0.002,0.0054,0.0001,0.0001,0.0006,0.0002
verschieden,123,0.0089,0.0068,0.0001,0.0002,0.003,0.0145,0.0001,0.0,0.0104,0.0063,0.0111,0.0001,0.0136,0.0007,0.0144
