term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7
entwicklung,210,0.0106,0.0124,0.0144,0.004,0.0118,0.0166,0.0024
lebensraum,187,0.0331,0.0001,0.0013,0.0001,0.0038,0.0001,0.0002
organismus,187,0.0007,0.0001,0.0452,0.0001,0.0,0.0114,0.0002
funktion,187,0.0083,0.0001,0.0369,0.0001,0.0,0.0078,0.0002
variabilität,181,0.0,0.0001,0.0253,0.0001,0.0226,0.0032,0.0002
tier,164,0.0314,0.0001,0.0002,0.0001,0.0001,0.0001,0.0062
basiskonzept,162,0.0033,0.0043,0.0304,0.0001,0.0081,0.0012,0.0002
pflanze,160,0.0237,0.0001,0.0,0.0001,0.0,0.0154,0.0002
lebewesen,154,0.0084,0.0001,0.0166,0.0001,0.0083,0.0081,0.0002
mensch,150,0.0118,0.0018,0.0093,0.0001,0.0086,0.0028,0.0184
struktur,148,0.0039,0.0001,0.0324,0.0001,0.0,0.0069,0.0002
art,147,0.0024,0.0001,0.0017,0.0113,0.0247,0.009,0.0002
zusammenhang,145,0.004,0.002,0.0109,0.0001,0.0035,0.0287,0.0002
umwelt,130,0.001,0.0001,0.0202,0.0001,0.0,0.0206,0.0002
verschieden,123,0.0073,0.0065,0.0047,0.0047,0.0047,0.0149,0.0002
evolution,118,0.0001,0.0001,0.0026,0.0001,0.0239,0.0068,0.0002
ökosystem,117,0.017,0.0001,0.0039,0.0001,0.004,0.0001,0.0002
merkmal,102,0.0114,0.0001,0.0065,0.0053,0.0008,0.0072,0.0002
selektion,102,0.0,0.0001,0.0023,0.0001,0.025,0.0001,0.0002
leben,98,0.0123,0.0001,0.0,0.0038,0.0072,0.0009,0.004
bedeutung,94,0.0108,0.0001,0.0032,0.0067,0.0031,0.0042,0.0002
ökologisch,91,0.0102,0.0001,0.0011,0.0001,0.0095,0.0001,0.0002
umweltfaktor,89,0.0148,0.0001,0.0,0.0106,0.0,0.0001,0.0002
fortpflanzung,89,0.0118,0.0001,0.0056,0.0001,0.0,0.005,0.0002
individuum,89,0.0,0.0001,0.0022,0.0001,0.0215,0.0001,0.0002
bau,85,0.0081,0.0001,0.0094,0.0001,0.0,0.0051,0.0002
führen,85,0.0,0.0001,0.0,0.0001,0.0205,0.0025,0.0002
vielfalt,85,0.0076,0.0001,0.0111,0.0001,0.0032,0.0002,0.0002
abiotisch,84,0.0108,0.0001,0.0,0.0001,0.0045,0.004,0.0002
evolutionstheorie,84,0.0,0.0001,0.0016,0.0001,0.0191,0.0022,0.0002
veränderung,82,0.0041,0.0026,0.0007,0.0001,0.0145,0.0001,0.0002
ausgewählt,77,0.013,0.0001,0.0026,0.0002,0.0,0.0007,0.0002
angepasst,72,0.0,0.0002,0.0056,0.0001,0.0112,0.004,0.0002
faktor,72,0.0084,0.0001,0.0,0.0001,0.0036,0.0058,0.0002
fotosynthese,71,0.0071,0.0001,0.0,0.0002,0.0,0.0131,0.0002
zelle,68,0.0,0.0001,0.0088,0.0001,0.0054,0.0001,0.0192
genetisch,67,0.0,0.0001,0.005,0.0001,0.0131,0.0001,0.0002
entstehung,65,0.0,0.0001,0.0037,0.0001,0.0135,0.0004,0.0002
system,65,0.0049,0.0001,0.011,0.0001,0.0,0.0007,0.0002
kommunikation,65,0.0008,0.0001,0.0026,0.0174,0.0001,0.0137,0.0002
ebene,63,0.0,0.0001,0.0106,0.0001,0.0068,0.0001,0.0002
osva,61,0.0,0.0001,0.0001,0.0001,0.0162,0.0001,0.0002
stoff,60,0.0,0.0001,0.0083,0.0001,0.0018,0.009,0.0002
wirbeltier,59,0.0058,0.0001,0.0,0.0001,0.0,0.011,0.0002
fitness,57,0.0,0.0001,0.0,0.0001,0.0147,0.0001,0.0002
geschichte,54,0.0011,0.0097,0.0083,0.0001,0.0007,0.0018,0.0002
erkenntnisgewinnung,53,0.0,0.0049,0.0,0.01,0.001,0.0091,0.011
evolutiv,53,0.0,0.0001,0.0013,0.0001,0.0121,0.0012,0.0002
verwandtschaft,52,0.0,0.0001,0.0109,0.0001,0.0015,0.0039,0.0002
jahreszeit,50,0.0087,0.0001,0.0,0.0001,0.0013,0.0001,0.0002
reproduktiv,49,0.0,0.0001,0.0,0.0001,0.0128,0.0001,0.0002
individuell,47,0.0,0.0001,0.0001,0.0001,0.0108,0.0025,0.0002
sonne,46,0.0084,0.0001,0.0,0.0001,0.0,0.0013,0.0002
halle,46,0.0001,0.0372,0.0,0.0001,0.0,0.0001,0.0002
biologie,45,0.0,0.0133,0.0,0.0001,0.0036,0.0053,0.0002
population,45,0.0006,0.0001,0.0,0.0001,0.0109,0.0001,0.0002
erklärung,45,0.0,0.0001,0.0,0.0001,0.0042,0.0116,0.0002
insekt,45,0.0088,0.0001,0.0,0.0001,0.0,0.0001,0.0002
vergleich,44,0.0026,0.0001,0.0,0.0002,0.0,0.0128,0.0002
genpool,44,0.0,0.0001,0.0,0.0001,0.0113,0.0001,0.0002
mutation,42,0.0,0.0001,0.0003,0.0001,0.0107,0.0001,0.0002
stammesgeschichtlich,40,0.0,0.0001,0.0048,0.0001,0.0,0.009,0.0002
verhalten,40,0.0015,0.0001,0.0056,0.0001,0.0009,0.0001,0.0132
gymnasial,39,0.0,0.0071,0.0,0.0368,0.0,0.0001,0.0002
eigenschaft,36,0.001,0.0001,0.0084,0.0001,0.0003,0.0005,0.0002
widerstand,36,0.0,0.0001,0.0,0.0255,0.0,0.0001,0.0127
stoffwechsel,33,0.0,0.0001,0.0,0.0001,0.0,0.0126,0.0002
notwendig,32,0.0,0.0034,0.0,0.0284,0.0,0.0022,0.0002
gemeinsam,32,0.0,0.0001,0.004,0.0001,0.0,0.0081,0.0002
methode,27,0.0009,0.0126,0.0,0.0001,0.0018,0.0001,0.0002
reproduktion,27,0.0,0.0001,0.0085,0.0001,0.0,0.0001,0.0002
funktional,27,0.0,0.0001,0.0,0.0001,0.0,0.0105,0.0002
jahrgang,26,0.0,0.0001,0.0001,0.0001,0.0,0.0101,0.0002
fachlehrplan,25,0.0002,0.0205,0.0,0.0001,0.0,0.0001,0.0002
inhaltlich,25,0.0019,0.0003,0.0,0.0164,0.0,0.0001,0.0002
aspekt,24,0.0015,0.0019,0.0,0.0032,0.0001,0.0001,0.0129
mitwirken,24,0.0001,0.0202,0.0,0.0001,0.0,0.0001,0.0002
nationalsozialismus,24,0.0,0.0001,0.0,0.0233,0.0,0.0001,0.0002
leitung,23,0.0001,0.0187,0.0,0.0001,0.0,0.0001,0.0002
schuljahrgäng,23,0.0,0.0169,0.0,0.0001,0.0,0.0001,0.0012
gesellschaft,23,0.0,0.0001,0.002,0.0069,0.0,0.0001,0.0124
kompetenzentwicklung,23,0.0,0.0196,0.0,0.0001,0.0,0.0001,0.0002
sozial,22,0.0002,0.01,0.0,0.0001,0.0001,0.0004,0.0127
erziehung,22,0.0,0.0175,0.0,0.0001,0.0,0.0001,0.0012
fachgruppe,20,0.0,0.0162,0.0,0.0001,0.0,0.0001,0.0002
untersuchung,19,0.0015,0.0022,0.0,0.0001,0.0,0.0001,0.0105
weltkrieg,19,0.0,0.0003,0.0,0.0185,0.0,0.0001,0.0002
auswirkung,18,0.0017,0.001,0.0,0.0001,0.0,0.0001,0.0106
darstellung,18,0.0,0.0118,0.0,0.0004,0.0,0.0009,0.0002
wert,18,0.0,0.0001,0.0001,0.0001,0.0,0.0028,0.0135
kurshalbjahr,17,0.0,0.0022,0.0,0.0181,0.0,0.0001,0.0002
magdeburg,16,0.0,0.0138,0.0,0.0001,0.0,0.0001,0.0002
nationalsozialistisch,16,0.0,0.0001,0.0,0.018,0.0,0.0001,0.0002
betreffen,16,0.0,0.0001,0.0009,0.0121,0.0,0.0012,0.0002
wirkung,16,0.0014,0.0001,0.0,0.0001,0.0001,0.0001,0.0105
ideologie,16,0.0,0.0001,0.0,0.0155,0.0,0.0001,0.0002
kraft,16,0.0,0.0126,0.0,0.0001,0.0,0.0001,0.0002
medium,15,0.0009,0.0001,0.0,0.0021,0.0,0.0001,0.0106
deutsch,15,0.0,0.0001,0.0,0.0001,0.0,0.0001,0.017
selbstständig,15,0.0,0.012,0.0,0.0001,0.0,0.0001,0.0002
lehrplan,14,0.0,0.0113,0.0001,0.0001,0.0005,0.0001,0.0002
experiment,14,0.0,0.0001,0.0,0.0012,0.0,0.0001,0.0145
vorliegend,14,0.0,0.0129,0.0,0.0001,0.0,0.0001,0.0002
rahmenlehrplan,13,0.0,0.0118,0.0,0.0001,0.0,0.0001,0.0002
gymnasium,12,0.0,0.0013,0.0,0.0129,0.0,0.0001,0.0002
herrschaft,12,0.0,0.0001,0.0001,0.0122,0.0,0.0001,0.0002
planen,11,0.0,0.0001,0.0,0.0006,0.0,0.0001,0.0117
gegebenenfalls,11,0.0,0.0001,0.0,0.0135,0.0,0.0001,0.0002
geographie,11,0.0,0.0001,0.0,0.0001,0.0,0.0001,0.0126
gesellschaftlich,11,0.0,0.0001,0.0001,0.0001,0.0008,0.0001,0.0111
vorgabe,11,0.0,0.0098,0.0,0.0001,0.0,0.0001,0.0002
änderung,11,0.0,0.0001,0.0,0.0131,0.0,0.0001,0.0002
abiturprüfungsfächer,10,0.0,0.0001,0.0,0.0121,0.0,0.0001,0.0002
