term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12,Topic_13,Topic_14,Topic_15,Topic_16,Topic_17,Topic_18,Topic_19,Topic_20
mensch,259,0.0015,0.0011,0.0021,0.0366,0.0329,0.0023,0.118,0.0364,0.0008,0.0024,0.0216,0.0523,0.0008,0.0235,0.0351,0.001,0.0062,0.0492,0.0099,0.0169
ethik,187,0.0401,0.0172,0.0016,0.0204,0.0458,0.0028,0.004,0.0458,0.0008,0.0023,0.0001,0.0006,0.0294,0.0016,0.0164,0.0009,0.0015,0.0244,0.0522,0.0784
philosophie,156,0.0052,0.0012,0.0016,0.0064,0.0587,0.0023,0.0237,0.0001,0.0008,0.0023,0.0001,0.0006,0.044,0.0068,0.0822,0.0009,0.0401,0.0199,0.0209,0.0002
frage,130,0.0054,0.0011,0.0016,0.0688,0.0001,0.003,0.0551,0.0076,0.0008,0.0023,0.0001,0.0006,0.0185,0.0409,0.0005,0.0012,0.0005,0.0103,0.0133,0.0002
philosophisch,116,0.0002,0.0011,0.0016,0.0317,0.0023,0.0023,0.0066,0.0118,0.0008,0.0023,0.0001,0.0006,0.0005,0.0266,0.0786,0.001,0.0352,0.0344,0.0003,0.0281
position,86,0.0092,0.0011,0.0019,0.0083,0.0001,0.0023,0.0604,0.0084,0.0008,0.0023,0.0001,0.0006,0.0111,0.0002,0.0004,0.0009,0.0062,0.0002,0.0084,0.0002
geschichte,81,0.0613,0.0012,0.0016,0.0001,0.0552,0.0026,0.0059,0.0001,0.0014,0.0023,0.0001,0.0006,0.0004,0.0029,0.0004,0.0009,0.0033,0.0001,0.0003,0.0143
reflexionsbereich,78,0.0403,0.0012,0.0016,0.0002,0.0004,0.0027,0.0001,0.0001,0.001,0.0023,0.0001,0.0006,0.0004,0.0122,0.0004,0.0011,0.1053,0.0001,0.0004,0.0187
gesellschaft,75,0.0724,0.0012,0.0016,0.0018,0.0106,0.0029,0.0032,0.0049,0.0317,0.0023,0.0001,0.0323,0.0004,0.0094,0.0004,0.001,0.0011,0.0001,0.0132,0.0073
erkenntnistheorie,73,0.0497,0.0011,0.0016,0.0272,0.0033,0.0026,0.0042,0.0001,0.0008,0.0023,0.0001,0.0006,0.0317,0.0146,0.0004,0.0009,0.0009,0.0077,0.0088,0.0003
freiheit,73,0.0001,0.0012,0.0016,0.0001,0.0001,0.0024,0.0001,0.0604,0.0008,0.0023,0.0601,0.0006,0.0004,0.0026,0.0004,0.0009,0.0062,0.031,0.0003,0.0002
ethisch,67,0.0001,0.0011,0.0016,0.0235,0.0003,0.0023,0.0107,0.0256,0.0454,0.0023,0.0001,0.0006,0.0004,0.0003,0.0004,0.0011,0.0131,0.015,0.0003,0.0314
natur,66,0.0001,0.0011,0.0016,0.0001,0.033,0.0023,0.0152,0.0026,0.0008,0.0023,0.0001,0.0006,0.0004,0.0002,0.0183,0.0009,0.0002,0.006,0.0097,0.0131
religion,63,0.0014,0.0012,0.0016,0.0109,0.013,0.0023,0.0001,0.006,0.0008,0.0023,0.0001,0.1928,0.0004,0.0011,0.0016,0.001,0.0001,0.003,0.0023,0.0223
metaphysik,61,0.0571,0.0012,0.0016,0.0001,0.0056,0.0032,0.0052,0.0001,0.0008,0.0024,0.0001,0.0006,0.0245,0.0157,0.0004,0.0009,0.0069,0.0005,0.0003,0.0025
auseinandersetzung,56,0.0363,0.0012,0.0016,0.0001,0.0061,0.0026,0.0001,0.004,0.0008,0.0023,0.0001,0.0006,0.0028,0.0271,0.0004,0.0009,0.0077,0.0032,0.0003,0.0121
sprachphilosophie,55,0.0465,0.0012,0.0016,0.0001,0.0085,0.0026,0.0052,0.0001,0.0008,0.0023,0.0001,0.0006,0.0459,0.0032,0.0004,0.0009,0.0068,0.0001,0.0003,0.0013
menschlich,43,0.0001,0.0012,0.0016,0.0001,0.0158,0.0023,0.0155,0.0001,0.0008,0.0023,0.0001,0.0006,0.0004,0.0141,0.0004,0.0009,0.0253,0.0081,0.0003,0.0002
problem,39,0.0026,0.0011,0.0016,0.0146,0.0082,0.0023,0.0021,0.0002,0.0008,0.0023,0.0001,0.0088,0.0004,0.0002,0.0004,0.0015,0.0487,0.0003,0.0254,0.0014
verantwortung,38,0.0056,0.0011,0.0016,0.0001,0.0035,0.0023,0.0035,0.0529,0.0008,0.0023,0.0001,0.0006,0.0004,0.0002,0.0004,0.0009,0.0003,0.0036,0.0122,0.0002
mindestens,37,0.0001,0.0011,0.0016,0.0001,0.0001,0.0023,0.0347,0.0001,0.0008,0.0023,0.0001,0.0006,0.0004,0.0002,0.0004,0.001,0.0001,0.0001,0.0003,0.0002
verschieden,37,0.0124,0.0012,0.0016,0.0001,0.0001,0.0024,0.0066,0.0125,0.0009,0.0023,0.0001,0.0006,0.0112,0.0262,0.0004,0.001,0.0005,0.0015,0.0009,0.0002
kultur,36,0.0009,0.0012,0.002,0.0001,0.0141,0.0023,0.0162,0.0001,0.0008,0.0023,0.0001,0.0006,0.0317,0.0002,0.0004,0.0009,0.0001,0.004,0.0003,0.0002
insgesamt,35,0.0001,0.0011,0.0016,0.0002,0.0001,0.0023,0.0328,0.0001,0.0008,0.0023,0.0001,0.0006,0.0005,0.0002,0.0004,0.0009,0.0001,0.0001,0.0003,0.0002
grundfrage,34,0.0002,0.0011,0.0016,0.0001,0.0001,0.0023,0.0002,0.0001,0.0008,0.0024,0.0001,0.0006,0.0004,0.0033,0.1993,0.001,0.0001,0.0002,0.0003,0.0002
