term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12
sozial,228,0.0476,0.0001,0.0196,0.0001,0.0133,0.0068,0.001,0.0124,0.0208,0.0112,0.0003,0.0261
wunsch,195,0.0001,0.0241,0.0006,0.0001,0.0081,0.0001,0.0275,0.0002,0.0025,0.0679,0.0003,0.0031
mensch,184,0.0001,0.0174,0.0367,0.0001,0.0128,0.0001,0.0078,0.0002,0.0087,0.0059,0.0003,0.0286
leben,146,0.0105,0.0166,0.0034,0.0001,0.0021,0.0231,0.0154,0.0002,0.017,0.0068,0.0003,0.0048
interesse,128,0.003,0.0001,0.022,0.0074,0.0277,0.0001,0.0,0.0002,0.0042,0.0102,0.0003,0.0172
unterschiedlich,120,0.0379,0.0001,0.0127,0.0175,0.0044,0.0001,0.0043,0.0002,0.0001,0.0001,0.0003,0.0051
fähigkeit,119,0.0157,0.0021,0.0498,0.0001,0.0001,0.0001,0.0,0.0002,0.0001,0.0001,0.0003,0.0001
handeln,110,0.0001,0.0001,0.007,0.0001,0.0121,0.0144,0.027,0.0002,0.0023,0.0001,0.0003,0.0001
gefühl,103,0.0204,0.0001,0.0154,0.0072,0.0001,0.0001,0.0102,0.0002,0.0066,0.0001,0.0003,0.0001
verschieden,94,0.0001,0.0001,0.0147,0.0001,0.0063,0.0027,0.0124,0.0002,0.0011,0.0192,0.0003,0.0001
gesellschaftlich,90,0.0177,0.0001,0.0003,0.0001,0.0001,0.0001,0.0149,0.0271,0.0001,0.0001,0.0003,0.0094
familie,80,0.0001,0.0001,0.0041,0.0001,0.0001,0.0001,0.0237,0.0002,0.0001,0.0125,0.0003,0.0001
wirtschaftlich,75,0.0001,0.0052,0.0,0.0081,0.0146,0.0143,0.0143,0.0002,0.0001,0.0001,0.0003,0.0001
freiheit,73,0.0027,0.0063,0.0,0.0001,0.0001,0.0001,0.0173,0.0002,0.0105,0.0001,0.0003,0.0023
möglichkeit,71,0.0088,0.0001,0.0001,0.0165,0.0001,0.0001,0.0055,0.0002,0.0001,0.0199,0.0003,0.0068
regel,71,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0012,0.0002,0.0351,0.0063,0.0003,0.0022
entwicklung,71,0.0001,0.0404,0.0001,0.0001,0.0076,0.0001,0.0048,0.0002,0.0001,0.005,0.0003,0.0016
frage,70,0.0001,0.0164,0.0,0.0001,0.0001,0.0059,0.0001,0.0104,0.0013,0.0057,0.0911,0.0057
sucht,69,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0,0.0002,0.0381,0.0001,0.0003,0.0056
bedeutung,68,0.0001,0.0267,0.0058,0.0087,0.0001,0.0009,0.0056,0.0002,0.0063,0.0001,0.0003,0.0001
