term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5
sozial,228,0.0209,0.0296,0.0001,0.0121,0.0072
wunsch,195,0.0108,0.0001,0.0003,0.0106,0.04
mensch,184,0.0022,0.0019,0.0045,0.0195,0.0307
leben,146,0.0042,0.0178,0.0042,0.0142,0.0032
reflektieren,142,0.02,0.02,0.0001,0.0025,0.0001
beschreiben,137,0.0102,0.001,0.0119,0.0066,0.0131
interesse,128,0.0198,0.0037,0.0145,0.0001,0.0001
unterschiedlich,120,0.0001,0.0172,0.0202,0.0001,0.0001
fähigkeit,119,0.0194,0.01,0.0036,0.0022,0.0001
handeln,110,0.0107,0.0001,0.0155,0.0065,0.0002
lernende,104,0.0104,0.0222,0.0001,0.0001,0.0001
gefühl,103,0.0135,0.0133,0.0001,0.0036,0.0003
kompetenz,102,0.006,0.0094,0.0009,0.0065,0.0089
verschieden,94,0.009,0.0001,0.001,0.0115,0.0063
gesellschaftlich,90,0.0001,0.014,0.0001,0.0069,0.0088
familie,80,0.002,0.0001,0.0001,0.004,0.0211
wirtschaftlich,75,0.0001,0.0001,0.0187,0.0001,0.0057
erkennen,73,0.0164,0.0001,0.0001,0.0045,0.0001
freiheit,73,0.0023,0.0001,0.0001,0.0019,0.0208
regel,71,0.0018,0.0001,0.0118,0.0031,0.0041
entwicklung,71,0.0046,0.001,0.0001,0.0153,0.0001
erläutern,71,0.0001,0.0001,0.0041,0.0004,0.0197
frage,70,0.005,0.0015,0.008,0.0039,0.0022
sucht,69,0.0136,0.0001,0.0011,0.003,0.0019
bedeutung,68,0.0024,0.0001,0.0027,0.0142,0.0008
rolle,68,0.0043,0.0001,0.0021,0.0046,0.0112
entwickeln,68,0.0083,0.0034,0.0071,0.0004,0.0011
individuell,68,0.0041,0.0001,0.0101,0.0044,0.0019
umgang,64,0.0023,0.0001,0.0001,0.0134,0.0033
verantwortung,63,0.004,0.0001,0.0001,0.0055,0.011
funktion,62,0.0007,0.0002,0.0079,0.0013,0.0109
menschlich,60,0.0001,0.001,0.0021,0.0144,0.0002
nehmen,59,0.006,0.0095,0.0001,0.0025,0.0001
wahrnehmung,59,0.0087,0.0002,0.0001,0.0017,0.0068
glück,59,0.0001,0.0055,0.0001,0.0019,0.0114
konsum,59,0.0001,0.0112,0.0047,0.0023,0.0001
medium,58,0.0018,0.0001,0.0001,0.0146,0.0009
wahrnehmen,52,0.0124,0.0001,0.0007,0.0001,0.002
liebe,52,0.0001,0.0001,0.0001,0.0082,0.0081
erfassen,51,0.0098,0.0042,0.001,0.0001,0.0001
eth,48,0.0001,0.0001,0.0001,0.0001,0.0178
auseinandersetzung,47,0.009,0.0001,0.0005,0.0038,0.0001
sexualität,47,0.0001,0.0001,0.0001,0.0099,0.0044
lebensform,47,0.0001,0.0001,0.0001,0.0001,0.0167
lernen,47,0.0001,0.0001,0.0065,0.0077,0.0001
kultur,45,0.0002,0.014,0.0001,0.0001,0.0001
verantwortlich,42,0.0108,0.0001,0.0001,0.0011,0.0001
grundbedürfnisse,42,0.0001,0.0024,0.0001,0.0072,0.0032
gut,42,0.0009,0.002,0.0099,0.0001,0.0001
identität,41,0.0001,0.0032,0.0001,0.0023,0.0088
grenze,39,0.0094,0.0001,0.0001,0.0008,0.0013
voraussetzung,38,0.0001,0.0098,0.0001,0.0024,0.0001
nachhaltig,37,0.0015,0.0007,0.0001,0.0089,0.0001
begründen,37,0.0001,0.0001,0.0067,0.0001,0.005
sozialkompetenz,37,0.0001,0.0088,0.0007,0.0025,0.0001
form,37,0.0001,0.0018,0.0001,0.0079,0.0017
ökonomisch,37,0.0001,0.0001,0.0081,0.0036,0.0001
emotion,36,0.0001,0.0116,0.0001,0.0001,0.0001
potenzial,35,0.0098,0.0001,0.0001,0.0001,0.0001
ziel,35,0.0001,0.0001,0.007,0.0035,0.0001
befriedigung,34,0.0001,0.0001,0.0003,0.0024,0.0093
klassenstuf,33,0.0001,0.0001,0.0098,0.0001,0.0001
ding,32,0.0001,0.0099,0.0001,0.0001,0.0001
sehen,32,0.0091,0.0001,0.0001,0.0001,0.0001
stellen,32,0.0001,0.0001,0.007,0.0026,0.0001
anforderung,31,0.0001,0.01,0.0001,0.0001,0.0001
entscheidung,31,0.0022,0.0001,0.0067,0.0001,0.0005
knappheit,30,0.0004,0.0004,0.0087,0.0001,0.0001
methodischdidaktisch,29,0.0001,0.0017,0.0001,0.0001,0.008
darstellen,29,0.0001,0.0001,0.0001,0.0086,0.0001
kognitiv,29,0.0001,0.0095,0.0001,0.0001,0.0001
aktiv,28,0.0001,0.0093,0.0001,0.0001,0.0001
realität,28,0.0001,0.0091,0.0001,0.0001,0.0001
sachkompetenz,28,0.0001,0.0001,0.0084,0.0001,0.0002
bezug,27,0.0001,0.0001,0.007,0.0001,0.0014
verhalten,27,0.0001,0.0001,0.0001,0.0066,0.0015
vergleichen,26,0.0001,0.0001,0.0001,0.0001,0.0091
akzeptanz,24,0.0001,0.0001,0.0001,0.0001,0.0085
natur,24,0.0001,0.0001,0.0001,0.0069,0.0001
