term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10
emotional,242,0.0004,0.0751,0.0844,0.0474,0.0172,0.033,0.0323,0.0368,0.0003,0.0353
emotion,171,0.0938,0.0513,0.0002,0.0017,0.0344,0.0001,0.0418,0.0245,0.0277,0.0004
sozial,93,0.0004,0.0002,0.0001,0.005,0.0313,0.0325,0.0454,0.0287,0.0453,0.0004
reflektieren,75,0.004,0.0001,0.0001,0.0307,0.0326,0.0001,0.0033,0.003,0.0457,0.0004
kompetenz,73,0.0004,0.0253,0.0001,0.0058,0.0002,0.0104,0.0487,0.0157,0.0002,0.0114
beschreiben,67,0.0004,0.0001,0.0279,0.0424,0.0002,0.0001,0.0029,0.006,0.0002,0.0004
wahrnehmung,67,0.0089,0.0001,0.0001,0.0235,0.0002,0.0228,0.0168,0.0098,0.0002,0.0004
bedürfnis,56,0.0005,0.0001,0.1309,0.0001,0.0002,0.0001,0.0002,0.0005,0.0465,0.0004
gesellschaftlich,53,0.0004,0.0002,0.0303,0.0087,0.0002,0.065,0.0016,0.0002,0.0001,0.0004
frage,52,0.0004,0.0122,0.0003,0.0266,0.0025,0.0001,0.0002,0.004,0.0001,0.0004
motivation,52,0.0527,0.0001,0.0001,0.0018,0.0009,0.0001,0.0185,0.0162,0.0002,0.0004
kognitiv,51,0.0041,0.0002,0.0001,0.0001,0.0028,0.0107,0.0125,0.0297,0.0235,0.0004
perspektive,51,0.0004,0.0001,0.0001,0.0321,0.0324,0.0001,0.0002,0.0016,0.004,0.0004
psychisch,48,0.0004,0.0201,0.0001,0.0002,0.0002,0.0001,0.0002,0.0142,0.023,0.0004
handeln,46,0.0058,0.0002,0.0001,0.0104,0.0075,0.0001,0.0068,0.0002,0.0233,0.0185
gefühl,45,0.0151,0.0001,0.0002,0.0158,0.0002,0.0002,0.0002,0.0076,0.0226,0.0004
entwicklung,44,0.0004,0.002,0.0001,0.0001,0.037,0.0001,0.0425,0.0216,0.0001,0.0004
erkennen,43,0.0004,0.0265,0.0001,0.0001,0.0002,0.0001,0.0002,0.0148,0.0001,0.0004
grenze,36,0.0058,0.0002,0.0001,0.0256,0.0002,0.0001,0.0002,0.0022,0.0001,0.0004
natur,36,0.0004,0.0002,0.0001,0.0001,0.0403,0.0001,0.0002,0.0002,0.0001,0.0004
unterschiedlich,36,0.0004,0.0002,0.0002,0.0031,0.0413,0.0001,0.0002,0.0006,0.0254,0.0087
verschieden,36,0.001,0.0001,0.0001,0.0066,0.0002,0.0001,0.0027,0.0128,0.004,0.0219
kognition,34,0.0099,0.0001,0.0001,0.0001,0.0009,0.0001,0.0178,0.0121,0.0042,0.0004
grundlage,32,0.0254,0.0002,0.0001,0.0001,0.0419,0.0001,0.0086,0.0025,0.0001,0.0004
lernen,31,0.025,0.0002,0.0001,0.0001,0.0024,0.0102,0.0161,0.0001,0.004,0.0004
stellen,31,0.0004,0.0002,0.0003,0.0214,0.0002,0.0001,0.0002,0.0038,0.0001,0.0004
aspekt,30,0.0004,0.0002,0.0022,0.0051,0.0003,0.0001,0.0035,0.0082,0.0002,0.0249
ausdrücken,30,0.0004,0.0245,0.0001,0.0001,0.0002,0.0001,0.0014,0.0001,0.0001,0.0101
erleben,30,0.0004,0.0196,0.0001,0.0002,0.0002,0.0001,0.0199,0.0059,0.0001,0.0004
motivieren,30,0.0004,0.0291,0.0001,0.0001,0.0002,0.0001,0.0002,0.0001,0.0001,0.0004
adressat,29,0.0004,0.0261,0.0001,0.0001,0.0002,0.0001,0.0002,0.0023,0.0001,0.0004
eingehen,29,0.0004,0.0243,0.0001,0.0001,0.0002,0.0001,0.0002,0.004,0.0001,0.0004
funktion,29,0.0236,0.0002,0.0852,0.0001,0.0002,0.0001,0.0002,0.0002,0.0002,0.0004
ethisch,28,0.0058,0.0002,0.0001,0.0079,0.0029,0.0001,0.0002,0.0005,0.0001,0.0352
bedeutung,27,0.0393,0.0002,0.0002,0.0068,0.002,0.0001,0.0038,0.0001,0.0001,0.0006
kulturell,27,0.0004,0.0001,0.0002,0.0114,0.0004,0.0201,0.0209,0.0001,0.0001,0.0004
unterricht,27,0.0044,0.0002,0.0001,0.0001,0.0155,0.0301,0.0003,0.0002,0.0001,0.0004
zustand,27,0.0004,0.0261,0.0001,0.0001,0.0002,0.0001,0.0002,0.0002,0.0001,0.0004
analysieren,26,0.0004,0.0001,0.0002,0.0193,0.0026,0.0001,0.0002,0.0003,0.0002,0.0004
bewältigen,26,0.0004,0.0253,0.0001,0.0001,0.0002,0.0001,0.0002,0.0001,0.0001,0.0004
gehören,26,0.0004,0.0252,0.0001,0.0002,0.0002,0.0001,0.0002,0.0001,0.0001,0.0004
gesundheit,26,0.0004,0.0253,0.0001,0.0001,0.0002,0.0001,0.0002,0.0002,0.0001,0.0004
orientierung,26,0.0004,0.0002,0.0045,0.0001,0.0006,0.0327,0.0039,0.0003,0.0001,0.0004
angst,25,0.0156,0.0002,0.0018,0.0001,0.0002,0.0001,0.0002,0.0162,0.0001,0.0004
aversiv,25,0.0004,0.0243,0.0001,0.0001,0.0002,0.0001,0.0002,0.0001,0.0001,0.0004
belastend,25,0.0004,0.0243,0.0001,0.0001,0.0002,0.0001,0.0002,0.0001,0.0001,0.0004
emotionsregulation,25,0.0004,0.0243,0.0001,0.0001,0.0002,0.0001,0.0002,0.0001,0.0001,0.0004
empathisch,25,0.0004,0.0243,0.0001,0.0001,0.0002,0.0001,0.0002,0.0001,0.0001,0.0004
motivationlernbereitschaft,25,0.0004,0.0243,0.0001,0.0001,0.0002,0.0001,0.0002,0.0001,0.0001,0.0004
situationsadäquat,25,0.0004,0.0243,0.0001,0.0001,0.0002,0.0001,0.0002,0.0001,0.0001,0.0004
umgeh,25,0.0004,0.0243,0.0001,0.0001,0.0002,0.0001,0.0002,0.0001,0.0001,0.0004
vertrauen,25,0.0004,0.0243,0.0001,0.0001,0.0002,0.0001,0.0002,0.0001,0.0001,0.0004
ethik,24,0.0084,0.0002,0.0001,0.0167,0.0005,0.0001,0.0003,0.0001,0.0002,0.0004
kompetenzerwartunge,24,0.0004,0.0001,0.0001,0.0193,0.0002,0.0001,0.0002,0.0002,0.0002,0.0004
mensch,24,0.0004,0.0001,0.0003,0.0016,0.0167,0.0001,0.0037,0.0042,0.0001,0.0004
beziehung,23,0.0004,0.0002,0.0001,0.0028,0.0037,0.0001,0.0018,0.0001,0.0258,0.0004
entwickeln,22,0.0004,0.0001,0.0001,0.0001,0.0454,0.0001,0.0046,0.0017,0.0002,0.0004
fähigkeit,22,0.0004,0.0001,0.0001,0.0001,0.0002,0.0101,0.0029,0.0001,0.0263,0.0004
körperlich,22,0.0004,0.0001,0.0001,0.0001,0.0002,0.0101,0.0002,0.0275,0.0001,0.0004
voraussetzung,22,0.0004,0.0001,0.0001,0.002,0.0002,0.0001,0.0002,0.0181,0.0227,0.0004
bezug,21,0.0004,0.0002,0.0001,0.0001,0.0024,0.0001,0.0248,0.0001,0.0001,0.0004
