term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12
sozial,93,0.0345,0.0006,0.0287,0.0307,0.0334,0.0001,0.0004,0.0004,0.0448,0.0002,0.0635,0.0002
wahrnehmung,67,0.0253,0.0265,0.0472,0.0307,0.0005,0.0001,0.0004,0.0005,0.0001,0.0003,0.0001,0.0207
bedürfnis,56,0.0003,0.0006,0.0003,0.0001,0.0003,0.1572,0.0004,0.0005,0.0001,0.0001,0.0466,0.0007
gesellschaftlich,53,0.0119,0.0211,0.0041,0.0613,0.0701,0.034,0.0004,0.0005,0.0002,0.0002,0.0001,0.0002
frage,52,0.0437,0.0294,0.0003,0.0003,0.0003,0.0002,0.0004,0.0221,0.0006,0.0167,0.0001,0.0002
motivation,52,0.0161,0.0006,0.0244,0.0001,0.0003,0.0001,0.0004,0.0005,0.0001,0.0002,0.0001,0.0523
kognitiv,51,0.0187,0.0006,0.0046,0.0001,0.0335,0.0001,0.0004,0.0005,0.0227,0.0003,0.0253,0.0115
perspektive,51,0.0438,0.0525,0.0003,0.0001,0.0003,0.0001,0.0004,0.0005,0.0296,0.0023,0.0001,0.0098
psychisch,48,0.009,0.0006,0.0003,0.0001,0.0003,0.0001,0.0004,0.0005,0.0002,0.0224,0.0234,0.0168
handeln,46,0.0032,0.0073,0.006,0.0001,0.0003,0.0001,0.0531,0.0004,0.0057,0.0003,0.0264,0.0002
gefühl,45,0.0113,0.0251,0.0003,0.0001,0.0003,0.0002,0.0064,0.0329,0.0014,0.0011,0.0226,0.0118
entwicklung,44,0.0003,0.0006,0.0121,0.0002,0.0003,0.0001,0.0004,0.0005,0.0581,0.0001,0.0219,0.0012
grenze,36,0.048,0.0251,0.0003,0.0001,0.0013,0.0002,0.0093,0.0004,0.0003,0.0012,0.0001,0.0002
natur,36,0.0002,0.0006,0.0003,0.0001,0.0015,0.0001,0.0004,0.0004,0.033,0.0008,0.0001,0.0002
unterschiedlich,36,0.0003,0.0098,0.0041,0.0001,0.0003,0.0001,0.0133,0.0005,0.0318,0.0001,0.0245,0.0052
verschieden,36,0.0208,0.0006,0.0178,0.0001,0.0003,0.0001,0.0075,0.0004,0.0012,0.0004,0.0001,0.0203
