topic_rank,topic_id,topic_prevalence,n_docs_where_dominant,peakiness
1,9,0.1496,198,90.8167
2,12,0.1383,153,70.7168
3,18,0.0747,81,65.0899
4,1,0.0668,84,54.7546
5,20,0.0659,65,79.362
6,13,0.0658,77,56.2753
7,2,0.0629,74,141.2268
8,5,0.0557,55,99.6242
9,7,0.0546,54,65.2267
10,17,0.0493,55,54.0973
11,8,0.0448,44,45.9223
12,16,0.0352,39,34.5819
13,4,0.0336,31,108.1697
14,10,0.0221,17,57.627
15,15,0.0192,15,67.4073
16,11,0.0143,12,81.149
17,14,0.0134,10,100.8199
18,6,0.0128,9,88.2837
19,19,0.0119,7,110.478
20,3,0.0091,5,196.1163
