term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10
verantwortung,561,0.0148,0.0121,0.0174,0.0225,0.0139,0.0169,0.0043,0.0002,0.05,0.0001
mensch,486,0.0188,0.0,0.0187,0.0001,0.0047,0.0202,0.0442,0.0019,0.0156,0.0267
handeln,328,0.0165,0.0294,0.0001,0.0001,0.0002,0.0022,0.0086,0.0021,0.0214,0.0112
gerechtigkeit,272,0.0095,0.0062,0.0148,0.0022,0.0074,0.0,0.0,0.0056,0.0218,0.0001
sozial,263,0.0081,0.0,0.0001,0.0028,0.0096,0.0014,0.0,0.0049,0.033,0.0003
ethik,231,0.0077,0.0,0.0862,0.0001,0.006,0.0001,0.0,0.0,0.0,0.0001
gesellschaft,210,0.0084,0.0063,0.0001,0.0001,0.0034,0.0102,0.0028,0.0143,0.0066,0.0001
politisch,208,0.0,0.0002,0.0001,0.0001,0.0,0.004,0.0046,0.0321,0.0001,0.0027
leben,199,0.002,0.0102,0.0009,0.0001,0.0204,0.0008,0.0071,0.0052,0.0047,0.0001
wert,198,0.0145,0.002,0.0001,0.0152,0.0182,0.0,0.0,0.0004,0.0059,0.0011
revolution,179,0.0,0.0,0.0001,0.0001,0.0,0.0,0.0,0.0254,0.0,0.0145
bedeutung,165,0.0038,0.0,0.0001,0.0001,0.0085,0.0028,0.0,0.0078,0.0121,0.0006
kompetenz,163,0.0127,0.0096,0.0001,0.0029,0.0057,0.0,0.01,0.0009,0.0035,0.0001
beschreiben,162,0.0143,0.0,0.0001,0.0029,0.0049,0.0025,0.0,0.0029,0.0101,0.0064
grundlage,157,0.0,0.0,0.0166,0.0001,0.0097,0.0005,0.0,0.008,0.0061,0.0001
frage,157,0.0032,0.0,0.0001,0.0015,0.0048,0.0,0.0203,0.0042,0.0028,0.0001
ethisch,153,0.0015,0.0207,0.0075,0.0001,0.0014,0.0,0.0063,0.0,0.0092,0.0001
verschieden,150,0.0049,0.0,0.0001,0.0001,0.0104,0.0064,0.002,0.0052,0.0061,0.0001
autonomie,144,0.0,0.0096,0.0001,0.0059,0.0069,0.0,0.008,0.0,0.0033,0.0159
begriff,144,0.0059,0.0,0.0001,0.0208,0.0054,0.0,0.0042,0.0,0.007,0.0013
möglichkeit,139,0.0059,0.0001,0.0001,0.0001,0.0092,0.0007,0.0085,0.002,0.0066,0.0001
aspekt,137,0.0024,0.0,0.0138,0.0039,0.0065,0.0001,0.0,0.0058,0.0049,0.0001
gesellschaftlich,136,0.0128,0.0056,0.0008,0.0001,0.0048,0.0032,0.0,0.0041,0.0051,0.0001
menschenwürde,130,0.0,0.0,0.0001,0.0001,0.0336,0.0,0.0,0.0,0.0,0.0001
zusammenhang,125,0.0024,0.0,0.0001,0.0001,0.0077,0.0,0.0056,0.0,0.0116,0.0001
französisch,117,0.0,0.0,0.0001,0.0001,0.0,0.0,0.0,0.0196,0.0,0.0001
frei,117,0.0,0.0,0.0001,0.0001,0.0011,0.0027,0.0244,0.0018,0.0016,0.0001
welt,116,0.0,0.0,0.0123,0.0001,0.0,0.0065,0.0001,0.0014,0.0107,0.0031
reflektieren,114,0.0,0.0062,0.0001,0.0018,0.0049,0.0041,0.0017,0.0004,0.0098,0.0001
konflikt,109,0.0,0.0098,0.0001,0.0001,0.0,0.0,0.0,0.0063,0.0094,0.0001
demokratie,109,0.0,0.0011,0.0001,0.0001,0.0,0.0069,0.0,0.0178,0.0,0.0001
analysieren,108,0.0092,0.0,0.0001,0.0001,0.0,0.003,0.0,0.0013,0.0089,0.0073
bezug,108,0.0088,0.0014,0.0001,0.0023,0.002,0.0,0.0049,0.0054,0.0,0.003
religion,107,0.0,0.0,0.0221,0.0167,0.0,0.0102,0.0015,0.0,0.0001,0.0001
norm,106,0.0088,0.0,0.0001,0.0233,0.0041,0.0,0.0,0.0004,0.0017,0.0001
perspektive,104,0.0034,0.0,0.0001,0.0001,0.0,0.0,0.0,0.0067,0.0084,0.0001
philosophisch,104,0.0,0.0001,0.0104,0.0107,0.0005,0.0,0.0108,0.0004,0.0023,0.0001
gleichheit,103,0.0,0.0015,0.0001,0.0001,0.0,0.0,0.0,0.0169,0.0,0.0001
individuell,102,0.0,0.0004,0.0001,0.0001,0.0028,0.0,0.0,0.0055,0.0101,0.0044
diskutieren,102,0.0088,0.0,0.0056,0.0001,0.0019,0.0008,0.0047,0.0,0.0062,0.0001
unterschiedlich,100,0.0054,0.0,0.0035,0.0104,0.0099,0.0,0.0,0.0,0.0027,0.0001
willensfreiheit,100,0.0155,0.0,0.0001,0.0123,0.0001,0.0,0.004,0.0,0.0,0.0001
form,99,0.0056,0.0096,0.0001,0.0001,0.0034,0.0103,0.0,0.0029,0.0,0.0001
menschlich,98,0.0026,0.0,0.0001,0.0001,0.0025,0.0,0.0166,0.0,0.0024,0.0001
menschenrecht,97,0.0,0.0,0.0001,0.0001,0.0053,0.0001,0.0,0.0129,0.0,0.0001
natur,95,0.0043,0.0,0.0001,0.0008,0.0018,0.0033,0.0,0.0,0.0107,0.0001
europäisch,93,0.0,0.0,0.0002,0.0001,0.0,0.0,0.0,0.0119,0.0,0.0124
moralisch,88,0.0099,0.003,0.0001,0.0001,0.0,0.0,0.007,0.0,0.0005,0.007
herrschaft,87,0.0,0.0,0.0024,0.0001,0.0,0.0,0.0,0.0124,0.0,0.0001
sicherheit,86,0.0045,0.0,0.0007,0.0001,0.0007,0.0,0.0,0.0104,0.0026,0.0001
europa,84,0.0,0.0,0.0001,0.0001,0.0,0.0001,0.0,0.013,0.0,0.0067
handlungsfreiheit,82,0.0129,0.0,0.0001,0.0026,0.0016,0.0,0.0053,0.0,0.0,0.0001
technik,82,0.0,0.0,0.0001,0.0001,0.0,0.0,0.0007,0.0,0.0135,0.0001
wille,82,0.0038,0.0,0.0001,0.0001,0.0032,0.0,0.0135,0.0,0.0005,0.0001
grenze,81,0.0022,0.0,0.0001,0.0001,0.0053,0.0,0.0093,0.0003,0.0024,0.0009
auseinandersetzung,81,0.0003,0.0021,0.0001,0.016,0.0045,0.0,0.0034,0.001,0.0011,0.0001
denken,80,0.0,0.03,0.0001,0.0001,0.0,0.0012,0.0,0.0001,0.0,0.0022
deutschland,80,0.0,0.005,0.0001,0.0001,0.0,0.0001,0.0,0.0125,0.0,0.0001
problem,80,0.0,0.0,0.0001,0.0001,0.0,0.0,0.0106,0.0031,0.004,0.0001
religiös,78,0.0,0.0,0.0001,0.029,0.0015,0.0,0.0037,0.0,0.0,0.0001
politik,78,0.0032,0.0,0.0001,0.0001,0.0,0.0,0.0,0.0095,0.0032,0.0001
glück,77,0.0,0.0,0.0098,0.0001,0.0123,0.0,0.0,0.0,0.0011,0.0001
eth,77,0.0,0.0,0.0001,0.0001,0.0,0.0254,0.0,0.0026,0.0046,0.0001
erkennen,76,0.0,0.0129,0.0001,0.0001,0.0044,0.0,0.0024,0.0024,0.0008,0.0001
demokratisch,75,0.0,0.0118,0.0001,0.0001,0.0,0.0014,0.0,0.0097,0.0,0.0001
inhalt,73,0.0,0.0,0.0001,0.0081,0.0033,0.0,0.003,0.0049,0.0,0.0001
position,73,0.0039,0.0001,0.0001,0.0001,0.0,0.0,0.0072,0.0,0.0056,0.0001
thema,72,0.0,0.0144,0.0001,0.0001,0.0,0.0001,0.0078,0.001,0.0001,0.0001
abhängigkeit,71,0.0106,0.0019,0.0001,0.0024,0.0021,0.0,0.0,0.0,0.0019,0.0001
handlung,71,0.0032,0.0051,0.0001,0.0235,0.0,0.0,0.0,0.0,0.0,0.0001
umgang,71,0.0011,0.0,0.0001,0.0001,0.0041,0.0,0.0,0.0007,0.0082,0.0001
folge,71,0.0031,0.0,0.0001,0.0001,0.0,0.0018,0.0,0.0,0.0036,0.0219
ziel,71,0.0,0.0,0.0001,0.0001,0.0139,0.0,0.0009,0.0008,0.0016,0.0001
spannungsfeld,70,0.0,0.0123,0.0001,0.0008,0.0,0.004,0.0003,0.0014,0.0022,0.0055
staat,68,0.0,0.0005,0.0001,0.0001,0.0,0.0038,0.0,0.0098,0.0,0.0001
anthropologie,66,0.0,0.0,0.0335,0.0001,0.0,0.0,0.0,0.0,0.0,0.0001
sinn,66,0.0,0.0,0.0001,0.0001,0.0102,0.0001,0.0026,0.0006,0.0009,0.0043
bedürfnis,66,0.0,0.0,0.0001,0.0001,0.0049,0.0236,0.0,0.0,0.0,0.0001
zentral,66,0.0001,0.0,0.0001,0.0001,0.0089,0.0,0.0,0.0,0.0048,0.0038
fach,65,0.0,0.0,0.0001,0.0175,0.0084,0.0,0.0,0.0,0.0,0.0001
allgemein,64,0.0064,0.0,0.016,0.0001,0.0023,0.0,0.0,0.0001,0.0,0.0001
solidarität,64,0.0001,0.0013,0.0001,0.0001,0.0,0.0,0.0,0.0087,0.0018,0.0001
vorstellung,64,0.0007,0.0,0.0001,0.0012,0.0062,0.0098,0.0002,0.0,0.0024,0.0001
frieden,64,0.0,0.0,0.0001,0.0001,0.0,0.0,0.0,0.0112,0.0,0.0001
erörtern,63,0.0095,0.0,0.001,0.0001,0.0,0.0025,0.0,0.0,0.0039,0.0001
ökonomisch,62,0.0,0.0,0.0001,0.0028,0.0008,0.0,0.0,0.0021,0.0089,0.0001
geschichte,60,0.0,0.0,0.0001,0.0001,0.0,0.0187,0.0,0.0029,0.0,0.0001
persönlich,60,0.0027,0.0,0.0001,0.0001,0.0084,0.0,0.0038,0.0,0.0009,0.0001
historisch,58,0.0,0.0001,0.0001,0.0001,0.0,0.0043,0.0,0.0041,0.0,0.0148
deutsch,58,0.0,0.0,0.0001,0.0001,0.0,0.0024,0.0,0.0086,0.0,0.0001
gott,57,0.0,0.0,0.0001,0.0001,0.0,0.0259,0.0,0.0,0.0,0.0001
gewissen,56,0.0,0.0,0.0001,0.0202,0.0,0.0,0.0,0.0003,0.0,0.008
beitrag,55,0.0,0.0,0.0001,0.0001,0.0118,0.0,0.0,0.0016,0.0,0.0001
moral,55,0.0,0.0,0.0127,0.0001,0.0014,0.0,0.0019,0.0,0.0026,0.0004
angewandte,54,0.0,0.0,0.0261,0.0001,0.0,0.0,0.0,0.0,0.0,0.0001
idee,53,0.001,0.0,0.0001,0.0001,0.0027,0.0006,0.0023,0.0,0.0,0.0174
streben,53,0.0,0.0,0.0001,0.0001,0.0014,0.0,0.0,0.0,0.001,0.0247
familie,53,0.0,0.0,0.0001,0.0001,0.0024,0.014,0.0,0.0,0.0037,0.0001
positiv,53,0.0,0.0,0.0001,0.0001,0.0059,0.0,0.0074,0.0,0.0,0.0001
einheit,51,0.0,0.0,0.0001,0.0001,0.0,0.0001,0.0,0.0026,0.0,0.0204
entwickeln,51,0.0,0.0154,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0031,0.0001
selbstverständnis,49,0.0,0.0,0.021,0.0001,0.0,0.0,0.0,0.0,0.0012,0.0001
lernende,48,0.0,0.0001,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0031,0.0186
erschließen,48,0.007,0.0,0.0001,0.0001,0.0007,0.0,0.0,0.0,0.0,0.0117
grundrecht,47,0.0,0.0,0.0001,0.0001,0.0,0.0,0.0,0.0087,0.0,0.0001
setzen,47,0.0006,0.0112,0.0001,0.0006,0.0,0.004,0.0,0.0,0.0,0.0059
bürgertum,46,0.0,0.0,0.0001,0.0001,0.0,0.0,0.0,0.0084,0.0,0.0001
wesen,46,0.0,0.0,0.0001,0.0001,0.0,0.0,0.0106,0.0,0.001,0.0001
leitperspektive,45,0.0,0.0,0.0001,0.0011,0.0094,0.0,0.0,0.0011,0.0,0.0001
moralphilosophie,45,0.0,0.0,0.0197,0.0001,0.0,0.0,0.0,0.0,0.0006,0.0001
gruppe,44,0.0,0.0,0.0001,0.0001,0.0108,0.0,0.0,0.0,0.0009,0.0001
situation,44,0.0022,0.0092,0.0001,0.0021,0.0,0.0,0.0,0.0,0.0016,0.0001
staatlich,43,0.0,0.0001,0.0001,0.0001,0.0,0.0,0.0,0.0048,0.0,0.0101
marktwirtschaft,42,0.0,0.0,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0108,0.0001
rev,41,0.0,0.0,0.0001,0.0001,0.0,0.02,0.0,0.0,0.0,0.0001
iii,41,0.0087,0.0,0.0001,0.0001,0.0018,0.0,0.0,0.0,0.0,0.0001
kommunikation,41,0.0,0.0,0.0061,0.0001,0.0,0.0117,0.0,0.0,0.0015,0.0001
weltanschauung,41,0.0,0.0,0.0048,0.0083,0.0,0.0063,0.0,0.0,0.0,0.0001
digital,40,0.0001,0.0,0.018,0.0001,0.0,0.0037,0.0,0.0,0.0,0.0001
kritik,39,0.0005,0.0,0.0141,0.0001,0.0,0.0,0.002,0.0,0.0,0.0001
versus,39,0.0122,0.0,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0001
wunsch,39,0.0,0.0,0.0001,0.0001,0.0024,0.016,0.0,0.0,0.0,0.0001
relevanz,35,0.0089,0.0,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0002,0.0001
heteronomie,35,0.0,0.0115,0.0001,0.0001,0.0003,0.0,0.0012,0.0,0.0,0.0005
urteil,35,0.0,0.0152,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0001
wissen,35,0.0,0.0,0.0001,0.0001,0.0082,0.0,0.0,0.0001,0.0,0.0001
ethikunterricht,34,0.0,0.0096,0.0001,0.0019,0.0,0.0,0.0,0.0,0.001,0.0001
bestimmung,33,0.0008,0.0,0.0001,0.0001,0.0,0.0,0.0079,0.0,0.0,0.0001
rrk,32,0.0,0.0,0.0001,0.0001,0.0,0.0148,0.0,0.0,0.0,0.0001
utilitarismus,32,0.0,0.0,0.0156,0.0001,0.0,0.0,0.0,0.0,0.0,0.0001
teilhabe,30,0.0,0.0,0.0001,0.0001,0.0,0.0,0.0,0.0019,0.0,0.0154
