term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5
genetisch,1132,0.0648,0.0374,0.0162,0.0419,0.0208
genetik,433,0.004,0.0127,0.0168,0.0004,0.0361
beschreiben,418,0.0064,0.0065,0.0225,0.0372,0.0011
entwicklung,365,0.0341,0.002,0.0001,0.0114,0.0088
gen,351,0.0013,0.0176,0.037,0.0018,0.0001
information,327,0.0165,0.0061,0.015,0.0148,0.0016
erläutern,300,0.0013,0.0209,0.0095,0.0046,0.01
grundlage,259,0.0152,0.0097,0.0016,0.0089,0.0053
dna,255,0.0041,0.0138,0.0151,0.011,0.0
merkmal,245,0.0039,0.0096,0.0241,0.003,0.0007
erklären,243,0.0073,0.0022,0.011,0.0239,0.0
bedeutung,242,0.0013,0.014,0.0059,0.0173,0.002
fortpflanzung,237,0.0206,0.0013,0.0,0.0141,0.0025
mensch,222,0.0001,0.0116,0.0,0.0114,0.0131
variabilität,219,0.014,0.0101,0.0006,0.011,0.0
evolution,217,0.0061,0.0038,0.0,0.0084,0.0169
vererbung,180,0.0004,0.0154,0.0058,0.0021,0.0048
inhalt,179,0.0045,0.0001,0.0162,0.0114,0.0
leben,178,0.0042,0.003,0.01,0.0057,0.0063
zusammenhang,177,0.0104,0.0032,0.0099,0.0026,0.0026
organismus,168,0.0025,0.0089,0.0141,0.0022,0.0001
struktur,167,0.0021,0.006,0.0179,0.0,0.0025
funktion,162,0.0027,0.0032,0.0151,0.006,0.0017
biologie,162,0.0026,0.0001,0.0123,0.0,0.0121
selektion,161,0.0217,0.0015,0.0,0.0001,0.0
rekombination,158,0.016,0.0034,0.0,0.005,0.0
evolutiv,155,0.0189,0.0,0.0,0.0049,0.0
basiskonzept,154,0.0194,0.0,0.002,0.0015,0.0
verfahren,150,0.0005,0.0122,0.0,0.0055,0.0056
code,148,0.0004,0.0067,0.0152,0.0,0.0018
mutation,146,0.0055,0.0114,0.0057,0.0,0.0
molekular,138,0.0005,0.0036,0.0055,0.0027,0.011
ebene,129,0.0002,0.0,0.0237,0.0,0.0
ursache,128,0.0104,0.0078,0.0,0.0008,0.0
replikation,128,0.0049,0.0002,0.0025,0.0157,0.0
vielfalt,126,0.0103,0.0046,0.0,0.0021,0.0039
zelle,125,0.0011,0.0,0.0053,0.0134,0.0038
variation,125,0.0182,0.0,0.0,0.0,0.0
kommunikation,122,0.0001,0.0013,0.0094,0.0,0.0092
weitergabe,122,0.0102,0.0,0.0007,0.0092,0.0
führen,115,0.0179,0.0,0.0,0.0,0.0
anwendung,115,0.0,0.0106,0.0002,0.0055,0.0018
lebewesen,114,0.0151,0.0,0.0,0.0013,0.0
entstehung,110,0.0028,0.0008,0.0,0.0154,0.0016
gene,107,0.0004,0.0039,0.0106,0.0,0.0034
verbindlich,103,0.001,0.0,0.0131,0.0047,0.0
individuell,103,0.0134,0.0,0.0,0.0001,0.0013
gentechnik,103,0.0001,0.0081,0.0009,0.0,0.0074
meiose,102,0.0004,0.0071,0.0001,0.0111,0.0
material,101,0.0137,0.0011,0.0,0.0,0.0
verschieden,100,0.0044,0.0001,0.0001,0.0096,0.0031
protein,88,0.0,0.01,0.0032,0.0,0.0
möglichkeit,78,0.0,0.0009,0.0008,0.0033,0.0081
modifikation,77,0.0026,0.0087,0.0,0.0,0.0
beratung,76,0.0014,0.0013,0.0,0.0021,0.0072
themenfeld,74,0.0013,0.002,0.0003,0.0,0.0093
kompetenzerwartungen,73,0.0001,0.0,0.0132,0.0,0.0
ökologie,71,0.0,0.0,0.0,0.0,0.011
regel,71,0.0,0.0101,0.0,0.0001,0.0
wichtig,71,0.0102,0.0,0.0,0.0,0.0
bewerten,67,0.0,0.0015,0.0,0.0,0.009
mitose,67,0.0001,0.0001,0.0,0.0129,0.0
basisbegriff,67,0.0001,0.0,0.0125,0.0,0.0
gentest,63,0.0021,0.0,0.0,0.0,0.0073
zellzyklus,60,0.0001,0.0,0.0001,0.012,0.0
anwenden,60,0.0,0.009,0.0,0.0,0.0
stoff,60,0.0021,0.0,0.0,0.0,0.0068
ethisch,60,0.0,0.0012,0.0,0.0,0.008
grenze,60,0.0003,0.0018,0.0,0.0,0.0071
biomoleküle,54,0.0,0.0007,0.0,0.0008,0.007
