term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12
sozial,512,0.0001,0.0025,0.0072,0.0129,0.0253,0.0002,0.0001,0.0778,0.0,0.0018,0.0104,0.0066
freiheit,309,0.0104,0.0,0.0001,0.0096,0.0172,0.0,0.0,0.0,0.0,0.0,0.0317,0.0
wert,295,0.0128,0.0063,0.0359,0.0,0.0026,0.0,0.0,0.0,0.0161,0.0169,0.0158,0.0
handeln,287,0.0129,0.0355,0.0009,0.0054,0.0,0.0096,0.0,0.0031,0.0132,0.0056,0.0093,0.0
gesellschaft,279,0.0096,0.0,0.0001,0.015,0.0095,0.0,0.01,0.0213,0.0,0.0,0.0128,0.0
verantwortung,276,0.021,0.001,0.0001,0.0091,0.003,0.0,0.0,0.0,0.0075,0.0157,0.0186,0.0
frage,232,0.0041,0.0155,0.0001,0.0052,0.0025,0.0,0.0,0.0115,0.0102,0.0,0.0132,0.0017
ethik,219,0.0065,0.0046,0.0001,0.0023,0.0,0.0,0.0037,0.0,0.0073,0.0,0.0235,0.0
politisch,214,0.0003,0.0001,0.0001,0.0,0.0217,0.0073,0.0,0.021,0.0,0.0,0.0,0.0307
leben,205,0.0226,0.0061,0.0001,0.0,0.0054,0.0046,0.0044,0.0,0.0,0.0106,0.0093,0.0
verschieden,198,0.0202,0.0057,0.0001,0.0022,0.0045,0.0,0.0069,0.0,0.0135,0.0061,0.007,0.0
mensch,194,0.0122,0.0,0.0001,0.0071,0.0,0.0,0.0,0.0,0.0037,0.0043,0.0186,0.0
unterschiedlich,193,0.027,0.0,0.0001,0.0,0.0008,0.0077,0.0144,0.0038,0.0001,0.0123,0.0041,0.0
bedeutung,177,0.0157,0.0007,0.0037,0.0,0.0,0.0095,0.003,0.0029,0.0,0.007,0.012,0.0
gesellschaftlich,170,0.0,0.0067,0.0001,0.0,0.0127,0.0,0.0001,0.0232,0.0,0.0,0.0029,0.0
welt,169,0.0,0.0163,0.0024,0.0136,0.0,0.0133,0.0,0.0,0.0,0.0,0.0096,0.0
zusammenleben,159,0.0056,0.0061,0.0001,0.0,0.0,0.0009,0.0,0.0,0.0058,0.0,0.0168,0.0
konflikt,151,0.0,0.0356,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0137,0.0041,0.0
medium,148,0.0009,0.0183,0.0023,0.0,0.0,0.0062,0.0,0.0,0.0,0.0019,0.0019,0.0276
norm,148,0.0025,0.0023,0.0242,0.0,0.0028,0.0,0.0,0.0,0.0118,0.0045,0.0085,0.0
menschenrecht,147,0.0,0.0154,0.0001,0.0,0.0,0.0263,0.0045,0.0,0.0072,0.0,0.0042,0.0
entwicklung,128,0.0,0.0,0.0051,0.0,0.0,0.0114,0.0,0.0136,0.0,0.0036,0.005,0.0
form,126,0.0077,0.0,0.0001,0.0,0.0,0.0023,0.0261,0.0048,0.0,0.0071,0.0,0.0
problem,124,0.0,0.0017,0.0001,0.0112,0.0,0.0,0.0,0.0142,0.0,0.0035,0.0041,0.0
möglichkeit,118,0.0069,0.0266,0.0001,0.0,0.0066,0.0,0.0,0.0,0.0,0.0,0.0017,0.0
begriff,117,0.0,0.0,0.0001,0.0228,0.0,0.0,0.0,0.0,0.0069,0.0,0.0079,0.0
prinzip,112,0.0,0.0022,0.0012,0.0,0.006,0.0,0.0163,0.0,0.0,0.0029,0.0054,0.0032
perspektive,110,0.0,0.0313,0.0001,0.0099,0.0,0.0045,0.0,0.0002,0.0,0.0,0.0,0.0
nachhaltig,109,0.003,0.0,0.0017,0.0,0.0,0.0108,0.0,0.0051,0.0,0.0079,0.0058,0.0
regel,105,0.0,0.0,0.0001,0.0,0.0,0.0,0.0019,0.0,0.0348,0.0105,0.0001,0.0
global,103,0.0,0.0011,0.0034,0.0073,0.0,0.0097,0.0,0.0113,0.0001,0.0,0.0018,0.0
inhalt,103,0.0,0.0,0.0059,0.0,0.0081,0.0,0.0,0.0141,0.0,0.0005,0.0022,0.0
umgang,103,0.0085,0.0031,0.0002,0.0,0.0005,0.0124,0.0,0.0007,0.0,0.0087,0.0038,0.0
ethisch,103,0.0078,0.0,0.0001,0.0155,0.0,0.0,0.0,0.0017,0.0,0.0,0.0056,0.0
einzeln,101,0.0,0.0,0.0074,0.0,0.0018,0.0,0.0,0.0,0.0,0.011,0.0029,0.0155
moral,99,0.0,0.0016,0.0001,0.0022,0.0,0.0,0.0024,0.0,0.0077,0.0,0.0099,0.0
beitrag,97,0.0,0.0,0.0291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0086,0.0
politik,96,0.0,0.0018,0.0024,0.0014,0.0168,0.0,0.0,0.0048,0.0047,0.0,0.0,0.0058
hinblick,96,0.0001,0.0034,0.0001,0.0,0.0,0.0342,0.0,0.0,0.003,0.0,0.001,0.0
leistung,95,0.0,0.0,0.0001,0.0017,0.0,0.0,0.0001,0.0,0.0014,0.0129,0.0,0.0231
ziel,95,0.0,0.0,0.0081,0.0011,0.0217,0.0,0.0,0.0,0.0053,0.0,0.0,0.0
entwickeln,93,0.0071,0.0049,0.0001,0.0,0.0,0.0,0.0084,0.0027,0.0132,0.0,0.0,0.0
vorstellung,92,0.0089,0.0052,0.0068,0.0,0.0,0.0,0.0,0.0,0.0058,0.0009,0.0036,0.0
bne,91,0.0,0.0017,0.0133,0.0,0.0,0.0062,0.0,0.0,0.0,0.0104,0.0042,0.0
moralisch,91,0.0,0.0064,0.0001,0.0,0.0,0.0,0.0,0.0,0.0102,0.0,0.0076,0.0
kommunikation,89,0.0,0.002,0.0001,0.0,0.0,0.0107,0.0,0.0,0.0,0.0,0.0,0.0255
