term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5
sozial,512,0.004,0.0044,0.001,0.0015,0.0483
freiheit,309,0.012,0.0003,0.0001,0.0239,0.0052
wert,295,0.0165,0.0101,0.0234,0.0001,0.0034
handeln,287,0.0162,0.0136,0.0027,0.0088,0.0017
gesellschaft,279,0.006,0.0036,0.0001,0.011,0.0142
verantwortung,276,0.0154,0.0,0.0083,0.0167,0.0015
frage,232,0.0044,0.0113,0.0,0.0091,0.0056
ethik,219,0.0045,0.0028,0.0001,0.021,0.0
politisch,214,0.0046,0.0095,0.0,0.0,0.0162
leben,205,0.0139,0.0044,0.0071,0.0058,0.0021
verschieden,198,0.0119,0.0046,0.01,0.0066,0.0006
mensch,194,0.0047,0.0001,0.0014,0.0185,0.001
unterschiedlich,193,0.0137,0.0006,0.0111,0.0056,0.0033
bedeutung,177,0.0193,0.0029,0.0048,0.0014,0.0032
gesellschaftlich,170,0.0,0.0027,0.0001,0.0064,0.011
welt,169,0.0001,0.0086,0.0001,0.0134,0.0
zusammenleben,159,0.0041,0.0032,0.0025,0.0111,0.001
konflikt,151,0.0006,0.0099,0.0057,0.006,0.0008
medium,148,0.0007,0.0175,0.0021,0.0021,0.0
norm,148,0.006,0.0071,0.0104,0.0001,0.0024
menschenrecht,147,0.0109,0.0085,0.0009,0.0038,0.0
entwicklung,128,0.0025,0.0042,0.0023,0.001,0.0071
form,126,0.0112,0.0016,0.0037,0.0037,0.0013
problem,124,0.0,0.0024,0.0021,0.0059,0.0054
möglichkeit,118,0.0053,0.0087,0.0,0.0,0.0032
begriff,117,0.0,0.0009,0.0002,0.0071,0.0048
perspektive,110,0.0,0.0144,0.0,0.0016,0.0
nachhaltig,109,0.0021,0.003,0.0016,0.0013,0.006
regel,105,0.0,0.0026,0.0154,0.0,0.0017
inhalt,103,0.0,0.0,0.0026,0.0013,0.0091
einzeln,101,0.0,0.0049,0.0096,0.0032,0.0002
moral,99,0.0035,0.0016,0.0,0.0082,0.0
beitrag,97,0.0,0.0017,0.0056,0.0008,0.0058
natur,97,0.0049,0.0026,0.0,0.0064,0.0
politik,96,0.0,0.0082,0.0001,0.0,0.0051
hinblick,96,0.0109,0.0026,0.005,0.0,0.0
leistung,95,0.0,0.0,0.0111,0.0026,0.0027
ziel,95,0.0,0.0011,0.0045,0.0008,0.0061
position,93,0.0006,0.0,0.0001,0.0065,0.0039
grundlegend,91,0.0082,0.0,0.0018,0.0031,0.002
moralisch,91,0.0,0.0079,0.0008,0.0033,0.0
toleranz,90,0.0099,0.0025,0.0,0.0024,0.0003
kommunikation,89,0.0,0.0119,0.0017,0.0,0.0
beziehen,88,0.0108,0.0,0.0034,0.0019,0.0
iii,87,0.0,0.0,0.0021,0.0085,0.0008
wahrnehmen,86,0.0,0.0,0.0035,0.0084,0.0
demokratisch,85,0.0016,0.0074,0.0001,0.0025,0.0013
ökonomisch,81,0.0,0.0029,0.0,0.0,0.0071
sinn,80,0.0,0.0099,0.0,0.0015,0.0
strafe,79,0.0,0.0026,0.0,0.0074,0.0
achtung,78,0.0099,0.0,0.0022,0.0018,0.0
herausforderung,77,0.0011,0.0,0.0,0.001,0.0072
demokratie,76,0.0005,0.0,0.0,0.0004,0.0075
familie,76,0.0137,0.0,0.0017,0.0,0.0
interpretieren,75,0.0011,0.0,0.0012,0.0074,0.0001
religion,73,0.0,0.0001,0.0001,0.0086,0.0
wirklichkeit,73,0.0,0.0087,0.0,0.0013,0.0
gestalten,71,0.0,0.0063,0.0001,0.0,0.0027
miteinander,70,0.0038,0.0,0.0094,0.0013,0.0
sozialstaat,69,0.0,0.0,0.0001,0.0006,0.0075
wirtschaftlich,69,0.0,0.0009,0.0,0.0,0.0073
anspruch,66,0.0,0.0025,0.0116,0.0,0.0
deutschland,64,0.0,0.0,0.0,0.0,0.0076
partizipation,64,0.0094,0.0,0.0,0.0002,0.0028
interesse,63,0.0068,0.0,0.0073,0.0,0.0
ungerechtigkeit,59,0.011,0.0001,0.0,0.0,0.0
marktwirtschaft,58,0.0,0.0,0.0,0.0,0.0071
chance,57,0.0089,0.0013,0.0001,0.0005,0.0
anforderung,54,0.0,0.0035,0.0072,0.0,0.0
jugendliche,53,0.0,0.0079,0.0,0.0,0.0
europäisch,49,0.0,0.0004,0.0017,0.0,0.0055
fachübergreifend,49,0.0,0.0,0.0,0.0,0.0058
freundschaft,46,0.0024,0.0,0.007,0.0,0.0
afb,45,0.0,0.0,0.0091,0.0006,0.0
rechtlich,43,0.0,0.0063,0.0013,0.0,0.0
problematisieren,41,0.0,0.0,0.0091,0.0,0.0
bedürfnis,41,0.0,0.0,0.0091,0.0,0.0
struktur,40,0.0025,0.0,0.0069,0.0,0.0
kategorie,36,0.0082,0.0,0.0,0.0,0.0
leisten,29,0.0,0.0,0.0074,0.0,0.0
anwenden,28,0.0,0.0,0.0067,0.0,0.0
