term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7
gerechtigkeit,1645,0.0592,0.0331,0.0447,0.0466,0.025,0.0302,0.0509
gerecht,585,0.0214,0.0305,0.0248,0.0055,0.0199,0.0106,0.0
sozial,512,0.0055,0.0,0.0001,0.0015,0.0,0.0465,0.0124
freiheit,309,0.0001,0.0065,0.0001,0.0082,0.0073,0.0037,0.0283
wert,295,0.003,0.028,0.0001,0.0061,0.0114,0.0042,0.0015
handeln,287,0.0044,0.0125,0.0047,0.0191,0.0023,0.0049,0.0
gesellschaft,279,0.0047,0.0098,0.0001,0.0021,0.0,0.0158,0.0074
verantwortung,276,0.0,0.0075,0.0001,0.0087,0.0197,0.0012,0.0142
frage,232,0.0043,0.0113,0.0001,0.0016,0.0026,0.0085,0.0079
ethik,219,0.0071,0.0105,0.0001,0.0,0.0009,0.0,0.0183
politisch,214,0.0,0.0,0.0001,0.0029,0.0,0.0235,0.002
leben,205,0.0033,0.0055,0.0001,0.0092,0.0108,0.0,0.0091
verschieden,198,0.002,0.0069,0.0001,0.0099,0.0167,0.0008,0.0016
kompetenz,197,0.0078,0.0074,0.0142,0.0,0.0017,0.0033,0.0067
mensch,194,0.0019,0.0,0.0001,0.0,0.0112,0.0007,0.0215
unterschiedlich,193,0.0087,0.0,0.0001,0.0054,0.0077,0.0051,0.0041
bedeutung,177,0.0004,0.0043,0.0001,0.0132,0.0008,0.0059,0.0034
gesellschaftlich,170,0.0003,0.0072,0.0001,0.0009,0.0001,0.0101,0.0078
grundlage,170,0.0007,0.0,0.0001,0.0132,0.0,0.0064,0.0055
welt,169,0.0035,0.0,0.0054,0.0109,0.0,0.0,0.0114
zusammenleben,159,0.0,0.0011,0.0001,0.0105,0.0034,0.0033,0.0067
bezug,152,0.0091,0.0,0.0001,0.0,0.0,0.0089,0.0032
konflikt,151,0.0017,0.0,0.0001,0.0103,0.0199,0.0,0.0
medium,148,0.0,0.0,0.0071,0.0089,0.0154,0.0001,0.0039
norm,148,0.0,0.0153,0.0001,0.005,0.0015,0.0035,0.0008
menschenrecht,147,0.0064,0.0,0.0017,0.0159,0.0,0.0005,0.0
beurteilen,144,0.0052,0.0,0.0001,0.0116,0.0,0.0036,0.0003
