Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7
gerechtigkeit,gerechtigkeit,gerechtigkeit,gerechtigkeit,gerechtigkeit,sozial,gerechtigkeit
gerecht,gerecht,gerecht,handeln,gerecht,gerechtigkeit,freiheit
prinzip,wert,begriff,menschenrecht,konflikt,politisch,mensch
strafe,norm,kompetenz,grundlage,verantwortung,gesellschaft,ethik
leistung,moralisch,ungerecht,bedeutung,verschieden,politik,verantwortung
iii,perspektive,digital,beispiel,kommunikation,gerecht,sozial
bezug,handeln,courage,bildung,medium,gesellschaftlich,religion
grundrecht,frage,darstellung,beurteilen,gestalten,bezug,moral
unterschiedlich,ethik,erweitert,welt,wert,inhalt,welt
kompetenz,regel,formulieren,zusammenleben,mensch,ökonomisch,leben
entscheidung,lernbereich,funktion,konflikt,interesse,frage,thema
position,gesellschaft,zugang,interpretieren,leben,wirtschaftlich,kontroverse
zukunft,wahlbereich,leistung,familie,diskutieren,entwicklung,klasse
ethik,ziel,inhaltsbezogen,verschieden,wahrnehmen,deutschland,begriff
gut,klassenstuf,umsetzung,beschreiben,einzeln,demokratie,frage
krieg,gut,medium,leben,fachkonzept,beitrag,gesellschaftlich
menschenrecht,vorstellung,ungerechtigkeit,gewalt,möglichkeit,demokratisch,natur
ausgleichend,verantwortung,beschreiben,form,beschreiben,global,gemeinwohl
anspruch,kompetenz,lösungsmöglichkeit,medium,umgang,europäisch,gesellschaft
verbindlich,unterricht,struktur,medial,gruppe,sozialstaat,versus
