term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5
handlung,1111,0.001,0.0022,0.0098,0.0414,0.0049
kompetenz,870,0.0022,0.0027,0.0092,0.0071,0.0221
politisch,789,0.0129,0.0,0.0,0.0,0.0237
mensch,789,0.0083,0.0088,0.0035,0.0106,0.0015
sozial,701,0.0142,0.0024,0.0038,0.0043,0.0051
verantwortung,659,0.0112,0.0057,0.0066,0.0013,0.0
beschreiben,631,0.0032,0.0073,0.0023,0.0092,0.0056
wirtschaftlich,600,0.0171,0.0006,0.0081,0.0001,0.0019
gesellschaftlich,594,0.0059,0.0027,0.0037,0.003,0.0121
analysieren,591,0.0049,0.0,0.0042,0.0171,0.003
ethisch,589,0.0,0.0044,0.0107,0.0107,0.0003
reflektieren,575,0.0002,0.006,0.0041,0.0097,0.0075
entwicklung,574,0.0079,0.0071,0.0016,0.0001,0.0061
leben,546,0.0047,0.0042,0.0037,0.01,0.0013
beurteilen,544,0.0074,0.0109,0.0008,0.0024,0.0003
wert,517,0.0003,0.0028,0.0027,0.0202,0.0011
entscheidung,511,0.0006,0.0014,0.0001,0.0,0.0218
grundlage,510,0.0053,0.0037,0.0098,0.0003,0.0023
entwickeln,490,0.0,0.0049,0.0071,0.0007,0.0093
ökonomisch,489,0.0066,0.0066,0.0,0.0,0.0089
frage,466,0.0005,0.0047,0.0057,0.009,0.001
welt,466,0.0121,0.0032,0.0001,0.0046,0.0005
gesellschaft,447,0.0066,0.0039,0.0038,0.0008,0.003
bedeutung,446,0.0083,0.0047,0.001,0.0033,0.0011
ethik,445,0.0009,0.0,0.0056,0.0154,0.0
moralisch,435,0.0,0.001,0.0048,0.0158,0.0
denken,432,0.0027,0.0021,0.0106,0.0,0.0036
norm,414,0.0,0.0036,0.0008,0.0168,0.0
menschlich,414,0.0039,0.0066,0.0,0.0014,0.0038
historisch,404,0.0,0.0147,0.0,0.0,0.0
fach,399,0.0,0.0044,0.0039,0.0,0.0086
nachhaltig,389,0.0087,0.0055,0.0,0.0,0.0008
erkennen,385,0.0,0.0066,0.003,0.0,0.0057
folge,379,0.0023,0.003,0.0023,0.0084,0.0018
bewerten,374,0.0,0.0105,0.0,0.0008,0.0039
möglichkeit,357,0.0071,0.0029,0.0,0.0011,0.0038
fähigkeit,355,0.0,0.0,0.0043,0.0,0.0134
verschieden,351,0.001,0.0063,0.0012,0.0046,0.002
lernen,334,0.0,0.0032,0.0032,0.0004,0.0099
motiv,333,0.0002,0.0,0.0,0.0132,0.0038
freiheit,328,0.0086,0.0,0.0016,0.0023,0.0
situation,326,0.0,0.0,0.0047,0.0101,0.0017
unterschiedlich,323,0.0018,0.0067,0.0,0.0013,0.0037
ziel,320,0.0,0.0041,0.005,0.0001,0.0043
lernende,299,0.0,0.0044,0.0,0.0,0.0085
erläutern,295,0.0066,0.0023,0.0,0.0037,0.0
inhalt,283,0.0017,0.0021,0.0055,0.0,0.0039
verantwortlich,273,0.0002,0.0024,0.0073,0.0,0.0014
urteil,262,0.0,0.0007,0.0062,0.0013,0.0032
unterricht,251,0.0,0.0015,0.002,0.0,0.0082
regel,235,0.0,0.0,0.0027,0.0118,0.0
medium,229,0.0066,0.0017,0.0,0.001,0.0011
akteur,227,0.0062,0.0021,0.0,0.0,0.0009
bildung,225,0.0,0.0084,0.0,0.0,0.0
dimension,224,0.0,0.002,0.0074,0.0,0.0
position,221,0.0,0.0036,0.0052,0.0,0.0
kulturell,221,0.0,0.0058,0.0,0.0028,0.0005
verstehen,217,0.0,0.0019,0.0,0.0,0.0072
grundlegend,206,0.0,0.0075,0.0,0.0,0.0
relevanz,206,0.0003,0.0,0.0012,0.0089,0.0005
beitrag,196,0.0,0.0,0.0025,0.0002,0.0066
wirtschaft,190,0.0066,0.0003,0.0001,0.0,0.0022
geschichte,189,0.0,0.0069,0.0,0.0,0.0
begriff,189,0.0009,0.0,0.0,0.0093,0.0
aufgabe,187,0.0,0.0019,0.0002,0.0,0.0057
bereich,184,0.0,0.0007,0.0015,0.0,0.0065
voraussetzung,177,0.0,0.0,0.0058,0.0,0.0021
wertvorstellung,173,0.0,0.0005,0.0068,0.0,0.0
information,165,0.0002,0.0013,0.0,0.0075,0.0015
staatlich,159,0.0063,0.0,0.0,0.0,0.0
digital,158,0.0,0.0075,0.0,0.0002,0.0
argument,157,0.0,0.0,0.0068,0.0,0.0
philosophisch,145,0.0,0.0,0.0051,0.001,0.0
lernbereich,142,0.0,0.0055,0.0,0.0,0.0
gewissen,139,0.0,0.0002,0.0,0.0074,0.0
treffen,135,0.0,0.0,0.0,0.0,0.0075
vertreten,129,0.0,0.0,0.0009,0.0,0.0063
unternehmen,107,0.0065,0.0001,0.0,0.0,0.0
