term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10
lernen,179,0.0001,0.014,0.0019,0.0199,0.0005,0.0001,0.0157,0.0001,0.0306,0.0475
kommunikation,136,0.0055,0.0361,0.0064,0.0001,0.0001,0.0233,0.0001,0.0001,0.0001,0.0292
international,121,0.0067,0.0001,0.0001,0.0001,0.0482,0.0001,0.0001,0.0001,0.0001,0.0001
individuell,117,0.0001,0.0063,0.0001,0.0162,0.001,0.0001,0.0222,0.0298,0.0111,0.0065
sozial,104,0.0365,0.0091,0.0295,0.0001,0.0,0.0003,0.0144,0.0001,0.0001,0.0001
medium,85,0.0042,0.0016,0.0025,0.0001,0.0,0.0001,0.036,0.0053,0.0043,0.0065
konflikt,84,0.037,0.0111,0.0001,0.0001,0.0121,0.0019,0.0001,0.0001,0.0001,0.0001
angemessen,83,0.0158,0.0069,0.0001,0.0001,0.0,0.0001,0.0001,0.0262,0.0209,0.0001
entwicklung,81,0.0198,0.0001,0.0001,0.0076,0.0173,0.0002,0.0042,0.0001,0.0001,0.0001
politisch,80,0.0001,0.0001,0.0027,0.0001,0.0401,0.0001,0.0001,0.0001,0.0001,0.0001
bedeutung,80,0.0153,0.0031,0.008,0.0001,0.0094,0.0045,0.0084,0.0034,0.0035,0.0001
unterschiedlich,76,0.0001,0.0117,0.0069,0.0107,0.0015,0.0303,0.0036,0.0001,0.0001,0.0082
fördern,72,0.0001,0.0001,0.0001,0.0001,0.0009,0.0001,0.0066,0.0015,0.0149,0.0295
möglichkeit,69,0.0021,0.0001,0.0001,0.0001,0.0071,0.0101,0.0101,0.0001,0.0179,0.0001
selbstständig,68,0.0001,0.0176,0.0122,0.002,0.0,0.0001,0.0001,0.0001,0.0001,0.0229
partner,66,0.0103,0.006,0.0003,0.0001,0.0,0.0001,0.0001,0.0248,0.0177,0.0001
leistung,66,0.0001,0.0024,0.0047,0.0001,0.0,0.0001,0.0001,0.0631,0.0038,0.0001
angebot,64,0.0001,0.0001,0.0001,0.0296,0.0027,0.0002,0.0001,0.0001,0.0044,0.0116
nutzen,63,0.0001,0.019,0.0001,0.0001,0.0033,0.0001,0.0028,0.0001,0.0035,0.0159
sowohl,61,0.0001,0.0001,0.0001,0.0001,0.0,0.0001,0.0001,0.0254,0.0173,0.0101
digital,61,0.0001,0.0022,0.0001,0.0001,0.0011,0.0001,0.0285,0.0032,0.0042,0.0014
entwickeln,60,0.0259,0.0066,0.0001,0.0001,0.0,0.0001,0.0066,0.0001,0.0001,0.0114
außerschulisch,59,0.0001,0.0038,0.0001,0.0001,0.0,0.0001,0.0001,0.0001,0.0367,0.0001
ziel,59,0.0001,0.0001,0.0001,0.0037,0.01,0.0001,0.0035,0.0001,0.0182,0.0001
gesellschaftlich,59,0.0163,0.0119,0.0052,0.0065,0.0018,0.0001,0.0034,0.0001,0.0001,0.0001
aufgabe,58,0.0001,0.0029,0.019,0.0001,0.0,0.0001,0.0006,0.0001,0.0186,0.0033
modell,58,0.0137,0.0043,0.0001,0.0001,0.0,0.0242,0.0001,0.0307,0.0001,0.0001
europäisch,57,0.0035,0.0001,0.0001,0.0001,0.0074,0.0374,0.0001,0.0001,0.0001,0.0001
