Topic_1,Topic_2,Topic_3,Topic_4,Topic_5
kooperation,kooperativ,politisch,kooperativ,lernende
international,jahrgangsstufe,kooperation,fach,kooperation
kommunikation,außerschulisch,kooperativ,unterricht,sozial
europäisch,angemessen,lernen,lernen,entwickeln
lernen,kooperation,medium,individuell,fähigkeit
entwicklung,partner,kompetenz,kooperation,solidarität
konflikt,modell,fördern,methode,verantwortung
welt,leistung,unterricht,unterschiedlich,entwicklung
global,sowohl,selbstständig,wissen,angebot
bedeutung,lernen,kommunikation,mündlich,konflikt
politisch,niveaustufen,ökonomisch,selbstständig,teamfähigkeit
konfrontation,niveaustuf,dienen,leistung,arbeiten
chance,unterricht,aktiv,entwickeln,demokratisch
deutschland,einsatz,fächerübergreifend,schriftlich,gesellschaftlich
thema,bewertung,methodenkompetenz,anwenden,übernehmen
fachkonzept,aufgabe,lassen,form,handeln
ökonomisch,fach,fach,arbeiten,sozialkompetenz
politik,fachlich,arbeit,rolle,rücksichtnahme
europa,jahrgangsstuf,individuell,vorbereiten,respektieren
kooperativ,erreichen,digital,zählen,unterschiedlich
