term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10
mensch,374,0.0009,0.0033,0.0001,0.0,0.0068,0.0309,0.0107,0.0,0.0025,0.008
leben,366,0.0,0.0084,0.0062,0.0242,0.0,0.0218,0.0155,0.0,0.0067,0.0012
gesellschaft,356,0.0035,0.0106,0.0092,0.0035,0.0147,0.0126,0.0003,0.0095,0.0021,0.0151
bildung,336,0.0646,0.0023,0.0001,0.0167,0.0,0.0,0.0,0.0079,0.0163,0.0
religion,311,0.0,0.0,0.0001,0.0,0.0083,0.0014,0.0505,0.0,0.0054,0.0052
kulturell,290,0.0,0.0011,0.0001,0.0223,0.0,0.0129,0.0069,0.0,0.008,0.008
politisch,285,0.0,0.0058,0.0001,0.0059,0.007,0.0005,0.0,0.0,0.009,0.0265
geschichte,270,0.0078,0.0,0.0001,0.0,0.012,0.0125,0.0034,0.0,0.0,0.0127
welt,269,0.0,0.0,0.0001,0.0077,0.0,0.0125,0.0039,0.0152,0.0173,0.0021
kompetenz,263,0.008,0.0067,0.0048,0.0128,0.0032,0.0099,0.0156,0.0087,0.0005,0.0
historisch,258,0.0,0.0122,0.0001,0.0,0.0479,0.002,0.0014,0.0,0.0003,0.0
entwicklung,243,0.0022,0.0011,0.0152,0.0,0.016,0.0045,0.0051,0.0,0.0104,0.0055
sozial,241,0.0,0.0133,0.0001,0.013,0.0052,0.0039,0.005,0.0,0.0204,0.0
verschieden,216,0.0,0.0,0.0001,0.0011,0.0156,0.0087,0.0234,0.0,0.0006,0.0001
gesellschaftlich,191,0.0018,0.004,0.0083,0.0073,0.0,0.007,0.0,0.0,0.0148,0.0028
unterschiedlich,190,0.0,0.0021,0.0001,0.0001,0.0118,0.006,0.0158,0.0,0.0088,0.0
europäisch,171,0.0,0.0053,0.0001,0.0,0.0029,0.0,0.0,0.0033,0.0,0.0188
thema,171,0.0128,0.0,0.0001,0.0086,0.0,0.0124,0.0,0.0,0.0,0.0028
wissenschaft,157,0.0275,0.001,0.0001,0.0,0.0,0.0033,0.0,0.0176,0.0003,0.0
bedeutung,151,0.0,0.0,0.0039,0.0019,0.0058,0.0084,0.0044,0.0,0.002,0.0039
natur,148,0.0,0.0,0.0001,0.0,0.0,0.0165,0.0021,0.0,0.004,0.0
wirtschaft,144,0.0,0.0,0.0001,0.0,0.0118,0.0003,0.0,0.0,0.0069,0.0088
aspekt,143,0.0,0.0082,0.0013,0.0,0.0001,0.0041,0.0028,0.0009,0.0,0.0087
vielfalt,143,0.0,0.0,0.0001,0.0277,0.0,0.0057,0.0031,0.0,0.004,0.0
perspektive,143,0.0,0.0,0.0001,0.0019,0.0019,0.0025,0.0033,0.0,0.0136,0.0049
demokratie,142,0.0,0.0,0.0174,0.0121,0.0,0.0,0.0,0.0,0.0,0.0119
beschreiben,140,0.0,0.0,0.0021,0.0,0.0,0.0028,0.014,0.0187,0.0036,0.0008
handeln,137,0.0,0.0,0.0001,0.0043,0.001,0.0069,0.0102,0.0,0.0073,0.0
frage,135,0.0,0.0,0.0028,0.0025,0.0027,0.0045,0.0196,0.0,0.0,0.0
kunst,135,0.0097,0.0,0.0023,0.0,0.0,0.0013,0.0062,0.0,0.0079,0.0043
