term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12,Topic_13,Topic_14,Topic_15
mensch,374,0.0093,0.0002,0.0177,0.0001,0.0023,0.0,0.0,0.0001,0.0001,0.0162,0.0206,0.0003,0.0,0.0,0.0415
leben,366,0.001,0.0053,0.0134,0.0733,0.0059,0.0,0.0,0.0155,0.0001,0.0,0.0011,0.0028,0.0042,0.0035,0.0335
gesellschaft,356,0.0288,0.0157,0.0,0.0001,0.0152,0.003,0.0,0.0001,0.015,0.0,0.0129,0.0102,0.0,0.0077,0.0089
religion,311,0.0246,0.0152,0.0079,0.0001,0.0,0.0,0.0,0.0536,0.0001,0.0,0.0044,0.0038,0.029,0.0,0.0044
kulturell,290,0.0037,0.0,0.0561,0.0001,0.0043,0.0,0.0,0.0001,0.0001,0.0,0.0348,0.0001,0.0,0.0,0.0086
politisch,285,0.0,0.0039,0.0,0.0001,0.0048,0.0065,0.0,0.0001,0.0001,0.0,0.0099,0.0008,0.0,0.0497,0.0
geschichte,270,0.0,0.012,0.0,0.0001,0.0,0.0,0.0157,0.017,0.0001,0.0118,0.0231,0.0033,0.0,0.0,0.0124
welt,269,0.0016,0.002,0.0,0.0001,0.001,0.0,0.0104,0.0001,0.0046,0.0236,0.0059,0.0004,0.0,0.0075,0.0259
historisch,258,0.0097,0.008,0.0,0.0001,0.0,0.0,0.0,0.0001,0.0001,0.0044,0.0193,0.0181,0.0,0.0165,0.0008
entwicklung,243,0.0,0.0091,0.004,0.0001,0.0155,0.0,0.0,0.0001,0.0001,0.0,0.0,0.0023,0.0086,0.0216,0.0059
sozial,241,0.0,0.003,0.0,0.0169,0.0204,0.0057,0.014,0.0001,0.0001,0.003,0.0,0.0,0.0,0.0144,0.0093
verschieden,216,0.0,0.0009,0.0205,0.0001,0.0011,0.0,0.0,0.0039,0.0001,0.0,0.0122,0.0096,0.0,0.0056,0.015
gesellschaftlich,191,0.0018,0.0,0.0069,0.0001,0.019,0.0211,0.0,0.0001,0.0001,0.0,0.0,0.0013,0.0,0.0057,0.0078
unterschiedlich,190,0.0025,0.0015,0.0,0.0001,0.0,0.0,0.0044,0.0143,0.0001,0.0,0.0125,0.0263,0.0,0.0,0.008
europäisch,172,0.0095,0.0165,0.0,0.0001,0.0,0.0,0.0,0.0001,0.0001,0.0007,0.0229,0.0,0.0,0.0,0.0
wissenschaft,157,0.0,0.0,0.0076,0.0001,0.0045,0.0,0.0,0.0046,0.0786,0.0,0.0,0.0027,0.0167,0.0,0.0022
bedeutung,151,0.0038,0.0067,0.0152,0.0001,0.0036,0.0,0.0,0.0001,0.0001,0.0,0.0049,0.0076,0.0065,0.0009,0.0036
natur,148,0.005,0.0,0.0027,0.0001,0.0,0.0,0.0,0.0001,0.0001,0.0,0.0,0.0023,0.0,0.0032,0.0202
wirtschaft,144,0.0087,0.0062,0.0,0.0001,0.0,0.0,0.0,0.0001,0.0001,0.0,0.0102,0.0,0.0,0.0154,0.0
vielfalt,143,0.0,0.001,0.0134,0.0422,0.0,0.0,0.0001,0.0115,0.0001,0.0,0.0163,0.0,0.0,0.0,0.0031
perspektive,143,0.0177,0.0,0.0,0.007,0.0002,0.0,0.0,0.0158,0.0001,0.0,0.0004,0.0,0.0,0.0145,0.003
demokratie,142,0.0,0.0061,0.0,0.0001,0.0043,0.0241,0.0,0.0001,0.0001,0.0,0.0,0.0038,0.0,0.0099,0.0002
handeln,137,0.0076,0.0,0.0,0.0001,0.0,0.0,0.0031,0.0001,0.0001,0.0014,0.0004,0.0041,0.0,0.0059,0.0142
kunst,135,0.0,0.0001,0.0,0.0001,0.0028,0.0168,0.0213,0.0001,0.0001,0.0,0.0115,0.0009,0.0,0.0028,0.0
frage,135,0.0,0.0,0.0031,0.0001,0.0037,0.0,0.0,0.0486,0.0001,0.0,0.0,0.0,0.0165,0.0027,0.0031
lernen,129,0.0,0.0033,0.0,0.0001,0.0031,0.0,0.0181,0.0001,0.0013,0.0,0.0,0.0217,0.0,0.0,0.001
herrschaft,126,0.0106,0.0132,0.0,0.0001,0.0,0.0026,0.0,0.0001,0.0001,0.0081,0.0001,0.0017,0.0,0.0041,0.0
auseinandersetzung,124,0.0045,0.0,0.0,0.0001,0.0165,0.0,0.0,0.0082,0.0001,0.0041,0.0077,0.0,0.0052,0.0009,0.0014
deutsch,123,0.0,0.0021,0.0,0.0001,0.0,0.0119,0.0421,0.0001,0.0043,0.0,0.0026,0.0,0.0,0.0004,0.0
zusammenleben,121,0.0,0.0058,0.0,0.0001,0.0,0.0,0.0,0.0001,0.0001,0.0,0.0,0.001,0.026,0.0029,0.0067
europa,118,0.0,0.0123,0.0,0.0001,0.0,0.0,0.0,0.0001,0.0001,0.0139,0.0057,0.0019,0.0,0.007,0.0
